date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,0.356564,26,0.356564,0.356992,0.356992,0.819621,0.097363
200308,143,10,0.606451,14,0.963015,0.607285,0.964277,0.819621,0.097363
200309,148,10,-10.611174,41,-9.648159,-10.612173,-9.647896,0.831370,0.122890
200310,150,10,3.074309,7,-6.573850,3.095160,-6.552736,0.831263,0.121541
200311,152,11,4.869780,4,-1.704070,5.008229,-1.544507,0.831263,0.121541
200312,150,10,6.358253,1,4.654183,7.216834,5.672327,0.831263,0.121541
200401,139,10,-14.508049,51,-9.853866,-14.509049,-8.836722,0.822803,0.113510
200402,143,10,-11.303137,43,-21.157003,-11.304136,-20.140858,0.821938,0.115895
200403,139,10,-6.553851,145,-27.710854,-6.554849,-26.695707,0.821938,0.115895
200404,135,9,-8.057552,977,-35.768406,-8.058551,-34.754258,0.821938,0.115895
200405,140,10,-11.012240,76,-46.780646,-11.013240,-45.767498,0.806539,0.126212
200406,146,10,-20.321624,454,-67.102270,-20.322624,-66.090121,0.808041,0.139033
200407,152,11,1.032709,26,-66.069562,1.034519,-65.055603,0.808041,0.139033
200408,153,11,-11.644310,241,-77.713872,-11.645310,-76.700912,0.806150,0.144771
200409,155,11,-9.476585,95,-87.190457,-9.477584,-86.178497,0.811258,0.146787
200410,162,11,0.225652,15,-86.964805,0.225906,-85.952591,0.807040,0.160812
200411,167,12,-2.476494,15,-89.441298,-2.477409,-88.430000,0.779844,0.179637
200412,163,11,1.642736,34,-87.798562,1.646914,-86.783086,0.806255,0.187706
200501,164,11,-2.391194,96,-90.189756,-2.392102,-89.175188,0.793584,0.181491
200502,169,12,-1.596029,55,-91.785786,-1.596826,-90.772015,0.770385,0.190038
200503,172,12,-29.936000,457,-121.721786,-29.937000,-120.709015,0.765598,0.193596
200504,187,13,0.134215,7,-121.587571,0.134358,-120.574656,0.771857,0.210399
200505,196,14,-2.136154,27,-123.723725,-2.137035,-122.711691,0.766313,0.213108
200506,190,13,6.871955,1,-116.851770,10.191556,-112.520136,0.779324,0.207292
200507,190,13,-0.061719,26,-116.913489,-0.061779,-112.581914,0.775997,0.206082
200508,190,13,3.648772,6,-113.264717,3.686918,-108.894997,0.774331,0.194098
200509,197,14,-8.401534,43,-121.666251,-8.402533,-117.297530,0.765564,0.198433
200510,194,13,-19.078073,28,-140.744324,-19.079073,-136.376603,0.753607,0.170499
200511,197,14,2.988411,7,-137.755913,3.007445,-133.369157,0.755957,0.198001
200512,165,11,-12.844783,300,-150.600696,-12.845783,-146.214940,0.742582,0.209769
200601,164,11,-5.076423,17,-155.677119,-5.077416,-151.292356,0.766646,0.241595
200602,171,12,-4.659487,26,-160.336606,-4.660477,-155.952833,0.800922,0.217652
200603,168,12,-10.239224,173,-170.575830,-10.240224,-166.193057,0.801309,0.236058
200604,158,11,1.590900,7,-168.984930,1.594816,-164.598241,0.788037,0.218137
200605,152,11,1.992487,9,-166.992444,1.998841,-162.599401,0.806789,0.192845
200606,142,10,-7.523194,27,-174.515638,-7.524193,-170.123593,0.803459,0.221836
200607,141,10,-31.707599,173,-206.223237,-31.708599,-201.832192,0.812923,0.180362
200608,140,10,6.851049,1,-199.372187,9.731170,-192.101023,0.819825,0.203175
200609,142,10,-2.899501,153,-202.271688,-2.900445,-195.001468,0.835876,0.172602
200610,143,10,-2.890368,35,-205.162056,-2.891312,-197.892780,0.820129,0.207487
200611,157,11,-12.026776,68,-217.188832,-12.027775,-209.920555,0.844575,0.160228
200612,147,10,-5.605413,61,-222.794245,-5.606409,-215.526964,0.866335,0.148040
200701,152,11,-7.970094,118,-230.764339,-7.971093,-223.498057,0.876615,0.156387
200702,157,11,-6.976562,58,-237.740902,-6.977561,-230.475618,0.848098,0.180664
200703,157,11,-14.119437,69,-251.860339,-14.120436,-244.596055,0.857549,0.176226
200704,134,9,0.495201,18,-251.365138,0.495842,-244.100213,0.849790,0.186863
200705,131,9,-30.163286,714,-281.528424,-30.164286,-274.264499,0.843578,0.188896
200706,136,10,2.901420,5,-278.627004,2.918769,-271.345729,0.849870,0.168194
200707,128,9,-32.732974,176,-311.359978,-32.733973,-304.079702,0.846062,0.182205
200708,125,9,-18.179045,91,-329.539023,-18.180044,-322.259747,0.850835,0.164619
200709,125,9,-5.346161,8,-334.885184,-5.347156,-327.606902,0.849606,0.179857
200710,114,8,-2.312591,42,-337.197775,-2.313492,-329.920394,0.866267,0.180525
200711,105,7,-9.271355,147,-346.469130,-9.272354,-339.192748,0.864568,0.167794
200712,99,7,1.748814,4,-344.720315,1.753573,-337.439175,0.845282,0.186913
200801,96,7,-14.134876,383,-358.855191,-14.135875,-351.575051,0.826713,0.180778
200802,95,7,2.997681,3,-355.857510,3.016904,-348.558147,0.858445,0.158926
200803,115,8,-22.643176,440,-378.500687,-22.644176,-371.202323,0.854772,0.141743
200804,114,8,-18.627352,327,-397.128038,-18.628351,-389.830674,0.892061,0.113095
200805,106,8,-19.400088,279,-416.528126,-19.401088,-409.231762,0.901741,0.119022
200806,105,7,0.433676,26,-416.094450,0.434219,-408.797542,0.911252,0.084439
200807,100,7,-0.377866,22,-416.472316,-0.378181,-409.175723,0.918018,0.082887
200808,100,7,1.726664,5,-414.745653,1.731296,-407.444427,0.931969,0.119104
200809,99,7,-22.788703,660,-437.534356,-22.789702,-430.234129,0.881550,0.084006
200810,99,7,-19.820326,69,-457.354681,-19.821325,-450.055454,0.873912,0.092126
200811,96,7,-34.354323,742,-491.709004,-34.355323,-484.410777,0.875293,0.109756
200812,94,7,-17.488360,48,-509.197365,-17.489360,-501.900137,0.901063,0.054301
200901,94,7,-1.972265,76,-511.169630,-1.973126,-503.873262,0.883494,0.118613
200902,97,7,-1.570482,16,-512.740111,-1.571273,-505.444536,0.895063,0.064315
200903,101,7,2.293633,11,-510.446478,2.302584,-503.141952,0.893527,0.088868
200904,113,8,-11.913351,507,-522.359829,-11.914351,-515.056302,0.864135,0.079698
200905,110,8,-0.611645,253,-522.971475,-0.612103,-515.668405,0.838092,0.145534
200906,113,8,0.487972,137,-522.483503,0.488601,-515.179804,0.820924,0.173904
200907,116,8,2.001625,18,-520.481878,2.008047,-513.171757,0.813419,0.175574
200908,113,8,3.042318,9,-517.439559,3.062474,-510.109283,0.789409,0.204441
200909,121,9,-0.104586,56,-517.544145,-0.104685,-510.213968,0.813403,0.203595
200910,120,8,2.585380,12,-514.958764,2.597725,-507.616243,0.808666,0.199439
200911,122,9,-5.858263,599,-520.817028,-5.859260,-513.475503,0.855754,0.164726
200912,116,8,-10.092338,388,-530.909365,-10.093337,-523.568841,0.834497,0.134848
201001,118,8,-8.425600,127,-539.334965,-8.426599,-531.995440,0.793047,0.113102
201002,121,9,-9.610956,216,-548.945921,-9.611955,-541.607395,0.742636,0.134300
201003,130,9,1.184477,42,-547.761444,1.186749,-540.420646,0.752611,0.117073
201004,127,9,-2.424972,29,-550.186416,-2.425883,-542.846529,0.741945,0.115753
201005,130,9,-3.672518,10,-553.858934,-3.673492,-546.520021,0.701599,0.117590
201006,134,9,-31.616453,227,-585.475387,-31.617453,-578.137474,0.695229,0.105252
201007,140,10,3.151179,9,-582.324208,3.173797,-574.963677,0.692560,0.108842
201008,140,10,-0.153342,3,-582.477550,-0.153485,-575.117162,0.694252,0.104742
201009,150,10,-11.101423,45,-593.578973,-11.102423,-586.219585,0.703395,0.096644
201010,149,10,-7.222100,82,-600.801073,-7.223099,-593.442683,0.701608,0.095162
201011,159,11,-8.952389,45,-609.753462,-8.953389,-602.396072,0.690908,0.109326
201012,164,11,-1.630254,15,-611.383716,-1.631058,-604.027130,0.683192,0.121185
201101,164,11,0.949886,10,-610.433831,0.951472,-603.075657,0.683923,0.117425
201102,175,12,-11.081834,7,-621.515664,-11.082833,-614.158490,0.704620,0.130504
201103,186,13,2.592829,2,-618.922835,2.605274,-611.553217,0.694468,0.135405
201104,194,13,6.908754,1,-612.014082,20.711771,-590.841445,0.711040,0.147205
201105,193,13,6.908750,1,-605.105331,19.217302,-571.624144,0.808914,0.101222
201106,199,14,-33.017186,158,-638.122518,-33.018186,-604.642330,0.856568,0.052077
201107,221,15,-13.172495,27,-651.295013,-13.173494,-617.815824,0.875190,0.044301
201108,221,15,6.904209,1,-644.390803,12.299107,-605.516716,0.875210,0.047597
201109,224,15,-12.679442,53,-657.070245,-12.680441,-618.197158,0.882587,0.050479
201110,221,15,-8.858862,53,-665.929107,-8.859861,-627.057019,0.889761,0.035015
201111,227,16,-13.890583,139,-679.819690,-13.891582,-640.948601,0.884790,0.017225
201112,228,16,-27.821206,185,-707.640896,-27.822205,-668.770807,0.889994,-0.008249
