date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.549489,1,6.549489,7.746444,7.746444,0.789975,0.215445
200308,444,30,-17.357223,42,-10.807734,-17.358222,-9.611778,0.789975,0.215445
200309,451,31,-9.920603,20,-20.728337,-9.921603,-19.533381,0.785865,0.220712
200310,433,29,-42.217054,123,-62.945391,-42.218054,-61.751434,0.801122,0.225054
200311,437,30,-11.597739,44,-74.543130,-11.598739,-73.350173,0.801122,0.225054
200312,442,30,3.822326,3,-70.720804,3.868067,-69.482106,0.801122,0.225054
200401,441,30,-19.641889,106,-90.362693,-19.642889,-89.124995,0.801566,0.234585
200402,445,30,3.520472,2,-86.842221,3.553823,-85.571172,0.787827,0.237273
200403,438,30,6.224451,1,-80.617770,6.925521,-78.645651,0.787827,0.237273
200404,440,30,-64.602566,161,-145.220336,-64.603565,-143.249216,0.787827,0.237273
200405,435,29,-10.030291,15,-155.250626,-10.031290,-153.280507,0.792457,0.246673
200406,436,30,-12.974893,20,-168.225519,-12.975893,-166.256399,0.792247,0.251574
200407,432,29,6.903411,1,-161.322108,12.136945,-154.119454,0.792247,0.251574
200408,431,29,6.908755,1,-154.413353,25.805853,-128.313601,0.789911,0.248534
200409,441,30,-25.386712,19,-179.800065,-25.387711,-153.701312,0.812219,0.263024
200410,437,30,1.465267,5,-178.334798,1.468601,-152.232711,0.774302,0.268149
200411,434,29,-4.180173,5,-182.514971,-4.181158,-156.413869,0.761748,0.286367
200412,423,29,6.766650,1,-175.748321,8.787052,-147.626816,0.790165,0.314577
200501,425,29,6.908563,1,-168.839759,15.464571,-132.162245,0.776981,0.320566
200502,427,29,-9.490660,17,-178.330419,-9.491660,-141.653905,0.779704,0.324219
200503,411,28,-2.675071,5,-181.005490,-2.676001,-144.329906,0.757070,0.332807
200504,404,27,1.795839,2,-179.209651,1.800876,-142.529030,0.729724,0.349175
200505,402,27,6.908755,1,-172.300896,27.480391,-115.048639,0.746317,0.348574
200506,397,27,6.908755,1,-165.392141,26.726329,-88.322310,0.735335,0.362947
200507,403,27,5.163375,4,-160.228766,5.354237,-82.968073,0.724288,0.372834
200508,405,27,5.317146,2,-154.911620,5.543797,-77.424276,0.725957,0.392484
200509,404,27,-4.148932,4,-159.060552,-4.149916,-81.574192,0.725764,0.408469
200510,414,28,3.391488,4,-155.669064,3.420618,-78.153574,0.735217,0.435339
200511,411,28,6.908755,1,-148.760309,24.821515,-53.332059,0.729346,0.446938
200512,411,28,-5.818386,14,-154.578695,-5.819383,-59.151441,0.716589,0.451445
200601,413,28,6.908250,1,-147.670445,14.499119,-44.652322,0.707506,0.463261
200602,424,29,-0.460530,12,-148.130975,-0.460899,-45.113221,0.708929,0.467777
200603,419,28,6.755990,1,-141.374986,8.709253,-36.403967,0.702041,0.472458
200604,424,29,-12.396935,8,-153.771921,-12.397934,-48.801902,0.749761,0.460308
200605,416,28,-11.618567,16,-165.390487,-11.619566,-60.421468,0.769012,0.479704
200606,410,28,-19.121455,6,-184.511942,-19.122455,-79.543923,0.748802,0.442528
200607,416,28,-16.578679,9,-201.090622,-16.579679,-96.123601,0.767649,0.455115
200608,417,28,6.908705,1,-194.181917,16.813587,-79.310014,0.771989,0.432949
200609,416,28,6.705171,1,-187.476746,8.395914,-70.914100,0.780047,0.427610
200610,403,27,6.908489,1,-180.568257,15.138644,-55.775456,0.779706,0.399529
200611,394,27,-12.702753,17,-193.271010,-12.703752,-68.479208,0.797606,0.410932
200612,395,27,-5.352924,3,-198.623933,-5.353918,-73.833127,0.810560,0.370767
200701,400,27,-4.635549,12,-203.259482,-4.636538,-78.469665,0.821640,0.350086
200702,391,27,-1.462981,2,-204.722463,-1.463749,-79.933414,0.791180,0.345482
200703,380,26,6.908754,1,-197.813709,20.942124,-58.991290,0.791498,0.333557
200704,384,26,-12.877471,12,-210.691180,-12.878470,-71.869760,0.783557,0.340388
200705,384,26,-10.623357,34,-221.314536,-10.624356,-82.494116,0.773030,0.284452
200706,381,26,6.908755,1,-214.405782,24.220295,-58.273822,0.791869,0.265058
200707,390,26,1.846199,2,-212.559583,1.851549,-56.422273,0.780455,0.238347
200708,376,26,-36.308428,79,-248.868010,-36.309427,-92.731700,0.735552,0.258961
200709,381,26,-9.868473,42,-258.736484,-9.869473,-102.601173,0.736888,0.258485
