date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,115.398713,115.398713,0.763767,0.369474
200308,401,27,6.908755,1,13.817510,94.315798,209.714510,0.763767,0.369474
200309,412,28,6.908755,1,20.726264,34.492777,244.207287,0.711362,0.340402
200310,406,28,6.908755,1,27.635019,82.634995,326.842282,0.709836,0.345075
200311,416,28,6.908755,1,34.543774,79.106577,405.948859,0.709836,0.345075
200312,421,29,6.908755,1,41.452529,119.021483,524.970342,0.709836,0.345075
200401,429,29,6.908755,1,48.361283,149.375048,674.345390,0.638042,0.322562
200402,426,29,6.908755,1,55.270038,221.203433,895.548823,0.635873,0.325038
200403,428,29,6.908755,1,62.178793,197.190818,1092.739642,0.635873,0.325038
200404,423,29,6.908755,1,69.087548,209.969383,1302.709025,0.635873,0.325038
200405,423,29,6.908755,1,75.996303,195.892976,1498.602001,0.642622,0.330022
200406,424,29,6.908755,1,82.905057,139.267317,1637.869318,0.640102,0.326119
200407,425,29,6.908755,1,89.813812,78.710621,1716.579938,0.640102,0.326119
200408,428,29,6.908755,1,96.722567,115.887215,1832.467154,0.637212,0.326482
200409,439,30,6.908755,1,103.631322,196.993761,2029.460914,0.620243,0.331023
200410,436,30,6.908755,1,110.540076,150.621983,2180.082897,0.576882,0.315615
200411,444,30,6.908755,1,117.448831,92.925337,2273.008234,0.525112,0.296201
200412,445,30,6.908755,1,124.357586,186.377192,2459.385426,0.525054,0.321017
200501,444,30,6.908755,1,131.266341,223.609403,2682.994829,0.476379,0.305933
200502,443,30,6.908755,1,138.175096,204.685081,2887.679910,0.465703,0.289114
200503,438,30,6.908755,1,145.083850,362.338048,3250.017959,0.439166,0.307334
200504,436,30,6.908755,1,151.992605,247.783981,3497.801940,0.517675,0.309635
200505,431,29,6.908755,1,158.901360,285.777083,3783.579023,0.471655,0.287260
200506,438,30,6.908755,1,165.810115,299.035017,4082.614039,0.432559,0.325042
200507,442,30,6.908755,1,172.718869,207.792352,4290.406391,0.424370,0.345636
200508,439,30,6.908755,1,179.627624,253.912567,4544.318959,0.432704,0.346533
200509,449,30,6.908755,1,186.536379,367.633348,4911.952307,0.443845,0.337315
200510,455,31,6.908755,1,193.445134,386.659755,5298.612062,0.479339,0.342231
200511,455,31,6.908755,1,200.353889,291.072525,5589.684586,0.492482,0.355519
200512,446,30,6.908755,1,207.262643,357.631588,5947.316175,0.503682,0.399807
200601,430,29,6.908755,1,214.171398,307.283318,6254.599493,0.512886,0.424806
200602,434,29,6.908755,1,221.080153,166.128304,6420.727797,0.559711,0.452390
200603,434,29,6.908755,1,227.988908,291.070693,6711.798490,0.585525,0.487181
200604,431,29,6.908755,1,234.897662,281.539622,6993.338112,0.595876,0.545997
200605,433,29,6.908755,1,241.806417,262.194012,7255.532123,0.676583,0.579550
200606,421,29,6.908755,1,248.715172,256.965625,7512.497748,0.677299,0.519220
200607,423,29,6.908755,1,255.623927,158.834240,7671.331989,0.708599,0.486596
200608,414,28,6.908755,1,262.532682,137.398355,7808.730343,0.696751,0.538946
200609,415,28,6.908755,1,269.441436,214.325488,8023.055831,0.693924,0.541983
200610,380,26,6.908755,1,276.350191,138.073271,8161.129102,0.684838,0.650957
200611,389,26,6.908755,1,283.258946,173.596449,8334.725551,0.687920,0.702339
200612,380,26,6.908755,1,290.167701,124.828781,8459.554331,0.687831,0.650715
200701,378,26,6.908755,1,297.076456,143.858866,8603.413197,0.695907,0.614238
200702,356,24,6.908755,1,303.985210,139.719531,8743.132728,0.685938,0.642858
200703,353,24,6.908755,1,310.893965,135.228276,8878.361004,0.694301,0.621851
200704,367,25,6.908755,1,317.802720,117.206918,8995.567922,0.685738,0.600749
200705,371,25,6.908755,1,324.711475,159.586535,9155.154457,0.645074,0.608089
200706,370,25,6.908755,1,331.620229,171.537968,9326.692425,0.679250,0.594616
200707,362,25,6.908755,1,338.528984,210.364782,9537.057207,0.647072,0.649510
200708,356,24,6.908755,1,345.437739,215.833046,9752.890254,0.644842,0.596130
200709,364,25,6.908755,1,352.346494,148.962367,9901.852621,0.653883,0.610909
200710,386,26,6.908755,1,359.255249,119.056024,10020.908646,0.671370,0.539823
200711,379,26,6.908755,1,366.164003,114.398708,10135.307353,0.666255,0.520259
200712,395,27,6.908755,1,373.072758,213.675961,10348.983315,0.668313,0.494976
200801,394,27,6.908755,1,379.981513,123.086648,10472.069963,0.592872,0.540065
200802,400,27,6.908755,1,386.890268,189.950692,10662.020655,0.593328,0.528870
200803,401,27,6.908755,1,393.799022,209.477969,10871.498624,0.593010,0.510779
200804,408,28,6.908755,1,400.707777,53.112558,10924.611181,0.595702,0.575009
200805,414,28,6.908755,1,407.616532,145.798037,11070.409218,0.631053,0.616963
200806,439,29,6.908755,1,414.525287,296.253372,11366.662590,0.609583,0.609573
200807,449,30,6.908755,1,421.434042,332.901506,11699.564096,0.633476,0.602026
200808,447,30,6.908755,1,428.342796,242.194992,11941.759088,0.635016,0.598469
200809,440,30,6.908755,1,435.251551,143.449541,12085.208628,0.607206,0.466907
200810,440,30,-7.608279,2,427.643272,-7.609278,12077.599350,0.582505,0.441178
200811,446,30,6.908755,1,434.552027,362.603733,12440.203083,0.563258,0.473269
200812,518,35,6.908755,1,441.460782,221.208943,12661.412026,0.580101,0.412970
200901,499,34,6.908755,1,448.369536,150.620795,12812.032820,0.507674,0.354419
200902,506,34,6.908755,1,455.278291,323.607669,13135.640489,0.504733,0.337834
200903,529,36,6.908755,1,462.187046,348.252100,13483.892589,0.522139,0.303073
200904,527,36,6.908755,1,469.095801,120.550604,13604.443194,0.583403,0.245547
200905,538,36,6.908755,1,476.004555,73.751737,13678.194930,0.574806,0.259970
200906,561,38,6.908755,1,482.913310,56.833893,13735.028823,0.603278,0.268259
200907,575,39,6.908755,1,489.822065,40.583539,13775.612362,0.655188,0.282917
200908,593,40,6.908755,1,496.730820,43.776217,13819.388580,0.713895,0.289296
200909,606,41,6.908755,1,503.639575,24.768848,13844.157427,0.766674,0.312327
200910,604,41,6.908755,1,510.548329,37.551706,13881.709133,0.866759,0.268755
200911,601,41,6.908755,1,517.457084,67.064017,13948.773151,0.726617,0.243536
200912,622,42,6.908755,1,524.365839,78.835377,14027.608528,0.764709,0.227380
201001,626,42,6.908755,1,531.274594,98.560922,14126.169450,0.779092,0.234168
201002,638,43,6.908755,1,538.183348,103.106680,14229.276131,0.780478,0.213487
201003,637,43,6.908755,1,545.092103,83.502531,14312.778662,0.839006,0.222746
201004,644,43,6.908755,1,552.000858,53.200107,14365.978769,0.883424,0.224945
201005,641,43,6.908755,1,558.909613,181.537879,14547.516648,0.845026,0.215410
201006,648,44,6.908755,1,565.818368,234.170325,14781.686973,0.814566,0.212431
201007,669,45,6.908755,1,572.727122,182.127819,14963.814792,0.812151,0.222472
201008,667,45,6.908755,1,579.635877,238.103026,15201.917818,0.801878,0.222035
201009,689,46,6.908755,1,586.544632,281.057276,15482.975094,0.797388,0.219896
201010,703,47,6.908755,1,593.453387,183.731053,15666.706147,0.781829,0.219906
201011,722,49,6.908755,1,600.362141,147.963916,15814.670064,0.815615,0.211681
201012,732,49,6.908755,1,607.270896,175.174137,15989.844200,0.801295,0.223463
201101,730,49,6.908755,1,614.179651,131.783584,16121.627784,0.809713,0.216882
201102,744,50,6.908755,1,621.088406,128.976771,16250.604555,0.813497,0.224183
201103,729,49,6.908755,1,627.997161,171.616335,16422.220891,0.778893,0.225036
201104,758,51,6.908755,1,634.905915,186.660704,16608.881595,0.700827,0.205439
201105,767,52,6.908755,1,641.814670,304.817698,16913.699292,0.714150,0.215935
201106,786,53,6.908755,1,648.723425,245.651946,17159.351238,0.768574,0.212909
201107,800,54,6.908755,1,655.632180,391.129461,17550.480699,0.773889,0.183237
201108,799,54,6.908755,1,662.540934,529.889052,18080.369751,0.785166,0.189961
201109,820,55,6.908755,1,669.449689,797.208963,18877.578714,0.802577,0.196267
201110,834,56,6.908755,1,676.358444,170.004193,19047.582907,0.814105,0.186093
201111,823,55,6.908755,1,683.267199,527.365937,19574.948844,0.818916,0.199427
201112,845,57,6.908755,1,690.175954,138.554770,19713.503614,0.850509,0.202825
201201,858,58,6.908755,1,697.084708,260.985229,19974.488843,0.855337,0.211813
201202,871,59,6.908755,1,703.993463,93.844748,20068.333591,0.862577,0.208812
201203,863,58,6.908755,1,710.902218,98.459519,20166.793110,0.856158,0.200086
201204,886,60,6.908755,1,717.810973,138.846580,20305.639690,0.899897,0.217190
201205,877,59,6.908755,1,724.719727,251.085818,20556.725508,0.900351,0.206804
201206,892,60,6.908755,1,731.628482,210.835810,20767.561317,0.905503,0.206635
201207,896,60,6.908755,1,738.537237,129.423151,20896.984468,0.907731,0.223050
201208,894,60,6.908755,1,745.445992,177.751791,21074.736259,0.943138,0.216003
201209,930,62,6.908755,1,752.354747,139.920940,21214.657199,0.965972,0.208635
201210,942,63,6.908755,1,759.263501,215.805421,21430.462620,1.026146,0.260999
201211,939,63,6.908755,1,766.172256,122.813118,21553.275738,0.969853,0.244952
201212,943,63,6.908755,1,773.081011,268.516798,21821.792536,1.012511,0.275906
201301,954,64,6.908755,1,779.989766,245.536758,22067.329294,1.000483,0.264423
201302,972,65,6.908755,1,786.898520,209.279129,22276.608423,0.969726,0.262597
201303,958,64,6.908755,1,793.807275,286.508370,22563.116793,0.966451,0.254584
201304,947,64,6.908755,1,800.716030,196.911315,22760.028108,0.963151,0.245673
201305,948,64,6.908755,1,807.624785,181.228680,22941.256788,0.970281,0.249478
201306,958,64,6.908755,1,814.533540,200.416981,23141.673769,0.982225,0.241837
201307,965,65,6.908755,1,821.442294,209.967013,23351.640782,0.971904,0.248497
201308,957,64,6.908755,1,828.351049,103.148742,23454.789524,0.959531,0.239719
201309,943,63,6.908755,1,835.259804,324.254497,23779.044021,0.946671,0.233590
201310,933,63,6.908755,1,842.168559,218.799348,23997.843369,0.915213,0.238372
201311,946,64,6.908755,1,849.077313,233.087776,24230.931144,0.932278,0.237244
201312,942,63,6.908755,1,855.986068,164.771579,24395.702724,0.903910,0.234110
201401,936,63,6.908755,1,862.894823,479.819065,24875.521789,0.902648,0.245946
201402,941,63,6.908755,1,869.803578,169.914626,25045.436415,0.921687,0.216297
201403,921,62,6.908755,1,876.712333,116.229936,25161.666351,0.927419,0.209790
201404,927,62,6.908755,1,883.621087,150.021504,25311.687855,0.931878,0.202465
201405,935,63,6.908755,1,890.529842,153.694230,25465.382085,0.913464,0.188970
201406,943,63,6.908755,1,897.438597,117.950064,25583.332149,0.889791,0.199686
201407,960,64,6.908755,1,904.347352,215.556820,25798.888969,0.898094,0.186382
201408,968,65,6.908755,1,911.256106,302.476081,26101.365050,0.900630,0.168445
201409,985,66,6.908755,1,918.164861,303.376322,26404.741371,0.899795,0.168053
201410,994,67,6.908755,1,925.073616,222.219674,26626.961045,0.917567,0.117900
201411,973,65,6.908755,1,931.982371,435.891305,27062.852351,0.924343,0.123550
201412,967,65,6.908755,1,938.891126,264.657248,27327.509599,0.926212,0.096050
201501,976,66,6.908755,1,945.799880,303.997694,27631.507293,0.922612,0.108704
201502,959,64,6.908755,1,952.708635,134.300934,27765.808227,0.931174,0.107601
201503,951,64,6.908755,1,959.617390,283.135321,28048.943548,0.923405,0.114157
201504,928,62,6.908755,1,966.526145,144.355228,28193.298776,0.912934,0.105978
201505,923,62,6.908755,1,973.434899,133.805488,28327.104264,0.929870,0.082648
201506,940,63,6.908755,1,980.343654,140.047389,28467.151653,0.924144,0.094870
201507,927,62,6.908755,1,987.252409,329.100741,28796.252393,0.907125,0.074589
201508,939,63,6.908755,1,994.161164,315.541813,29111.794206,0.919079,0.075985
201509,942,63,6.908755,1,1001.069919,319.444508,29431.238714,0.920346,0.089074
201510,956,64,6.908755,1,1007.978673,218.987622,29650.226336,0.920436,0.095382
201511,940,63,6.908755,1,1014.887428,276.121433,29926.347769,0.915593,0.053392
201512,849,57,6.908755,1,1021.796183,277.758352,30204.106120,0.908278,0.104212
201601,844,57,6.908755,1,1028.704938,424.301804,30628.407924,0.937467,0.084632
201602,854,57,6.908755,1,1035.613693,128.638673,30757.046597,0.937821,0.074028
201603,867,58,6.908755,1,1042.522447,138.168052,30895.214650,0.926909,0.076610
201604,875,59,6.908755,1,1049.431202,50.852656,30946.067305,0.933352,0.041691
201605,890,60,6.908755,1,1056.339957,91.156391,31037.223696,0.936518,0.062320
201606,920,62,6.908755,1,1063.248712,58.170176,31095.393872,0.936057,0.038722
201607,913,61,6.908755,1,1070.157466,72.545446,31167.939318,0.938749,0.043616
201608,922,62,6.908755,1,1077.066221,38.213949,31206.153266,0.949573,0.043082
201609,916,62,6.908747,1,1083.974968,18.615706,31224.768973,0.949822,0.016673
201610,933,63,6.908755,1,1090.883723,55.537628,31280.306601,0.955995,-0.000455
201611,940,63,6.908755,1,1097.792477,36.219516,31316.526117,0.964944,-0.001520
201612,948,64,6.908755,1,1104.701232,26.769063,31343.295180,0.973005,0.008618
201701,930,62,6.908755,1,1111.609987,60.887998,31404.183178,0.971869,0.011591
201702,933,63,6.908755,1,1118.518742,54.104027,31458.287205,0.988895,0.015961
201703,935,63,6.908755,1,1125.427496,89.853308,31548.140513,1.000985,0.042340
201704,933,63,6.908755,1,1132.336251,58.335691,31606.476204,0.971059,0.053721
201705,963,65,6.908755,1,1139.245006,68.538754,31675.014958,0.959278,0.040015
201706,994,67,6.908755,1,1146.153761,69.100425,31744.115382,0.960889,0.056491
201707,983,66,6.908755,1,1153.062516,55.337233,31799.452615,0.960454,0.065481
201708,973,65,6.908755,1,1159.971270,223.079733,32022.532349,0.956490,0.081490
201709,972,65,6.908755,1,1166.880025,64.222137,32086.754486,0.950590,0.085894
201710,991,67,6.908755,1,1173.788780,128.251660,32215.006145,0.944667,0.090419
201711,1019,68,6.908755,1,1180.697535,148.294937,32363.301083,0.941139,0.086116
201712,1057,71,6.908755,1,1187.606289,246.318304,32609.619387,0.932793,0.075926
201801,1065,71,6.908755,1,1194.515044,123.170294,32732.789681,0.927557,0.092210
201802,1057,71,6.908755,1,1201.423799,227.308493,32960.098174,0.906898,0.111722
