date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,6.871343,1,6.871343,10.174764,10.174764,0.743132,0.258159
200308,54,4,-5.465621,17,1.405722,-5.466616,4.708147,0.743132,0.258159
200309,53,4,3.027325,5,4.433046,3.047162,7.755309,0.724992,0.346761
200310,62,5,6.904908,1,11.337954,12.466283,20.221592,0.728997,0.299889
200311,62,5,5.194078,2,16.532032,5.391556,25.613149,0.728997,0.299889
200312,64,5,1.044122,6,17.576154,1.045965,26.659113,0.728997,0.299889
200401,67,5,6.639748,1,24.215902,8.083256,34.742369,0.750461,0.343316
200402,69,5,1.988081,2,26.203984,1.994403,36.736772,0.746216,0.338242
200403,67,5,1.745425,9,27.949408,1.750164,38.486936,0.746216,0.338242
200404,67,5,2.797933,9,30.747341,2.813464,41.300400,0.746216,0.338242
200405,69,5,-12.328374,413,18.418967,-12.329374,28.971026,0.752072,0.316465
200406,73,5,-21.434193,710,-3.015226,-21.435192,7.535834,0.741530,0.322840
200407,71,5,-1.838946,167,-4.854172,-1.839787,5.696047,0.741530,0.322840
200408,69,5,0.945111,45,-3.909061,0.946685,6.642732,0.731670,0.312639
200409,72,5,2.166477,15,-1.742584,2.174234,8.816966,0.736583,0.344745
200410,71,5,1.160360,69,-0.582225,1.162553,9.979520,0.627612,0.452069
200411,72,5,-9.461008,897,-10.043232,-9.462007,0.517513,0.598763,0.428512
200412,72,5,-1.583490,222,-11.626722,-1.584284,-1.066771,0.571944,0.431815
200501,72,5,-0.949723,164,-12.576445,-0.950336,-2.017107,0.564479,0.417607
200502,87,6,-0.914677,262,-13.491121,-0.915276,-2.932383,0.561723,0.420589
200503,88,6,6.737983,1,-6.753138,8.588583,5.656200,0.514588,0.448251
200504,89,6,6.677781,1,-0.075357,8.255497,13.911697,0.458421,0.412200
200505,90,6,6.768800,1,6.693443,8.803398,22.715095,0.438517,0.331516
200506,93,7,3.484804,5,10.178246,3.516930,26.232025,0.414760,0.292003
200507,93,7,-0.241452,9,9.936794,-0.241667,25.990358,0.383416,0.342946
200508,95,7,6.906542,1,16.843336,13.020276,39.010634,0.380906,0.379820
200509,100,7,6.908755,1,23.752091,23.067025,62.077659,0.347422,0.316921
200510,94,7,6.908749,1,30.660840,19.029344,81.107003,0.478621,0.162662
200511,94,7,6.908755,1,37.569595,24.398258,105.505260,0.502394,0.335471
200512,95,7,6.898055,1,44.467650,11.439941,116.945201,0.536564,0.320927
200601,100,7,6.908422,1,51.376072,14.916196,131.861397,0.560120,0.488608
200602,103,7,5.618732,2,56.994804,5.939681,137.801078,0.540952,0.456020
200603,101,7,6.908751,1,63.903556,19.523023,157.324101,0.595775,0.314445
200604,103,7,6.603093,1,70.506649,7.936310,165.260411,0.624908,0.459037
200605,101,7,6.908755,1,77.415403,22.523975,187.784386,0.599781,0.539018
200606,130,9,6.908755,1,84.324158,35.760483,223.544869,0.595339,0.647032
200607,127,9,6.908755,1,91.232913,27.341445,250.886314,0.656434,0.361321
200608,134,9,1.399694,2,92.632607,1.402753,252.289067,0.635928,0.608526
200609,128,9,6.908755,1,99.541362,31.827385,284.116452,0.678724,0.640450
200610,164,11,6.908755,1,106.450117,28.805831,312.922283,0.676664,0.651828
200611,164,11,6.908733,1,113.358849,17.627448,330.549731,0.690182,0.606691
200612,159,11,6.908755,1,120.267604,31.095179,361.644910,0.630612,0.793158
200701,158,11,6.908755,1,127.176359,54.481806,416.126716,0.626475,0.709212
200702,184,13,6.908755,1,134.085114,58.936419,475.063135,0.580912,0.734685
200703,185,13,6.908755,1,140.993869,65.042031,540.105166,0.576361,0.773438
200704,185,13,6.908755,1,147.902623,85.982009,626.087175,0.536994,0.665749
200705,188,13,6.908755,1,154.811378,77.202859,703.290034,0.655769,0.608750
200706,184,13,6.908755,1,161.720133,115.723144,819.013178,0.526645,0.671902
200707,184,13,6.908755,1,168.628888,144.873282,963.886460,0.548926,0.662500
200708,186,13,6.908755,1,175.537642,87.992619,1051.879079,0.544023,0.448505
200709,192,13,6.908755,1,182.446397,117.681415,1169.560494,0.534279,0.514616
200710,183,13,6.908755,1,189.355152,65.362964,1234.923458,0.536278,0.535177
200711,185,13,-12.060909,3,177.294243,-12.061909,1222.861549,0.541689,0.559003
200712,186,13,6.908755,1,184.202997,26.274688,1249.136237,0.566607,0.542176
200801,178,12,6.908755,1,191.111752,54.692860,1303.829097,0.569238,0.575763
200802,179,12,6.908755,1,198.020507,63.443655,1367.272752,0.608446,0.615682
200803,178,12,-15.867115,7,182.153392,-15.868114,1351.404638,0.576522,0.499048
