date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,3.076155,5,3.076155,3.097047,3.097047,0.561915,-0.676518
200308,24,2,-2.325471,473,0.750685,-2.326373,0.770674,0.561915,-0.676518
200309,26,2,1.663846,24,2.414531,1.668135,2.438809,0.564194,-0.457112
200310,26,2,-0.431627,338,1.982904,-0.431977,2.006832,0.613453,-0.261489
200311,25,2,-3.125130,131,-1.142226,-3.126085,-1.119253,0.613453,-0.261489
200312,25,2,-1.150659,339,-2.292885,-1.151343,-2.270596,0.613453,-0.261489
200401,27,2,1.519380,21,-0.773505,1.522956,-0.747640,0.645513,-0.200023
200402,28,2,1.615953,50,0.842448,1.619994,0.872354,0.656790,-0.114458
200403,29,2,-0.734314,101,0.108134,-0.734834,0.137520,0.656790,-0.114458
200404,27,2,2.293261,10,2.401395,2.302209,2.439728,0.656790,-0.114458
200405,31,3,-0.174929,209,2.226467,-0.175089,2.264639,0.682811,-0.179761
200406,33,3,-7.214105,771,-4.987638,-7.215103,-4.950464,0.695182,-0.117698
200407,34,3,-0.546154,604,-5.533792,-0.546575,-5.497039,0.695182,-0.117698
200408,34,3,-0.799188,719,-6.332980,-0.799739,-6.296778,0.711355,-0.113002
200409,33,3,1.235525,23,-5.097455,1.237968,-5.058809,0.693124,-0.119581
200410,33,3,-1.121103,351,-6.218558,-1.121777,-6.180586,0.691177,-0.007538
200411,34,3,0.679844,108,-5.538714,0.680818,-5.499768,0.716428,-0.074690
200412,34,3,0.623624,101,-4.915090,0.624490,-4.875278,0.765394,-0.202398
200501,36,3,1.396540,49,-3.518549,1.399586,-3.475692,0.757179,-0.302528
200502,36,3,-1.678881,630,-5.197431,-1.679694,-5.155386,0.715677,-0.187799
200503,35,3,-0.177915,241,-5.375346,-0.178078,-5.333464,0.701372,0.028190
200504,38,3,-13.564676,589,-18.940022,-13.565676,-18.899140,0.596403,0.167710
200505,38,3,1.671085,42,-17.268937,1.675413,-17.223727,0.580902,0.163990
200506,38,3,-0.011557,171,-17.280494,-0.011568,-17.235296,0.560166,0.277840
200507,43,3,-1.542980,117,-18.823473,-1.543766,-18.779061,0.534028,0.453474
200508,43,3,6.449372,1,-12.374102,7.447157,-11.331904,0.517368,0.358520
200509,43,3,1.014125,50,-11.359976,1.015884,-10.316020,0.527521,0.407369
200510,43,3,0.530925,116,-10.829052,0.531625,-9.784395,0.518370,0.495926
200511,45,3,3.319575,1,-7.509477,3.346585,-6.437810,0.500286,0.542195
200512,45,3,-1.826516,515,-9.335993,-1.827355,-8.265165,0.477981,0.657342
200601,46,4,1.739911,19,-7.596082,1.744619,-6.520546,0.502840,0.728204
200602,48,4,-4.127136,217,-11.723218,-4.128119,-10.648665,0.575916,0.386790
200603,46,4,0.568123,91,-11.155095,0.568888,-10.079777,0.561047,0.107236
200604,46,4,2.453546,5,-8.701549,2.464233,-7.615544,0.721528,0.603560
200605,47,4,4.204912,3,-4.496637,4.273207,-3.342337,0.634597,0.234742
200606,47,4,4.917943,1,0.421307,5.063803,1.721466,0.629380,0.219388
200607,48,4,-5.600188,280,-5.178881,-5.601184,-3.879718,0.651851,0.263062
200608,48,4,3.933386,3,-1.245495,3.984764,0.105046,0.627645,0.631486
200609,48,4,-1.798095,199,-3.043589,-1.798929,-1.693883,0.655717,0.742155
200610,48,4,5.208724,2,2.165135,5.409447,3.715564,0.613526,0.684372
200611,49,4,-10.820096,213,-8.654962,-10.821096,-7.105532,0.636425,0.703710
200612,50,4,0.824045,40,-7.830917,0.825326,-6.280207,0.655048,0.593872
200701,49,4,5.836801,2,-1.994116,6.254867,-0.025340,0.635769,0.695078
200702,48,4,-10.743105,422,-12.737221,-10.744104,-10.769444,0.632853,0.758123
200703,48,4,-2.673129,366,-15.410350,-2.674060,-13.443504,0.632171,0.848335
200704,49,4,-0.393612,182,-15.803962,-0.393937,-13.837441,0.631294,0.789300
200705,50,4,3.948779,5,-11.855183,4.000991,-9.836450,0.682601,1.055843
200706,49,4,6.827957,1,-5.027226,9.382887,-0.453564,0.689502,1.184129
200707,50,4,-6.483726,571,-11.510952,-6.484724,-6.938288,0.710493,1.185813
200708,50,4,-22.448329,351,-33.959280,-22.449328,-29.387616,0.708190,0.888525
200709,53,4,4.210739,3,-29.748541,4.279453,-25.108162,0.677247,1.039329
200710,54,4,6.848660,1,-22.899881,9.689393,-15.418769,0.711474,0.807867
200711,56,4,-16.161899,53,-39.061779,-16.162898,-31.581667,0.678348,1.139073
200712,55,4,-4.179384,79,-43.241163,-4.180368,-35.762035,0.667213,1.406778
200801,54,4,6.823577,1,-36.417586,9.327876,-26.434160,0.655726,1.060781
200802,55,4,-9.546235,80,-45.963822,-9.547235,-35.981394,0.662545,1.111786
200803,56,4,-3.875589,183,-49.839411,-3.876568,-39.857962,0.647504,1.074799
200804,55,4,-18.348171,587,-68.187582,-18.349171,-58.207133,0.641732,1.186012
200805,55,4,6.907717,1,-61.279865,13.777942,-44.429191,0.631539,1.247308
200806,56,4,6.777454,1,-54.502411,8.871653,-35.557537,0.636595,1.116653
200807,56,4,0.125490,5,-54.376921,0.125624,-35.431914,0.590694,0.785903
200808,57,4,6.908755,1,-47.468166,26.740085,-8.691829,0.493201,0.845688
