date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-7.781869,23,-7.781869,-7.782868,-7.782868,0.847245,0.272460
200308,88,6,-4.973653,277,-12.755522,-4.974645,-12.757514,0.847245,0.272460
200309,94,7,4.212300,5,-8.543222,4.281127,-8.476387,0.823817,0.267368
200310,97,7,5.915110,1,-2.628112,6.376504,-2.099883,0.836580,0.257607
200311,98,7,6.163993,1,3.535881,6.807060,4.707177,0.836580,0.257607
200312,96,7,-9.816179,15,-6.280297,-9.817178,-5.110002,0.836580,0.257607
200401,106,8,-7.974235,5,-14.254532,-7.975234,-13.085235,0.835692,0.287479
200402,101,7,4.047445,6,-10.207087,4.105340,-8.979896,0.823467,0.272227
200403,106,8,6.907969,1,-3.299118,14.056271,5.076375,0.823467,0.272227
200404,107,8,5.859107,1,2.559988,6.288984,11.365359,0.823467,0.272227
200405,108,8,6.516178,1,9.076166,7.640076,19.005434,0.831515,0.288768
200406,106,8,-9.518168,214,-0.442002,-9.519168,9.486267,0.829901,0.287327
200407,110,8,2.402511,14,1.960509,2.412613,11.898880,0.829901,0.287327
200408,108,8,5.162311,2,7.122820,5.352948,17.251828,0.839817,0.294680
200409,111,8,1.661851,25,8.784671,1.666129,18.917957,0.838468,0.292755
200410,108,8,6.193532,1,14.978203,6.864080,25.782037,0.820219,0.246841
200411,109,8,6.801568,1,21.779770,9.086862,34.868899,0.833222,0.279972
200412,116,8,-3.707249,124,18.072521,-3.708224,31.160675,0.857851,0.247582
200501,115,8,6.884116,1,24.956637,10.598840,41.759515,0.805601,0.235787
200502,115,8,6.908755,1,31.865392,26.325699,68.085214,0.793849,0.220881
200503,111,8,3.859899,7,35.725291,3.907474,71.992688,0.793089,0.222576
200504,100,7,-26.062138,113,9.663153,-26.063138,45.929550,0.811152,0.230824
200505,98,7,-8.134320,84,1.528833,-8.135319,37.794231,0.779625,0.167480
200506,104,7,3.176474,9,4.705308,3.199704,40.993935,0.771273,0.148287
200507,105,7,-2.269153,237,2.436155,-2.270049,38.723886,0.773326,0.156452
200508,104,7,6.785684,1,9.221838,8.940582,47.664469,0.763524,0.173086
200509,101,7,1.954857,26,11.176695,1.960938,49.625407,0.789172,0.177854
200510,103,7,1.440836,15,12.617532,1.444066,51.069473,0.798851,0.205521
200511,101,7,4.661232,3,17.278764,4.771903,55.841376,0.802519,0.181081
200512,116,8,1.846964,3,19.125728,1.852319,57.693695,0.792661,0.139991
200601,116,8,5.165484,3,24.291212,5.356792,63.050486,0.831683,0.179035
