date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-2.304424,196,-2.304424,-2.305323,-2.305323,0.819621,0.097363
200308,143,10,6.784203,1,4.479780,8.927868,6.622545,0.819621,0.097363
200309,148,10,4.178768,2,8.658548,4.245213,10.867758,0.831370,0.122890
200310,150,10,-0.093710,4,8.564838,-0.093800,10.773958,0.831263,0.121541
200311,152,11,3.894738,6,12.459576,3.944079,14.718037,0.831263,0.121541
200312,150,10,6.906492,1,19.366068,12.997866,27.715903,0.831263,0.121541
200401,139,10,6.617362,1,25.983430,7.991607,35.707509,0.822803,0.113510
200402,143,10,6.908755,1,32.892185,26.184564,61.892073,0.821938,0.115895
200403,139,10,6.876970,1,39.769154,10.340574,72.232647,0.821938,0.115895
200404,135,9,-0.593356,78,39.175799,-0.593803,71.638844,0.821938,0.115895
200405,140,10,6.908603,1,46.084401,15.698208,87.337052,0.806539,0.126212
200406,146,10,6.855119,1,52.939521,9.806364,97.143416,0.808041,0.139033
200407,152,11,6.908350,1,59.847871,14.719903,111.863319,0.808041,0.139033
200408,153,11,6.901962,1,66.749833,11.896237,123.759556,0.806150,0.144771
200409,155,11,6.908423,1,73.658256,14.919682,138.679238,0.811258,0.146787
200410,162,11,6.908755,1,80.567011,31.009997,169.689235,0.807040,0.160812
200411,167,12,6.153500,2,86.720511,6.787173,176.476408,0.779844,0.179637
200412,163,11,6.908754,1,93.629265,20.785967,197.262375,0.806255,0.187706
200501,164,11,6.566481,1,100.195745,7.803886,205.066261,0.793584,0.181491
200502,169,12,6.908755,1,107.104500,24.218919,229.285179,0.770385,0.190038
200503,172,12,6.908755,1,114.013255,44.546530,273.831709,0.765598,0.193596
200504,187,13,6.908755,1,120.922010,77.572440,351.404149,0.771857,0.210399
200505,196,14,6.908755,1,127.830764,54.515023,405.919172,0.766313,0.213108
200506,190,13,6.908755,1,134.739519,61.847465,467.766637,0.779324,0.207292
200507,190,13,6.908754,1,141.648273,20.684268,488.450906,0.775997,0.206082
200508,190,13,6.908732,1,148.557005,17.596516,506.047422,0.774331,0.194098
200509,197,14,6.908755,1,155.465760,46.551655,552.599077,0.765564,0.198433
200510,194,13,6.908755,1,162.374515,104.711893,657.310970,0.753607,0.170499
200511,197,14,6.908755,1,169.283269,48.283889,705.594859,0.755957,0.198001
200512,165,11,6.908755,1,176.192024,34.158350,739.753209,0.742582,0.209769
200601,164,11,6.908755,1,183.100779,52.108175,791.861384,0.766646,0.241595
200602,171,12,6.908755,1,190.009534,32.807317,824.668702,0.800922,0.217652
200603,168,12,6.908754,1,196.918287,20.670159,845.338861,0.801309,0.236058
200604,158,11,6.908755,1,203.827042,51.093051,896.431912,0.788037,0.218137
200605,152,11,6.908755,1,210.735797,32.321685,928.753597,0.806789,0.192845
200606,142,10,6.908755,1,217.644552,24.398199,953.151795,0.803459,0.221836
200607,141,10,-9.936835,21,207.707717,-9.937834,943.213961,0.812923,0.180362
200608,140,10,6.870402,1,214.578118,10.149434,953.363395,0.819825,0.203175
200609,142,10,5.367325,2,219.945444,5.607220,958.970614,0.835876,0.172602
200610,143,10,6.908755,1,226.854198,22.051444,981.022059,0.820129,0.207487
200611,157,11,6.908755,1,233.762953,38.904690,1019.926748,0.844575,0.160228
200612,147,10,6.256113,1,240.019066,6.990477,1026.917225,0.866335,0.148040
200701,152,11,-2.446804,10,237.572263,-2.447717,1024.469509,0.876615,0.156387
200702,157,11,-0.169443,11,237.402820,-0.169599,1024.299910,0.848098,0.180664
200703,157,11,6.798750,1,244.201570,9.059480,1033.359390,0.857549,0.176226
200704,134,9,6.908035,1,251.109605,14.143316,1047.502706,0.849790,0.186863
200705,131,9,-3.801175,4,247.308429,-3.802153,1043.700554,0.843578,0.188896
200706,136,10,1.372553,4,248.680982,1.375502,1045.076056,0.849870,0.168194
200707,128,9,6.873702,1,255.554684,10.241089,1055.317145,0.846062,0.182205
200708,125,9,6.908755,1,262.463439,30.551458,1085.868603,0.850835,0.164619
200709,125,9,6.908754,1,269.372193,21.773072,1107.641675,0.849606,0.179857
200710,114,8,6.908710,1,276.280904,16.928286,1124.569961,0.866267,0.180525
200711,105,7,6.902100,1,283.183004,11.916848,1136.486809,0.864568,0.167794
200712,99,7,6.908755,1,290.091758,29.261185,1165.747994,0.845282,0.186913
200801,96,7,6.528818,1,296.620577,7.679531,1173.427525,0.826713,0.180778
200802,95,7,6.908755,1,303.529332,25.226658,1198.654184,0.858445,0.158926
200803,115,8,-8.189480,10,295.339851,-8.190479,1190.463704,0.854772,0.141743
200804,114,8,6.907534,1,302.247386,13.615636,1204.079340,0.892061,0.113095
200805,106,8,3.785686,2,306.033071,3.829706,1207.909047,0.901741,0.119022
200806,105,7,6.861413,1,312.894485,9.934356,1217.843403,0.911252,0.084439
200807,100,7,6.745952,1,319.640437,8.640466,1226.483869,0.918018,0.082887
200808,100,7,3.438260,2,323.078696,3.468856,1229.952725,0.931969,0.119104
200809,99,7,-8.429618,14,314.649078,-8.430618,1221.522107,0.881550,0.084006
200810,99,7,-11.423313,6,303.225765,-11.424313,1210.097794,0.873912,0.092126
200811,96,7,-24.787853,91,278.437912,-24.788852,1185.308942,0.875293,0.109756
200812,94,7,-10.214582,6,268.223330,-10.215581,1175.093361,0.901063,0.054301
200901,94,7,-4.171244,7,264.052085,-4.172229,1170.921132,0.883494,0.118613
200902,97,7,5.840887,2,269.892972,6.261087,1177.182219,0.895063,0.064315
200903,101,7,6.868463,1,276.761435,10.099160,1187.281379,0.893527,0.088868
200904,113,8,-9.852099,81,266.909337,-9.853098,1177.428281,0.864135,0.079698
200905,110,8,1.732807,18,268.642144,1.737474,1179.165755,0.838092,0.145534
200906,113,8,-1.679315,375,266.962828,-1.680128,1177.485627,0.820924,0.173904
200907,116,8,2.641464,10,269.604292,2.654583,1180.140210,0.813419,0.175574
200908,113,8,6.723221,1,276.327513,8.498073,1188.638282,0.789409,0.204441
200909,121,9,5.787030,1,282.114543,6.180137,1194.818419,0.813403,0.203595
200910,120,8,6.821286,1,288.935829,9.300176,1204.118595,0.808666,0.199439
