date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,90.745186,90.745186,0.789975,0.215445
200308,444,30,6.908755,1,13.817510,106.426775,197.171962,0.789975,0.215445
200309,451,31,6.908755,1,20.726264,87.048225,284.220187,0.785865,0.220712
200310,433,29,6.908755,1,27.635019,116.122667,400.342853,0.801122,0.225054
200311,437,30,6.908755,1,34.543774,53.550365,453.893218,0.801122,0.225054
200312,442,30,6.908755,1,41.452529,65.040515,518.933733,0.801122,0.225054
200401,441,30,6.908755,1,48.361283,54.078838,573.012571,0.801566,0.234585
200402,445,30,6.908755,1,55.270038,82.408768,655.421339,0.787827,0.237273
200403,438,30,6.908755,1,62.178793,125.086981,780.508320,0.787827,0.237273
200404,440,30,6.908755,1,69.087548,145.396263,925.904582,0.787827,0.237273
200405,435,29,6.908755,1,75.996303,117.221645,1043.126227,0.792457,0.246673
200406,436,30,6.908755,1,82.905057,111.341004,1154.467231,0.792247,0.251574
200407,432,29,6.908755,1,89.813812,115.884523,1270.351753,0.792247,0.251574
200408,431,29,6.908755,1,96.722567,126.124431,1396.476185,0.789911,0.248534
200409,441,30,6.908755,1,103.631322,107.703383,1504.179568,0.812219,0.263024
200410,437,30,6.908755,1,110.540076,126.655818,1630.835386,0.774302,0.268149
200411,434,29,6.908755,1,117.448831,115.017885,1745.853270,0.761748,0.286367
200412,423,29,6.908755,1,124.357586,185.462817,1931.316088,0.790165,0.314577
200501,425,29,6.908755,1,131.266341,140.175125,2071.491213,0.776981,0.320566
200502,427,29,6.908755,1,138.175096,125.026589,2196.517801,0.779704,0.324219
200503,411,28,6.908755,1,145.083850,265.308739,2461.826540,0.757070,0.332807
200504,404,27,6.908755,1,151.992605,170.085256,2631.911796,0.729724,0.349175
200505,402,27,6.908755,1,158.901360,163.209420,2795.121216,0.746317,0.348574
200506,397,27,6.908755,1,165.810115,148.210548,2943.331764,0.735335,0.362947
200507,403,27,6.908755,1,172.718869,127.018218,3070.349982,0.724288,0.372834
200508,405,27,6.908755,1,179.627624,74.866381,3145.216363,0.725957,0.392484
200509,404,27,6.908755,1,186.536379,103.620092,3248.836455,0.725764,0.408469
200510,414,28,6.908755,1,193.445134,102.144040,3350.980495,0.735217,0.435339
200511,411,28,6.908755,1,200.353889,100.448519,3451.429014,0.729346,0.446938
200512,411,28,6.908755,1,207.262643,120.120523,3571.549537,0.716589,0.451445
200601,413,28,6.908755,1,214.171398,150.306868,3721.856405,0.707506,0.463261
200602,424,29,6.908755,1,221.080153,104.000427,3825.856832,0.708929,0.467777
200603,419,28,6.908755,1,227.988908,144.658349,3970.515180,0.702041,0.472458
200604,424,29,6.908755,1,234.897662,110.802783,4081.317963,0.749761,0.460308
200605,416,28,6.908755,1,241.806417,142.880808,4224.198772,0.769012,0.479704
200606,410,28,6.908755,1,248.715172,240.624521,4464.823293,0.748802,0.442528
200607,416,28,6.908755,1,255.623927,164.725337,4629.548630,0.767649,0.455115
200608,417,28,6.908755,1,262.532682,135.671717,4765.220347,0.771989,0.432949
200609,416,28,6.908755,1,269.441436,156.427568,4921.647916,0.780047,0.427610
200610,403,27,6.908755,1,276.350191,121.720783,5043.368699,0.779706,0.399529
200611,394,27,6.908755,1,283.258946,96.179213,5139.547912,0.797606,0.410932
200612,395,27,6.908755,1,290.167701,168.896962,5308.444874,0.810560,0.370767
200701,400,27,6.908755,1,297.076456,115.030291,5423.475164,0.821640,0.350086
200702,391,27,6.908755,1,303.985210,170.670066,5594.145230,0.791180,0.345482
200703,380,26,6.908755,1,310.893965,156.373590,5750.518820,0.791498,0.333557
200704,384,26,6.908755,1,317.802720,135.410034,5885.928854,0.783557,0.340388
200705,384,26,6.908755,1,324.711475,84.501405,5970.430259,0.773030,0.284452
200706,381,26,6.908755,1,331.620229,95.624652,6066.054910,0.791869,0.265058
200707,390,26,6.908755,1,338.528984,171.808297,6237.863208,0.780455,0.238347
200708,376,26,6.908755,1,345.437739,122.867231,6360.730438,0.735552,0.258961
200709,381,26,6.908755,1,352.346494,112.193859,6472.924297,0.736888,0.258485
200710,379,26,6.908755,1,359.255249,74.387571,6547.311869,0.752137,0.258391
200711,387,26,6.908755,1,366.164003,109.660092,6656.971961,0.757310,0.209879
200712,381,26,6.908755,1,373.072758,107.336774,6764.308735,0.757851,0.231727
200801,384,26,6.908755,1,379.981513,116.492407,6880.801141,0.757480,0.236469
200802,384,26,6.908755,1,386.890268,84.520830,6965.321971,0.793296,0.153761
200803,377,26,6.908755,1,393.799022,46.043273,7011.365244,0.794468,0.129522
200804,387,26,6.908755,1,400.707777,129.058590,7140.423834,0.798806,0.110473
200805,405,27,6.908755,1,407.616532,137.415555,7277.839389,0.800397,0.145357
200806,413,28,6.908755,1,414.525287,126.600183,7404.439572,0.789600,0.119276
200807,424,29,6.908755,1,421.434042,97.200596,7501.640167,0.790497,0.100204
200808,427,29,6.908755,1,428.342796,130.790801,7632.430968,0.852006,0.077014
200809,428,29,6.908755,1,435.251551,154.970531,7787.401499,0.830395,0.068938
200810,424,29,6.908755,1,442.160306,28.053994,7815.455494,0.792866,0.073120
200811,415,28,6.908755,1,449.069061,61.113238,7876.568731,0.774736,0.122007
200812,422,29,6.908755,1,455.977815,127.652552,8004.221283,0.774227,0.103118
200901,430,29,6.908755,1,462.886570,144.589564,8148.810847,0.763829,0.134721
200902,439,30,6.908755,1,469.795325,52.322841,8201.133688,0.796298,0.172010
200903,434,29,6.908755,1,476.704080,104.342617,8305.476305,0.813065,0.209762
200904,441,30,6.908755,1,483.612835,32.353141,8337.829446,0.844396,0.229366
200905,451,31,6.908755,1,490.521589,40.442140,8378.271585,0.797716,0.245225
