date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,359,24,6.898288,1,6.898288,11.462042,11.462042,0.763767,0.369474
200308,365,25,6.899085,1,13.797373,11.541666,23.003708,0.763767,0.369474
200309,373,25,3.274506,2,17.071879,3.300265,26.303974,0.711362,0.340402
200310,367,25,-2.922616,4,14.149263,-2.923562,23.380412,0.709836,0.345075
200311,373,25,-25.931941,108,-11.782678,-25.932940,-2.552528,0.709836,0.345075
200312,376,26,6.901801,1,-4.880877,11.872702,9.320174,0.709836,0.345075
200401,379,26,5.972711,2,1.091834,6.469581,15.789755,0.638042,0.322562
200402,375,25,6.397923,1,7.489757,7.313205,23.102960,0.635873,0.325038
200403,377,26,6.908755,1,14.398511,22.189015,45.291975,0.635873,0.325038
200404,372,25,6.908712,1,21.307224,16.977462,62.269437,0.635873,0.325038
200405,371,25,6.908755,1,28.215978,22.533318,84.802755,0.642622,0.330022
200406,372,25,2.693092,6,30.909070,2.706965,87.509720,0.640102,0.326119
200407,374,25,4.501233,3,35.410303,4.594586,92.104306,0.640102,0.326119
200408,377,26,6.908677,1,42.318980,16.366627,108.470933,0.637212,0.326482
200409,386,26,6.908464,1,49.227444,15.050646,123.521579,0.620243,0.331023
200410,383,26,6.769441,1,55.996886,8.808320,132.329899,0.576882,0.315615
200411,393,27,6.403728,1,62.400614,7.327781,139.657681,0.525112,0.296201
200412,393,27,6.908755,1,69.309368,34.345881,174.003561,0.525054,0.321017
200501,391,27,6.908755,1,76.218123,35.191751,209.195312,0.476379,0.305933
200502,388,26,6.908163,1,83.126286,14.339283,223.534595,0.465703,0.289114
200503,384,26,6.908755,1,90.035041,33.695069,257.229664,0.439166,0.307334
200504,381,26,6.908751,1,96.943792,19.384400,276.614064,0.517675,0.309635
200505,377,26,6.908755,1,103.852546,24.715092,301.329156,0.471655,0.287260
200506,386,26,6.908755,1,110.761301,31.713030,333.042185,0.432559,0.325042
200507,392,27,6.908755,1,117.670056,27.767998,360.810183,0.424370,0.345636
200508,390,26,6.908755,1,124.578811,38.399975,399.210159,0.432704,0.346533
200509,398,27,6.908755,1,131.487566,62.606351,461.816510,0.443845,0.337315
200510,403,27,6.903744,1,138.391310,12.201496,474.018006,0.479339,0.342231
200511,402,27,6.908755,1,145.300065,34.222968,508.240975,0.492482,0.355519
200512,390,26,5.079248,2,150.379313,5.253189,513.494163,0.503682,0.399807
200601,375,25,6.908754,1,157.288066,20.588394,534.082558,0.512886,0.424806
200602,380,26,2.045750,3,159.333816,2.052507,536.135065,0.559711,0.452390
200603,377,26,-3.633662,24,155.700153,-3.634636,532.500429,0.585525,0.487181
200604,372,25,0.222641,9,155.922794,0.222890,532.723319,0.595876,0.545997
200605,369,25,6.908755,1,162.831549,42.175236,574.898555,0.676583,0.579550
200606,382,26,6.908743,1,169.740291,18.226895,593.125450,0.677299,0.519220
200607,385,26,-35.733478,78,134.006813,-35.734478,557.390972,0.708599,0.486596
200608,377,26,0.871105,3,134.877919,0.872496,558.263468,0.696751,0.538946
200609,373,25,1.872504,7,136.750422,1.878023,560.141492,0.693924,0.541983
200610,336,23,-1.557647,13,135.192775,-1.558436,558.583055,0.684838,0.650957
200611,345,23,-5.853034,12,129.339741,-5.854031,552.729024,0.687920,0.702339
200612,337,23,-13.065459,4,116.274281,-13.066459,539.662566,0.687831,0.650715
200701,333,23,-7.457977,11,108.816304,-7.458976,532.203589,0.695907,0.614238
200702,310,21,-7.541714,31,101.274590,-7.542713,524.660876,0.685938,0.642858
200703,308,21,2.267578,3,103.542168,2.276272,526.937148,0.694301,0.621851
200704,320,22,4.537378,3,108.079546,4.634379,531.571528,0.685738,0.600749
200705,322,22,-16.216537,83,91.863009,-16.217536,515.353991,0.645074,0.608089
200706,321,22,-5.668448,6,86.194561,-5.669444,509.684547,0.679250,0.594616
200707,317,22,-28.168016,70,58.026545,-28.169016,481.515531,0.647072,0.649510
200708,313,21,6.908747,1,64.935292,18.647225,500.162757,0.644842,0.596130
200709,317,22,-19.597550,62,45.337742,-19.598550,480.564207,0.653883,0.610909
200710,339,23,6.908724,1,52.246466,17.300642,497.864849,0.671370,0.539823
200711,333,23,-0.126187,2,52.120279,-0.126305,497.738543,0.666255,0.520259
200712,349,24,-4.476729,12,47.643550,-4.477717,493.260826,0.668313,0.494976
200801,348,24,6.908755,1,54.552305,48.496707,541.757534,0.592872,0.540065
200802,352,24,6.908755,1,61.461060,52.697461,594.454994,0.593328,0.528870
200803,356,24,6.908755,1,68.369815,118.018394,712.473388,0.593010,0.510779
200804,360,24,6.908755,1,75.278569,24.038572,736.511960,0.595702,0.575009
200805,371,25,6.908755,1,82.187324,23.432899,759.944860,0.631053,0.616963
200806,393,27,6.908755,1,89.096079,173.021953,932.966812,0.609583,0.609573
200807,403,27,6.908755,1,96.004834,234.122139,1167.088951,0.633476,0.602026
200808,401,27,6.908755,1,102.913588,258.661905,1425.750856,0.635016,0.598469
200809,391,27,6.908755,1,109.822343,193.653625,1619.404481,0.607206,0.466907
200810,391,27,6.908755,1,116.731098,80.788705,1700.193186,0.582505,0.441178
200811,399,27,6.908755,1,123.639853,485.286687,2185.479872,0.563258,0.473269
200812,463,28,6.908755,1,130.548608,200.080251,2385.560123,0.580101,0.412970
200901,442,30,6.908755,1,137.457362,250.751765,2636.311888,0.507674,0.354419
200902,448,30,6.908755,1,144.366117,507.649413,3143.961302,0.504733,0.337834
