date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,52,4,-1.985211,58,-1.985211,-1.986074,-1.986074,0.743132,0.258159
200308,52,4,-17.423703,388,-19.408914,-17.424703,-19.410776,0.743132,0.258159
200309,51,4,-27.117748,702,-46.526663,-27.118748,-46.529524,0.724992,0.346761
200310,59,4,1.730279,49,-44.796383,1.734933,-44.794592,0.728997,0.299889
200311,59,4,-1.885259,63,-46.681643,-1.886107,-46.680699,0.728997,0.299889
200312,61,5,-2.799543,202,-49.481185,-2.800481,-49.481180,0.728997,0.299889
200401,64,5,-9.569927,565,-59.051112,-9.570926,-59.052106,0.750461,0.343316
200402,66,5,-3.289820,73,-62.340932,-3.290783,-62.342889,0.746216,0.338242
200403,65,5,-6.471982,250,-68.812914,-6.472980,-68.815869,0.746216,0.338242
200404,65,5,-13.322295,878,-82.135209,-13.323294,-82.139163,0.746216,0.338242
200405,65,5,-20.997822,904,-103.133031,-20.998822,-103.137985,0.752072,0.316465
200406,69,5,-11.572032,308,-114.705064,-11.573032,-114.711017,0.741530,0.322840
200407,66,5,1.640226,33,-113.064838,1.644391,-113.066626,0.741530,0.322840
200408,64,5,2.769002,15,-110.295836,2.784058,-110.282568,0.731670,0.312639
200409,67,5,-1.910144,374,-112.205979,-1.910995,-112.193564,0.736583,0.344745
200410,66,5,-0.458736,147,-112.664715,-0.459104,-112.652667,0.627612,0.452069
200411,67,5,-1.510543,156,-114.175259,-1.511322,-114.163990,0.598763,0.428512
200412,67,5,0.740870,41,-113.434389,0.741969,-113.422021,0.571944,0.431815
200501,67,5,-0.922660,70,-114.357049,-0.923263,-114.345284,0.564479,0.417607
200502,82,6,-3.589435,460,-117.946484,-3.590407,-117.935690,0.561723,0.420589
200503,83,6,6.635652,1,-111.310832,8.066004,-109.869686,0.514588,0.448251
200504,84,6,-2.585981,479,-113.896812,-2.586905,-112.456591,0.458421,0.412200
200505,85,6,4.104006,4,-109.792806,4.165438,-108.291154,0.438517,0.331516
200506,88,6,-0.849326,61,-110.642132,-0.849898,-109.141052,0.414760,0.292003
200507,88,6,-20.516164,360,-131.158296,-20.517164,-129.658215,0.383416,0.342946
200508,90,6,3.818211,3,-127.340086,3.863755,-125.794460,0.380906,0.379820
200509,95,7,-15.676898,467,-143.016984,-15.677898,-141.472358,0.347422,0.316921
200510,89,6,-14.131068,664,-157.148052,-14.132068,-155.604426,0.478621,0.162662
200511,89,6,0.428521,35,-156.719531,0.429056,-155.175370,0.502394,0.335471
200512,90,6,-12.851874,436,-169.571406,-12.852874,-168.028244,0.536564,0.320927
200601,94,7,-3.391456,189,-172.962861,-3.392422,-171.420665,0.560120,0.488608
200602,97,7,-10.160485,61,-183.123347,-10.161485,-181.582150,0.540952,0.456020
200603,95,7,-10.913370,292,-194.036716,-10.914369,-192.496519,0.595775,0.314445
200604,97,7,-9.186954,621,-203.223670,-9.187953,-201.684472,0.624908,0.459037
200605,95,7,-4.749922,211,-207.973591,-4.750912,-206.435385,0.599781,0.539018
200606,98,7,-25.016104,211,-232.989695,-25.017103,-231.452488,0.595339,0.647032
200607,94,7,-14.131563,279,-247.121258,-14.132562,-245.585050,0.656434,0.361321
200608,100,7,-8.656818,272,-255.778076,-8.657817,-254.242867,0.635928,0.608526
200609,106,8,-14.181535,822,-269.959611,-14.182535,-268.425402,0.678724,0.640450
200610,142,9,-7.219406,186,-277.179017,-7.220405,-275.645806,0.676664,0.651828
200611,142,10,-2.587386,72,-279.766403,-2.588311,-278.234117,0.690182,0.606691
200612,137,10,-6.450691,42,-286.217094,-6.451688,-284.685806,0.630612,0.793158
200701,136,10,-2.142098,36,-288.359192,-2.142980,-286.828786,0.626475,0.709212
200702,160,11,-1.830160,30,-290.189352,-1.831000,-288.659786,0.580912,0.734685
200703,160,11,-2.746567,103,-292.935919,-2.747502,-291.407288,0.576361,0.773438
200704,161,11,-13.749000,150,-306.684919,-13.750000,-305.157288,0.536994,0.665749
200705,164,11,6.895532,1,-299.789387,11.226987,-293.930301,0.655769,0.608750
200706,162,11,-0.443476,18,-300.232863,-0.443834,-294.374135,0.526645,0.671902
