date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,23,2,0.121156,283,0.121156,0.121285,0.121285,0.561915,-0.676518
200308,23,2,0.159771,220,0.280927,0.159945,0.281229,0.561915,-0.676518
200309,24,2,-0.177271,609,0.103656,-0.177433,0.103796,0.564194,-0.457112
200310,24,2,-2.736618,531,-2.632962,-2.737553,-2.633757,0.613453,-0.261489
200311,24,2,-2.932034,158,-5.564996,-2.932980,-5.566737,0.613453,-0.261489
200312,24,2,-0.150822,296,-5.715818,-0.150962,-5.717699,0.613453,-0.261489
200401,26,2,-5.709410,835,-11.425228,-5.710406,-11.428106,0.645513,-0.200023
200402,27,2,0.633836,95,-10.791392,0.634721,-10.793385,0.656790,-0.114458
200403,27,2,0.685893,133,-10.105499,0.686879,-10.106506,0.656790,-0.114458
200404,25,2,-0.631750,448,-10.737249,-0.632218,-10.738724,0.656790,-0.114458
200405,29,2,-0.650170,229,-11.387420,-0.650648,-11.389372,0.682811,-0.179761
200406,31,3,3.232026,5,-8.155393,3.256658,-8.132714,0.695182,-0.117698
200407,32,3,0.138540,286,-8.016853,0.138688,-7.994025,0.695182,-0.117698
200408,32,3,-1.822609,889,-9.839462,-1.823447,-9.817472,0.711355,-0.113002
200409,31,3,-1.582461,816,-11.421923,-1.583255,-11.400727,0.693124,-0.119581
200410,31,3,-0.027329,103,-11.449252,-0.027356,-11.428084,0.691177,-0.007538
200411,32,3,2.566762,4,-8.882491,2.578858,-8.849225,0.716428,-0.074690
200412,32,3,-0.664589,675,-9.547079,-0.665074,-9.514299,0.765394,-0.202398
200501,34,3,-2.281329,423,-11.828408,-2.282227,-11.796526,0.757179,-0.302528
200502,34,3,0.439049,127,-11.389360,0.439600,-11.356926,0.715677,-0.187799
200503,33,3,-4.777660,858,-16.167019,-4.778651,-16.135577,0.701372,0.028190
200504,35,3,2.042997,20,-14.124023,2.049733,-14.085844,0.596403,0.167710
200505,35,3,-4.055312,720,-18.179335,-4.056295,-18.142138,0.580902,0.163990
200506,35,3,-0.860174,112,-19.039509,-0.860751,-19.002889,0.560166,0.277840
200507,40,3,-3.511879,335,-22.551388,-3.512848,-22.515738,0.534028,0.453474
200508,40,3,1.675705,46,-20.875683,1.680057,-20.835681,0.517368,0.358520
200509,40,3,-2.719587,787,-23.595270,-2.720521,-23.556202,0.527521,0.407369
200510,40,3,-0.382583,239,-23.977853,-0.382901,-23.939102,0.518370,0.495926
200511,42,3,-0.425907,340,-24.403760,-0.426253,-24.365356,0.500286,0.542195
200512,42,3,-0.754284,436,-25.158044,-0.754813,-25.120169,0.477981,0.657342
200601,43,3,0.129562,261,-25.028481,0.129700,-24.990469,0.502840,0.728204
200602,44,3,-5.316815,169,-30.345296,-5.317810,-30.308278,0.575916,0.386790
200603,42,3,1.657554,43,-28.687742,1.661809,-28.646469,0.561047,0.107236
200604,42,3,2.146455,23,-26.541287,2.154039,-26.492430,0.721528,0.603560
200605,43,3,0.986423,92,-25.554864,0.988106,-25.504324,0.634597,0.234742
200606,42,3,-0.260822,197,-25.815687,-0.261052,-25.765376,0.629380,0.219388
200607,43,3,-3.475013,427,-29.290700,-3.475982,-29.241358,0.651851,0.263062
200608,43,3,0.676313,149,-28.614387,0.677280,-28.564078,0.627645,0.631486
200609,43,3,0.461388,178,-28.153000,0.461974,-28.102104,0.655717,0.742155
200610,43,3,-1.395853,280,-29.548853,-1.396605,-29.498710,0.613526,0.684372
200611,44,3,-4.632963,130,-34.181816,-4.633953,-34.132662,0.636425,0.703710
200612,45,3,-4.996220,292,-39.178035,-4.997212,-39.129874,0.655048,0.593872
200701,44,3,-3.571166,496,-42.749202,-3.572138,-42.702012,0.635769,0.695078
200702,43,3,-3.343845,366,-46.093047,-3.344809,-46.046821,0.632853,0.758123
200703,43,3,0.537858,61,-45.555189,0.538570,-45.508251,0.632171,0.848335
200704,44,3,-2.138447,359,-47.693636,-2.139329,-47.647580,0.631294,0.789300
200705,45,3,-0.179285,238,-47.872920,-0.179449,-47.827028,0.682601,1.055843
200706,44,3,-2.198984,78,-50.071904,-2.199873,-50.026901,0.689502,1.184129
200707,45,3,2.100692,26,-47.971213,2.107889,-47.919012,0.710493,1.185813
200708,45,3,-15.411078,420,-63.382291,-15.412078,-63.331090,0.708190,0.888525
200709,48,4,5.476712,1,-57.905579,5.748599,-57.582491,0.677247,1.039329
200710,49,4,0.593653,19,-57.311926,0.594464,-56.988027,0.711474,0.807867
200711,51,4,-10.534880,309,-67.846806,-10.535879,-67.523906,0.678348,1.139073
200712,50,4,-7.209923,659,-75.056729,-7.210922,-74.734828,0.667213,1.406778
200801,50,4,-8.377825,52,-83.434554,-8.378824,-83.113652,0.655726,1.060781
200802,51,4,-6.814064,565,-90.248618,-6.815062,-89.928714,0.662545,1.111786
200803,52,4,1.382425,29,-88.866193,1.385414,-88.543301,0.647504,1.074799
200804,51,4,5.654850,1,-83.211342,5.989867,-82.553433,0.641732,1.186012
200805,51,4,-13.363960,85,-96.575303,-13.364960,-95.918393,0.631539,1.247308
200806,52,4,-12.279685,626,-108.854987,-12.280684,-108.199077,0.636595,1.116653
200807,52,4,-26.788610,350,-135.643597,-26.789610,-134.988687,0.590694,0.785903
200808,54,4,-35.369133,83,-171.012730,-35.370132,-170.358819,0.493201,0.845688
200809,54,4,1.898771,3,-169.113959,1.904465,-168.454355,0.496023,0.760847
200810,52,4,6.908755,1,-162.205204,39.528950,-128.925404,0.523110,0.644912
200811,52,4,6.908755,1,-155.296450,53.698272,-75.227132,0.450243,0.730783
200812,52,4,-10.145924,15,-165.442374,-10.146924,-85.374056,0.442001,0.538573
200901,55,4,6.908745,1,-158.533629,18.463281,-66.910775,0.446528,0.760400
200902,56,4,6.908755,1,-151.624874,29.484232,-37.426543,0.465317,0.731201
200903,17,2,-0.828008,715,-152.452882,-0.828571,-38.255114,0.544695,0.704717
200904,20,2,0.395484,72,-152.057399,0.395969,-37.859146,0.583118,0.430744
200905,19,2,-0.589411,842,-152.646810,-0.589856,-38.449002,0.607756,0.241205
200906,19,2,0.860429,32,-151.786381,0.861794,-37.587208,0.639922,0.319866
200907,22,2,0.464269,244,-151.322111,0.464861,-37.122347,0.713856,0.387901
200908,22,2,-1.132194,900,-152.454305,-1.132871,-38.255219,0.741415,0.095124
200909,22,2,-0.302711,255,-152.757017,-0.302973,-38.558191,0.707231,0.009951
200910,17,2,1.472083,110,-151.284933,1.475447,-37.082744,0.655591,-0.146994
200911,18,2,0.297237,191,-150.987697,0.297583,-36.785161,0.685853,-0.048329
200912,18,2,-0.704909,346,-151.692606,-0.705415,-37.490576,0.688845,-0.142755
201001,17,2,-0.032132,425,-151.724738,-0.032164,-37.522740,0.683140,-0.075465
201002,9,2,-0.157936,567,-151.882674,-0.158082,-37.680822,0.719755,-0.115280
201003,9,2,-0.054404,450,-151.937077,-0.054457,-37.735278,0.786718,-0.111015
201004,9,2,0.138189,244,-151.798888,0.138337,-37.596941,0.752725,-0.192170
201005,9,2,-0.005503,369,-151.804391,-0.005508,-37.602449,0.751137,-0.186671
201006,9,2,0.433643,317,-151.370748,0.434186,-37.168263,0.744915,-0.170819
201007,9,2,-1.202507,948,-152.573255,-1.203206,-38.371470,0.737813,-0.182076
201008,9,2,0.868209,97,-151.705047,0.869592,-37.501877,0.741294,-0.143409
201009,10,2,-0.435331,630,-152.140377,-0.435684,-37.937561,0.750170,-0.132005
201010,10,2,0.654093,112,-151.486285,0.655017,-37.282544,0.763826,-0.071847
201011,11,2,-0.094632,503,-151.580917,-0.094723,-37.377267,0.787346,-0.161853
201012,11,2,1.109603,37,-150.471314,1.111638,-36.265629,0.819261,-0.212838
201101,11,2,-1.618056,686,-152.089370,-1.618857,-37.884486,0.866647,-0.429296
201102,11,2,-0.957255,965,-153.046625,-0.957871,-38.842357,0.829242,-0.297296
201103,12,2,0.046144,456,-153.000480,0.046192,-38.796165,0.592535,-0.131844
201104,12,2,-0.064346,624,-153.064827,-0.064408,-38.860574,0.698584,0.045967
201105,12,2,-0.056340,354,-153.121167,-0.056395,-38.916969,0.717347,0.069575
201106,12,2,-1.387780,557,-154.508946,-1.388530,-40.305498,0.797046,0.099758
201107,12,2,-0.087021,666,-154.595967,-0.087104,-40.392603,0.785854,0.231323
201108,12,2,0.289618,258,-154.306349,0.289954,-40.102649,0.781779,-0.031810
201109,12,2,1.012430,141,-153.293919,1.014184,-39.088465,0.780554,-0.236299
201110,12,2,-0.987217,870,-154.281136,-0.987844,-40.076309,0.847470,-0.515178
201111,12,2,-0.064835,519,-154.345970,-0.064897,-40.141206,0.839680,-0.512396
201112,12,2,-1.098709,646,-155.444680,-1.099376,-41.240582,0.829685,-0.250494
