date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,84,6,-47.069964,441,-47.069964,-47.070963,-47.070963,0.847245,0.272460
200308,86,6,-6.619187,176,-53.689150,-6.620185,-53.691148,0.847245,0.272460
200309,91,7,-1.138588,13,-54.827738,-1.139268,-54.830416,0.823817,0.267368
200310,94,7,-4.789129,97,-59.616868,-4.790121,-59.620536,0.836580,0.257607
200311,95,7,-2.629120,112,-62.245988,-2.630047,-62.250583,0.836580,0.257607
200312,92,7,-25.175599,637,-87.421587,-25.176599,-87.427182,0.836580,0.257607
200401,102,7,-18.673054,503,-106.094640,-18.674053,-106.101235,0.835692,0.287479
200402,97,7,5.825007,2,-100.269634,6.236988,-99.864247,0.823467,0.272227
200403,101,7,-13.717098,72,-113.986732,-13.718098,-113.582345,0.823467,0.272227
200404,100,7,-3.457859,77,-117.444591,-3.458827,-117.041172,0.823467,0.272227
200405,101,7,4.054375,4,-113.390216,4.112692,-112.928480,0.831515,0.288768
200406,99,7,-17.400985,502,-130.791202,-17.401985,-130.330465,0.829901,0.287327
200407,104,7,3.581342,7,-127.209860,3.616888,-126.713577,0.829901,0.287327
200408,102,7,6.123133,2,-121.086727,6.730638,-119.982939,0.839817,0.294680
200409,105,7,-0.970199,242,-122.056927,-0.970820,-120.953760,0.838468,0.292755
200410,102,7,3.689173,3,-118.367754,3.728966,-117.224794,0.820219,0.246841
200411,103,7,-0.461184,69,-118.828937,-0.461553,-117.686347,0.833222,0.279972
200412,109,8,-1.006288,306,-119.835226,-1.006922,-118.693269,0.857851,0.247582
200501,109,8,-33.863651,430,-153.698877,-33.864651,-152.557920,0.805601,0.235787
200502,109,8,-6.072971,19,-159.771847,-6.073968,-158.631888,0.793849,0.220881
200503,106,8,0.749104,35,-159.022743,0.750220,-157.881668,0.793089,0.222576
200504,95,7,-24.272572,764,-183.295315,-24.273571,-182.155239,0.811152,0.230824
200505,92,7,-15.490983,93,-198.786298,-15.491983,-197.647221,0.779625,0.167480
200506,99,7,-2.674591,278,-201.460889,-2.675522,-200.322743,0.771273,0.148287
200507,101,7,-3.045411,382,-204.506300,-3.046363,-203.369106,0.773326,0.156452
200508,100,7,-0.094059,63,-204.600358,-0.094149,-203.463254,0.763524,0.173086
200509,97,7,-1.876071,193,-206.476429,-1.876917,-205.340172,0.789172,0.177854
200510,99,7,-8.027188,526,-214.503617,-8.028187,-213.368359,0.798851,0.205521
200511,98,7,-2.151497,123,-216.655114,-2.152380,-215.520738,0.802519,0.181081
200512,113,8,-6.560724,53,-223.215837,-6.561722,-222.082460,0.792661,0.139991
200601,112,8,6.006399,1,-217.209439,6.525624,-215.556836,0.831683,0.179035
200602,112,8,-2.154949,104,-219.364388,-2.155833,-217.712669,0.864731,0.157548
200603,114,8,-2.071259,111,-221.435647,-2.072133,-219.784802,0.863079,0.164117
200604,111,8,1.321045,13,-220.114602,1.323796,-218.461006,0.835463,0.154541
200605,114,8,2.558047,6,-217.556555,2.570029,-215.890977,0.913526,0.176641
200606,121,9,-3.295475,155,-220.852030,-3.296437,-219.187414,0.913421,0.136905
200607,118,8,-0.946080,48,-221.798110,-0.946692,-220.134106,0.916372,0.149093
200608,119,8,1.434363,4,-220.363747,1.437565,-218.696541,0.921157,0.122475
200609,122,9,1.331233,53,-219.032514,1.334023,-217.362518,0.918312,0.144454
200610,133,9,-4.673263,61,-223.705777,-4.674253,-222.036771,0.917690,0.131534
