date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,129,9,-4.978339,314,-4.978339,-4.979332,-4.979332,0.819621,0.097363
200308,135,9,0.252282,33,-4.726058,0.252569,-4.726763,0.819621,0.097363
200309,139,10,6.485246,1,1.759188,7.547720,2.820956,0.831370,0.122890
200310,141,10,2.984129,3,4.743317,3.003077,5.824033,0.831263,0.121541
200311,144,10,-1.808788,153,2.934529,-1.809624,4.014409,0.831263,0.121541
200312,144,10,3.586451,3,6.520980,3.622187,7.636596,0.831263,0.121541
200401,133,9,-8.631087,24,-2.110108,-8.632087,-0.995490,0.822803,0.113510
200402,136,10,-1.906419,9,-4.016527,-1.907270,-2.902760,0.821938,0.115895
200403,132,9,-14.195316,448,-18.211843,-14.196315,-17.099076,0.821938,0.115895
200404,128,9,0.351310,129,-17.860533,0.351731,-16.747345,0.821938,0.115895
200405,131,9,6.351386,1,-11.509147,7.200689,-9.546657,0.806539,0.126212
200406,137,10,-14.909437,567,-26.418584,-14.910436,-24.457093,0.808041,0.139033
200407,143,10,6.375041,1,-20.043543,7.256952,-17.200141,0.808041,0.139033
200408,144,10,0.334239,17,-19.709304,0.334636,-16.865504,0.806150,0.144771
200409,146,10,-5.896838,97,-25.606141,-5.897834,-22.763339,0.811258,0.146787
200410,152,11,4.290613,5,-21.315528,4.365349,-18.397990,0.807040,0.160812
200411,157,11,-4.889458,25,-26.204986,-4.890450,-23.288440,0.779844,0.179637
200412,153,11,-2.138575,70,-28.343561,-2.139457,-25.427896,0.806255,0.187706
200501,153,11,2.800099,4,-25.543462,2.815665,-22.612231,0.793584,0.181491
200502,158,11,3.350681,6,-22.192781,3.378589,-19.233642,0.770385,0.190038
200503,160,11,6.792731,1,-15.400050,9.003143,-10.230499,0.765598,0.193596
200504,173,12,-29.461967,69,-44.862017,-29.462967,-39.693466,0.771857,0.210399
200505,182,13,-53.737487,852,-98.599505,-53.738487,-93.431953,0.766313,0.213108
200506,176,12,-22.436618,80,-121.036123,-22.437617,-115.869570,0.779324,0.207292
200507,177,12,6.358341,1,-114.677781,7.217043,-108.652528,0.775997,0.206082
200508,174,12,1.357074,8,-113.320707,1.359963,-107.292565,0.774331,0.194098
200509,181,13,-3.071697,7,-116.392404,-3.072650,-110.365215,0.765564,0.198433
200510,182,13,-2.847149,9,-119.239553,-2.848090,-113.213305,0.753607,0.170499
200511,183,13,6.873508,1,-112.366045,10.235447,-102.977857,0.755957,0.198001
200512,151,11,6.906179,1,-105.459866,12.867943,-90.109914,0.742582,0.209769
200601,150,10,-23.305829,174,-128.765695,-23.306829,-113.416743,0.766646,0.241595
200602,154,11,-10.647797,764,-139.413492,-10.648796,-124.065539,0.800922,0.217652
200603,151,11,0.603235,10,-138.810257,0.604064,-123.461475,0.801309,0.236058
200604,146,10,-3.117855,26,-141.928112,-3.118811,-126.580286,0.788037,0.218137
200605,140,10,-3.487162,36,-145.415274,-3.488131,-130.068417,0.806789,0.192845
200606,130,9,1.719874,14,-143.695401,1.724468,-128.343949,0.803459,0.221836
200607,129,9,-24.720243,221,-168.415643,-24.721242,-153.065191,0.812923,0.180362
200608,128,9,-5.580377,138,-173.996020,-5.581372,-158.646564,0.819825,0.203175
200609,130,9,-7.678611,218,-181.674631,-7.679610,-166.326173,0.835876,0.172602
200610,131,9,3.136801,6,-178.537830,3.159077,-163.167096,0.820129,0.207487
200611,144,10,-51.720586,964,-230.258415,-51.721585,-214.888681,0.844575,0.160228
200612,139,10,-0.830114,10,-231.088529,-0.830677,-215.719358,0.866335,0.148040
200701,144,10,6.842732,1,-224.245797,9.592319,-206.127040,0.876615,0.156387
200702,148,10,2.069139,12,-222.176658,2.076081,-204.050958,0.848098,0.180664
200703,148,10,-11.980919,26,-234.157577,-11.981919,-216.032877,0.857549,0.176226
200704,124,9,5.913325,1,-228.244252,6.373669,-209.659208,0.849790,0.186863
200705,122,9,-10.665680,137,-238.909933,-10.666680,-220.325888,0.843578,0.188896
200706,125,9,5.651509,2,-233.258424,5.985194,-214.340694,0.849870,0.168194
200707,118,8,-2.755362,3,-236.013786,-2.756298,-217.096992,0.846062,0.182205
200708,116,8,-26.233019,114,-262.246805,-26.234018,-243.331010,0.850835,0.164619
200709,120,8,-0.223676,2,-262.470481,-0.223877,-243.554887,0.849606,0.179857
200710,110,8,1.204563,5,-261.265918,1.206901,-242.347986,0.866267,0.180525
200711,102,7,-0.462254,33,-261.728172,-0.462624,-242.810610,0.864568,0.167794
