date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,405,27,6.772921,1,6.772921,8.835393,8.835393,0.789975,0.215445
200308,413,28,-13.099924,45,-6.327003,-13.100924,-4.265531,0.789975,0.215445
200309,417,28,-10.558610,23,-16.885613,-10.559609,-14.825140,0.785865,0.220712
200310,398,27,-30.729678,72,-47.615291,-30.730678,-45.555818,0.801122,0.225054
200311,402,27,-14.738264,98,-62.353555,-14.739264,-60.295081,0.801122,0.225054
200312,406,28,-6.993782,9,-69.347337,-6.994781,-67.289862,0.801122,0.225054
200401,405,27,6.694542,1,-62.652796,8.339522,-58.950340,0.801566,0.234585
200402,408,28,-14.433798,17,-77.086594,-14.434798,-73.385138,0.787827,0.237273
200403,401,27,6.908754,1,-70.177840,20.852846,-52.532291,0.787827,0.237273
200404,403,27,-60.264505,569,-130.442345,-60.265505,-112.797796,0.787827,0.237273
200405,402,27,6.908755,1,-123.533590,42.221916,-70.575880,0.792457,0.246673
200406,402,27,-7.091352,8,-130.624943,-7.092351,-77.668231,0.792247,0.251574
200407,397,27,6.908752,1,-123.716191,19.607360,-58.060871,0.792247,0.251574
200408,396,27,0.615217,7,-123.100974,0.616068,-57.444804,0.789911,0.248534
200409,403,27,-1.652733,4,-124.753707,-1.653541,-59.098345,0.812219,0.263024
200410,399,27,6.908755,1,-117.844952,36.782625,-22.315720,0.774302,0.268149
200411,397,27,6.908751,1,-110.936201,19.504720,-2.810999,0.761748,0.286367
200412,386,26,0.744197,4,-110.192004,0.745302,-2.065697,0.790165,0.314577
200501,387,26,5.008651,2,-105.183353,5.169645,3.103947,0.776981,0.320566
200502,387,26,5.059317,2,-100.124036,5.229492,8.333439,0.779704,0.324219
200503,370,25,6.908755,1,-93.215282,32.339651,40.673090,0.757070,0.332807
200504,359,24,6.903092,1,-86.312190,12.078723,52.751814,0.729724,0.349175
200505,354,24,4.917021,3,-81.395169,5.062734,57.814548,0.746317,0.348574
200506,345,23,6.668475,1,-74.726695,8.211161,66.025709,0.735335,0.362947
200507,348,24,6.875961,1,-67.850734,10.308822,76.334531,0.724288,0.372834
200508,350,24,6.407484,1,-61.443250,7.337281,83.671812,0.725957,0.392484
200509,347,24,-14.302911,62,-75.746160,-14.303910,69.367902,0.725764,0.408469
200510,349,24,-9.080669,36,-84.826829,-9.081668,60.286234,0.735217,0.435339
200511,342,23,6.138690,2,-78.688139,6.759416,67.045650,0.729346,0.446938
200512,345,23,-27.136472,442,-105.824611,-27.137472,39.908179,0.716589,0.451445
200601,347,24,6.908705,1,-98.915906,16.818048,56.726226,0.707506,0.463261
200602,349,24,6.849637,1,-92.066269,9.706269,66.432496,0.708929,0.467777
200603,351,24,6.908752,1,-85.157517,19.897498,86.329994,0.702041,0.472458
200604,354,24,-5.468533,21,-90.626050,-5.469528,80.860466,0.749761,0.460308
200605,345,23,-24.205226,197,-114.831275,-24.206225,56.654241,0.769012,0.479704
200606,338,23,-2.414710,2,-117.245985,-2.415620,54.238621,0.748802,0.442528
200607,343,23,-56.344597,312,-173.590582,-56.345597,-2.106976,0.767649,0.455115
200608,343,23,-0.160735,11,-173.751317,-0.160883,-2.267859,0.771989,0.432949
200609,340,23,-19.512781,52,-193.264098,-19.513781,-21.781639,0.780047,0.427610
200610,328,22,6.908755,1,-186.355343,43.882746,22.101106,0.779706,0.399529
200611,313,21,-37.137370,201,-223.492713,-37.138370,-15.037263,0.797606,0.410932
200612,309,21,-16.518200,41,-240.010913,-16.519199,-31.556463,0.810560,0.370767
200701,313,21,-10.446490,42,-250.457404,-10.447490,-42.003953,0.821640,0.350086
200702,315,21,4.079973,2,-246.377430,4.139876,-37.864076,0.791180,0.345482
200703,307,21,5.740137,2,-240.637293,6.111356,-31.752720,0.791498,0.333557
200704,312,21,-24.354082,98,-264.991375,-24.355081,-56.107801,0.783557,0.340388
200705,311,21,-40.358367,300,-305.349742,-40.359367,-96.467168,0.773030,0.284452
200706,307,21,-1.256580,13,-306.606322,-1.257295,-97.724463,0.791869,0.265058
200707,318,22,6.908754,1,-299.697568,20.702130,-77.022333,0.780455,0.238347
200708,301,21,-10.685463,18,-310.383031,-10.686462,-87.708795,0.735552,0.258961
200709,305,21,-5.423143,36,-315.806174,-5.424138,-93.132934,0.736888,0.258485
200710,304,21,6.908683,1,-308.897491,16.449637,-76.683297,0.752137,0.258391
200711,312,21,-26.882209,14,-335.779700,-26.883209,-103.566506,0.757310,0.209879
200712,304,21,-53.497655,498,-389.277356,-53.498655,-157.065161,0.757851,0.231727
200801,308,21,6.908755,1,-382.368601,38.675481,-118.389680,0.757480,0.236469
200802,308,21,-0.697302,6,-383.065903,-0.697804,-119.087484,0.793296,0.153761
200803,304,21,6.908755,1,-376.157148,38.541374,-80.546109,0.794468,0.129522
200804,317,22,6.469977,1,-369.687172,7.504119,-73.041991,0.798806,0.110473
200805,326,22,-2.696658,4,-372.383829,-2.697590,-75.739580,0.800397,0.145357
200806,331,23,2.819617,5,-369.564212,2.835513,-72.904067,0.789600,0.119276
200807,343,23,6.702942,1,-362.861270,8.383871,-64.520196,0.790497,0.100204
200808,347,24,6.908752,1,-355.952518,19.862809,-44.657387,0.852006,0.077014
200809,343,23,-72.231065,245,-428.183583,-72.232064,-116.889452,0.830395,0.068938
200810,339,23,-7.132889,2,-435.316472,-7.133888,-124.023339,0.792866,0.073120
