date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,604.013587,604.013587,0.877004,0.090514
200308,401,27,6.908755,1,13.817510,243.045517,847.059104,0.877004,0.090514
200309,412,28,6.908755,1,20.726264,230.515104,1077.574207,0.858630,0.090323
200310,406,28,6.908755,1,27.635019,288.253942,1365.828150,0.860946,0.072795
200311,416,28,6.908755,1,34.543774,171.531259,1537.359409,0.860946,0.072795
200312,421,29,6.908755,1,41.452529,356.257252,1893.616660,0.860946,0.072795
200401,429,29,6.908755,1,48.361283,453.791536,2347.408196,0.826245,0.070451
200402,426,29,6.908755,1,55.270038,526.575858,2873.984055,0.834569,0.070857
200403,428,29,6.908755,1,62.178793,470.017772,3344.001826,0.834569,0.070857
200404,423,29,6.908755,1,69.087548,483.869170,3827.870996,0.834569,0.070857
200405,423,29,6.908755,1,75.996303,460.011369,4287.882365,0.842909,0.061124
200406,424,29,6.908755,1,82.905057,191.444302,4479.326667,0.851418,0.056932
200407,425,29,6.908755,1,89.813812,200.871166,4680.197833,0.851418,0.056932
200408,428,29,6.908755,1,96.722567,182.042685,4862.240518,0.868646,0.065336
200409,439,30,6.908755,1,103.631322,125.899105,4988.139623,0.868681,0.021998
200410,436,30,6.908755,1,110.540076,162.697863,5150.837487,0.865457,0.031699
200411,444,30,6.908755,1,117.448831,82.833553,5233.671039,0.861806,0.014083
200412,445,30,6.908755,1,124.357586,120.321169,5353.992208,0.880267,0.002492
200501,444,30,6.908755,1,131.266341,32.270275,5386.262483,0.887320,-0.017662
200502,443,30,6.908755,1,138.175096,42.862108,5429.124591,0.898621,-0.034137
200503,438,30,6.908755,1,145.083850,93.096986,5522.221577,0.904543,-0.019178
200504,436,30,6.908755,1,151.992605,57.673652,5579.895229,0.932469,-0.048080
200505,431,29,6.908753,1,158.901358,20.029230,5599.924459,0.927099,-0.074606
200506,438,30,6.908755,1,165.810113,42.169652,5642.094110,0.929858,-0.067415
200507,442,30,-9.574191,3,156.235922,-9.575190,5632.518920,0.923133,-0.086080
