date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,6.908752,1,6.908752,19.650126,19.650126,0.959664,-0.082678
200308,54,4,-5.610697,57,1.298055,-5.611693,14.038434,0.959664,-0.082678
200309,53,4,-11.196171,138,-9.898116,-11.197171,2.841263,0.968094,-0.165233
200310,62,5,2.627217,7,-7.270900,2.640135,5.481398,0.958338,-0.128835
200311,62,5,4.048672,6,-3.222228,4.106641,9.588039,0.958338,-0.128835
200312,64,5,2.096770,5,-1.125458,2.103936,11.691975,0.958338,-0.128835
200401,67,5,2.420528,4,1.295070,2.430833,14.122807,0.969727,-0.165865
200402,69,5,4.578914,3,5.873985,4.680292,18.803100,0.963563,-0.128185
200403,67,5,-2.113570,109,3.760414,-2.114449,16.688651,0.963563,-0.128185
200404,67,5,-5.394777,142,-1.634363,-5.395772,11.292878,0.963563,-0.128185
200405,69,5,-2.796564,426,-4.430927,-2.797503,8.495376,0.961746,-0.111482
200406,73,5,-3.929797,168,-8.360724,-3.930777,4.564599,0.959046,-0.088745
200407,71,5,-17.185442,746,-25.546166,-17.186442,-12.621843,0.959046,-0.088745
200408,69,5,-6.615379,310,-32.161545,-6.616377,-19.238220,0.968208,-0.127800
200409,72,5,2.548544,15,-29.613000,2.560403,-16.677817,0.964316,-0.158572
200410,71,5,-6.652571,705,-36.265571,-6.653569,-23.331386,0.947546,-0.093542
200411,72,5,-3.778348,631,-40.043919,-3.779324,-27.110710,0.941695,-0.126652
200412,72,5,-11.350416,993,-51.394335,-11.351415,-38.462126,0.942168,-0.115925
200501,72,5,-9.183041,534,-60.577376,-9.184040,-47.646166,0.936601,-0.126530
200502,87,6,-5.731200,289,-66.308576,-5.732196,-53.378362,0.926893,-0.122953
200503,88,6,-1.510581,343,-67.819157,-1.511360,-54.889722,0.925513,-0.125317
200504,89,6,-1.551914,292,-69.371071,-1.552702,-56.442424,0.912190,-0.172052
200505,90,6,-2.771152,652,-72.142222,-2.772089,-59.214512,0.901249,-0.172209
200506,93,7,-20.853432,680,-92.995655,-20.854432,-80.068944,0.908068,-0.203505
200507,93,7,-34.479402,388,-127.475057,-34.480402,-114.549346,0.897134,-0.134358
200508,95,7,0.094770,33,-127.380287,0.094870,-114.454477,0.886421,-0.124299
200509,100,7,1.617677,24,-125.762610,1.621727,-112.832750,0.893522,-0.100620
200510,94,7,4.344549,4,-121.418061,4.423654,-108.409096,0.902116,-0.091958
200511,94,7,-22.186144,905,-143.604206,-22.187144,-130.596240,0.905588,-0.064375
200512,95,7,-10.520102,19,-154.124308,-10.521102,-141.117342,0.902740,-0.040806
200601,100,7,-39.124747,804,-193.249055,-39.125747,-180.243089,0.897379,-0.020124
200602,103,7,-7.626071,8,-200.875126,-7.627070,-187.870159,0.892246,-0.004315
200603,101,7,4.286917,2,-196.588210,4.361362,-183.508796,0.890417,-0.016439
200604,103,7,6.908744,1,-189.679466,18.323607,-165.185190,0.889244,0.003344
200605,101,7,4.576618,3,-185.102848,4.677748,-160.507441,0.901660,0.017096
200606,130,9,0.874528,4,-184.228320,0.875927,-159.631515,0.880896,0.033423
200607,127,9,6.908754,1,-177.319567,20.712092,-138.919423,0.892934,-0.040620
200608,134,9,-12.725806,54,-190.045372,-12.726805,-151.646228,0.870537,-0.072336
200609,128,9,5.383880,2,-184.661492,5.628331,-146.017897,0.863716,-0.002155
200610,164,11,-7.749781,44,-192.411274,-7.750781,-153.768677,0.858828,-0.016630
