date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,6.570776,1,6.570776,7.818782,7.818782,0.936946,-0.072861
200308,24,2,-3.321166,570,3.249609,-3.322130,4.496652,0.936946,-0.072861
200309,26,2,-0.702390,698,2.547220,-0.702894,3.793758,0.963210,-0.106595
200310,26,2,0.108731,374,2.655950,0.108845,3.902603,0.959959,-0.093301
200311,25,2,-3.066235,217,-0.410284,-3.067188,0.835415,0.959959,-0.093301
200312,25,2,0.519223,132,0.108939,0.519904,1.355320,0.959959,-0.093301
200401,27,2,-5.506414,658,-5.397476,-5.507410,-4.152090,0.970479,-0.144882
200402,28,2,1.412349,62,-3.985126,1.415460,-2.736630,0.970434,-0.208814
200403,29,2,-3.320063,458,-7.305189,-3.321026,-6.057656,0.970434,-0.208814
200404,27,2,-0.103001,240,-7.408190,-0.103099,-6.160755,0.970434,-0.208814
200405,31,3,1.606225,45,-5.801965,1.610217,-4.550538,0.961919,-0.197091
200406,33,3,-23.534644,912,-29.336608,-23.535643,-28.086181,0.970177,-0.234178
200407,34,3,-1.348461,946,-30.685070,-1.349201,-29.435383,0.970177,-0.234178
200408,34,3,-2.821885,704,-33.506955,-2.822825,-32.258208,0.991528,-0.240109
200409,33,3,1.695365,19,-31.811590,1.699823,-30.558385,0.986974,-0.261414
200410,33,3,2.715746,12,-29.095844,2.729962,-27.828422,0.987153,-0.277848
200411,34,3,3.095021,5,-26.000823,3.116334,-24.712088,0.989562,-0.255838
200412,34,3,1.622108,32,-24.378715,1.626180,-23.085908,0.982980,-0.204354
200501,36,3,-0.990586,267,-25.369301,-0.991215,-24.077122,0.984258,-0.252093
200502,36,3,0.330427,140,-25.038874,0.330819,-23.746304,0.980465,-0.269161
200503,35,3,-1.978673,765,-27.017547,-1.979535,-25.725838,0.983587,-0.205513
200504,38,3,-22.695836,595,-49.713384,-22.696836,-48.422674,0.948469,-0.169814
200505,38,3,-4.067517,665,-53.780901,-4.068499,-52.491173,0.948872,-0.185967
200506,38,3,0.555932,58,-53.224969,0.556676,-51.934498,0.954221,-0.191796
200507,43,3,-12.465810,825,-65.690779,-12.466810,-64.401308,0.944028,-0.177513
200508,43,3,0.082073,281,-65.608706,0.082158,-64.319149,0.925290,-0.145716
200509,43,3,-8.496208,846,-74.104914,-8.497207,-72.816357,0.928460,-0.095419
200510,43,3,0.113815,211,-73.991099,0.113936,-72.702421,0.920528,-0.151646
200511,45,3,0.038204,309,-73.952895,0.038243,-72.664177,0.913165,-0.114104
200512,45,3,-11.679151,555,-85.632045,-11.680150,-84.344328,0.912208,-0.063497
200601,46,4,0.767772,102,-84.864273,0.768928,-83.575400,0.913066,0.011350
200602,48,4,3.187253,10,-81.677020,3.210749,-80.364651,0.898544,-0.033388
200603,46,4,-4.213383,262,-85.890403,-4.214367,-84.579018,0.884014,-0.021814
200604,46,4,-13.878106,574,-99.768508,-13.879105,-98.458124,0.932336,-0.063300
200605,47,4,-0.093136,162,-99.861644,-0.093225,-98.551348,0.894606,0.017578
200606,47,4,-2.711775,745,-102.573419,-2.712708,-101.264056,0.878469,-0.055762
200607,48,4,-12.784455,914,-115.357874,-12.785455,-114.049511,0.870926,-0.037702
200608,48,4,2.168763,10,-113.189112,2.176540,-111.872971,0.847899,-0.017838
200609,48,4,0.266507,127,-112.922604,0.266813,-111.606158,0.830261,-0.049986
200610,48,4,0.503101,101,-112.419504,0.503755,-111.102403,0.809476,-0.008866
200611,49,4,-5.597196,211,-118.016699,-5.598192,-116.700595,0.787133,-0.106704
200612,50,4,-6.852265,383,-124.868964,-6.853263,-123.553858,0.765647,-0.029205
200701,49,4,-0.033770,140,-124.902734,-0.033803,-123.587662,0.727839,0.199707
200702,48,4,-9.405287,757,-134.308021,-9.406286,-132.993948,0.700029,0.345451
200703,48,4,-3.066723,398,-137.374744,-3.067676,-136.061624,0.672584,0.473767
200704,49,4,-1.822820,788,-139.197565,-1.823659,-137.885282,0.632508,0.512672
200705,50,4,1.163184,35,-138.034381,1.165386,-136.719896,0.752572,0.570479
200706,49,4,-5.757376,471,-143.791757,-5.758372,-142.478268,0.753239,0.784173
200707,50,4,-3.289967,278,-147.081724,-3.290929,-145.769197,0.751855,0.789780
200708,50,4,-2.024922,147,-149.106646,-2.025790,-147.794987,0.734506,0.916240
200709,53,4,6.908716,1,-142.197930,17.072500,-130.722488,0.698150,1.060244
200710,54,4,6.884722,1,-135.313208,10.624045,-120.098443,0.724524,0.858875
200711,56,4,6.908755,1,-128.404453,29.331362,-90.767081,0.669594,1.277128
200712,55,4,6.908755,1,-121.495698,27.783248,-62.983833,0.661971,1.601384
200801,54,4,6.908755,1,-114.586943,56.218613,-6.765220,0.670332,1.473162
200802,55,4,6.908755,1,-107.678189,92.442980,85.677759,0.666219,1.629677
200803,56,4,6.908755,1,-100.769434,53.515620,139.193379,0.679719,1.570271
200804,55,4,6.908755,1,-93.860679,42.918471,182.111850,0.679123,1.589214
200805,55,4,6.908755,1,-86.951924,138.266709,320.378559,0.664067,1.655107
200806,56,4,6.908755,1,-80.043170,103.978726,424.357285,0.651750,1.675828
200807,56,4,6.908755,1,-73.134415,125.607034,549.964319,0.668741,1.471025
200808,57,4,6.908755,1,-66.225660,122.442533,672.406852,0.583501,1.305202
200809,57,4,-69.432289,25,-135.657949,-69.433288,602.973564,0.622337,1.110687
200810,55,4,6.908755,1,-128.749194,26.576445,629.550009,0.686863,1.049945
200811,55,4,-21.119683,12,-149.868877,-21.120682,608.429327,0.657513,1.102018
200812,55,4,6.908755,1,-142.960122,58.821052,667.250379,0.708372,0.838484
200901,58,4,6.908549,1,-136.051573,15.396568,682.646947,0.735084,0.833050
200902,56,4,-18.692109,17,-154.743682,-18.693108,663.953839,0.892555,0.537852
200903,17,2,-5.927386,780,-160.671068,-5.928383,658.025456,0.992564,0.198061
200904,20,2,-1.471517,23,-162.142585,-1.472287,656.553169,0.978609,0.178652
200905,19,2,-1.055801,14,-163.198386,-1.056453,655.496716,0.962836,0.070094
200906,19,2,1.549252,13,-161.649134,1.552967,657.049683,0.990293,0.088827
200907,22,2,-0.255098,388,-161.904231,-0.255323,656.794360,0.985128,0.014024
200908,22,2,0.696004,105,-161.208228,0.697010,657.491370,0.987067,-0.078497
200909,22,2,0.456569,104,-160.751659,0.457147,657.948517,0.964156,-0.178845
200910,17,2,5.825181,1,-154.926478,6.237252,664.185769,0.916252,-0.167718
200911,18,2,2.179692,11,-152.746786,2.187567,666.373336,0.911577,-0.101143
200912,18,2,2.302274,11,-150.444512,2.311311,668.684647,0.867619,-0.029960
201001,17,2,4.851594,2,-145.592918,4.987350,673.671997,0.876017,-0.066080
201002,9,2,1.848899,6,-143.744019,1.854267,675.526264,0.900025,-0.109928
201003,9,2,0.295110,183,-143.448908,0.295454,675.821717,0.911032,-0.123147
201004,9,2,2.302139,4,-141.146769,2.311176,678.132893,0.899665,-0.150311
201005,9,2,-0.133600,494,-141.280369,-0.133725,677.999168,0.901609,-0.134978
201006,9,2,0.755821,68,-140.524548,0.756951,678.756119,0.894979,-0.113363
201007,9,2,2.693030,15,-137.831518,2.706902,681.463021,0.891462,-0.135338
201008,9,2,0.375448,145,-137.456070,0.375904,681.838925,0.894271,-0.091631
201009,10,2,4.696460,2,-132.759610,4.811375,686.650300,0.903614,-0.075565
201010,10,2,4.777287,5,-127.982323,4.902603,691.552903,0.929444,-0.082279
201011,11,2,0.769547,129,-127.212777,0.770706,692.323609,0.946884,-0.154900
201012,11,2,-2.685536,819,-129.898313,-2.686468,689.637141,1.004691,-0.187880
201101,11,2,0.414618,156,-129.483695,0.415132,690.052273,1.007432,-0.174438
201102,11,2,4.754704,2,-124.728991,4.877018,694.929291,0.977862,-0.205712
201103,12,2,-4.869142,1000,-129.598133,-4.870134,690.059157,0.955838,-0.121413
201104,12,2,0.175062,195,-129.423071,0.175253,690.234410,0.984281,-0.059832
201105,12,2,2.469338,1,-126.953734,2.480211,692.714621,0.989340,-0.084215
201106,12,2,2.248211,4,-124.705522,2.256718,694.971339,0.988123,-0.093694
201107,12,2,-0.607805,914,-125.313328,-0.608261,694.363079,0.994459,-0.141257
201108,12,2,-5.046593,682,-130.359920,-5.047586,689.315493,0.995718,-0.161436
201109,12,2,5.778568,2,-124.581352,6.167613,695.483106,0.990271,-0.139152
201110,12,2,-0.049631,249,-124.630983,-0.049680,695.433426,1.001039,-0.067856
201111,12,2,1.843208,8,-122.787775,1.848539,697.281965,1.000007,-0.050750
201112,12,2,1.193063,78,-121.594712,1.195363,698.477328,0.994484,-0.098933
