date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-13.353482,39,-13.353482,-13.354482,-13.354482,0.839027,0.349220
200308,88,6,-2.984078,21,-16.337561,-2.985027,-16.339509,0.839027,0.349220
200309,94,7,-1.064712,5,-17.402273,-1.065367,-17.404876,0.813075,0.274500
200310,97,7,6.887227,1,-10.515046,10.735372,-6.669504,0.818520,0.250981
200311,98,7,6.900968,1,-3.614078,11.759162,5.089657,0.818520,0.250981
200312,96,7,-9.117856,6,-12.731934,-9.118855,-4.029198,0.818520,0.250981
200401,106,8,6.325937,1,-6.405996,7.142115,3.112917,0.823217,0.274804
200402,101,7,6.801565,1,0.395569,9.086837,12.199754,0.815132,0.261466
200403,106,8,6.908755,1,7.304324,25.715423,37.915177,0.815132,0.261466
200404,107,8,6.908687,1,14.213011,16.510545,54.425722,0.815132,0.261466
200405,108,8,6.908632,1,21.121643,15.911185,70.336907,0.822060,0.279579
200406,106,8,6.783375,1,27.905018,8.920818,79.257725,0.825528,0.285082
200407,110,8,6.843641,1,34.748659,9.606648,88.864373,0.825528,0.285082
200408,108,8,6.908754,1,41.657413,21.033765,109.898138,0.839709,0.253864
200409,111,8,3.680217,2,45.337630,3.719639,113.617777,0.840496,0.239829
200410,108,8,6.903345,1,52.240976,12.124677,125.742454,0.810845,0.211744
200411,109,8,6.908739,1,59.149715,17.987711,143.730165,0.829919,0.212127
200412,116,8,4.355615,2,63.505330,4.435649,148.165814,0.858973,0.178647
200501,115,8,6.900932,1,70.406262,11.754583,159.920397,0.802101,0.161303
200502,115,8,6.908755,1,77.315017,34.219339,194.139737,0.798643,0.170627
200503,111,8,5.224756,2,82.539773,5.429097,199.568833,0.803308,0.147826
200504,100,7,-20.685601,30,61.854172,-20.686600,178.882233,0.811759,0.125171
200505,98,7,-14.984196,77,46.869976,-14.985196,163.897037,0.788127,0.094901
200506,104,7,-1.548970,41,45.321005,-1.549758,162.347280,0.780879,0.077668
200507,105,7,-1.245487,118,44.075519,-1.246199,161.101081,0.786518,0.061754
200508,104,7,6.600898,1,50.676417,7.928003,169.029084,0.775577,0.088643
200509,101,7,-0.422516,29,50.253901,-0.422861,168.606223,0.801344,0.075495
200510,103,7,-0.352228,29,49.901673,-0.352524,168.253698,0.821402,0.078015
200511,101,7,4.925421,2,54.827094,5.072468,173.326167,0.821723,0.055527
200512,116,8,5.248362,2,60.075456,5.458163,178.784330,0.810571,0.030459
200601,116,8,3.166359,10,63.241815,3.189342,181.973672,0.857328,0.072691
200602,116,8,3.878814,5,67.120629,3.927339,185.901011,0.882231,0.037000
200603,118,8,6.789999,1,73.910628,8.978475,194.879487,0.879428,0.032984
200604,117,8,6.907770,1,80.818398,13.829962,208.709449,0.864900,0.030868
200605,120,8,6.890343,1,87.708740,10.893282,219.602731,0.924427,0.032743
