date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,600.512576,600.512576,0.829884,0.155122
200308,444,30,6.908755,1,13.817510,469.884444,1070.397020,0.829884,0.155122
200309,451,31,6.908755,1,20.726264,392.195508,1462.592529,0.834256,0.150288
200310,433,29,6.908755,1,27.635019,393.424995,1856.017523,0.850457,0.137579
200311,437,30,6.908755,1,34.543774,244.389041,2100.406564,0.850457,0.137579
200312,442,30,6.908755,1,41.452529,383.952293,2484.358857,0.850457,0.137579
200401,441,30,6.908755,1,48.361283,321.347426,2805.706283,0.853157,0.131861
200402,445,30,6.908755,1,55.270038,400.627732,3206.334015,0.847205,0.127909
200403,438,30,6.908755,1,62.178793,414.530713,3620.864729,0.847205,0.127909
200404,440,30,6.908755,1,69.087548,421.962488,4042.827217,0.847205,0.127909
200405,435,29,6.908755,1,75.996303,406.015189,4448.842406,0.854129,0.129236
200406,436,30,6.908755,1,82.905057,297.825603,4746.668008,0.860584,0.123654
200407,432,29,6.908755,1,89.813812,313.286421,5059.954429,0.860584,0.123654
200408,431,29,6.908755,1,96.722567,262.086762,5322.041191,0.867366,0.111850
200409,441,30,6.908755,1,103.631322,180.829868,5502.871059,0.891802,0.079667
200410,437,30,6.908755,1,110.540076,151.610272,5654.481331,0.874765,0.067739
200411,434,29,6.908755,1,117.448831,143.739425,5798.220757,0.880463,0.043811
200412,423,29,6.908755,1,124.357586,175.334617,5973.555374,0.905783,0.030136
200501,425,29,6.908755,1,131.266341,91.409650,6064.965024,0.906256,0.019188
200502,427,29,6.908755,1,138.175096,113.706277,6178.671301,0.913047,0.010226
200503,411,28,6.908755,1,145.083850,199.275801,6377.947102,0.907229,-0.015122
200504,404,27,6.908755,1,151.992605,172.324050,6550.271153,0.906546,-0.018860
200505,402,27,6.908755,1,158.901360,123.726007,6673.997160,0.920528,-0.050453
200506,397,27,6.908755,1,165.810115,109.633278,6783.630438,0.922282,-0.070970
200507,403,27,6.908755,1,172.718869,36.224778,6819.855217,0.916896,-0.080072
200508,405,27,6.903019,1,179.621889,12.065964,6831.921180,0.914306,-0.079416
200509,404,27,-40.165817,81,139.456071,-40.166817,6791.754364,0.918495,-0.077411
