date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,141.190006,141.190006,0.877004,0.090514
200308,401,27,6.908755,1,13.817510,57.786546,198.976552,0.877004,0.090514
200309,412,28,6.908755,1,20.726264,37.656695,236.633247,0.858630,0.090323
200310,406,28,6.908755,1,27.635019,61.314623,297.947870,0.860946,0.072795
200311,416,28,6.908755,1,34.543774,40.972817,338.920687,0.860946,0.072795
200312,421,29,6.899981,1,41.443755,11.639390,350.560077,0.860946,0.072795
200401,429,29,6.908755,1,48.352510,98.483363,449.043441,0.826245,0.070451
200402,426,29,6.908755,1,55.261265,121.421053,570.464494,0.834569,0.070857
200403,428,29,6.908755,1,62.170020,143.993125,714.457619,0.834569,0.070857
200404,423,29,6.908755,1,69.078774,123.941125,838.398744,0.834569,0.070857
200405,423,29,6.908755,1,75.987529,192.391872,1030.790616,0.842909,0.061124
200406,424,29,6.908755,1,82.896284,61.013376,1091.803992,0.851418,0.056932
200407,425,29,6.908755,1,89.805039,53.976488,1145.780480,0.851418,0.056932
200408,428,29,6.908755,1,96.713793,64.114618,1209.895098,0.868646,0.065336
200409,439,30,-7.274340,22,89.439454,-7.275339,1202.619759,0.868681,0.021998
200410,436,30,6.908755,1,96.348208,83.860230,1286.479989,0.865457,0.031699
200411,444,30,6.414746,1,102.762954,7.355804,1293.835794,0.861806,0.014083
200412,445,30,-37.957911,75,64.805043,-37.958911,1255.876883,0.880267,0.002492
200501,444,30,5.645698,2,70.450741,5.977083,1261.853966,0.887320,-0.017662
200502,443,30,6.908755,1,77.359496,40.758705,1302.612671,0.898621,-0.034137
200503,438,30,-8.420025,2,68.939471,-8.421024,1294.191647,0.904543,-0.019178
200504,436,30,6.908755,1,75.848226,51.026239,1345.217886,0.932469,-0.048080
200505,431,29,6.908755,1,82.756980,36.596786,1381.814672,0.927099,-0.074606
200506,438,30,6.908753,1,89.665734,20.396039,1402.210711,0.929858,-0.067415
200507,442,30,6.892298,1,96.558032,11.006549,1413.217260,0.923133,-0.086080
200508,439,30,6.065452,2,102.623484,6.627075,1419.844335,0.916304,-0.094148
200509,449,30,6.908755,1,109.532239,37.597765,1457.442100,0.923181,-0.086224
200510,455,31,-10.579588,3,98.952651,-10.580587,1446.861513,0.921762,-0.100703
200511,455,31,6.908755,1,105.861406,51.042789,1497.904302,0.923171,-0.100417
200512,446,30,6.908755,1,112.770160,22.874478,1520.778779,0.924196,-0.104668
200601,430,29,6.856899,1,119.627060,9.841012,1530.619791,0.916618,-0.084860
200602,434,29,6.908755,1,126.535814,50.248591,1580.868382,0.913818,-0.100539
200603,434,29,6.908151,1,133.443965,14.319523,1595.187905,0.906711,-0.087437
200604,431,29,6.908755,1,140.352720,43.263477,1638.451381,0.904323,-0.085932
200605,433,29,2.742530,2,143.095250,2.757163,1641.208544,0.909571,-0.079835
200606,421,29,-25.272849,79,117.822401,-25.273849,1615.934696,0.892231,-0.040172
200607,423,29,-25.560782,97,92.261619,-25.561781,1590.372914,0.895805,-0.050442
200608,414,28,6.812971,1,99.074590,9.205141,1599.578055,0.882104,-0.016473
200609,415,28,0.257573,6,99.332163,0.257867,1599.835922,0.869205,-0.020151
200610,380,26,-15.297419,64,84.034744,-15.298418,1584.537504,0.860450,0.001378
200611,389,26,-10.960879,50,73.073866,-10.961878,1573.575626,0.843995,0.067626
200612,380,26,6.900951,1,79.974817,11.757062,1585.332687,0.830120,0.068249
200701,378,26,4.133401,2,84.108218,4.196756,1589.529443,0.813122,0.111548
200702,356,24,0.448599,2,84.556817,0.449165,1589.978608,0.802875,0.177396
200703,353,24,0.025742,2,84.582559,0.025768,1590.004376,0.790578,0.245245
200704,367,25,-26.498279,172,58.084280,-26.499278,1563.505098,0.771250,0.320082
200705,371,25,1.912405,2,59.996685,1.918191,1565.423289,0.742357,0.392680
200706,370,25,6.908755,1,66.905440,52.239257,1617.662546,0.761407,0.428961
200707,362,25,6.908755,1,73.814195,47.857101,1665.519647,0.725825,0.486360
200708,356,24,6.908755,1,80.722949,65.022078,1730.541725,0.717618,0.521640
200709,364,25,-8.721693,5,72.001257,-8.722692,1721.819034,0.715800,0.575228
200710,386,26,6.908755,1,78.910012,31.846023,1753.665057,0.716725,0.533976
200711,379,26,6.908755,1,85.818766,231.617021,1985.282077,0.698431,0.572986
200712,395,27,6.908755,1,92.727521,70.943518,2056.225596,0.697632,0.582959
200801,394,27,6.908755,1,99.636276,165.840574,2222.066169,0.629090,0.660825
200802,400,27,6.908755,1,106.545031,449.339001,2671.405170,0.626079,0.670501
200803,401,27,6.908755,1,113.453785,303.682005,2975.087174,0.636128,0.673162
200804,408,28,6.908755,1,120.362540,93.742313,3068.829487,0.640004,0.703618
200805,414,28,6.908755,1,127.271295,114.655337,3183.484825,0.668165,0.714066
200806,439,30,6.908755,1,134.180050,505.113434,3688.598259,0.643472,0.759821
200807,449,30,6.908755,1,141.088805,616.108592,4304.706851,0.678626,0.783989
200808,447,30,6.908755,1,147.997559,528.525989,4833.232840,0.686229,0.749814
200809,440,30,6.908755,1,154.906314,594.159471,5427.392311,0.683994,0.616698
200810,440,30,6.865451,1,161.771765,10.025529,5437.417840,0.683892,0.598780
200811,446,30,6.908755,1,168.680519,57.014949,5494.432789,0.692954,0.570211
200812,518,35,6.908755,1,175.589274,22.409490,5516.842280,0.740946,0.484819
200901,499,34,6.908755,1,182.498029,147.590921,5664.433201,0.676750,0.398183
200902,506,34,6.908755,1,189.406784,235.678029,5900.111229,0.732916,0.349343
200903,529,36,6.908755,1,196.315538,338.678247,6238.789477,0.792151,0.248616
200904,527,36,6.908755,1,203.224293,73.683864,6312.473340,0.828000,0.099081
200905,538,36,6.908755,1,210.133048,73.306085,6385.779425,0.804182,0.097601
200906,561,38,6.905889,1,217.038937,12.761123,6398.540548,0.837899,0.065142
200907,575,39,4.787542,3,221.826479,4.914247,6403.454795,0.856700,0.010726
200908,593,40,3.928489,3,225.754967,3.979603,6407.434398,0.880232,-0.002636
200909,606,41,6.907767,1,232.662734,13.827077,6421.261475,0.897761,-0.006634
200910,604,41,6.907658,1,239.570392,13.722193,6434.983668,0.941789,-0.031216
200911,601,41,6.908754,1,246.479146,21.100274,6456.083941,0.854588,0.037289
200912,622,42,-7.918877,22,238.560269,-7.919876,6448.164065,0.868361,0.035679
201001,626,42,6.908755,1,245.469024,56.458256,6504.622321,0.863561,0.062377
201002,638,43,6.908755,1,252.377778,72.673523,6577.295844,0.863305,0.053375
201003,637,43,6.906240,1,259.284018,12.891916,6590.187761,0.889562,0.054910
201004,644,43,-31.248636,92,228.035382,-31.249636,6558.938125,0.925013,0.075866
201005,641,43,6.908755,1,234.944137,58.606938,6617.545063,0.898123,0.086025
201006,648,44,6.908755,1,241.852891,77.597876,6695.142939,0.875186,0.088679
201007,669,45,6.908755,1,248.761646,91.541756,6786.684695,0.876578,0.100463
201008,667,45,6.908755,1,255.670401,83.161034,6869.845728,0.871677,0.098185
201009,689,46,6.908755,1,262.579156,132.822810,7002.668538,0.874854,0.096406
201010,703,47,6.908755,1,269.487911,297.983284,7300.651823,0.867900,0.092807
201011,722,49,6.908755,1,276.396665,184.839434,7485.491256,0.899434,0.080083
201012,732,49,6.908755,1,283.305420,95.495340,7580.986597,0.897442,0.081887
201101,730,49,6.908755,1,290.214175,104.007147,7684.993744,0.913439,0.057727
201102,744,50,6.908755,1,297.122930,35.533089,7720.526833,0.922491,0.056284
201103,729,49,6.908755,1,304.031684,105.091291,7825.618123,0.916580,0.051038
201104,758,51,6.908755,1,310.940439,120.969688,7946.587811,0.893422,0.048219
201105,767,52,6.908755,1,317.849194,108.284370,8054.872182,0.920309,0.015777
201106,786,53,6.908755,1,324.757949,151.487767,8206.359948,0.943989,-0.019127
201107,800,54,6.908755,1,331.666704,72.313812,8278.673760,0.947544,-0.029241
201108,799,54,6.908755,1,338.575458,238.406182,8517.079942,0.954676,-0.026270
201109,820,55,6.908755,1,345.484213,415.307626,8932.387567,0.953469,-0.024986
201110,834,56,6.908755,1,352.392968,339.158587,9271.546155,0.958769,-0.024803
201111,823,55,6.908755,1,359.301723,596.382346,9867.928501,0.962266,-0.011250
201112,845,57,6.908755,1,366.210477,116.837576,9984.766077,0.968057,-0.021796
201201,858,58,6.908755,1,373.119232,587.151464,10571.917541,0.970379,-0.022931
201202,871,59,6.908755,1,380.027987,49.426847,10621.344388,0.973686,-0.007830
201203,863,58,6.908755,1,386.936742,47.012337,10668.356725,0.970089,-0.013321
201204,886,60,6.908755,1,393.845497,41.936651,10710.293376,0.980261,-0.002159
201205,877,59,6.908755,1,400.754251,90.868243,10801.161619,0.984431,0.000656
201206,892,60,6.908755,1,407.663006,32.146421,10833.308040,0.988029,-0.002224
201207,896,60,6.908755,1,414.571761,124.420154,10957.728194,0.993133,0.005955
201208,894,60,6.908755,1,421.480516,42.296582,11000.024776,0.993925,-0.003183
201209,930,62,6.908755,1,428.389270,173.835434,11173.860209,0.992092,-0.000079
201210,942,63,6.904170,1,435.293440,12.290386,11186.150595,0.993829,0.013938
201211,939,63,-14.099339,49,421.194101,-14.100338,11172.050257,0.980836,0.022203
201212,943,63,-54.373784,301,366.820317,-54.374784,11117.675474,0.989423,0.024745
201301,954,64,6.908755,1,373.729072,78.125729,11195.801203,0.982371,0.028940
