date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,1.653521,3,1.653521,1.657756,1.657756,0.959664,-0.082678
200308,54,4,-3.677768,54,-2.024247,-3.678742,-2.020987,0.959664,-0.082678
200309,53,4,-0.201179,17,-2.225426,-0.201361,-2.222348,0.968094,-0.165233
200310,62,5,-10.154313,151,-12.379738,-10.155312,-12.377660,0.958338,-0.128835
200311,62,5,6.097729,1,-6.282010,6.684439,-5.693221,0.958338,-0.128835
200312,64,5,-6.317947,195,-12.599957,-6.318944,-12.012165,0.958338,-0.128835
200401,67,5,6.043009,2,-6.556947,6.588010,-5.424156,0.969727,-0.165865
200402,69,5,-1.712396,124,-8.269343,-1.713215,-7.137371,0.963563,-0.128185
200403,67,5,0.741195,28,-7.528148,0.742294,-6.395076,0.963563,-0.128185
200404,67,5,-3.135974,74,-10.664121,-3.136930,-9.532006,0.963563,-0.128185
200405,69,5,2.032880,27,-8.631241,2.039538,-7.492468,0.961746,-0.111482
200406,73,5,6.790455,1,-1.840787,8.982553,1.490085,0.959046,-0.088745
200407,71,5,-7.851127,208,-9.691914,-7.852127,-6.362041,0.959046,-0.088745
200408,69,5,0.284456,70,-9.407458,0.284785,-6.077256,0.968208,-0.127800
200409,72,5,2.337203,7,-7.070256,2.346599,-3.730657,0.964316,-0.158572
200410,71,5,-3.968430,687,-11.038686,-3.969411,-7.700068,0.947546,-0.093542
200411,72,5,-2.740854,795,-13.779539,-2.741789,-10.441857,0.941695,-0.126652
200412,72,5,-4.676156,765,-18.455695,-4.677146,-15.119003,0.942168,-0.115925
200501,72,5,-4.776147,19,-23.231842,-4.777138,-19.896141,0.936601,-0.126530
200502,87,6,5.229743,1,-18.002099,5.435225,-14.460916,0.926893,-0.122953
200503,88,6,-6.136039,775,-24.138138,-6.137036,-20.597953,0.925513,-0.125317
200504,89,6,4.951682,3,-19.186456,5.102985,-15.494968,0.912190,-0.172052
200505,90,6,-2.738787,596,-21.925243,-2.739722,-18.234690,0.901249,-0.172209
200506,93,7,-13.845083,351,-35.770326,-13.846082,-32.080772,0.908068,-0.203505
200507,93,7,-23.866381,81,-59.636707,-23.867380,-55.948152,0.897134,-0.134358
200508,95,7,1.762909,16,-57.873798,1.767750,-54.180403,0.886421,-0.124299
200509,100,7,-3.493683,105,-61.367481,-3.494652,-57.675054,0.893522,-0.100620
200510,94,7,-16.022945,421,-77.390426,-16.023945,-73.698999,0.902116,-0.091958
200511,94,7,-0.760978,116,-78.151404,-0.761511,-74.460510,0.905588,-0.064375
200512,95,7,-33.106526,138,-111.257931,-33.107526,-107.568036,0.902740,-0.040806
200601,100,7,6.894612,1,-104.363319,11.159213,-96.408823,0.897379,-0.020124
200602,103,7,-51.481734,587,-155.845053,-51.482733,-147.891557,0.892246,-0.004315
200603,101,7,-2.223326,5,-158.068378,-2.224217,-150.115774,0.890417,-0.016439
200604,103,7,-16.284603,530,-174.352982,-16.285603,-166.401376,0.889244,0.003344
200605,101,7,-37.498009,932,-211.850990,-37.499008,-203.900385,0.901660,0.017096
200606,130,9,-23.410711,118,-235.261701,-23.411711,-227.312095,0.880896,0.033423
200607,127,9,-5.318796,84,-240.580497,-5.319791,-232.631886,0.892934,-0.040620
200608,134,9,1.620100,13,-238.960397,1.624162,-231.007724,0.870537,-0.072336
200609,128,9,-8.665130,164,-247.625527,-8.666129,-239.673853,0.863716,-0.002155
200610,164,11,-7.149148,70,-254.774675,-7.150147,-246.824000,0.858828,-0.016630
200611,164,11,-17.606667,268,-272.381342,-17.607666,-264.431666,0.844773,-0.085944
200612,159,11,-12.933354,305,-285.314696,-12.934353,-277.366019,0.807823,0.035562
200701,158,11,-16.622976,153,-301.937672,-16.623976,-293.989995,0.787472,0.057977
200702,184,13,-11.230151,3,-313.167823,-11.231151,-305.221146,0.748037,0.180151
200703,185,13,-6.559428,11,-319.727251,-6.560426,-311.781571,0.724887,0.275457
200704,185,13,1.561859,7,-318.165392,1.565634,-310.215938,0.674158,0.378448
200705,188,13,-23.436548,245,-341.601940,-23.437547,-333.653485,0.720113,0.379227
200706,184,13,6.908755,1,-334.693185,58.684238,-274.969247,0.600845,0.677075
200707,184,13,6.908755,1,-327.784430,74.985368,-199.983879,0.605049,0.673279
200708,186,13,6.908755,1,-320.875675,61.864517,-138.119362,0.602763,0.485391
200709,192,13,6.908755,1,-313.966920,40.499510,-97.619852,0.583719,0.648316
200710,183,13,6.908755,1,-307.058166,49.742019,-47.877833,0.575591,0.676699
200711,185,13,6.908755,1,-300.149411,83.683193,35.805359,0.566434,0.762633
200712,186,13,6.908755,1,-293.240656,111.935728,147.741087,0.581389,0.717343
200801,178,12,6.908755,1,-286.331901,27.586069,175.327157,0.587469,0.778670
200802,179,12,6.908755,1,-279.423147,212.408750,387.735906,0.618268,0.717603
