date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,3.598872,8,3.598872,3.635077,3.635077,0.936946,-0.072861
200308,24,2,-5.650381,790,-2.051509,-5.651377,-2.016300,0.936946,-0.072861
200309,26,2,-2.925523,782,-4.977032,-2.926469,-4.942769,0.963210,-0.106595
200310,26,2,0.508302,254,-4.468730,0.508965,-4.433804,0.959959,-0.093301
200311,25,2,-25.804416,827,-30.273146,-25.805416,-30.239220,0.959959,-0.093301
200312,25,2,-0.045000,382,-30.318146,-0.045044,-30.284264,0.959959,-0.093301
200401,27,2,-8.310292,768,-38.628438,-8.311291,-38.595556,0.970479,-0.144882
200402,28,2,-2.106295,980,-40.734733,-2.107173,-40.702729,0.970434,-0.208814
200403,29,2,-7.527344,489,-48.262078,-7.528343,-48.231072,0.970434,-0.208814
200404,27,2,0.173390,329,-48.088688,0.173579,-48.057493,0.970434,-0.208814
200405,31,3,0.776651,127,-47.312037,0.777826,-47.279667,0.961919,-0.197091
200406,33,3,5.181124,2,-42.130913,5.375781,-41.903887,0.970177,-0.234178
200407,34,3,-0.374317,844,-42.505230,-0.374629,-42.278516,0.970177,-0.234178
200408,34,3,0.490756,136,-42.014474,0.491389,-41.787126,0.991528,-0.240109
200409,33,3,1.508055,19,-40.506420,1.511579,-40.275547,0.986974,-0.261414
200410,33,3,-11.142504,615,-51.648924,-11.143504,-51.419051,0.987153,-0.277848
200411,34,3,5.543218,1,-46.105706,5.836917,-45.582135,0.989562,-0.255838
200412,34,3,0.756887,91,-45.348819,0.758020,-44.824115,0.982980,-0.204354
200501,36,3,3.240104,6,-42.108714,3.264947,-41.559168,0.984258,-0.252093
200502,36,3,-0.858104,320,-42.966818,-0.858679,-42.417848,0.980465,-0.269161
200503,35,3,-1.756851,609,-44.723669,-1.757678,-44.175526,0.983587,-0.205513
200504,38,3,-38.930323,678,-83.653992,-38.931322,-83.106848,0.948469,-0.169814
200505,38,3,-13.027931,859,-96.681923,-13.028930,-96.135778,0.948872,-0.185967
200506,38,3,-21.033272,815,-117.715194,-21.034271,-117.170050,0.954221,-0.191796
200507,43,3,-27.718501,842,-145.433695,-27.719500,-144.889550,0.944028,-0.177513
200508,43,3,0.144135,177,-145.289560,0.144290,-144.745260,0.925290,-0.145716
200509,43,3,-8.293596,186,-153.583156,-8.294595,-153.039855,0.928460,-0.095419
200510,43,3,-1.642349,364,-155.225505,-1.643155,-154.683010,0.920528,-0.151646
200511,45,3,-0.211922,512,-155.437427,-0.212113,-154.895123,0.913165,-0.114104
