date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-27.565055,274,-27.565055,-27.566055,-27.566055,0.839027,0.349220
200308,88,6,-11.317939,241,-38.882995,-11.318939,-38.884994,0.839027,0.349220
200309,94,7,-5.954420,108,-44.837415,-5.955417,-44.840411,0.813075,0.274500
200310,97,7,0.562612,3,-44.274803,0.563367,-44.277043,0.818520,0.250981
200311,98,7,-0.745296,26,-45.020099,-0.745822,-45.022865,0.818520,0.250981
200312,96,7,-30.075732,49,-75.095832,-30.076732,-75.099597,0.818520,0.250981
200401,106,8,-12.647365,15,-87.743197,-12.648365,-87.747961,0.823217,0.274804
200402,101,7,6.903286,1,-80.839911,12.113695,-75.634267,0.815132,0.261466
200403,106,8,6.900889,1,-73.939022,11.749046,-63.885220,0.815132,0.261466
200404,107,8,2.718459,2,-71.220563,2.732717,-61.152503,0.815132,0.261466
200405,108,8,-8.139181,33,-79.359744,-8.140180,-69.292683,0.822060,0.279579
200406,106,8,-25.926229,175,-105.285972,-25.927228,-95.219912,0.825528,0.285082
200407,110,8,4.164944,5,-101.121028,4.230432,-90.989480,0.825528,0.285082
200408,108,8,6.908716,1,-94.212312,17.061282,-73.928198,0.839709,0.253864
200409,111,8,6.442119,1,-87.770193,7.427588,-66.500610,0.840496,0.239829
200410,108,8,6.908699,1,-80.861494,16.696366,-49.804244,0.810845,0.211744
200411,109,8,6.906472,1,-73.955022,12.989194,-36.815050,0.829919,0.212127
200412,116,8,-30.576922,863,-104.531944,-30.577922,-67.392971,0.858973,0.178647
200501,115,8,-19.802352,77,-124.334295,-19.803351,-87.196322,0.802101,0.161303
200502,115,8,6.908755,1,-117.425541,35.843203,-51.353119,0.798643,0.170627
200503,111,8,6.654769,1,-110.770772,8.148553,-43.204566,0.803308,0.147826
200504,100,7,-14.875972,13,-125.646743,-14.876971,-58.081538,0.811759,0.125171
200505,98,7,6.904889,1,-118.741854,12.461386,-45.620151,0.788127,0.094901
200506,104,7,6.884497,1,-111.857357,10.614628,-35.005524,0.780879,0.077668
200507,105,7,4.601764,4,-107.255594,4.705636,-30.299887,0.786518,0.061754
200508,104,7,6.900118,1,-100.355475,11.655168,-18.644719,0.775577,0.088643
