date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,54.169626,54.169626,0.829884,0.155122
200308,444,30,6.470241,1,13.378996,7.504863,61.674489,0.829884,0.155122
200309,451,31,6.908755,1,20.287751,53.763107,115.437596,0.834256,0.150288
200310,433,29,6.899388,1,27.187139,11.573677,127.011273,0.850457,0.137579
200311,437,30,6.891936,1,34.079074,10.984576,137.995848,0.850457,0.137579
200312,442,30,6.908755,1,40.987829,27.743354,165.739202,0.850457,0.137579
200401,441,30,-0.791993,2,40.195836,-0.792540,164.946663,0.853157,0.131861
200402,445,30,6.908755,1,47.104591,51.556062,216.502724,0.847205,0.127909
200403,438,30,6.908755,1,54.013346,63.793644,280.296368,0.847205,0.127909
200404,440,30,6.908755,1,60.922101,55.267818,335.564186,0.847205,0.127909
200405,435,29,6.908755,1,67.830856,66.322140,401.886326,0.854129,0.129236
200406,436,30,6.908754,1,74.739610,21.246287,423.132612,0.860584,0.123654
200407,432,29,6.908755,1,81.648365,44.218114,467.350727,0.860584,0.123654
200408,431,29,6.908755,1,88.557119,84.991645,552.342372,0.867366,0.111850
200409,441,30,-21.233285,7,67.323834,-21.234285,531.108088,0.891802,0.079667
200410,437,30,6.908755,1,74.232589,41.140891,572.248978,0.874765,0.067739
200411,434,29,6.905175,1,81.137764,12.538480,584.787458,0.880463,0.043811
200412,423,29,6.908755,1,88.046519,98.529083,683.316541,0.905783,0.030136
200501,425,29,6.908755,1,94.955274,46.117849,729.434390,0.906256,0.019188
200502,427,29,6.908754,1,101.864028,21.664095,751.098485,0.913047,0.010226
200503,411,28,6.908755,1,108.772783,67.287469,818.385953,0.907229,-0.015122
200504,404,27,6.908755,1,115.681538,196.433608,1014.819562,0.906546,-0.018860
200505,402,27,6.849516,1,122.531054,9.704169,1024.523730,0.920528,-0.050453
200506,397,27,6.908755,1,129.439808,54.951175,1079.474905,0.922282,-0.070970
200507,403,27,-14.813514,9,114.626294,-14.814514,1064.660391,0.916896,-0.080072
200508,405,27,6.908755,1,121.535049,58.103349,1122.763740,0.914306,-0.079416
200509,404,27,-37.661309,185,83.873740,-37.662309,1085.101431,0.918495,-0.077411
200510,414,28,-73.089578,581,10.784162,-73.090577,1012.010854,0.920759,-0.079353
200511,411,28,-20.269402,116,-9.485239,-20.270401,991.740453,0.919717,-0.075243
200512,411,28,6.908755,1,-2.576485,32.256018,1023.996471,0.913744,-0.081452
200601,413,28,-3.782631,8,-6.359116,-3.783608,1020.212863,0.904864,-0.077745
200602,424,29,6.908755,1,0.549639,26.562717,1046.775581,0.896917,-0.074335
200603,419,28,6.908755,1,7.458394,83.334723,1130.110303,0.892356,-0.056388
200604,424,29,-8.382167,5,-0.923773,-8.383166,1121.727137,0.898297,-0.074767
200605,416,28,6.908755,1,5.984982,31.136311,1152.863448,0.894229,-0.044606
200606,410,28,6.908755,1,12.893736,64.349334,1217.212782,0.877101,-0.014669
200607,416,28,6.908755,1,19.802491,70.214066,1287.426848,0.876476,-0.000612
200608,417,28,6.908755,1,26.711246,32.624011,1320.050859,0.866047,0.020627
200609,416,28,6.908755,1,33.620001,46.243168,1366.294027,0.857634,0.046440
200610,403,27,6.908752,1,40.528753,19.855926,1386.149952,0.850552,0.048291
200611,394,27,-31.048903,111,9.479850,-31.049903,1355.100049,0.849684,0.060165
200612,395,27,6.908755,1,16.388605,47.910176,1403.010226,0.848891,0.080517
200701,400,27,-41.665732,45,-25.277128,-41.666732,1361.343494,0.846090,0.102416
200702,391,27,6.908755,1,-18.368373,31.092358,1392.435852,0.827072,0.110260
200703,380,26,6.908755,1,-11.459618,65.200696,1457.636548,0.821808,0.145822
200704,384,26,6.908755,1,-4.550863,62.271875,1519.908423,0.814547,0.214231
200705,384,26,-18.090506,24,-22.641369,-18.091506,1501.816917,0.808387,0.226602
200706,381,26,6.908755,1,-15.732615,70.420829,1572.237746,0.822820,0.217317
200707,390,26,6.908755,1,-8.823860,107.674527,1679.912273,0.808326,0.210074
200708,376,26,6.908755,1,-1.915105,63.549932,1743.462205,0.773936,0.235136
200709,381,26,6.908755,1,4.993650,27.297358,1770.759563,0.770173,0.228802
200710,379,26,6.908755,1,11.902405,54.663192,1825.422755,0.776534,0.236145
200711,387,26,6.908755,1,18.811159,172.481865,1997.904620,0.773805,0.230966
200712,381,26,6.908755,1,25.719914,27.072218,2024.976838,0.772073,0.267755
200801,384,26,6.908755,1,32.628669,26.050405,2051.027243,0.777106,0.290668
200802,384,26,6.908755,1,39.537424,25.424939,2076.452182,0.807592,0.249879
200803,377,26,6.908755,1,46.446178,23.088210,2099.540392,0.817601,0.229933
200804,387,26,6.908755,1,53.354933,51.308962,2150.849354,0.825069,0.186904
200805,405,27,-7.823773,22,45.531160,-7.824772,2143.024582,0.818592,0.204770
200806,413,28,6.908755,1,52.439915,45.067786,2188.092368,0.808218,0.179266
200807,424,29,6.908755,1,59.348669,42.769420,2230.861787,0.820171,0.191435
200808,427,29,6.908755,1,66.257424,55.163329,2286.025116,0.879368,0.103239
200809,428,29,6.908755,1,73.166179,37.852628,2323.877744,0.871888,0.076515
200810,424,29,6.908755,1,80.074934,95.271217,2419.148961,0.851332,0.110153
200811,415,28,-77.433121,97,2.641813,-77.434120,2341.714841,0.842904,0.091701
200812,422,29,6.908755,1,9.550568,83.139432,2424.854274,0.864003,0.024153
200901,430,29,-19.793854,16,-10.243287,-19.794854,2405.059420,0.862938,0.020079
200902,439,30,6.908755,1,-3.334532,49.562495,2454.621915,0.922509,0.019820
200903,434,29,6.908754,1,3.574223,21.626312,2476.248227,0.942998,0.025902
200904,441,30,6.908755,1,10.482977,89.072838,2565.321066,0.942378,-0.001026
200905,451,31,6.908682,1,17.391659,16.436809,2581.757874,0.904393,-0.022872
200906,457,31,6.908076,1,24.299735,14.202089,2595.959963,0.909937,-0.034025
200907,463,31,6.853300,1,31.153035,9.772084,2605.732047,0.913472,-0.054960
200908,460,31,6.908735,1,38.061770,17.734887,2623.466934,0.919063,-0.049609
200909,477,32,6.907385,1,44.969155,13.500264,2636.967198,0.926420,-0.065561
200910,488,33,6.571950,1,51.541105,7.822883,2644.790081,0.917177,-0.083384
200911,506,34,6.902876,1,58.443981,12.041179,2656.831260,0.881963,-0.042210
200912,515,35,-21.405607,338,37.038374,-21.406607,2635.424654,0.882085,-0.015420
201001,521,35,6.908546,1,43.946920,15.381179,2650.805832,0.860040,0.014681
201002,522,35,6.908755,1,50.855674,37.630626,2688.436459,0.828576,0.023110
201003,521,35,6.908754,1,57.764428,20.484172,2708.920631,0.848298,0.028919
201004,523,35,6.908617,1,64.673044,15.794677,2724.715308,0.866644,0.040691
201005,534,36,6.908755,1,71.581799,84.031815,2808.747122,0.863567,0.055718
201006,531,36,6.908755,1,78.490554,78.098411,2886.845533,0.857479,0.059538
