date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,359,24,0.571040,3,0.571040,0.571811,0.571811,0.868572,0.289921
200308,365,25,6.908703,1,7.479743,16.776921,17.348732,0.868572,0.289921
200309,373,25,-31.020316,317,-23.540572,-31.021315,-13.672584,0.908200,0.406980
200310,367,25,-20.010449,53,-43.551021,-20.011448,-33.684032,0.908200,0.406980
200311,373,25,6.907081,1,-36.643940,13.299732,-20.384300,0.908200,0.406980
200312,376,26,-1.505120,10,-38.149060,-1.505898,-21.890198,0.908200,0.406980
200401,379,26,-45.986188,429,-84.135248,-45.987188,-67.877385,0.908200,0.406980
200402,375,25,6.907535,1,-77.227713,13.616033,-54.261353,0.770784,0.352053
200403,377,26,3.602408,3,-73.625305,3.638747,-50.622606,0.770784,0.352053
200404,372,25,6.648422,1,-66.976883,8.120561,-42.502045,0.770784,0.352053
200405,371,25,6.844420,1,-60.132463,9.619068,-32.882976,0.763767,0.369474
200406,372,25,-9.799678,21,-69.932141,-9.800677,-42.683653,0.763767,0.369474
200407,374,25,-10.213959,244,-80.146099,-10.214958,-52.898611,0.763767,0.369474
200408,377,26,6.906149,1,-73.239950,12.856636,-40.041975,0.711362,0.340402
200409,386,26,1.203101,2,-72.036849,1.205434,-38.836541,0.699774,0.361543
200410,383,26,6.908089,1,-65.128759,14.222258,-24.614283,0.582376,0.307850
200411,393,27,6.908754,1,-58.220006,20.909368,-3.704915,0.517660,0.292607
200412,393,27,6.908755,1,-51.311251,24.530202,20.825287,0.533346,0.340539
200501,391,27,6.908755,1,-44.402496,26.335168,47.160455,0.469433,0.272208
200502,388,26,6.908755,1,-37.493741,28.790269,75.950724,0.481328,0.264497
200503,384,26,6.905375,1,-30.588366,12.595985,88.546709,0.456490,0.265948
200504,381,26,6.908755,1,-23.679612,24.847810,113.394519,0.559332,0.330482
200505,377,26,6.908712,1,-16.770899,16.969450,130.363969,0.550183,0.341533
200506,386,26,6.908614,1,-9.862285,15.777590,146.141559,0.503663,0.302844
200507,392,27,-0.278109,7,-10.140394,-0.278352,145.863207,0.493443,0.366535
200508,390,26,6.908755,1,-3.231640,24.224492,170.087699,0.435730,0.359545
200509,398,27,6.908755,1,3.677115,65.918804,236.006503,0.405966,0.380547
200510,403,27,6.908755,1,10.585870,36.189446,272.195949,0.451406,0.285757
200511,402,27,6.908755,1,17.494625,44.772966,316.968915,0.367120,0.295509
200512,390,26,6.908755,1,24.403379,42.574574,359.543489,0.342297,0.357157
200601,375,25,6.795498,1,31.198878,9.028692,368.572181,0.344007,0.318146
200602,380,26,6.908755,1,38.107632,27.081977,395.654157,0.429089,0.330998
200603,377,26,6.780166,1,44.887798,8.893909,404.548066,0.489172,0.302143
200604,372,25,3.938449,3,48.826247,3.990099,408.538165,0.507609,0.407901
200605,369,25,6.908754,1,55.735001,20.546994,429.085159,0.655049,0.488015
200606,382,26,6.063723,2,61.798723,6.624042,435.709200,0.726645,0.422847
200607,385,26,-22.025057,30,39.773667,-22.026056,413.683144,0.769659,0.447811
200608,377,26,6.908746,1,46.682413,18.606809,432.289953,0.752008,0.544590
200609,373,25,-5.683127,9,40.999287,-5.684123,426.605831,0.729275,0.618030
200610,336,23,-7.870302,15,33.128985,-7.871301,418.734529,0.739926,0.525814
200611,345,23,-9.563498,124,23.565486,-9.564498,409.170032,0.705947,0.640759
200612,337,23,-18.261392,92,5.304094,-18.262392,390.907640,0.615370,0.655639
200701,333,23,2.721765,4,8.025860,2.736075,393.643715,0.639900,0.559379
200702,310,21,6.563070,1,14.588930,7.792167,401.435882,0.638679,0.557731
200703,308,21,0.431288,7,15.020218,0.431827,401.867709,0.658388,0.547499
200704,320,22,6.878185,1,21.898403,10.380186,412.247895,0.638048,0.690939
200705,322,22,-5.481912,23,16.416491,-5.482907,406.764987,0.672497,0.749839
200706,321,22,-19.313616,354,-2.897124,-19.314615,387.450372,0.753172,0.642909
200707,317,22,-14.238405,12,-17.135529,-14.239404,373.210968,0.746125,0.698830
200708,313,21,-28.596933,80,-45.732463,-28.597933,344.613035,0.727182,0.727001
200709,317,22,-24.478524,33,-70.210986,-24.479523,320.133512,0.724282,0.708323
200710,339,23,6.882686,1,-63.328300,10.541708,330.675220,0.730215,0.451616
200711,333,23,6.908753,1,-56.419547,20.391091,351.066311,0.622568,0.542782
200712,349,24,6.343358,1,-50.076189,7.182000,358.248311,0.615303,0.561873
200801,348,24,6.908755,1,-43.167434,84.346822,442.595133,0.566919,0.580096
200802,352,24,6.908755,1,-36.258680,135.451992,578.047125,0.574233,0.441926
200803,356,24,6.908755,1,-29.349925,245.965023,824.012149,0.591257,0.468075
200804,360,24,-5.557275,3,-34.907200,-5.558271,818.453878,0.621957,0.547601
200805,371,25,6.908696,1,-27.998504,16.652043,835.105920,0.711348,0.547402
200806,393,27,6.908755,1,-21.089749,199.348475,1034.454395,0.721197,0.442551
200807,403,27,6.908755,1,-14.180994,281.380414,1315.834810,0.619341,0.510283
200808,401,27,6.908755,1,-7.272239,273.456254,1589.291064,0.613391,0.618773
200809,391,27,6.908755,1,-0.363485,352.905068,1942.196132,0.595865,0.547223
200810,391,27,6.908755,1,6.545270,186.928878,2129.125010,0.567946,0.611107
200811,399,27,6.908755,1,13.454025,635.182755,2764.307765,0.551739,0.582803
200812,463,31,6.908755,1,20.362780,541.152620,3305.460385,0.510796,0.657158
200901,442,30,6.908755,1,27.271534,260.840399,3566.300784,0.650158,0.720048
200902,448,30,6.908755,1,34.180289,505.457034,4071.757818,0.659731,0.594487
200903,456,31,6.908755,1,41.089044,382.183619,4453.941437,0.620201,0.387187
200904,454,31,6.908755,1,47.997799,104.529114,4558.470550,0.597898,0.295513
200905,463,31,6.908755,1,54.906554,39.751156,4598.221706,0.575063,0.352316
200906,483,33,6.908755,1,61.815308,62.673075,4660.894781,0.663397,0.177354
200907,496,34,6.908755,1,68.724063,56.044353,4716.939134,0.443529,0.198698
200908,507,34,6.908755,1,75.632818,91.658813,4808.597948,0.441652,0.242224
200909,516,35,6.908755,1,82.541573,60.514143,4869.112091,0.484717,0.266630
200910,514,35,6.908755,1,89.450327,27.912428,4897.024518,0.578166,0.215419
200911,510,34,6.908755,1,96.359082,63.850190,4960.874709,0.574821,0.237395
200912,527,36,6.908755,1,103.267837,22.592983,4983.467692,0.589382,0.298506
201001,530,36,0.770057,5,104.037894,0.771217,4984.238910,0.782390,0.314050
201002,538,36,6.683076,1,110.720970,8.281440,4992.520349,0.861505,0.296691
201003,533,36,-3.356337,44,107.364633,-3.357302,4989.163047,0.900247,0.302467
201004,540,36,-0.840574,7,106.524059,-0.841142,4988.321905,0.996717,0.278023
201005,535,36,6.908755,1,113.432814,112.827754,5101.149659,0.782822,0.232157
201006,537,36,6.908755,1,120.341569,50.220954,5151.370613,0.823341,0.200834
201007,559,38,0.095253,5,120.436822,0.095353,5151.465966,0.778448,0.212025
201008,556,38,6.908755,1,127.345576,51.200894,5202.666860,0.762755,0.188756
201009,572,39,6.477095,1,133.822671,7.524291,5210.191150,0.823878,0.201142
201010,584,39,-2.716644,24,131.106028,-2.717577,5207.473573,0.858148,0.198834
201011,597,40,6.908755,1,138.014783,34.144999,5241.618572,0.864062,0.199969
201012,607,41,-3.331667,19,134.683116,-3.332630,5238.285942,0.811722,0.212692
201101,606,41,6.883301,1,141.566417,10.565906,5248.851848,0.828807,0.222463
201102,615,41,6.908733,1,148.475151,17.659137,5266.510985,0.825297,0.225254
201103,605,41,6.908755,1,155.383905,82.105664,5348.616649,0.778521,0.237002
201104,610,41,6.908755,1,162.292660,105.683662,5454.300311,0.695847,0.209673
201105,619,42,6.908755,1,169.201415,133.603138,5587.903448,0.712741,0.216979
201106,641,43,6.908755,1,176.110170,120.915996,5708.819445,0.767480,0.240443
201107,656,44,6.908755,1,183.018925,223.667040,5932.486485,0.743707,0.196284
201108,665,45,6.908755,1,189.927679,618.788420,6551.274905,0.766632,0.210000
201109,683,46,6.908755,1,196.836434,605.198430,7156.473335,0.780467,0.172643
201110,694,47,6.908755,1,203.745189,43.970740,7200.444074,0.717738,0.187735
201111,674,45,6.908755,1,210.653944,742.391720,7942.835795,0.717303,0.206670
201112,687,46,6.908755,1,217.562698,87.882036,8030.717831,0.770452,0.177719
201201,700,47,-6.083320,2,211.479379,-6.084317,8024.633514,0.818456,0.184141
201202,710,48,6.908755,1,218.388133,57.813189,8082.446702,0.805559,0.164163
201203,710,48,6.908755,1,225.296888,25.167670,8107.614373,0.823178,0.204834
201204,726,49,6.908755,1,232.205643,46.796751,8154.411123,0.904398,0.204832
201205,715,48,6.908755,1,239.114398,161.497554,8315.908677,0.903108,0.185939
201206,728,49,-13.230964,13,225.883433,-13.231964,8302.676713,0.910493,0.208857
201207,732,49,-1.024068,7,224.859365,-1.024709,8301.652004,0.883415,0.206702
201208,730,49,5.801909,2,230.661274,6.202283,8307.854288,0.916352,0.196787
201209,751,51,6.908755,1,237.570029,31.098909,8338.953197,0.890218,0.164851
201210,762,51,-18.276064,62,219.293965,-18.277064,8320.676133,0.894896,0.214035
201211,763,51,-15.476474,58,203.817490,-15.477474,8305.198659,0.896723,0.222034
201212,766,52,-31.906447,139,171.911043,-31.907447,8273.291212,0.898153,0.191445
201301,777,52,-13.437764,2,158.473279,-13.438764,8259.852449,0.946812,0.203074
201302,793,53,-24.006737,149,134.466542,-24.007737,8235.844712,0.981526,0.272945
201303,782,53,6.908755,1,141.375297,55.782443,8291.627155,1.064064,0.251323
201304,776,52,6.908739,1,148.284036,17.980867,8309.608022,1.146291,0.262106
201305,775,52,-12.315676,52,135.968360,-12.316676,8297.291346,1.010974,0.254388
201306,785,53,-32.129364,269,103.838996,-32.130364,8265.160983,1.063706,0.286363
201307,792,53,6.908755,1,110.747750,38.725074,8303.886057,1.017693,0.280841
201308,791,53,-12.286324,20,98.461426,-12.287323,8291.598734,0.966558,0.276595
201309,775,52,-13.469493,22,84.991933,-13.470493,8278.128241,0.939629,0.261892
201310,761,51,4.972571,4,89.964504,5.127353,8283.255594,0.897843,0.244413
201311,779,52,4.317560,2,94.282064,4.394447,8287.650041,0.945728,0.244268
201312,775,52,3.723845,2,98.005910,3.765108,8291.415149,0.924890,0.247911
201401,771,52,6.907787,1,104.913697,13.848196,8305.263345,0.926867,0.252472
201402,771,52,-10.405829,37,94.507868,-10.406829,8294.856517,0.950932,0.204430
201403,760,51,-2.030316,11,92.477552,-2.031185,8292.825332,0.956523,0.212264
201404,768,52,-32.203799,254,60.273752,-32.204799,8260.620533,0.939690,0.227887
201405,776,52,2.503844,6,62.777596,2.515137,8263.135670,0.915228,0.214678
201406,789,53,-18.098562,359,44.679034,-18.099561,8245.036108,0.874888,0.214595
