date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,52,4,-17.584067,719,-17.584067,-17.585066,-17.585066,0.806576,0.036066
200308,52,4,-18.210255,708,-35.794321,-18.211254,-35.796320,0.806576,0.036066
200309,51,4,-20.997813,927,-56.792134,-20.998812,-56.795132,0.797163,0.095671
200310,59,4,-0.662456,335,-57.454590,-0.662941,-57.458073,0.797163,0.095671
200311,59,4,-1.174687,47,-58.629278,-1.175378,-58.633451,0.797163,0.095671
200312,61,5,1.920193,31,-56.709084,1.926033,-56.707419,0.797163,0.095671
200401,64,5,-19.356670,571,-76.065754,-19.357669,-76.065088,0.797163,0.095671
200402,66,5,-5.454601,179,-81.520355,-5.455596,-81.520684,0.774022,0.222895
200403,65,5,-11.166218,587,-92.686573,-11.167218,-92.687902,0.774022,0.222895
200404,65,5,-6.360376,536,-99.046950,-6.361374,-99.049276,0.774022,0.222895
200405,65,5,-9.943831,509,-108.990780,-9.944830,-108.994106,0.743132,0.258159
200406,69,5,1.276167,16,-107.714614,1.278753,-107.715353,0.743132,0.258159
200407,66,5,0.251726,139,-107.462887,0.252012,-107.463341,0.743132,0.258159
200408,64,5,0.771363,36,-106.691524,0.772527,-106.690814,0.724992,0.346761
200409,67,5,-5.700889,903,-112.392413,-5.701885,-112.392699,0.735115,0.389705
200410,66,5,1.739497,33,-110.652916,1.744202,-110.648497,0.733092,0.538443
200411,67,5,-2.745553,218,-113.398469,-2.746488,-113.394985,0.717947,0.581927
200412,67,5,-2.155568,157,-115.554037,-2.156451,-115.551436,0.738568,0.553167
200501,67,5,-4.116749,153,-119.670786,-4.117733,-119.669169,0.742910,0.556623
200502,82,6,0.048161,46,-119.622625,0.048210,-119.620959,0.742707,0.546632
200503,83,6,-1.075895,132,-120.698521,-1.076554,-120.697513,0.741041,0.526063
200504,84,6,0.009177,131,-120.689344,0.009186,-120.688327,0.504420,0.513699
200505,85,6,6.908052,1,-113.781292,14.167734,-106.520593,0.445558,0.388715
200506,88,6,-3.971284,88,-117.752576,-3.972265,-110.492857,0.358674,0.334582
200507,88,6,-7.368123,224,-125.120700,-7.369122,-117.861980,0.307934,0.287624
200508,90,6,-0.578370,75,-125.699070,-0.578810,-118.440789,0.308915,0.320917
200509,95,7,-8.725342,434,-134.424412,-8.726341,-127.167130,0.227049,0.364811
200510,89,6,3.333655,12,-131.090757,3.361068,-123.806063,0.357127,0.245125
200511,89,6,-3.219557,118,-134.310314,-3.220517,-127.026579,0.423302,0.283689
200512,90,6,-24.958711,132,-159.269025,-24.959711,-151.986290,0.533097,0.209574
200601,94,7,-9.114892,699,-168.383917,-9.115892,-161.102182,0.503192,0.484029
200602,97,7,-14.087144,322,-182.471061,-14.088143,-175.190325,0.498961,0.413226
200603,95,7,1.991950,13,-180.479111,1.998300,-173.192025,0.571700,0.023304
200604,97,7,-16.308190,370,-196.787301,-16.309189,-189.501214,0.627265,0.060176
200605,95,7,-12.913524,322,-209.700825,-12.914523,-202.415738,0.588889,0.298825
200606,98,7,-29.553826,817,-239.254651,-29.554825,-231.970563,0.543514,0.560953
200607,94,7,-10.250984,255,-249.505635,-10.251984,-242.222547,0.650660,0.454848
200608,100,7,-3.253969,97,-252.759604,-3.254930,-245.477476,0.606237,0.490703
200609,106,8,-2.100814,72,-254.860418,-2.101692,-247.579168,0.636824,0.787133
200610,142,6,6.843845,1,-248.016573,9.609877,-237.969291,0.623771,0.866135
200611,142,10,-10.442449,297,-258.459023,-10.443449,-248.412740,0.620237,0.748612
200612,137,10,-28.221935,499,-286.680957,-28.222934,-276.635674,0.681169,0.570054
200701,136,10,-6.702457,102,-293.383414,-6.703456,-283.339129,0.663250,0.378671
200702,160,11,-10.191715,15,-303.575129,-10.192714,-293.531844,0.667213,0.536416
200703,160,11,-4.807344,38,-308.382473,-4.808336,-298.340179,0.713726,0.618923
200704,161,11,-9.537619,25,-317.920092,-9.538619,-307.878798,0.712726,0.623459
200705,164,11,6.884342,1,-311.035751,10.608166,-297.270632,0.735652,0.397053
200706,162,11,-4.807892,8,-315.843643,-4.808883,-302.079515,0.606053,0.914019
200707,161,11,-13.670796,153,-329.514439,-13.671796,-315.751311,0.607573,0.823101
200708,161,11,-5.798974,42,-335.313413,-5.799971,-321.551282,0.539656,0.758903
200709,167,12,-17.917390,67,-353.230803,-17.918390,-339.469672,0.506558,0.734087
