date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,23,2,0.438857,179,0.438857,0.439408,0.439408,0.819011,0.500990
200308,23,2,0.400760,190,0.839617,0.401253,0.840661,0.819011,0.500990
200309,24,2,0.764124,136,1.603741,0.765272,1.605933,0.717688,-0.710348
200310,24,2,-0.495756,560,1.107985,-0.496147,1.109787,0.717688,-0.710348
200311,24,2,-4.116586,498,-3.008601,-4.117570,-3.007783,0.717688,-0.710348
200312,24,2,-1.063072,760,-4.071673,-1.063726,-4.071509,0.717688,-0.710348
200401,26,2,-4.738492,655,-8.810165,-4.739483,-8.810993,0.717688,-0.710348
200402,27,2,0.603679,93,-8.206486,0.604508,-8.206484,0.613762,-0.611789
200403,27,2,1.106827,80,-7.099660,1.108853,-7.097631,0.613762,-0.611789
200404,25,2,0.358413,249,-6.741247,0.358844,-6.738787,0.613762,-0.611789
200405,29,2,-0.637794,426,-7.379041,-0.638266,-7.377052,0.561915,-0.676518
200406,31,3,-2.592393,812,-9.971434,-2.593318,-9.970370,0.561915,-0.676518
200407,32,3,-0.794033,913,-10.765467,-0.794581,-10.764951,0.561915,-0.676518
200408,32,3,0.208236,220,-10.557232,0.208467,-10.556484,0.564194,-0.457112
200409,31,3,-0.465595,805,-11.022827,-0.465968,-11.022452,0.579726,-0.255098
200410,31,3,-3.281916,811,-14.304743,-3.282878,-14.305330,0.580291,-0.210215
200411,32,3,1.339666,36,-12.965077,1.342488,-12.962842,0.623491,0.240588
200412,32,3,0.197171,208,-12.767906,0.197389,-12.765453,0.738285,-0.142455
200501,34,3,-0.605611,194,-13.373517,-0.606065,-13.371518,0.827111,0.088893
200502,34,3,3.090429,7,-10.283088,3.111639,-10.259879,0.869521,0.355690
200503,33,3,-2.978034,620,-13.261122,-2.978983,-13.238862,0.811825,-0.256070
200504,35,3,-6.914442,700,-20.175564,-6.915440,-20.154302,0.809004,-0.197265
200505,35,3,-2.058759,519,-22.234323,-2.059631,-22.213933,0.820693,-0.398575
200506,35,3,-4.730961,767,-26.965284,-4.731952,-26.945886,0.794175,-0.493009
200507,40,3,-0.504923,73,-27.470208,-0.505320,-27.451206,0.691100,-0.264338
200508,40,3,-2.020167,466,-29.490375,-2.021034,-29.472240,0.568039,0.169512
200509,40,3,-7.359197,481,-36.849572,-7.360196,-36.832435,0.589118,0.136032
200510,40,3,-0.375057,222,-37.224629,-0.375370,-37.207805,0.388256,0.093760
200511,42,3,-0.147157,324,-37.371786,-0.147294,-37.355099,0.348637,0.171724
200512,42,3,-0.545115,548,-37.916901,-0.545535,-37.900634,0.342782,0.269035
200601,43,3,0.177654,204,-37.739247,0.177848,-37.722786,0.337446,0.421732
