date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,84,6,-21.978883,329,-21.978883,-21.979883,-21.979883,0.913733,0.360729
200308,86,6,1.755567,10,-20.223316,1.760366,-20.219517,0.913733,0.360729
200309,91,7,5.235744,2,-14.987572,5.442607,-14.776910,0.849909,0.280997
200310,94,7,-2.264259,79,-17.251831,-2.265155,-17.042065,0.849909,0.280997
200311,95,7,-11.472753,608,-28.724584,-11.473752,-28.515817,0.849909,0.280997
200312,92,7,-22.523311,400,-51.247895,-22.524311,-51.040128,0.849909,0.280997
200401,102,7,-23.523701,412,-74.771596,-23.524700,-74.564829,0.849909,0.280997
200402,97,7,6.621424,1,-68.150172,8.007773,-66.557055,0.815103,0.257098
200403,100,7,6.828055,1,-61.322117,9.384156,-57.172899,0.815103,0.257098
200404,99,7,-8.760253,113,-70.082370,-8.761252,-65.934152,0.815103,0.257098
200405,101,7,1.742925,10,-68.339445,1.747650,-64.186502,0.847245,0.272460
200406,99,7,-28.188338,812,-96.527783,-28.189338,-92.375839,0.847245,0.272460
200407,104,7,-4.195766,314,-100.723550,-4.196751,-96.572590,0.847245,0.272460
200408,102,7,-1.502821,10,-102.226371,-1.503598,-98.076188,0.823817,0.267368
200409,105,7,4.534305,2,-97.692065,4.630991,-93.445197,0.852840,0.285309
200410,102,7,1.500651,5,-96.191414,1.504142,-91.941055,0.812443,0.258236
200411,103,7,-4.173424,382,-100.364838,-4.174408,-96.115463,0.808984,0.273476
200412,110,8,-0.185735,55,-100.550573,-0.185904,-96.301367,0.844970,0.314343
200501,109,8,-0.253825,11,-100.804397,-0.254049,-96.555416,0.813778,0.323536
200502,109,8,-2.606576,30,-103.410973,-2.607502,-99.162918,0.858836,0.243527
200503,106,8,2.774246,11,-100.636727,2.789387,-96.373531,0.823284,0.282646
200504,95,7,-45.083928,914,-145.720655,-45.084928,-141.458459,0.829079,0.229393
200505,92,7,-10.489290,235,-156.209945,-10.490290,-151.948748,0.858702,0.205160
200506,99,7,-9.314171,610,-165.524117,-9.315171,-161.263919,0.869432,0.208859
200507,101,7,-3.493960,634,-169.018076,-3.494929,-164.758848,0.798696,0.184994
200508,100,7,-5.593452,135,-174.611528,-5.594448,-170.353296,0.743319,0.169382
200509,97,7,0.826847,65,-173.784682,0.828134,-169.525162,0.766434,0.149504
200510,99,7,-0.230706,128,-174.015388,-0.230912,-169.756074,0.795782,0.212097
200511,98,7,4.719684,3,-169.295704,4.837491,-164.918583,0.715917,0.115730
200512,113,8,-2.526128,49,-171.821832,-2.527047,-167.445630,0.681624,0.118986
200601,112,8,1.012923,23,-170.808909,1.014678,-166.430952,0.745860,0.179636
200602,112,8,4.747118,3,-166.061791,4.868440,-161.562512,0.788050,0.145799
200603,114,8,-11.497754,830,-177.559545,-11.498753,-173.061266,0.815712,0.194028
200604,111,8,0.836352,17,-176.723193,0.837660,-172.223605,0.802326,0.201400
200605,114,8,1.468948,16,-175.254246,1.472298,-170.751307,0.919189,0.250065
200606,121,9,5.376171,2,-169.878075,5.618489,-165.132819,0.931697,0.173913
200607,118,8,-2.076876,43,-171.954951,-2.077750,-167.210569,0.924052,0.162027
200608,119,8,-1.565707,45,-173.520657,-1.566497,-168.777066,0.942056,0.106353
200609,122,9,4.952997,2,-168.567660,5.104517,-163.672550,0.907446,0.106380
200610,133,9,1.231281,11,-167.336379,1.233709,-162.438841,0.868503,0.103441
200611,119,8,6.782708,1,-160.553671,8.915171,-153.523669,0.908069,0.100448
200612,119,8,-2.261020,80,-162.814692,-2.261916,-155.785585,0.898536,0.161202
200701,115,8,6.907455,1,-155.907237,13.552939,-142.232647,0.910711,0.146369
200702,109,8,-29.621666,356,-185.528903,-29.622666,-171.855312,0.906365,0.156647
200703,100,7,6.727209,1,-178.801694,8.521854,-163.333458,0.926336,0.155446
200704,110,8,1.352152,7,-177.449542,1.355021,-161.978436,0.953490,0.179696
200705,105,7,6.387103,1,-171.062439,7.286373,-154.692064,0.935005,0.169053
200706,98,7,-5.797825,58,-176.860264,-5.798821,-160.490885,0.956506,0.231598
200707,94,7,-37.995690,241,-214.855953,-37.996689,-198.487574,0.948415,0.253858
200708,89,6,-17.419573,33,-232.275527,-17.420573,-215.908147,0.954840,0.283763
200709,85,6,-20.387071,57,-252.662597,-20.388070,-236.296217,0.936882,0.240895
200710,74,5,-7.328410,40,-259.991007,-7.329408,-243.625625,0.899963,0.234072
200711,72,5,-52.328253,334,-312.319260,-52.329252,-295.954878,0.869055,0.238077
200712,68,5,-10.361813,76,-322.681073,-10.362813,-306.317691,0.870553,0.239456
200801,67,5,-6.726890,404,-329.407963,-6.727888,-313.045579,0.861321,0.270715
200802,68,5,0.266529,15,-329.141434,0.266835,-312.778744,0.865931,0.277244
200803,46,4,-4.269415,377,-333.410849,-4.270401,-317.049145,0.874867,0.194558
200804,48,4,-8.771059,235,-342.181908,-8.772058,-325.821203,0.915868,0.140073
200805,51,4,-13.810547,436,-355.992455,-13.811547,-339.632749,0.933275,0.213239
200806,36,3,4.855456,2,-351.136998,4.991779,-334.640970,0.945456,0.238494
200807,35,3,-4.030622,558,-355.167620,-4.031603,-338.672573,0.958406,0.215514
200808,36,3,-0.558619,98,-355.726239,-0.559047,-339.231620,0.916081,0.210418
200809,36,3,-9.434663,311,-365.160902,-9.435662,-348.667282,0.905198,0.206818
200810,33,3,-6.608937,86,-371.769838,-6.609935,-355.277217,0.908708,0.192886
200811,33,3,-13.057663,518,-384.827501,-13.058663,-368.335880,0.906704,0.150226
200812,30,2,-18.952850,297,-403.780352,-18.953850,-387.289729,0.882481,0.149363
200901,30,2,-7.369811,670,-411.150162,-7.370810,-394.660539,0.876192,0.164283
200902,31,3,-4.445369,694,-415.595531,-4.446356,-399.106895,0.937120,0.117494
200903,31,3,0.185954,211,-415.409577,0.186158,-398.920737,0.965765,0.094768
200904,32,3,1.697223,25,-413.712354,1.701692,-397.219045,1.014478,0.147561
200905,31,3,0.219522,219,-413.492832,0.219767,-396.999278,1.002593,0.073148
200906,31,3,-1.387796,497,-414.880628,-1.388546,-398.387824,1.009399,0.068743
200907,32,3,-2.727115,658,-417.607743,-2.728049,-401.115873,1.019521,0.081510
200908,35,3,-3.008257,637,-420.616000,-3.009207,-404.125080,1.017576,0.117167
200909,36,3,-0.666065,277,-421.282064,-0.666551,-404.791631,1.053143,0.190330
200910,36,3,1.187292,3,-420.094773,1.189572,-403.602058,0.941653,0.209161
200911,39,3,0.207029,206,-419.887743,0.207259,-403.394799,0.936788,0.251299
200912,46,4,0.421628,124,-419.466115,0.422153,-402.972646,0.966668,0.309488
201001,51,4,-0.411508,339,-419.877623,-0.411845,-403.384491,0.932765,0.241101
201002,54,4,-8.721915,563,-428.599538,-8.722915,-412.107406,0.919466,0.250771
201003,54,4,1.923170,20,-426.676368,1.929030,-410.178375,0.854541,0.261024
