date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,129,9,1.485245,29,1.485245,1.488667,1.488667,0.925489,0.123546
200308,135,9,-1.774139,111,-0.288893,-1.774969,-0.286302,0.925489,0.123546
200309,139,10,0.035876,23,-0.253018,0.035912,-0.250389,0.919795,0.126192
200310,141,10,-13.027822,644,-13.280839,-13.028821,-13.279211,0.919795,0.126192
200311,144,10,-0.391012,115,-13.671851,-0.391335,-13.670546,0.919795,0.126192
200312,144,10,-3.479392,35,-17.151243,-3.480361,-17.150907,0.919795,0.126192
200401,133,9,-5.067360,53,-22.218603,-5.068353,-22.219260,0.919795,0.126192
200402,134,9,-5.249157,33,-27.467760,-5.250151,-27.469411,0.817436,0.079838
200403,131,9,-10.777569,177,-38.245329,-10.778568,-38.247979,0.817436,0.079838
200404,127,9,-3.473983,672,-41.719312,-3.474952,-41.722931,0.817436,0.079838
200405,131,9,-21.707503,510,-63.426815,-21.708502,-63.431433,0.819621,0.097363
200406,137,10,-15.575667,753,-79.002481,-15.576666,-79.008099,0.819621,0.097363
200407,143,10,-6.041516,556,-85.043997,-6.042513,-85.050612,0.819621,0.097363
200408,144,10,-5.888076,81,-90.932073,-5.889073,-90.939685,0.831370,0.122890
200409,146,10,-18.632171,544,-109.564244,-18.633170,-109.572855,0.838770,0.115399
200410,152,11,-12.939523,359,-122.503767,-12.940523,-122.513378,0.800621,0.119280
200411,157,11,5.796526,2,-116.707241,6.194252,-116.319126,0.779549,0.124030
200412,153,11,-4.803908,615,-121.511149,-4.804899,-121.124025,0.799204,0.151624
200501,153,11,-4.568055,52,-126.079205,-4.569045,-125.693069,0.799092,0.174790
200502,158,11,-8.845050,256,-134.924255,-8.846049,-134.539119,0.780917,0.165418
200503,160,11,1.523861,14,-133.400394,1.527457,-133.011662,0.781072,0.160780
200504,173,12,-25.782819,272,-159.183212,-25.783818,-158.795480,0.815059,0.206647
200505,182,13,4.134162,3,-155.049050,4.197568,-154.597912,0.780174,0.238430
200506,176,12,2.333105,3,-152.715945,2.342458,-152.255453,0.813869,0.215311
200507,177,12,6.386249,1,-146.329696,7.284273,-144.971181,0.787606,0.176198
200508,174,12,6.891007,1,-139.438688,10.930391,-134.040790,0.758477,0.184651
200509,181,13,-18.365593,97,-157.804282,-18.366593,-152.407383,0.747822,0.197696
200510,182,13,6.794148,1,-151.010133,9.016158,-143.391225,0.722723,0.165164
200511,183,13,6.908755,1,-144.101379,34.048411,-109.342814,0.745897,0.158926
200512,151,11,6.427710,1,-137.673668,7.389406,-101.953408,0.721559,0.152643
200601,150,10,-21.468483,229,-159.142151,-21.469482,-123.422890,0.755952,0.236196
200602,154,11,6.903665,1,-152.238486,12.185728,-111.237162,0.802262,0.173029
200603,151,11,-4.563690,30,-156.802176,-4.564679,-115.801841,0.796084,0.203012
200604,146,10,0.121462,10,-156.680714,0.121591,-115.680250,0.805782,0.152336
200605,140,10,-6.811959,41,-163.492673,-6.812958,-122.493208,0.769241,0.264267
200606,130,9,1.154731,14,-162.337942,1.156906,-121.336301,0.765137,0.285479
200607,129,9,-53.670124,642,-216.008066,-53.671123,-175.007425,0.777328,0.260221
200608,128,9,-0.117392,17,-216.125458,-0.117502,-175.124927,0.799965,0.254998
200609,130,9,-1.937922,17,-218.063380,-1.938778,-177.063705,0.806544,0.262954
200610,131,9,-5.473606,67,-223.536986,-5.474602,-182.538306,0.773118,0.294686
200611,144,10,-14.189315,168,-237.726301,-14.190315,-196.728621,0.841944,0.118244
200612,139,10,-6.120081,86,-243.846382,-6.121079,-202.849699,0.836548,0.182298
200701,144,10,6.821075,1,-237.025307,9.297660,-193.552040,0.841196,0.128786
200702,148,10,-0.648200,16,-237.673507,-0.648677,-194.200717,0.833878,0.176349
200703,148,10,-15.513544,303,-253.187052,-15.514544,-209.715260,0.856425,0.136787
200704,125,9,-0.400592,62,-253.587644,-0.400922,-210.116183,0.851698,0.178085
200705,122,9,3.131211,10,-250.456433,3.153356,-206.962826,0.846273,0.190258
200706,125,9,-4.698525,155,-255.154958,-4.699516,-211.662342,0.888615,0.107410
200707,118,8,5.858077,2,-249.296881,6.287400,-205.374942,0.904166,0.128266
200708,116,8,-19.168816,220,-268.465697,-19.169815,-224.544757,0.859386,0.180266
200709,120,8,6.905741,1,-261.559955,12.710958,-211.833799,0.858512,0.216655
200710,110,8,6.151731,1,-255.408224,6.783838,-205.049961,0.848643,0.197627
200711,102,7,3.838736,2,-251.569488,3.885269,-201.164692,0.841507,0.191686
200712,96,7,-3.059168,20,-254.628657,-3.060121,-204.224813,0.810761,0.211660
200801,93,7,6.908755,1,-247.719902,27.496670,-176.728143,0.771774,0.243309
