date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,410,28,-6.832883,26,-6.832883,-6.833881,-6.833881,0.812655,0.205992
200308,413,28,-12.894782,29,-19.727665,-12.895781,-19.729663,0.812655,0.205992
200309,418,28,-15.192879,39,-34.920543,-15.193878,-34.923541,0.820647,0.214783
200310,398,27,-3.200445,4,-38.120989,-3.201404,-38.124945,0.820647,0.214783
200311,402,27,-7.139614,83,-45.260603,-7.140613,-45.265558,0.820647,0.214783
200312,406,28,-23.054177,218,-68.314780,-23.055176,-68.320734,0.820647,0.214783
200401,405,27,-4.247144,30,-72.561924,-4.248130,-72.568864,0.820647,0.214783
200402,408,28,-16.229275,63,-88.791199,-16.230275,-88.799138,0.777400,0.205125
200403,401,27,4.438251,3,-84.352948,4.525583,-84.273556,0.777400,0.205125
200404,403,27,5.448022,2,-78.904927,5.711074,-78.562482,0.777400,0.205125
200405,402,27,-6.095106,2,-85.000033,-6.096103,-84.658586,0.789975,0.215445
200406,402,27,-30.850636,339,-115.850669,-30.851635,-115.510221,0.789975,0.215445
200407,397,27,-39.624155,219,-155.474824,-39.625154,-155.135375,0.789975,0.215445
200408,396,27,6.125834,1,-149.348990,6.735607,-148.399768,0.785865,0.220712
200409,403,27,-9.196222,40,-158.545212,-9.197221,-157.596989,0.844204,0.233845
200410,399,27,6.907011,1,-151.638200,13.258721,-144.338268,0.796351,0.249567
200411,397,27,6.878846,1,-144.759355,10.402353,-133.935915,0.761134,0.267461
200412,387,26,4.192811,4,-140.566544,4.260243,-129.675672,0.813153,0.322895
200501,387,26,-3.570511,11,-144.137055,-3.571483,-133.247155,0.796188,0.317057
200502,387,26,4.051386,3,-140.085669,4.109521,-129.137633,0.798010,0.309781
200503,370,25,-9.123935,12,-149.209603,-9.124934,-138.262568,0.755387,0.315637
200504,359,24,6.908752,1,-142.300851,19.743230,-118.519337,0.729754,0.323030
200505,354,24,-6.649832,12,-148.950683,-6.650830,-125.170167,0.763684,0.326555
200506,345,23,0.977801,3,-147.972882,0.979461,-124.190706,0.744525,0.326730
200507,348,24,-27.414512,289,-175.387393,-27.415511,-151.606217,0.736697,0.324360
200508,350,24,6.906792,1,-168.480601,13.140278,-138.465939,0.740323,0.353638
200509,347,24,-18.797580,111,-187.278181,-18.798580,-157.264519,0.761057,0.373725
200510,349,24,0.837889,6,-186.440292,0.839201,-156.425317,0.729832,0.392789
200511,342,23,6.907918,1,-179.532374,13.993009,-142.432308,0.715665,0.387551
200512,345,23,-8.148399,19,-187.680773,-8.149398,-150.581706,0.719866,0.426114
200601,347,24,6.908753,1,-180.772020,20.298674,-130.283032,0.705042,0.460528
200602,349,24,-14.798013,19,-195.570033,-14.799012,-145.082044,0.705131,0.467758
200603,351,24,-17.790811,80,-213.360844,-17.791811,-162.873855,0.679472,0.485945
200604,354,24,6.826491,1,-206.534353,9.364172,-153.509683,0.743114,0.495786
200605,345,23,-16.135984,34,-222.670337,-16.136984,-169.646667,0.748785,0.508788
200606,338,23,-9.049095,14,-231.719432,-9.050095,-178.696761,0.712198,0.490474
200607,343,23,6.908755,1,-224.810677,28.954684,-149.742078,0.710952,0.473024
200608,343,23,0.986966,5,-223.823711,0.988651,-148.753427,0.714096,0.457054
200609,340,23,-1.895279,5,-225.718990,-1.896128,-150.649555,0.732451,0.427487
200610,328,22,6.908754,1,-218.810236,21.296185,-129.353370,0.757991,0.415813
200611,313,21,-7.574083,15,-226.384319,-7.575082,-136.928452,0.793577,0.452135
200612,309,21,-29.899592,185,-256.283911,-29.900592,-166.829043,0.791042,0.444863
200701,313,21,6.908752,1,-249.375159,19.546466,-147.282577,0.826400,0.459609
200702,315,21,2.970198,3,-246.404961,2.988867,-144.293711,0.831213,0.394844
200703,307,21,-8.411857,24,-254.816818,-8.412856,-152.706567,0.829474,0.396037
200704,312,21,-69.083068,745,-323.899886,-69.084068,-221.790634,0.801905,0.402548
200705,311,21,-8.888661,44,-332.788547,-8.889660,-230.680295,0.801854,0.352803
200706,307,21,-7.355224,24,-340.143771,-7.356223,-238.036518,0.833361,0.266050
200707,318,22,-27.054534,34,-367.198306,-27.055534,-265.092051,0.815531,0.206888
