date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908152,1,6.908152,14.321238,14.321238,0.868572,0.289921
200308,401,27,-19.180063,31,-12.271911,-19.181063,-4.859825,0.868572,0.289921
200309,412,28,-39.400640,374,-51.672552,-39.401640,-44.261465,0.908200,0.406980
200310,406,28,-33.780898,440,-85.453449,-33.781897,-78.043362,0.908200,0.406980
200311,416,28,-6.289113,10,-91.742562,-6.290110,-84.333472,0.908200,0.406980
200312,421,29,6.326854,1,-85.415708,7.144191,-77.189281,0.908200,0.406980
200401,429,29,-25.788921,95,-111.204629,-25.789921,-102.979202,0.908200,0.406980
200402,426,29,6.908753,1,-104.295877,19.927339,-83.051862,0.770784,0.352053
200403,428,29,-7.330117,4,-111.625994,-7.331116,-90.382978,0.770784,0.352053
200404,423,29,6.908748,1,-104.717246,18.845274,-71.537704,0.770784,0.352053
200405,423,29,-4.389347,2,-109.106592,-4.390334,-75.928038,0.763767,0.369474
200406,424,29,6.908748,1,-102.197844,18.849363,-57.078674,0.763767,0.369474
200407,425,29,-3.919465,28,-106.117309,-3.920444,-60.999119,0.763767,0.369474
200408,428,29,6.892123,1,-99.225185,10.995881,-50.003238,0.711362,0.340402
200409,439,30,6.779432,1,-92.445753,8.887844,-41.115393,0.699774,0.361543
200410,436,30,6.908754,1,-85.536999,21.765318,-19.350075,0.582376,0.307850
200411,444,30,6.908754,1,-78.628245,20.626029,1.275953,0.517660,0.292607
200412,445,30,6.908755,1,-71.719490,51.341977,52.617931,0.533346,0.340539
200501,444,30,6.908754,1,-64.810736,20.972446,73.590377,0.469433,0.272208
200502,443,30,6.878231,1,-57.932505,10.381712,83.972089,0.481328,0.264497
200503,438,30,6.908755,1,-51.023750,71.774088,155.746177,0.456490,0.265948
200504,436,30,6.908755,1,-44.114995,42.028800,197.774978,0.559332,0.330482
200505,431,29,6.908754,1,-37.206241,21.743402,219.518380,0.550183,0.341533
200506,438,30,6.908755,1,-30.297486,52.422039,271.940419,0.503663,0.302844
200507,442,30,6.908755,1,-23.388731,44.599635,316.540054,0.493443,0.366535
200508,439,30,6.908755,1,-16.479977,46.024291,362.564344,0.435730,0.359545
200509,449,30,6.908755,1,-9.571222,60.166730,422.731074,0.405966,0.380547
200510,455,31,6.908755,1,-2.662467,60.175767,482.906841,0.451406,0.285757
200511,455,31,6.908755,1,4.246288,69.524410,552.431250,0.367120,0.295509
200512,446,30,6.908755,1,11.155042,50.487174,602.918424,0.342297,0.357157
200601,430,29,6.908755,1,18.063797,81.185096,684.103520,0.344007,0.318146
200602,434,29,6.908755,1,24.972552,34.421352,718.524872,0.429089,0.330998
200603,434,29,6.908755,1,31.881307,63.041412,781.566284,0.489172,0.302143
200604,431,29,6.908755,1,38.790062,36.660320,818.226604,0.507609,0.407901
200605,433,29,6.908755,1,45.698816,26.193671,844.420275,0.655049,0.488015
200606,421,29,6.908744,1,52.607561,18.377483,862.797758,0.726645,0.422847
200607,423,29,-7.483533,7,45.124027,-7.484532,855.313226,0.769659,0.447811
200608,414,28,6.908665,1,52.032692,16.223565,871.536791,0.752008,0.544590
200609,415,28,6.908755,1,58.941447,29.757928,901.294719,0.729275,0.618030
200610,380,26,6.908424,1,65.849871,14.920872,916.215592,0.739926,0.525814
200611,389,26,5.927341,2,71.777212,6.395995,922.611587,0.705947,0.640759
200612,380,26,-8.017300,17,63.759912,-8.018299,914.593288,0.615370,0.655639
200701,378,26,6.908749,1,70.668661,18.896522,933.489809,0.639900,0.559379
200702,356,24,6.908755,1,77.577415,28.745465,962.235274,0.638679,0.557731
200703,353,24,6.908755,1,84.486170,26.958162,989.193436,0.658388,0.547499
200704,367,25,6.908755,1,91.394925,35.168623,1024.362059,0.638048,0.690939
200705,371,25,6.908755,1,98.303680,35.334049,1059.696108,0.672497,0.749839
200706,370,25,6.908754,1,105.212434,21.220807,1080.916914,0.753172,0.642909
200707,362,25,6.908755,1,112.121189,70.679402,1151.596317,0.746125,0.698830
200708,356,24,6.908755,1,119.029943,70.814076,1222.410393,0.727182,0.727001
200709,364,25,6.908750,1,125.938694,19.194216,1241.604609,0.724282,0.708323
200710,386,26,6.908755,1,132.847448,27.713887,1269.318496,0.730215,0.451616
200711,379,26,6.907837,1,139.755285,13.900398,1283.218894,0.622568,0.542782
200712,395,27,6.908755,1,146.664040,52.668797,1335.887691,0.615303,0.561873
200801,394,27,6.908755,1,153.572795,60.991559,1396.879250,0.566919,0.580096
200802,400,27,6.908755,1,160.481549,71.387066,1468.266316,0.574233,0.441926
200803,401,27,6.908755,1,167.390304,101.280541,1569.546856,0.591257,0.468075
200804,408,28,0.959054,2,168.349358,0.960665,1570.507521,0.621957,0.547601
200805,414,28,6.908724,1,175.258083,17.307756,1587.815278,0.711348,0.547402
200806,439,30,6.908755,1,182.166837,94.364000,1682.179278,0.721197,0.442551
200807,449,30,6.908755,1,189.075592,121.312494,1803.491772,0.619341,0.510283
200808,447,30,6.908755,1,195.984347,81.631955,1885.123727,0.613391,0.618773
200809,440,30,-18.134906,3,177.849441,-18.135906,1866.987821,0.595865,0.547223
200810,440,30,-144.299463,424,33.549977,-144.300463,1722.687359,0.567946,0.611107
200811,446,30,6.908755,1,40.458732,29.611878,1752.299237,0.551739,0.582803
200812,518,35,6.908041,1,47.366773,14.152211,1766.451448,0.510796,0.657158
200901,499,34,-11.959890,20,35.406883,-11.960889,1754.490559,0.650158,0.720048
200902,506,34,6.908755,1,42.315638,24.235673,1778.726232,0.659731,0.594487
200903,529,36,6.908755,1,49.224393,108.536006,1887.262238,0.620201,0.387187
200904,527,36,6.471661,1,55.696054,7.508869,1894.771107,0.597898,0.295513
200905,538,36,0.905424,2,56.601478,0.906898,1895.678005,0.575063,0.352316
200906,561,38,1.557669,11,58.159147,1.561424,1897.239429,0.663397,0.177354
200907,575,39,6.895022,1,65.054168,11.188826,1908.428255,0.443529,0.198698
200908,593,40,6.907809,1,71.961977,13.870540,1922.298796,0.441652,0.242224
200909,606,41,6.432868,1,78.394845,7.402969,1929.701765,0.484717,0.266630
200910,604,41,6.907392,1,85.302237,13.505158,1943.206924,0.578166,0.215419
200911,601,41,6.908520,1,92.210757,15.263519,1958.470442,0.574821,0.237395
200912,622,42,2.240853,3,94.451610,2.249290,1960.719732,0.589382,0.298506
201001,626,42,0.926361,3,95.377971,0.927887,1961.647619,0.782390,0.314050
201002,638,43,1.668356,8,97.046327,1.672668,1963.320288,0.861505,0.296691
201003,637,43,-2.364943,83,94.681383,-2.365849,1960.954439,0.900247,0.302467
201004,644,43,-12.846815,88,81.834568,-12.847815,1948.106624,0.996717,0.278023
201005,641,43,-8.181170,8,73.653398,-8.182169,1939.924455,0.782822,0.232157
201006,648,44,-9.178508,32,64.474891,-9.179507,1930.744948,0.823341,0.200834
201007,669,45,6.901172,1,71.376063,11.785875,1942.530823,0.778448,0.212025
201008,667,45,6.908755,1,78.284818,34.672534,1977.203357,0.762755,0.188756
201009,689,46,6.908717,1,85.193534,17.079144,1994.282500,0.823878,0.201142
201010,703,47,0.349841,14,85.543375,0.350260,1994.632760,0.858148,0.198834
201011,722,49,5.008441,3,90.551816,5.169398,1999.802158,0.864062,0.199969
201012,732,49,1.102131,4,91.653947,1.104144,2000.906302,0.811722,0.212692
201101,730,49,6.908749,1,98.562696,18.916335,2019.822636,0.828807,0.222463
201102,744,50,6.908326,1,105.471022,14.662851,2034.485487,0.825297,0.225254
201103,729,49,6.908755,1,112.379777,47.789470,2082.274957,0.778521,0.237002
201104,758,51,6.908755,1,119.288532,52.231517,2134.506474,0.695847,0.209673
201105,767,52,6.908755,1,126.197286,92.914221,2227.420695,0.712741,0.216979
201106,786,53,6.908755,1,133.106041,74.159594,2301.580289,0.767480,0.240443
201107,800,54,6.908755,1,140.014796,142.326199,2443.906488,0.743707,0.196284
201108,799,54,6.908755,1,146.923551,237.329002,2681.235490,0.766632,0.210000
201109,820,55,6.908755,1,153.832306,260.194305,2941.429795,0.780467,0.172643
201110,834,56,6.908755,1,160.741060,87.798401,3029.228195,0.717738,0.187735
201111,823,55,6.908755,1,167.649815,374.276762,3403.504958,0.717303,0.206670
201112,845,57,6.908755,1,174.558570,86.606725,3490.111682,0.770452,0.177719
201201,858,58,6.908755,1,181.467325,24.393299,3514.504981,0.818456,0.184141
201202,871,59,6.908755,1,188.376079,35.347488,3549.852469,0.805559,0.164163
201203,863,58,6.908755,1,195.284834,39.941042,3589.793511,0.823178,0.204834
201204,886,60,6.908755,1,202.193589,45.278757,3635.072269,0.904398,0.204832
201205,877,59,6.908755,1,209.102344,134.079502,3769.151771,0.903108,0.185939
201206,892,60,-7.141950,21,201.960394,-7.142949,3762.008822,0.910493,0.208857
201207,896,60,6.908755,1,208.869149,31.972855,3793.981677,0.883415,0.206702
201208,894,60,6.908755,1,215.777903,47.864908,3841.846585,0.916352,0.196787
201209,930,62,-8.361360,8,207.416543,-8.362359,3833.484225,0.890218,0.164851
201210,942,63,6.848384,1,214.264927,9.684673,3843.168899,0.894896,0.214035
201211,939,63,6.908755,1,221.173682,32.222449,3875.391348,0.896723,0.222034
201212,943,63,6.908755,1,228.082437,25.364966,3900.756314,0.898153,0.191445
201301,954,64,-0.790828,3,227.291609,-0.791375,3899.964940,0.946812,0.203074
201302,972,65,6.908754,1,234.200363,21.755722,3921.720662,0.981526,0.272945
201303,958,64,6.908752,1,241.109115,19.682941,3941.403603,1.064064,0.251323
201304,947,64,6.908755,1,248.017870,84.919926,4026.323528,1.146291,0.262106
201305,948,64,-6.259056,30,241.758814,-6.260054,4020.063474,1.010974,0.254388
201306,958,64,6.012927,1,247.771741,6.536631,4026.600106,1.063706,0.286363
201307,965,65,6.908755,1,254.680495,25.463796,4052.063902,1.017693,0.280841
201308,957,64,6.903748,1,261.584243,12.202156,4064.266058,0.966558,0.276595
201309,943,63,6.874841,1,268.459084,10.274688,4074.540746,0.939629,0.261892
201310,933,63,-3.646999,8,264.812085,-3.647972,4070.892774,0.897843,0.244413
201311,946,64,1.280728,3,266.092814,1.283331,4072.176105,0.945728,0.244268
201312,942,63,-20.611293,46,245.481521,-20.612292,4051.563812,0.924890,0.247911
201401,936,63,6.908755,1,252.390275,49.901078,4101.464890,0.926867,0.252472
201402,941,63,6.908747,1,259.299023,18.707684,4120.172574,0.950932,0.204430
201403,921,62,-28.147228,151,231.151794,-28.148228,4092.024346,0.956523,0.212264
201404,927,62,-19.431209,126,211.720585,-19.432209,4072.592137,0.939690,0.227887
201405,935,63,6.908099,1,218.628684,14.236873,4086.829010,0.915228,0.214678
201406,943,63,6.908754,1,225.537437,20.642514,4107.471524,0.874888,0.214595
201407,960,64,6.908755,1,232.446192,53.800946,4161.272470,0.865813,0.226724
201408,968,65,6.908755,1,239.354947,86.157100,4247.429569,0.872794,0.207911
201409,985,66,6.908755,1,246.263702,90.533678,4337.963248,0.874043,0.190825
201410,994,67,-6.893153,3,239.370548,-6.894152,4331.069096,0.915752,0.110847
201411,973,65,6.908755,1,246.279303,27.274803,4358.343899,0.909901,0.123253
201412,967,65,-10.754022,2,235.525281,-10.755022,4347.588877,0.919651,0.131847
201501,976,66,2.588226,2,238.113506,2.600608,4350.189485,0.954820,0.124522
201502,959,64,-20.584342,99,217.529165,-20.585341,4329.604144,0.941825,0.096832
201503,951,64,6.908755,1,224.437919,59.565959,4389.170103,0.934988,0.097421
201504,928,62,6.908739,1,231.346659,17.984861,4407.154964,0.919919,0.105994
201505,923,62,6.907463,1,238.254122,13.558956,4420.713919,0.943585,0.112437
201506,940,63,6.908753,1,245.162875,20.343187,4441.057106,0.934674,0.070197
201507,927,62,6.908755,1,252.071630,115.793482,4556.850588,0.882058,0.068461
201508,939,63,6.908755,1,258.980385,44.683431,4601.534019,0.916180,0.098973
201509,942,63,6.908755,1,265.889139,132.061877,4733.595896,0.907261,0.064434
201510,956,64,6.908755,1,272.797894,82.599629,4816.195525,0.903285,0.068137
201511,940,63,6.908755,1,279.706649,100.944774,4917.140299,0.910746,0.020756
201512,849,57,6.908755,1,286.615404,69.649068,4986.789367,0.908680,0.112640
201601,844,57,6.908755,1,293.524159,114.490851,5101.280218,0.945635,0.114399
201602,854,57,6.908755,1,300.432913,31.685476,5132.965694,0.923147,0.010608
201603,867,58,6.834830,1,307.267743,9.475275,5142.440968,0.938808,0.045166
201604,875,59,-55.204902,168,252.062841,-55.205902,5087.235067,0.943055,0.017567
201605,890,60,6.908755,1,258.971596,44.980477,5132.215543,0.921048,0.075380
201606,920,62,6.908755,1,265.880351,36.793753,5169.009297,0.907907,0.119720
201607,913,61,6.908755,1,272.789106,32.649745,5201.659041,0.930557,0.085350
201608,922,62,-3.082489,10,269.706617,-3.083443,5198.575598,0.948717,0.126920
201609,916,62,-1.704003,6,268.002614,-1.704820,5196.870778,0.919369,0.111581
201610,933,63,6.908755,1,274.911369,36.121856,5232.992634,0.927397,0.085400
201611,940,63,-9.584714,9,265.326655,-9.585713,5223.406921,0.946683,0.069981
201612,948,64,-20.150813,90,245.175842,-20.151812,5203.255109,0.955883,0.021899
201701,930,62,-3.632755,4,241.543087,-3.633728,5199.621380,0.944981,0.013011
201702,933,63,6.908755,1,248.451842,27.760873,5227.382254,0.950330,-0.033928
201703,935,63,6.908755,1,255.360596,49.270703,5276.652957,0.979708,-0.037964
201704,933,63,6.908755,1,262.269351,22.234215,5298.887171,0.984313,-0.021132
201705,963,65,-1.517963,9,260.751388,-1.518743,5297.368428,0.982256,-0.037195
201706,994,67,4.980709,3,265.732097,5.136869,5302.505297,0.988356,-0.002124
201707,983,66,6.483476,1,272.215573,7.542602,5310.047899,0.994764,-0.019521
201708,973,65,0.559772,2,272.775346,0.560523,5310.608422,1.018597,0.011312
201709,972,65,6.908755,1,279.684100,42.725688,5353.334110,1.015191,0.072662
201710,991,67,6.908755,1,286.592855,50.468518,5403.802628,0.963109,0.097892
201711,1019,68,6.908755,1,293.501610,79.314178,5483.116806,0.945273,0.098283
201712,1057,71,6.908755,1,300.410365,61.582099,5544.698904,0.943107,0.098357
201801,1065,71,6.908755,1,307.319119,81.225492,5625.924397,0.937347,0.101606
201802,1057,71,6.908755,1,314.227874,114.874184,5740.798581,0.911415,0.156507
201803,1066,72,6.908755,1,321.136629,193.814217,5934.612798,0.891402,0.165165
201804,1083,73,6.908755,1,328.045384,232.727409,6167.340207,0.922432,0.133644
201805,1061,71,6.908755,1,334.954139,139.366832,6306.707039,0.935432,0.098120
201806,1094,73,6.908755,1,341.862893,183.938005,6490.645044,0.917515,0.096680
201807,1104,74,6.908755,1,348.771648,71.673408,6562.318452,0.911315,0.075707
201808,1112,75,6.908755,1,355.680403,209.261876,6771.580329,0.898574,0.034557
201809,1132,76,6.908755,1,362.589158,83.172732,6854.753060,0.913175,0.045116
201810,1120,75,6.908755,1,369.497912,41.351658,6896.104719,0.922925,-0.002401
201811,1111,75,6.908755,1,376.406667,146.687310,7042.792029,0.928916,-0.076462
201812,1115,75,6.908755,1,383.315422,71.711264,7114.503293,0.948772,-0.124039
201901,1128,76,6.908755,1,390.224177,53.306885,7167.810178,0.952983,-0.149495
201902,1150,77,6.908755,1,397.132932,53.973253,7221.783431,0.953263,-0.197755
201903,1143,77,6.908755,1,404.041686,55.132139,7276.915569,0.960500,-0.155759
201904,1153,77,-18.963412,49,385.078275,-18.964411,7257.951158,0.950026,-0.128188
201905,1159,78,6.908755,1,391.987029,33.336133,7291.287291,0.948703,-0.039871
201906,1188,80,6.908755,1,398.895784,24.583644,7315.870934,0.925866,0.037202
201907,1224,82,6.908755,1,405.804539,71.493978,7387.364912,0.930089,0.024286
201908,1225,82,6.908755,1,412.713294,131.034193,7518.399105,0.920392,0.049213
201909,1259,84,6.908755,1,419.622048,163.363045,7681.762150,0.901542,-0.033735
201910,1252,84,6.892549,1,426.514597,11.022005,7692.784155,0.909585,-0.031542
201911,1260,84,-19.565656,7,406.948941,-19.566655,7673.217499,0.928568,-0.021256
201912,1249,84,3.908589,2,410.857530,3.958650,7677.176149,0.966870,-0.023963
202001,1235,83,6.908755,1,417.766285,108.991851,7786.168000,0.983260,-0.025564
202002,1240,83,6.864608,1,424.630893,10.005828,7796.173828,0.986321,-0.129817
202003,1159,78,-236.487208,627,188.143684,-236.488208,7559.685620,0.994917,-0.120037
202004,1142,77,6.908755,1,195.052439,47.770574,7607.456195,0.983939,-0.059429
202005,1105,74,6.908755,1,201.961194,139.045892,7746.502087,0.976962,-0.050423
202006,1099,74,1.351246,3,203.312440,1.354113,7747.856200,0.984751,-0.056641
202007,1075,72,6.908755,1,210.221195,106.255588,7854.111788,0.980886,-0.137131
202008,1056,71,-14.994722,11,195.226472,-14.995722,7839.116066,0.978067,-0.098525
202009,905,61,6.908753,1,202.135226,20.256422,7859.372488,0.960869,-0.035029
