date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,-1.286084,22,-1.286084,-1.286808,-1.286808,0.806576,0.036066
200308,54,4,-22.617281,351,-23.903365,-22.618280,-23.905088,0.806576,0.036066
200309,53,4,-0.908984,30,-24.812349,-0.909581,-24.814669,0.797163,0.095671
200310,62,5,0.933081,16,-23.879268,0.934624,-23.880044,0.797163,0.095671
200311,62,5,-5.665570,29,-29.544837,-5.666566,-29.546610,0.797163,0.095671
200312,64,5,-3.045574,35,-32.590411,-3.046526,-32.593136,0.797163,0.095671
200401,67,5,0.507549,16,-32.082862,0.508211,-32.084925,0.797163,0.095671
200402,69,5,-7.589630,67,-39.672492,-7.590629,-39.675554,0.774022,0.222895
200403,67,5,-5.240020,279,-44.912512,-5.241014,-44.916568,0.774022,0.222895
200404,67,5,-0.060592,140,-44.973104,-0.060651,-44.977219,0.774022,0.222895
200405,69,5,-13.388338,307,-58.361442,-13.389337,-58.366556,0.743132,0.258159
200406,73,5,-17.518160,467,-75.879602,-17.519160,-75.885716,0.743132,0.258159
200407,71,5,-5.316943,792,-81.196545,-5.317938,-81.203654,0.743132,0.258159
200408,69,5,0.742458,59,-80.454088,0.743560,-80.460094,0.724992,0.346761
200409,72,5,0.884811,90,-79.569277,0.886234,-79.573860,0.735115,0.389705
200410,71,5,0.454073,114,-79.115204,0.454648,-79.119212,0.733092,0.538443
200411,72,5,-0.230873,89,-79.346076,-0.231079,-79.350291,0.717947,0.581927
200412,72,5,1.873065,25,-77.473012,1.878588,-77.471703,0.738568,0.553167
200501,72,5,0.383266,73,-77.089745,0.383733,-77.087969,0.742910,0.556623
200502,87,6,0.973916,27,-76.115829,0.975565,-76.112404,0.742707,0.546632
200503,88,6,-0.864571,81,-76.980400,-0.865150,-76.977553,0.741041,0.526063
200504,89,6,5.107361,1,-71.873039,5.286767,-71.690786,0.504420,0.513699
200505,90,6,-6.892570,534,-78.765609,-6.893568,-78.584354,0.445558,0.388715
200506,93,7,-2.452682,89,-81.218291,-2.453595,-81.037949,0.358674,0.334582
200507,93,7,-0.914320,29,-82.132611,-0.914919,-81.952868,0.307934,0.287624
