date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,-1.454609,792,-1.454609,-1.455375,-1.455375,0.819011,0.500990
200308,24,2,-0.287708,246,-1.742317,-0.287958,-1.743333,0.819011,0.500990
200309,26,2,1.258513,43,-0.483804,1.261036,-0.482297,0.717688,-0.710348
200310,26,2,-0.023478,362,-0.507282,-0.023501,-0.505798,0.717688,-0.710348
200311,25,2,-4.201377,463,-4.708658,-4.202361,-4.708159,0.717688,-0.710348
200312,25,2,-4.459766,594,-9.168424,-4.460754,-9.168913,0.717688,-0.710348
200401,27,2,-2.895752,704,-12.064177,-2.896696,-12.065609,0.717688,-0.710348
200402,28,2,-3.842717,545,-15.906893,-3.843695,-15.909304,0.613762,-0.611789
200403,29,2,-0.011415,245,-15.918308,-0.011426,-15.920730,0.613762,-0.611789
200404,27,2,0.162875,326,-15.755433,0.163052,-15.757678,0.613762,-0.611789
200405,31,3,2.957231,10,-12.798202,2.975644,-12.782034,0.561915,-0.676518
200406,33,3,-1.219321,185,-14.017523,-1.220026,-14.002060,0.561915,-0.676518
200407,34,3,-0.159592,425,-14.177115,-0.159740,-14.161799,0.561915,-0.676518
200408,34,3,-0.357577,536,-14.534692,-0.357878,-14.519677,0.564194,-0.457112
200409,33,3,-0.076326,359,-14.611018,-0.076399,-14.596076,0.579726,-0.255098
200410,33,3,1.085868,51,-13.525150,1.087832,-13.508244,0.580291,-0.210215
200411,34,3,0.027067,327,-13.498083,0.027095,-13.481150,0.623491,0.240588
200412,34,3,0.276540,209,-13.221544,0.276858,-13.204292,0.738285,-0.142455
200501,36,3,-0.236409,184,-13.457953,-0.236620,-13.440911,0.827111,0.088893
200502,36,3,1.562145,54,-11.895807,1.565922,-11.874990,0.869521,0.355690
200503,35,3,-4.010548,915,-15.906355,-4.011530,-15.886519,0.811825,-0.256070
200504,38,3,-2.825460,426,-18.731816,-2.826401,-18.712920,0.809004,-0.197265
200505,38,3,-1.185408,324,-19.917224,-1.186102,-19.899022,0.820693,-0.398575
200506,38,3,-8.272568,912,-28.189792,-8.273567,-28.172589,0.794175,-0.493009
200507,43,3,-3.315100,184,-31.504892,-3.316063,-31.488652,0.691100,-0.264338
200508,43,3,2.746815,11,-28.758077,2.761515,-28.727138,0.568039,0.169512
200509,43,3,-1.538774,175,-30.296851,-1.539559,-30.266697,0.589118,0.136032
200510,43,3,-0.999167,232,-31.296019,-0.999799,-31.266496,0.388256,0.093760
200511,45,3,-0.405659,324,-31.701678,-0.405992,-31.672488,0.348637,0.171724
200512,45,3,0.461291,124,-31.240387,0.461877,-31.210611,0.342782,0.269035
200601,46,4,-0.767810,405,-32.008197,-0.768346,-31.978957,0.337446,0.421732
200602,48,4,0.379204,60,-31.628993,0.379665,-31.599292,0.445637,0.426545
200603,46,4,-3.845859,371,-35.474852,-3.846837,-35.446129,0.442798,0.293177
200604,46,4,-20.789471,884,-56.264323,-20.790471,-56.236599,0.720623,-0.033023
200605,47,4,-6.672268,239,-62.936590,-6.673266,-62.909865,0.742044,0.855748
200606,47,4,0.585416,130,-62.351175,0.586212,-62.323653,0.729988,0.716582
200607,48,4,-6.798323,426,-69.149498,-6.799322,-69.122975,0.789575,0.551503
200608,48,4,1.434553,54,-67.714946,1.437755,-67.685220,0.786565,0.658638
200609,48,4,0.303167,155,-67.411779,0.303521,-67.381698,0.741801,0.682942
200610,48,4,-4.320087,207,-71.731865,-4.321073,-71.702771,0.732075,0.640926
200611,49,4,-8.198977,504,-79.930842,-8.199976,-79.902747,0.498253,-0.665585
200612,50,4,-2.432347,201,-82.363189,-2.433259,-82.336007,0.539698,-0.374466
200701,49,4,5.896744,1,-76.466445,6.347496,-75.988511,0.554846,0.170018
200702,48,4,4.850077,3,-71.616368,4.985611,-71.002900,0.536102,0.704043
200703,48,4,-0.255909,136,-71.872277,-0.256135,-71.259035,0.608415,0.803730
200704,49,4,2.480370,14,-69.391907,2.491376,-68.767659,0.554915,1.173876
200705,50,4,2.244484,19,-67.147423,2.252956,-66.514703,0.711472,0.924940
