date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-2.679313,8,-2.679313,-2.680244,-2.680244,0.913733,0.360729
200308,88,6,6.906282,1,4.226969,12.908826,10.228582,0.913733,0.360729
200309,94,7,0.160211,3,4.387181,0.160385,10.388967,0.849909,0.280997
200310,97,7,-11.814277,129,-7.427097,-11.815277,-1.426309,0.849909,0.280997
200311,98,7,-2.935190,120,-10.362287,-2.936136,-4.362446,0.849909,0.280997
200312,96,7,-23.905915,88,-34.268202,-23.906915,-28.269361,0.849909,0.280997
200401,106,8,-5.387174,17,-39.655376,-5.388168,-33.657529,0.849909,0.280997
200402,101,7,4.152054,2,-35.503321,4.216662,-29.440868,0.815103,0.257098
200403,106,8,-4.914020,36,-40.417341,-4.915012,-34.355880,0.815103,0.257098
200404,107,8,-4.908714,47,-45.326056,-4.909706,-39.265586,0.815103,0.257098
200405,108,8,3.003905,4,-42.322151,3.023255,-36.242331,0.847245,0.272460
200406,106,8,3.328651,5,-38.993500,3.355920,-32.886411,0.847245,0.272460
200407,110,8,0.088190,47,-38.905310,0.088282,-32.798129,0.847245,0.272460
200408,108,8,-2.424505,33,-41.329814,-2.425416,-35.223545,0.823817,0.267368
200409,111,8,1.438192,33,-39.891622,1.441410,-33.782134,0.852840,0.285309
200410,108,8,6.794901,1,-33.096721,9.023132,-24.759003,0.812443,0.258236
200411,109,8,5.017512,2,-28.079209,5.180073,-19.578930,0.808984,0.273476
200412,116,8,-4.206856,39,-32.286064,-4.207840,-23.786770,0.844970,0.314343
200501,115,8,-14.651278,86,-46.937343,-14.652278,-38.439048,0.813778,0.323536
200502,115,8,-2.960707,35,-49.898049,-2.961655,-41.400703,0.858836,0.243527
200503,111,8,-0.471030,157,-50.369079,-0.471405,-41.872108,0.823284,0.282646
200504,100,7,-33.508545,577,-83.877624,-33.509545,-75.381653,0.829079,0.229393
200505,98,7,-5.332218,40,-89.209843,-5.333213,-80.714866,0.858702,0.205160
200506,104,7,3.315257,7,-85.894586,3.342145,-77.372721,0.869432,0.208859
200507,105,7,0.219731,72,-85.674855,0.219977,-77.152744,0.798696,0.184994
200508,104,7,6.316705,1,-79.358150,7.121332,-70.031412,0.743319,0.169382
200509,101,7,-4.523194,237,-83.881344,-4.524183,-74.555595,0.766434,0.149504
200510,103,7,-5.774841,213,-89.656185,-5.775838,-80.331433,0.795782,0.212097
200511,101,7,3.167359,4,-86.488826,3.190366,-77.141066,0.715917,0.115730
200512,116,8,-11.265542,77,-97.754368,-11.266541,-88.407608,0.681624,0.118986
200601,116,8,6.804213,1,-90.950155,9.113193,-79.294415,0.745860,0.179636
200602,116,8,1.469596,23,-89.480559,1.472949,-77.821465,0.788050,0.145799
200603,118,8,-10.267032,187,-99.747590,-10.268031,-88.089496,0.815712,0.194028
200604,117,8,1.151813,14,-98.595778,1.153979,-86.935517,0.802326,0.201400
200605,120,8,-5.561126,78,-104.156904,-5.562122,-92.497639,0.919189,0.250065
200606,128,9,-11.299331,401,-115.456236,-11.300331,-103.797970,0.931697,0.173913
200607,125,9,-0.777039,100,-116.233274,-0.777579,-104.575549,0.924052,0.162027
200608,127,9,-4.924664,61,-121.157938,-4.925656,-109.501205,0.942056,0.106353
