date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,1.476896,18,1.476896,1.480281,1.480281,0.925489,0.123546
200308,143,10,-2.601697,112,-1.124801,-2.602623,-1.122341,0.925489,0.123546
200309,148,10,-10.179723,95,-11.304524,-10.180722,-11.303064,0.919795,0.126192
200310,150,10,-1.050726,14,-12.355250,-1.051376,-12.354440,0.919795,0.126192
200311,152,11,-1.266641,79,-13.621891,-1.267359,-13.621799,0.919795,0.126192
200312,150,10,5.629903,1,-7.991988,5.955128,-7.666671,0.919795,0.126192
200401,139,10,-11.095363,64,-19.087351,-11.096363,-18.763033,0.919795,0.126192
200402,143,10,-9.993350,45,-29.080701,-9.994349,-28.757383,0.817436,0.079838
200403,139,10,-1.620204,95,-30.700905,-1.621005,-30.378388,0.817436,0.079838
200404,135,9,-3.782202,872,-34.483107,-3.783179,-34.161567,0.817436,0.079838
200405,140,10,-2.396720,24,-36.879827,-2.397629,-36.559196,0.819621,0.097363
200406,146,10,-15.337588,550,-52.217415,-15.338587,-51.897783,0.819621,0.097363
200407,152,11,0.397034,27,-51.820381,0.397522,-51.500262,0.819621,0.097363
200408,153,11,-12.958815,315,-64.779195,-12.959814,-64.460076,0.831370,0.122890
200409,155,11,-5.286518,146,-70.065713,-5.287512,-69.747588,0.838770,0.115399
200410,162,11,-15.088788,616,-85.154502,-15.089788,-84.837376,0.800621,0.119280
200411,167,12,-1.341792,18,-86.496293,-1.342530,-86.179906,0.779549,0.124030
200412,163,11,0.781762,66,-85.714532,0.782948,-85.396958,0.799204,0.151624
200501,164,11,-4.203500,123,-89.918032,-4.204485,-89.601443,0.799092,0.174790
200502,169,12,-1.166956,110,-91.084988,-1.167644,-90.769087,0.780917,0.165418
200503,172,12,-21.513309,470,-112.598296,-21.514308,-112.283396,0.781072,0.160780
200504,187,13,1.435358,4,-111.162938,1.438564,-110.844831,0.815059,0.206647
200505,196,14,-0.796231,17,-111.959170,-0.796780,-111.641611,0.780174,0.238430
200506,190,13,6.878862,1,-105.080308,10.402911,-101.238700,0.813869,0.215311
200507,190,13,0.944127,25,-104.136180,0.945699,-100.293001,0.787606,0.176198
200508,190,13,4.955370,2,-99.180810,5.107281,-95.185720,0.758477,0.184651
200509,197,14,-8.348748,33,-107.529558,-8.349747,-103.535467,0.747822,0.197696
200510,194,13,-9.283383,37,-116.812941,-9.284382,-112.819849,0.722723,0.165164
200511,197,14,-2.563533,36,-119.376474,-2.564455,-115.384305,0.745897,0.158926
200512,165,11,-5.120038,110,-124.496512,-5.121032,-120.505337,0.721559,0.152643
200601,164,11,-1.188920,14,-125.685432,-1.189615,-121.694952,0.755952,0.236196
200602,171,12,4.148257,5,-121.537175,4.212608,-117.482344,0.802262,0.173029
200603,168,12,-8.886237,134,-130.423412,-8.887236,-126.369580,0.796084,0.203012
200604,158,11,-6.535991,34,-136.959403,-6.536989,-132.906569,0.805782,0.152336
200605,152,11,6.267506,1,-130.691897,7.014393,-125.892176,0.769241,0.264267
200606,142,10,-6.759635,53,-137.451532,-6.760634,-132.652810,0.765137,0.285479
200607,141,10,-14.260365,42,-151.711897,-14.261364,-146.914174,0.777328,0.260221
200608,140,10,6.907753,1,-144.804144,13.812952,-133.101223,0.799965,0.254998
200609,142,10,0.416253,44,-144.387891,0.416769,-132.684453,0.806544,0.262954
200610,143,10,-0.523470,15,-144.911361,-0.523877,-133.208330,0.773118,0.294686
200611,157,11,-1.405684,20,-146.317045,-1.406439,-134.614769,0.841944,0.118244
200612,147,10,-3.393785,67,-149.710830,-3.394750,-138.009519,0.836548,0.182298
200701,152,11,-7.843396,82,-157.554226,-7.844395,-145.853915,0.841196,0.128786
200702,157,11,-5.798173,77,-163.352399,-5.799169,-151.653084,0.833878,0.176349
200703,157,11,-15.279007,153,-178.631405,-15.280006,-166.933090,0.856425,0.136787
200704,134,9,-0.376905,40,-179.008311,-0.377219,-167.310310,0.851698,0.178085
200705,131,9,-26.567546,792,-205.575857,-26.568545,-193.878855,0.846273,0.190258
