date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,-9.386755,26,-9.386755,-9.387754,-9.387754,0.812655,0.205992
200308,444,30,-20.303919,174,-29.690674,-20.304919,-29.692673,0.812655,0.205992
200309,451,31,-6.929788,20,-36.620462,-6.930787,-36.623460,0.820647,0.214783
200310,433,29,-28.404914,66,-65.025376,-28.405913,-65.029373,0.820647,0.214783
200311,437,30,-4.684703,51,-69.710079,-4.685694,-69.715067,0.820647,0.214783
200312,442,30,0.779913,10,-68.930166,0.781095,-68.933972,0.820647,0.214783
200401,441,30,-11.349090,114,-80.279256,-11.350089,-80.284061,0.820647,0.214783
200402,445,30,6.902766,1,-73.376490,12.022621,-68.261440,0.777400,0.205125
200403,438,30,6.908642,1,-66.467848,15.997204,-52.264236,0.777400,0.205125
200404,440,30,-48.968919,214,-115.436767,-48.969919,-101.234155,0.777400,0.205125
200405,435,29,6.063233,1,-109.373534,6.623183,-94.610972,0.789975,0.215445
200406,436,30,-12.303512,45,-121.677047,-12.304512,-106.915484,0.789975,0.215445
200407,432,29,3.076067,5,-118.600979,3.096957,-103.818527,0.789975,0.215445
200408,431,29,6.908755,1,-111.692225,25.215375,-78.603151,0.785865,0.220712
200409,441,30,-23.588162,25,-135.280387,-23.589162,-102.192313,0.844204,0.233845
200410,437,30,6.889329,1,-128.391058,10.839175,-91.353138,0.796351,0.249567
200411,434,29,-0.460623,3,-128.851681,-0.460992,-91.814130,0.761134,0.267461
200412,423,29,6.878299,1,-121.973382,10.383955,-81.430176,0.813153,0.322895
200501,425,29,1.309491,4,-120.663891,1.312199,-80.117976,0.796188,0.317057
200502,427,29,-5.613719,18,-126.277610,-5.614715,-85.732692,0.798010,0.309781
200503,411,28,-0.550899,2,-126.828510,-0.551323,-86.284014,0.755387,0.315637
200504,404,27,6.386755,1,-120.441755,7.285515,-78.998500,0.729754,0.323030
200505,402,27,6.908755,1,-113.533000,25.735948,-53.262552,0.763684,0.326555
200506,397,27,6.908385,1,-106.624615,14.810591,-38.451961,0.744525,0.326730
200507,403,27,-7.838302,7,-114.462917,-7.839301,-46.291262,0.736697,0.324360
200508,405,27,-2.960880,6,-117.423797,-2.961828,-49.253090,0.740323,0.353638
200509,404,27,6.780153,1,-110.643645,8.893796,-40.359294,0.761057,0.373725
200510,414,28,-14.462556,37,-125.106201,-14.463556,-54.822850,0.729832,0.392789
200511,411,28,6.908062,1,-118.198139,14.182260,-40.640590,0.715665,0.387551
200512,411,28,-6.495015,36,-124.693154,-6.496013,-47.136603,0.719866,0.426114
200601,413,28,6.896858,1,-117.796296,11.333284,-35.803319,0.705042,0.460528
200602,424,29,4.283023,4,-113.513273,4.357164,-31.446155,0.705131,0.467758
200603,419,28,6.684993,1,-106.828279,8.290965,-23.155190,0.679472,0.485945
200604,424,29,-15.739308,8,-122.567588,-15.740308,-38.895498,0.743114,0.495786
200605,416,28,-0.834268,8,-123.401856,-0.834834,-39.730332,0.748785,0.508788
200606,410,28,-17.375199,4,-140.777055,-17.376199,-57.106530,0.712198,0.490474
200607,416,28,5.731142,2,-135.045913,6.098332,-51.008199,0.710952,0.473024
200608,417,28,6.908755,1,-128.137158,28.140325,-22.867873,0.714096,0.457054
200609,416,28,6.889244,1,-121.247914,10.834772,-12.033101,0.732451,0.427487
200610,403,27,6.908754,1,-114.339160,20.719768,8.686667,0.757991,0.415813
200611,394,27,-6.422689,19,-120.761849,-6.423687,2.262981,0.793577,0.452135
200612,395,27,-2.924125,5,-123.685974,-2.925070,-0.662090,0.791042,0.444863
200701,400,27,-2.544551,8,-126.230525,-2.545472,-3.207562,0.826400,0.459609
200702,391,27,-2.445133,2,-128.675658,-2.446046,-5.653608,0.831213,0.394844
200703,380,26,6.908755,1,-121.766903,23.703459,18.049851,0.829474,0.396037
200704,384,26,-16.435965,31,-138.202868,-16.436965,1.612886,0.801905,0.402548
200705,384,26,-5.933713,37,-144.136581,-5.934710,-4.321824,0.801854,0.352803
200706,381,26,6.908753,1,-137.227828,20.275894,15.954070,0.833361,0.266050
200707,390,26,-23.472399,6,-160.700227,-23.473399,-7.519328,0.815531,0.206888
200708,376,26,-34.328475,83,-195.028702,-34.329474,-41.848803,0.739989,0.266138
200709,381,26,-9.527523,41,-204.556225,-9.528522,-51.377325,0.743063,0.251676
200710,379,26,6.907362,1,-197.648862,13.483676,-37.893649,0.761253,0.293980
200711,387,26,-0.775532,3,-198.424394,-0.776071,-38.669720,0.738837,0.245779
200712,381,26,6.908755,1,-191.515639,33.907924,-4.761796,0.741785,0.284568
200801,384,26,6.908755,1,-184.606884,42.831389,38.069593,0.741989,0.300553
200802,384,26,-22.544784,32,-207.151668,-22.545783,15.523809,0.730668,0.256812
200803,377,26,-9.728449,3,-216.880117,-9.729448,5.794361,0.730392,0.261581
200804,387,26,-1.084796,7,-217.964913,-1.085458,4.708903,0.743121,0.225851
200805,405,27,-1.943992,4,-219.908905,-1.944848,2.764055,0.776369,0.198034
200806,413,28,6.908754,1,-213.000150,21.935682,24.699737,0.773453,0.209175
200807,424,29,-1.601182,21,-214.601332,-1.601980,23.097757,0.772566,0.184370
200808,427,29,6.908748,1,-207.692584,18.874861,41.972618,0.861124,0.102765
200809,428,29,-97.329694,566,-305.022278,-97.330694,-55.358076,0.867240,0.049628
200810,424,29,-14.016442,11,-319.038720,-14.017442,-69.375517,0.866159,0.056729
200811,415,28,-79.390585,493,-398.429305,-79.391585,-148.767102,0.829633,0.071898
