date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,53.555973,53.555973,0.868572,0.289921
200308,401,27,6.908755,1,13.817510,99.822084,153.378058,0.868572,0.289921
200309,412,28,6.908755,1,20.726264,23.794707,177.172765,0.908200,0.406980
200310,406,28,6.908755,1,27.635019,38.206687,215.379452,0.908200,0.406980
200311,416,28,6.908755,1,34.543774,67.421677,282.801129,0.908200,0.406980
200312,421,29,6.908755,1,41.452529,76.509569,359.310698,0.908200,0.406980
200401,429,29,6.908755,1,48.361283,100.011778,459.322475,0.908200,0.406980
200402,426,29,6.908755,1,55.270038,159.334735,618.657211,0.770784,0.352053
200403,428,29,6.908755,1,62.178793,139.344898,758.002109,0.770784,0.352053
200404,423,29,6.908755,1,69.087548,154.469225,912.471333,0.770784,0.352053
200405,423,29,6.908755,1,75.996303,156.723658,1069.194992,0.763767,0.369474
200406,424,29,6.908755,1,82.905057,100.831074,1170.026066,0.763767,0.369474
200407,425,29,6.908755,1,89.813812,28.627820,1198.653886,0.763767,0.369474
200408,428,29,6.908755,1,96.722567,69.748132,1268.402018,0.711362,0.340402
200409,439,30,6.908755,1,103.631322,123.129173,1391.531191,0.699774,0.361543
200410,436,30,6.908755,1,110.540076,118.243934,1509.775125,0.582376,0.307850
200411,444,30,6.908755,1,117.448831,75.262029,1585.037154,0.517660,0.292607
200412,445,30,6.908755,1,124.357586,151.186568,1736.223722,0.533346,0.340539
200501,444,30,6.908755,1,131.266341,187.333494,1923.557215,0.469433,0.272208
200502,443,30,6.908755,1,138.175096,139.266744,2062.823960,0.481328,0.264497
200503,438,30,6.908755,1,145.083850,315.835931,2378.659891,0.456490,0.265948
200504,436,30,6.908755,1,151.992605,200.457987,2579.117877,0.559332,0.330482
200505,431,29,6.908755,1,158.901360,220.400250,2799.518127,0.550183,0.341533
200506,438,30,6.908755,1,165.810115,232.143806,3031.661933,0.503663,0.302844
200507,442,30,6.908755,1,172.718869,161.605130,3193.267063,0.493443,0.366535
200508,439,30,6.908755,1,179.627624,244.540699,3437.807762,0.435730,0.359545
200509,449,30,6.908755,1,186.536379,348.036876,3785.844638,0.405966,0.380547
200510,455,31,6.908755,1,193.445134,378.599095,4164.443733,0.451406,0.285757
200511,455,31,6.908755,1,200.353889,336.898123,4501.341857,0.367120,0.295509
200512,446,30,6.908755,1,207.262643,427.748664,4929.090521,0.342297,0.357157
200601,430,29,6.908755,1,214.171398,390.528639,5319.619160,0.344007,0.318146
200602,434,29,6.908755,1,221.080153,209.707654,5529.326814,0.429089,0.330998
200603,434,29,6.908755,1,227.988908,309.063531,5838.390345,0.489172,0.302143
200604,431,29,6.908755,1,234.897662,284.550839,6122.941184,0.507609,0.407901
200605,433,29,6.908755,1,241.806417,249.059105,6372.000290,0.655049,0.488015
200606,421,29,6.908755,1,248.715172,191.322797,6563.323087,0.726645,0.422847
200607,423,29,6.908755,1,255.623927,126.158819,6689.481905,0.769659,0.447811
200608,414,28,6.908755,1,262.532682,114.874530,6804.356436,0.752008,0.544590
200609,415,28,6.908755,1,269.441436,185.249224,6989.605660,0.729275,0.618030
200610,380,26,6.908755,1,276.350191,110.373080,7099.978740,0.739926,0.525814
200611,389,26,6.908755,1,283.258946,160.507460,7260.486200,0.705947,0.640759
200612,380,26,6.908755,1,290.167701,161.936512,7422.422712,0.615370,0.655639
200701,378,26,6.908755,1,297.076455,149.732876,7572.155588,0.639900,0.559379
200702,356,24,6.908755,1,303.985210,154.493079,7726.648668,0.638679,0.557731
200703,353,24,6.908755,1,310.893965,151.008421,7877.657088,0.658388,0.547499
200704,367,25,6.908755,1,317.802720,150.805586,8028.462675,0.638048,0.690939
200705,371,25,6.908755,1,324.711475,152.659471,8181.122146,0.672497,0.749839
200706,370,25,6.908755,1,331.620229,133.182894,8314.305040,0.753172,0.642909
200707,362,25,6.908755,1,338.528984,160.036372,8474.341412,0.746125,0.698830
200708,356,24,6.908755,1,345.437739,261.043779,8735.385191,0.727182,0.727001
200709,364,25,6.908755,1,352.346494,141.109881,8876.495072,0.724282,0.708323
200710,386,26,6.908755,1,359.255248,121.592920,8998.087992,0.730215,0.451616
200711,379,26,6.908755,1,366.164003,121.520931,9119.608923,0.622568,0.542782
200712,395,27,6.908755,1,373.072758,223.697320,9343.306243,0.615303,0.561873
200801,394,27,6.908755,1,379.981513,142.581831,9485.888074,0.566919,0.580096
200802,400,27,6.908755,1,386.890268,169.368708,9655.256782,0.574233,0.441926
200803,401,27,6.908755,1,393.799022,191.982215,9847.238997,0.591257,0.468075
200804,408,28,6.908755,1,400.707777,65.484496,9912.723493,0.621957,0.547601
200805,414,28,6.908755,1,407.616532,173.917685,10086.641178,0.711348,0.547402
200806,439,29,6.908755,1,414.525287,291.703934,10378.345112,0.721197,0.442551
200807,449,30,6.908755,1,421.434041,357.956616,10736.301728,0.619341,0.510283
200808,447,30,6.908755,1,428.342796,294.551358,11030.853086,0.613391,0.618773
200809,440,30,6.908755,1,435.251551,82.008447,11112.861532,0.595865,0.547223
200810,440,30,-30.786560,3,404.464991,-30.787560,11082.073972,0.567946,0.611107
200811,446,30,6.908755,1,411.373745,425.654443,11507.728415,0.551739,0.582803
200812,518,35,6.908755,1,418.282500,367.693529,11875.421944,0.510796,0.657158
200901,499,34,6.908755,1,425.191255,116.302444,11991.724388,0.650158,0.720048
200902,506,34,6.908755,1,432.100010,349.289274,12341.013662,0.659731,0.594487
200903,529,36,6.908755,1,439.008764,348.124168,12689.137830,0.620201,0.387187
200904,527,36,6.908755,1,445.917519,140.790196,12829.928026,0.597898,0.295513
200905,538,36,6.908755,1,452.826274,97.531887,12927.459913,0.575063,0.352316
200906,561,38,6.908755,1,459.735029,62.455245,12989.915158,0.663397,0.177354
200907,575,39,6.908755,1,466.643784,61.377456,13051.292615,0.443529,0.198698
200908,593,40,6.908755,1,473.552538,65.718047,13117.010662,0.441652,0.242224
200909,606,41,6.908755,1,480.461293,59.144094,13176.154756,0.484717,0.266630
200910,604,41,6.908755,1,487.370048,77.236478,13253.391234,0.578166,0.215419
200911,601,41,6.908755,1,494.278803,82.953428,13336.344662,0.574821,0.237395
200912,622,42,6.908755,1,501.187558,75.603399,13411.948061,0.589382,0.298506
201001,626,42,6.908755,1,508.096312,73.835006,13485.783066,0.782390,0.314050
201002,638,43,6.908755,1,515.005067,60.352310,13546.135377,0.861505,0.296691
201003,637,43,6.908755,1,521.913822,63.042821,13609.178198,0.900247,0.302467
201004,644,43,6.908755,1,528.822577,50.364434,13659.542632,0.996717,0.278023
201005,641,43,6.908755,1,535.731331,103.548711,13763.091342,0.782822,0.232157
201006,648,44,6.908755,1,542.640086,75.607362,13838.698705,0.823341,0.200834
201007,669,45,6.908755,1,549.548841,117.671312,13956.370016,0.778448,0.212025
201008,667,45,6.908755,1,556.457596,151.577138,14107.947155,0.762755,0.188756
201009,689,46,6.908755,1,563.366351,156.957653,14264.904808,0.823878,0.201142
201010,703,47,6.908755,1,570.275105,88.737869,14353.642677,0.858148,0.198834
201011,722,49,6.908755,1,577.183860,71.472727,14425.115403,0.864062,0.199969
201012,732,49,6.908755,1,584.092615,142.647682,14567.763085,0.811722,0.212692
201101,730,49,6.908755,1,591.001370,116.578057,14684.341142,0.828807,0.222463
201102,744,50,6.908755,1,597.910124,107.675282,14792.016424,0.825297,0.225254
201103,729,49,6.908755,1,604.818879,157.087464,14949.103888,0.778521,0.237002
201104,758,51,6.908755,1,611.727634,167.781405,15116.885293,0.695847,0.209673
201105,767,52,6.908755,1,618.636389,283.141599,15400.026891,0.712741,0.216979
201106,786,53,6.908755,1,625.545144,215.200899,15615.227790,0.767480,0.240443
201107,800,54,6.908755,1,632.453898,364.304299,15979.532088,0.743707,0.196284
201108,799,54,6.908755,1,639.362653,506.948185,16486.480273,0.766632,0.210000
