date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,1.850157,42,1.850157,1.855532,1.855532,0.819011,0.500990
200308,24,2,-0.877067,153,0.973091,-0.877650,0.977882,0.819011,0.500990
200309,26,2,1.267430,67,2.240521,1.269985,2.247867,0.717688,-0.710348
200310,26,2,-0.375774,409,1.864747,-0.376087,1.871780,0.717688,-0.710348
200311,25,2,-0.368234,141,1.496513,-0.368542,1.503238,0.717688,-0.710348
200312,25,2,-0.258144,252,1.238369,-0.258372,1.244866,0.717688,-0.710348
200401,27,2,-3.125301,494,-1.886933,-3.126257,-1.881391,0.717688,-0.710348
200402,28,2,2.136358,12,0.249425,2.143855,0.262464,0.613762,-0.611789
200403,29,2,-0.568301,125,-0.318875,-0.568734,-0.306270,0.613762,-0.611789
200404,27,2,2.080884,8,1.762009,2.087921,1.781651,0.613762,-0.611789
200405,31,3,-0.507862,241,1.254147,-0.508260,1.273391,0.561915,-0.676518
200406,33,3,-2.692359,538,-1.438212,-2.693291,-1.419900,0.561915,-0.676518
200407,34,3,1.072612,53,-0.365600,1.074537,-0.345363,0.561915,-0.676518
200408,34,3,0.384479,171,0.018879,0.384948,0.039584,0.564194,-0.457112
200409,33,3,2.085037,5,2.103916,2.092107,2.131691,0.579726,-0.255098
200410,33,3,0.947517,73,3.051433,0.949097,3.080788,0.580291,-0.210215
200411,34,3,-0.124660,382,2.926773,-0.124777,2.956011,0.623491,0.240588
200412,34,3,0.718453,75,3.645226,0.719505,3.675517,0.738285,-0.142455
200501,36,3,0.294216,124,3.939442,0.294558,3.970075,0.827111,0.088893
200502,36,3,-3.714276,621,0.225166,-3.715251,0.254824,0.869521,0.355690
200503,35,3,-0.817370,360,-0.592204,-0.817928,-0.563104,0.811825,-0.256070
200504,38,3,-3.897028,336,-4.489231,-3.898007,-4.461112,0.809004,-0.197265
200505,38,3,-2.431650,602,-6.920881,-2.432562,-6.893673,0.820693,-0.398575
200506,38,3,-2.543167,144,-9.464049,-2.544088,-9.437761,0.794175,-0.493009
200507,43,3,-2.787085,382,-12.251133,-2.788023,-12.225784,0.691100,-0.264338
200508,43,3,5.136444,1,-7.114689,5.321702,-6.904082,0.568039,0.169512
200509,43,3,0.630991,77,-6.483698,0.631870,-6.272212,0.589118,0.136032
200510,43,3,1.323272,63,-5.160427,1.326031,-4.946181,0.388256,0.093760
200511,45,3,4.938597,1,-0.221830,5.087764,0.141583,0.348637,0.171724
200512,45,3,2.495720,9,2.273890,2.506913,2.648496,0.342782,0.269035
200601,46,4,4.123056,1,6.396946,4.185727,6.834223,0.337446,0.421732
200602,48,4,-3.829855,130,2.567091,-3.830833,3.003390,0.445637,0.426545
200603,46,4,3.426459,6,5.993550,3.456678,6.460068,0.442798,0.293177
200604,46,4,-4.857541,763,1.136009,-4.858533,1.601535,0.720623,-0.033023
200605,47,4,-1.082539,103,0.053469,-1.083200,0.518335,0.742044,0.855748
200606,47,4,1.865354,20,1.918824,1.870828,2.389163,0.729988,0.716582
200607,48,4,-1.383276,203,0.535547,-1.384025,1.005137,0.789575,0.551503
