date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-3.382936,352,-3.382936,-3.383902,-3.383902,0.925489,0.123546
200308,143,10,6.839018,1,3.456082,9.535711,6.151809,0.925489,0.123546
200309,148,10,4.431105,3,7.887186,4.517779,10.669588,0.919795,0.126192
200310,150,10,6.119488,2,14.006674,6.723950,17.393537,0.919795,0.126192
200311,152,11,-0.137383,65,13.869291,-0.137511,17.256026,0.919795,0.126192
200312,150,10,6.729745,1,20.599036,8.537230,25.793256,0.919795,0.126192
200401,139,10,5.128122,2,25.727158,5.311685,31.104941,0.919795,0.126192
200402,143,10,6.908755,1,32.635913,23.829691,54.934632,0.817436,0.079838
200403,139,10,6.323954,1,38.959867,7.137629,62.072261,0.817436,0.079838
200404,135,9,1.971776,24,40.931642,1.977978,64.050239,0.817436,0.079838
200405,140,10,6.855910,1,47.787552,9.821611,73.871850,0.819621,0.097363
200406,146,10,6.047042,1,53.834594,6.594982,80.466832,0.819621,0.097363
200407,152,11,6.476221,1,60.310815,7.521799,87.988632,0.819621,0.097363
200408,153,11,6.880146,1,67.190961,10.447456,98.436088,0.831370,0.122890
200409,155,11,6.894978,1,74.085938,11.185596,109.621684,0.838770,0.115399
200410,162,11,6.907902,1,80.993840,13.974061,123.595745,0.800621,0.119280
200411,167,12,5.620669,2,86.614510,5.942355,129.538100,0.779549,0.124030
200412,163,11,6.908744,1,93.523254,18.378256,147.916356,0.799204,0.151624
200501,164,11,5.102328,2,98.625582,5.280742,153.197098,0.799092,0.174790
200502,169,12,6.908754,1,105.534336,20.907390,174.104489,0.780917,0.165418
200503,172,12,6.908755,1,112.443091,39.485829,213.590318,0.781072,0.160780
200504,187,13,6.908755,1,119.351845,65.164086,278.754404,0.815059,0.206647
200505,196,14,6.908755,1,126.260600,53.213182,331.967586,0.780174,0.238430
200506,190,13,6.908755,1,133.169355,52.091789,384.059375,0.813869,0.215311
200507,190,13,6.908751,1,140.078106,19.286904,403.346279,0.787606,0.176198
200508,190,13,6.908719,1,146.986825,17.158587,420.504866,0.758477,0.184651
200509,197,14,6.908755,1,153.895580,48.912959,469.417825,0.747822,0.197696
200510,194,13,6.908755,1,160.804335,92.335735,561.753560,0.722723,0.165164
200511,197,14,6.908755,1,167.713089,37.924231,599.677791,0.745897,0.158926
200512,165,11,6.908755,1,174.621844,36.241787,635.919578,0.721559,0.152643
200601,164,11,6.908755,1,181.530599,49.697890,685.617468,0.755952,0.236196
200602,171,12,6.908755,1,188.439354,28.521445,714.138913,0.802262,0.173029
200603,168,12,6.908751,1,195.348104,19.333272,733.472185,0.796084,0.203012
200604,158,11,6.908755,1,202.256859,43.078373,776.550558,0.805782,0.152336
200605,152,11,6.908755,1,209.165614,35.941300,812.491858,0.769241,0.264267
200606,142,10,6.908755,1,216.074369,22.729989,835.221847,0.765137,0.285479
200607,141,10,-7.809891,17,208.264477,-7.810890,827.410957,0.777328,0.260221
200608,140,10,6.621411,1,214.885888,8.007720,835.418677,0.799965,0.254998
200609,142,10,6.905472,1,221.791360,12.625130,848.043807,0.806544,0.262954
200610,143,10,6.908755,1,228.700115,26.995719,875.039526,0.773118,0.294686
200611,157,11,6.908755,1,235.608870,26.936469,901.975995,0.841944,0.118244
200612,147,10,6.898793,1,242.507662,11.511722,913.487717,0.836548,0.182298
200701,152,11,1.955295,3,244.462957,1.961380,915.449096,0.841196,0.128786
200702,157,11,5.268405,4,249.731362,5.482968,920.932064,0.833878,0.176349
200703,157,11,2.280460,4,252.011822,2.289280,923.221344,0.856425,0.136787
200704,134,9,6.874695,1,258.886517,10.270311,933.491655,0.851698,0.178085
200705,131,9,-5.476518,10,253.410000,-5.477513,928.014142,0.846273,0.190258
200706,136,10,-1.850341,26,251.559658,-1.851184,926.162959,0.888615,0.107410
200707,128,9,6.871011,1,258.430669,10.165759,936.328718,0.904166,0.128266
200708,125,9,6.908755,1,265.339424,26.811711,963.140429,0.859386,0.180266
200709,125,9,6.908754,1,272.248178,20.478792,983.619220,0.858512,0.216655
