date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,67.125337,67.125337,0.812655,0.205992
200308,444,30,6.908755,1,13.817510,72.768969,139.894306,0.812655,0.205992
200309,451,31,6.908755,1,20.726264,65.031963,204.926270,0.820647,0.214783
200310,433,29,6.908755,1,27.635019,79.390844,284.317113,0.820647,0.214783
200311,437,30,6.908755,1,34.543774,37.730241,322.047355,0.820647,0.214783
200312,442,30,6.908755,1,41.452529,44.815537,366.862891,0.820647,0.214783
200401,441,30,6.908755,1,48.361283,55.064670,421.927561,0.820647,0.214783
200402,445,30,6.908755,1,55.270038,77.662528,499.590089,0.777400,0.205125
200403,438,30,6.908755,1,62.178793,106.952162,606.542251,0.777400,0.205125
200404,440,30,6.908755,1,69.087548,116.575885,723.118136,0.777400,0.205125
200405,435,29,6.908755,1,75.996303,92.705330,815.823466,0.789975,0.215445
200406,436,30,6.908755,1,82.905057,87.619532,903.442998,0.789975,0.215445
200407,432,29,6.908755,1,89.813812,110.620125,1014.063124,0.789975,0.215445
200408,431,29,6.908755,1,96.722567,110.143804,1124.206928,0.785865,0.220712
200409,441,30,6.908755,1,103.631322,87.063082,1211.270010,0.844204,0.233845
200410,437,30,6.908755,1,110.540076,81.042936,1292.312947,0.796351,0.249567
200411,434,29,6.908755,1,117.448831,95.066843,1387.379790,0.761134,0.267461
200412,423,29,6.908755,1,124.357586,150.089039,1537.468829,0.813153,0.322895
200501,425,29,6.908755,1,131.266341,105.455278,1642.924107,0.796188,0.317057
200502,427,29,6.908755,1,138.175096,101.405789,1744.329896,0.798010,0.309781
200503,411,28,6.908755,1,145.083850,233.551407,1977.881303,0.755387,0.315637
200504,404,27,6.908755,1,151.992605,152.865733,2130.747036,0.729754,0.323030
200505,402,27,6.908755,1,158.901360,158.170174,2288.917210,0.763684,0.326555
200506,397,27,6.908755,1,165.810115,121.264880,2410.182090,0.744525,0.326730
200507,403,27,6.908755,1,172.718869,87.804332,2497.986422,0.736697,0.324360
200508,405,27,6.908755,1,179.627624,43.921069,2541.907491,0.740323,0.353638
200509,404,27,6.908755,1,186.536379,75.252518,2617.160009,0.761057,0.373725
200510,414,28,6.908755,1,193.445134,88.671391,2705.831400,0.729832,0.392789
