date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,359,24,3.383496,3,3.383496,3.412383,3.412383,0.868572,0.289921
200308,365,25,6.908753,1,10.292249,20.475533,23.887915,0.868572,0.289921
200309,373,25,-7.526516,16,2.765733,-7.527515,16.360400,0.908200,0.406980
200310,367,25,-4.205278,8,-1.439545,-4.206263,12.154138,0.908200,0.406980
200311,373,25,-38.118018,122,-39.557563,-38.119017,-25.964880,0.908200,0.406980
200312,376,26,0.407897,2,-39.149665,0.408401,-25.556479,0.908200,0.406980
200401,379,26,6.908174,1,-32.241491,14.359335,-11.197143,0.908200,0.406980
200402,375,25,-16.178793,18,-48.420284,-16.179793,-27.376936,0.770784,0.352053
200403,377,26,6.897016,1,-41.523268,11.346761,-16.030176,0.770784,0.352053
200404,372,25,-9.471769,3,-50.995037,-9.472768,-25.502944,0.770784,0.352053
200405,371,25,6.855008,1,-44.140029,9.804239,-15.698705,0.763767,0.369474
200406,372,25,-6.939034,27,-51.079063,-6.940032,-22.638737,0.763767,0.369474
200407,374,25,-4.738862,81,-55.817925,-4.739853,-27.378590,0.763767,0.369474
200408,377,26,6.689999,1,-49.127926,8.316183,-19.062407,0.711362,0.340402
200409,386,26,5.999477,2,-43.128449,6.514005,-12.548402,0.699774,0.361543
200410,383,26,5.590257,2,-37.538192,5.900600,-6.647802,0.582376,0.307850
200411,393,27,6.692100,1,-30.846092,8.326923,1.679121,0.517660,0.292607
200412,393,27,6.908755,1,-23.937337,25.526513,27.205634,0.533346,0.340539
200501,391,27,6.908755,1,-17.028583,40.191391,67.397025,0.469433,0.272208
200502,388,26,5.874519,2,-11.154063,6.312798,73.709823,0.481328,0.264497
200503,384,26,6.908755,1,-4.245308,29.703302,103.413125,0.456490,0.265948
200504,381,26,6.887847,1,2.642538,10.764913,114.178038,0.559332,0.330482
200505,377,26,6.908746,1,9.551285,18.556743,132.734781,0.550183,0.341533
200506,386,26,6.908755,1,16.460039,26.051825,158.786606,0.503663,0.302844
200507,392,27,6.906588,1,23.366627,13.041142,171.827748,0.493443,0.366535
200508,390,26,6.908755,1,30.275382,34.773974,206.601722,0.435730,0.359545
200509,398,27,6.908755,1,37.184137,62.951630,269.553352,0.405966,0.380547
200510,403,27,6.908752,1,44.092889,19.699743,289.253095,0.451406,0.285757
200511,402,27,6.908755,1,51.001644,51.274052,340.527147,0.367120,0.295509
200512,390,26,6.908754,1,57.910398,21.553119,362.080266,0.342297,0.357157
200601,375,25,6.908755,1,64.819153,37.010452,399.090717,0.344007,0.318146
200602,380,26,6.908717,1,71.727869,17.080823,416.171541,0.429089,0.330998
200603,377,26,5.118914,2,76.846783,5.300620,421.472161,0.489172,0.302143
200604,372,25,2.939469,3,79.786252,2.957537,424.429698,0.507609,0.407901
200605,369,25,6.908755,1,86.695007,42.204917,466.634614,0.655049,0.488015
200606,382,26,6.893588,1,93.588594,11.088782,477.723397,0.726645,0.422847
200607,385,26,-35.850422,98,57.738172,-35.851421,441.871975,0.769659,0.447811
200608,377,26,-5.474232,25,52.263940,-5.475227,436.396748,0.752008,0.544590
200609,373,25,-1.686822,13,50.577118,-1.687637,434.709111,0.729275,0.618030
200610,336,23,-3.448146,48,47.128972,-3.449114,431.259997,0.739926,0.525814
200611,345,23,-14.707906,79,32.421066,-14.708905,416.551092,0.705947,0.640759
200612,337,23,-10.948272,7,21.472794,-10.949272,405.601820,0.615370,0.655639
200701,333,23,-2.939177,5,18.533617,-2.940124,402.661696,0.639900,0.559379
200702,310,21,-4.192119,12,14.341498,-4.193103,398.468593,0.638679,0.557731
200703,308,21,6.865795,1,21.207293,10.033701,408.502294,0.658388,0.547499
200704,320,22,6.904524,1,28.111818,12.371081,420.873376,0.638048,0.690939
200705,322,22,-12.091641,94,16.020176,-12.092641,408.780735,0.672497,0.749839
200706,321,22,-0.567707,7,15.452469,-0.568140,408.212595,0.753172,0.642909
200707,317,22,-46.515407,203,-31.062938,-46.516406,361.696188,0.746125,0.698830
200708,313,21,6.906594,1,-24.156344,13.043796,374.739984,0.727182,0.727001
200709,317,22,1.147369,4,-23.008974,1.149522,375.889506,0.724282,0.708323
200710,339,23,6.908754,1,-16.100221,20.670097,396.559603,0.730215,0.451616
200711,333,23,6.906394,1,-9.193827,12.955366,409.514969,0.622568,0.542782
200712,349,24,-4.118817,5,-13.312644,-4.119800,405.395169,0.615303,0.561873
200801,348,24,6.908755,1,-6.403889,66.435540,471.830709,0.566919,0.580096
200802,352,24,6.908755,1,0.504866,66.153280,537.983989,0.574233,0.441926
200803,356,24,6.908755,1,7.413621,128.062767,666.046756,0.591257,0.468075
200804,360,24,6.908720,1,14.322341,17.188541,683.235297,0.621957,0.547601
200805,371,25,2.321191,2,16.643532,2.330421,685.565719,0.711348,0.547402
200806,393,27,6.908755,1,23.552287,121.520416,807.086135,0.721197,0.442551
200807,403,27,6.908755,1,30.461042,263.778731,1070.864867,0.619341,0.510283
200808,401,27,6.908755,1,37.369797,311.295229,1382.160095,0.613391,0.618773
200809,391,27,6.908755,1,44.278551,188.113225,1570.273320,0.595865,0.547223
200810,391,27,6.908755,1,51.187306,170.259148,1740.532468,0.567946,0.611107
200811,399,27,6.908755,1,58.096061,591.985911,2332.518379,0.551739,0.582803
200812,463,28,6.908755,1,65.004816,454.409316,2786.927695,0.510796,0.657158
200901,442,30,6.908755,1,71.913571,175.175598,2962.103293,0.650158,0.720048
200902,448,30,6.908755,1,78.822325,576.733951,3538.837245,0.659731,0.594487
200903,456,31,6.908755,1,85.731080,367.436584,3906.273828,0.620201,0.387187
200904,454,31,6.908755,1,92.639835,90.807489,3997.081317,0.597898,0.295513
200905,463,31,6.908755,1,99.548590,40.786621,4037.867938,0.575063,0.352316
200906,483,33,6.908755,1,106.457345,41.013837,4078.881775,0.663397,0.177354
200907,496,34,6.908755,1,113.366099,32.221677,4111.103452,0.443529,0.198698
200908,507,34,6.908755,1,120.274854,61.614482,4172.717935,0.441652,0.242224
200909,516,35,6.908755,1,127.183609,52.573753,4225.291688,0.484717,0.266630
200910,514,35,6.908755,1,134.092364,28.746134,4254.037822,0.578166,0.215419
200911,510,34,6.908755,1,141.001118,69.856597,4323.894419,0.574821,0.237395
200912,527,36,5.000615,3,146.001733,5.160202,4329.054621,0.589382,0.298506
201001,530,36,-0.642849,28,145.358884,-0.643323,4328.411298,0.782390,0.314050
201002,538,36,3.576270,8,148.935155,3.611628,4332.022926,0.861505,0.296691
201003,533,36,1.038778,5,149.973933,1.040605,4333.063532,0.900247,0.302467
