date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,52,4,-3.050516,58,-3.050516,-3.051469,-3.051469,0.806576,0.036066
200308,52,4,-10.553417,321,-13.603933,-10.554416,-13.605885,0.806576,0.036066
200309,51,4,-10.412246,562,-24.016180,-10.413246,-24.019131,0.797163,0.095671
200310,59,4,-1.555000,247,-25.571180,-1.555789,-25.574920,0.797163,0.095671
200311,59,4,-5.697168,123,-31.268348,-5.698164,-31.273084,0.797163,0.095671
200312,61,5,-3.413615,283,-34.681963,-3.414581,-34.687665,0.797163,0.095671
200401,64,5,-10.627368,482,-45.309331,-10.628367,-45.316033,0.797163,0.095671
200402,66,5,-5.511758,149,-50.821089,-5.512754,-50.828786,0.774022,0.222895
200403,65,5,-11.114546,552,-61.935635,-11.115545,-61.944332,0.774022,0.222895
200404,65,5,-8.966372,984,-70.902006,-8.967371,-70.911702,0.774022,0.222895
200405,65,5,-16.337390,788,-87.239396,-16.338390,-87.250092,0.743132,0.258159
200406,69,5,-13.260017,446,-100.499414,-13.261017,-100.511109,0.743132,0.258159
200407,66,5,2.393951,21,-98.105463,2.403958,-98.107151,0.743132,0.258159
200408,64,5,2.232776,21,-95.872687,2.241136,-95.866015,0.724992,0.346761
200409,67,5,-1.299744,290,-97.172431,-1.300471,-97.166486,0.735115,0.389705
200410,66,5,-1.017695,184,-98.190126,-1.018334,-98.184820,0.733092,0.538443
200411,67,5,-2.571403,225,-100.761529,-2.572327,-100.757146,0.717947,0.581927
200412,67,5,0.257447,57,-100.504083,0.257740,-100.499406,0.738568,0.553167
200501,67,5,-0.889376,88,-101.393459,-0.889965,-101.389371,0.742910,0.556623
200502,82,6,-5.039846,438,-106.433305,-5.040839,-106.430210,0.742707,0.546632
200503,83,6,4.121921,4,-102.311384,4.184517,-102.245693,0.741041,0.526063
200504,84,6,-0.883399,227,-103.194783,-0.883985,-103.129678,0.504420,0.513699
200505,85,6,2.853021,13,-100.341762,2.869496,-100.260182,0.445558,0.388715
200506,88,6,0.376531,35,-99.965231,0.376988,-99.883194,0.358674,0.334582
200507,88,6,-19.399479,605,-119.364710,-19.400478,-119.283672,0.307934,0.287624
200508,90,6,2.723577,8,-116.641133,2.737914,-116.545758,0.308915,0.320917
200509,95,7,-11.985370,434,-128.626503,-11.986370,-128.532128,0.227049,0.364811
200510,89,6,3.136011,9,-125.490493,3.158268,-125.373859,0.357127,0.245125
200511,89,6,1.262870,32,-124.227622,1.265409,-124.108450,0.423302,0.283689
200512,90,6,-38.204780,373,-162.432402,-38.205779,-162.314229,0.533097,0.209574
200601,94,7,-0.623173,99,-163.055575,-0.623636,-162.937866,0.503192,0.484029
200602,97,7,-9.467152,66,-172.522727,-9.468152,-172.406018,0.498961,0.413226
200603,95,7,-10.624490,250,-183.147217,-10.625489,-183.031507,0.571700,0.023304
200604,97,7,-13.120336,373,-196.267553,-13.121335,-196.152842,0.627265,0.060176
200605,95,7,-13.062301,439,-209.329853,-13.063300,-209.216143,0.588889,0.298825
200606,98,7,-22.903290,167,-232.233144,-22.904290,-232.120432,0.543514,0.560953
200607,94,7,-20.046832,470,-252.279976,-20.047832,-252.168264,0.650660,0.454848
200608,100,7,-6.172553,286,-258.452529,-6.173551,-258.341814,0.606237,0.490703
200609,106,8,-14.076603,656,-272.529132,-14.077602,-272.419417,0.636824,0.787133
200610,142,9,-8.008795,297,-280.537926,-8.009794,-280.429210,0.623771,0.866135
200611,142,10,-3.412351,164,-283.950278,-3.413318,-283.842528,0.620237,0.748612
200612,137,10,-4.286884,30,-288.237161,-4.287870,-288.130398,0.681169,0.570054
200701,136,10,-4.214386,38,-292.451548,-4.215371,-292.345769,0.663250,0.378671
200702,160,11,-18.715266,6,-311.166814,-18.716266,-311.062035,0.667213,0.536416
200703,160,11,-9.646111,302,-320.812925,-9.647110,-320.709145,0.713726,0.618923
200704,161,11,-12.709127,57,-333.522052,-12.710126,-333.419272,0.712726,0.623459
200705,164,11,3.120135,2,-330.401917,3.142022,-330.277250,0.735652,0.397053
200706,162,11,-3.792435,70,-334.194353,-3.793412,-334.070662,0.606053,0.914019
200707,161,11,6.908754,1,-327.285599,20.731626,-313.339036,0.607573,0.823101
200708,161,11,1.259905,3,-326.025694,1.262433,-312.076603,0.539656,0.758903
200709,167,12,-2.899682,11,-328.925377,-2.900627,-314.977230,0.506558,0.734087
200710,154,11,5.715014,2,-323.210363,6.075106,-308.902124,0.432682,0.588398
200711,157,11,6.902157,1,-316.308206,11.925475,-296.976649,0.624777,0.601156
200712,158,11,6.908755,1,-309.399451,38.245559,-258.731090,0.495238,0.634836
200801,150,10,0.965324,5,-308.434127,0.966951,-257.764139,0.524396,0.598218
200802,152,11,6.908755,1,-301.525372,37.555808,-220.208331,0.546919,0.343896
200803,152,11,6.908755,1,-294.616618,174.233362,-45.974969,0.551993,0.499648
200804,151,11,-5.314672,9,-299.931289,-5.315666,-51.290635,0.589840,0.512363
200805,151,11,6.908755,1,-293.022535,102.537875,51.247240,0.457191,0.581809
200806,153,11,6.908755,1,-286.113780,48.285408,99.532647,0.707403,0.250502
200807,150,10,6.908755,1,-279.205025,68.755936,168.288583,0.656019,0.523093
200808,149,10,6.908755,1,-272.296270,44.728535,213.017118,0.714347,0.798943
200809,147,10,-69.701773,150,-341.998043,-69.702772,143.314346,0.621369,0.738939
200810,146,10,6.908755,1,-335.089288,165.410987,308.725333,0.579594,0.813950
200811,146,10,6.908755,1,-328.180533,216.092792,524.818126,0.564398,0.588912
200812,77,6,-31.411599,259,-359.592133,-31.412599,493.405527,0.710328,0.834496
200901,76,6,6.908755,1,-352.683378,26.754495,520.160022,0.666933,0.786747
200902,77,6,6.908755,1,-345.774623,27.744010,547.904032,0.677368,0.574456
200903,115,5,-8.644212,13,-354.418835,-8.645212,539.258821,0.710656,0.429258
200904,119,8,3.492434,5,-350.926402,3.524818,542.783639,0.717188,0.238303
200905,119,8,-4.175881,387,-355.102283,-4.176865,538.606774,0.700199,0.289169
200906,113,8,6.908754,1,-348.193529,21.418725,560.025499,0.610510,-0.103319
200907,114,8,-6.003263,22,-354.196792,-6.004260,554.021238,0.600484,-0.180105
200908,114,8,0.240082,8,-353.956710,0.240354,554.261592,0.573762,0.011955
200909,114,8,0.460671,9,-353.496039,0.461256,554.722848,0.622670,0.126375
200910,118,8,2.958328,7,-350.537712,2.976762,557.699610,0.769327,0.139534
200911,120,8,-0.165448,62,-350.703160,-0.165600,557.534010,0.710805,0.180897
200912,121,9,6.612162,1,-344.090997,7.971193,565.505203,0.732826,0.200557
201001,118,8,6.874853,1,-337.216144,10.275050,575.780253,0.794421,0.089219
201002,132,9,-14.356045,538,-351.572189,-14.357045,561.423208,0.869884,-0.003824
201003,123,9,-2.041284,139,-353.613473,-2.042154,559.381054,0.913805,0.031278
201004,122,9,0.794863,7,-352.818611,0.796078,560.177132,0.987160,-0.028715
201005,124,9,6.908755,1,-345.909856,25.858535,586.035667,0.852923,0.041864
201006,127,9,-7.580902,64,-353.490758,-7.581901,578.453766,0.863389,0.055884
201007,128,9,6.122877,1,-347.367881,6.730168,585.183934,0.820142,-0.006812
201008,129,9,-7.498343,27,-354.866223,-7.499342,577.684593,0.815896,0.027933
201009,128,9,1.947943,10,-352.918281,1.953975,579.638568,0.838456,0.074778
201010,127,9,-0.353153,71,-353.271433,-0.353450,579.285117,0.831606,0.099068
201011,129,9,6.774188,1,-346.497245,8.845411,588.130529,0.870356,0.092708
201012,131,9,-3.723384,307,-350.220629,-3.724359,584.406170,0.830024,0.150651
201101,129,9,3.295386,9,-346.925244,3.321717,587.727887,0.865143,0.229146
201102,132,9,0.481189,70,-346.444055,0.481807,588.209694,0.825919,0.240209
201103,131,9,6.903708,1,-339.540346,12.194315,600.404009,0.758075,0.244790
201104,133,9,5.760576,1,-333.779770,6.141151,606.545160,0.670338,0.167962
201105,135,9,6.908602,1,-326.871168,15.695583,622.240742,0.651663,0.211919
201106,139,10,6.908726,1,-319.962442,17.368657,639.609399,0.691983,0.170639
201107,139,10,6.908755,1,-313.053687,48.036852,687.646251,0.622188,0.105478
201108,140,10,6.908755,1,-306.144932,28.089384,715.735635,0.660624,0.184963
201109,140,10,6.908755,1,-299.236177,52.120182,767.855817,0.672643,0.180791
201110,142,10,5.655295,1,-293.580883,5.990489,773.846306,0.696380,0.125488
201111,125,9,6.908755,1,-286.672128,38.013804,811.860110,0.670316,0.108506
