date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,23,2,0.203431,234,0.203431,0.203657,0.203657,0.819011,0.500990
200308,23,2,0.400760,190,0.604191,0.401253,0.604910,0.819011,0.500990
200309,24,2,0.594550,255,1.198741,0.595362,1.200272,0.717688,-0.710348
200310,24,2,-0.495756,560,0.702985,-0.496147,0.704126,0.717688,-0.710348
200311,24,2,-4.227697,470,-3.524712,-4.228682,-3.524556,0.717688,-0.710348
200312,24,2,0.146645,303,-3.378067,0.146803,-3.377753,0.717688,-0.710348
200401,26,2,-4.898110,753,-8.276177,-4.899102,-8.276856,0.717688,-0.710348
200402,27,2,0.603679,93,-7.672498,0.604508,-7.672348,0.613762,-0.611789
200403,27,2,1.136208,80,-6.536290,1.138326,-6.534022,0.613762,-0.611789
200404,25,2,0.358413,249,-6.177877,0.358844,-6.175178,0.613762,-0.611789
200405,29,2,0.018449,317,-6.159428,0.018467,-6.156711,0.561915,-0.676518
200406,31,3,0.984158,87,-5.175270,0.985835,-5.170875,0.561915,-0.676518
200407,32,3,-0.559189,795,-5.734459,-0.559617,-5.730493,0.561915,-0.676518
200408,32,3,-0.537462,920,-6.271921,-0.537877,-6.268370,0.564194,-0.457112
200409,31,3,-0.977779,818,-7.249700,-0.978403,-7.246773,0.579726,-0.255098
200410,31,3,0.139880,167,-7.109819,0.140030,-7.106742,0.580291,-0.210215
200411,32,3,1.164580,18,-5.945239,1.166787,-5.939955,0.623491,0.240588
200412,32,3,-0.477094,643,-6.422333,-0.477473,-6.417428,0.738285,-0.142455
200501,34,3,-2.109823,412,-8.532156,-2.110701,-8.528129,0.827111,0.088893
200502,34,3,0.574324,130,-7.957832,0.575100,-7.953029,0.869521,0.355690
200503,33,3,-3.532090,856,-11.489922,-3.533060,-11.486089,0.811825,-0.256070
200504,35,3,-2.402718,224,-13.892640,-2.403627,-13.889717,0.809004,-0.197265
200505,35,3,-9.011978,777,-22.904618,-9.012977,-22.902694,0.820693,-0.398575
200506,35,3,-1.292897,168,-24.197514,-1.293622,-24.196316,0.794175,-0.493009
200507,40,3,-0.504923,73,-24.702438,-0.505320,-24.701636,0.691100,-0.264338
200508,40,3,2.321809,17,-22.380629,2.331045,-22.370590,0.568039,0.169512
200509,40,3,-4.986190,666,-27.366819,-4.987183,-27.357773,0.589118,0.136032
200510,40,3,-0.054105,188,-27.420925,-0.054158,-27.411931,0.388256,0.093760
200511,42,3,0.371703,139,-27.049222,0.372153,-27.039778,0.348637,0.171724
200512,42,3,0.341377,143,-26.707844,0.341784,-26.697994,0.342782,0.269035
200601,43,3,1.193041,36,-25.514804,1.195340,-25.502653,0.337446,0.421732
200602,44,3,-7.645001,287,-33.159804,-7.646000,-33.148653,0.445637,0.426545
200603,42,3,1.870104,19,-31.289700,1.875608,-31.273045,0.442798,0.293177
200604,42,3,2.933091,11,-28.356609,2.951037,-28.322008,0.720623,-0.033023
200605,43,3,-0.443159,182,-28.799768,-0.443517,-28.765525,0.742044,0.855748
200606,42,3,-1.185729,386,-29.985498,-1.186424,-29.951949,0.729988,0.716582
200607,43,3,-1.257674,331,-31.243172,-1.258390,-31.210338,0.789575,0.551503
200608,43,3,1.841334,17,-29.401838,1.846653,-29.363685,0.786565,0.658638
200609,43,3,1.094531,101,-28.307307,1.096520,-28.267165,0.741801,0.682942
200610,43,3,-2.754148,309,-31.061456,-2.755084,-31.022249,0.732075,0.640926
200611,44,3,-0.178890,47,-31.240346,-0.179054,-31.201303,0.498253,-0.665585
200612,45,3,-2.971076,385,-34.211421,-2.972024,-34.173327,0.539698,-0.374466
200701,44,3,-2.761677,409,-36.973099,-2.762614,-36.935941,0.554846,0.170018
200702,43,3,-3.221599,472,-40.194698,-3.222559,-40.158499,0.536102,0.704043
200703,43,3,0.992181,58,-39.202516,0.993880,-39.164619,0.608415,0.803730
200704,44,3,0.205852,150,-38.996664,0.206081,-38.958539,0.554915,1.173876
200705,45,3,-1.741592,361,-40.738256,-1.742417,-40.700955,0.711472,0.924940
200706,44,3,-0.590275,14,-41.328531,-0.590721,-41.291676,0.735430,0.926604
200707,45,3,1.718044,32,-39.610488,1.722628,-39.569048,0.700950,1.098419
200708,45,3,-10.331042,614,-49.941530,-10.332042,-49.901090,0.735085,0.424136
200709,48,4,5.944966,1,-43.996564,6.424335,-43.476754,0.663132,0.700015
200710,49,4,3.399164,5,-40.597400,3.428530,-40.048224,0.738953,0.240937
200711,51,4,-23.684691,523,-64.282091,-23.685691,-63.733915,0.648707,0.969603
200712,50,4,-8.240021,664,-72.522112,-8.241020,-71.974935,0.630858,1.605267
200801,50,4,-7.258106,60,-79.780218,-7.259104,-79.234039,0.722704,1.369089
200802,51,4,-9.825172,416,-89.605389,-9.826171,-89.060210,0.681528,1.276192
200803,52,4,2.777449,7,-86.827940,2.792642,-86.267569,0.690382,1.296001
200804,51,4,4.373301,4,-82.454639,4.454842,-81.812727,0.688038,1.170115
200805,51,4,-17.661848,135,-100.116487,-17.662847,-99.475574,0.709423,1.216947
