date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,84,6,-12.189719,237,-12.189719,-12.190719,-12.190719,0.913733,0.360729
200308,86,6,-0.175414,67,-12.365133,-0.175575,-12.366294,0.913733,0.360729
200309,91,7,-1.791303,14,-14.156437,-1.792136,-14.158430,0.849909,0.280997
200310,94,7,-6.890798,120,-21.047234,-6.891796,-21.050226,0.849909,0.280997
200311,95,7,-2.952310,126,-23.999544,-2.953257,-24.003483,0.849909,0.280997
200312,92,7,-34.490512,858,-58.490055,-34.491511,-58.494994,0.849909,0.280997
200401,102,7,-19.406490,539,-77.896546,-19.407490,-77.902484,0.849909,0.280997
200402,97,7,5.580480,2,-72.316066,5.887275,-72.015209,0.815103,0.257098
200403,101,7,-13.588333,85,-85.904399,-13.589333,-85.604542,0.815103,0.257098
200404,100,7,1.638554,19,-84.265846,1.642710,-83.961832,0.815103,0.257098
200405,101,7,4.383868,5,-79.881978,4.466323,-79.495509,0.847245,0.272460
200406,99,7,-21.190504,637,-101.072482,-21.191504,-100.687012,0.847245,0.272460
200407,104,7,3.064621,12,-98.007862,3.085258,-97.601754,0.847245,0.272460
200408,102,7,5.815321,2,-92.192540,6.222387,-91.379367,0.823817,0.267368
200409,105,7,-0.509052,215,-92.701592,-0.509451,-91.888818,0.852840,0.285309
200410,102,7,3.786289,4,-88.915304,3.830337,-88.058481,0.812443,0.258236
200411,103,7,-2.402051,187,-91.317355,-2.402960,-90.461441,0.808984,0.273476
200412,109,8,1.884071,30,-89.433284,1.889667,-88.571774,0.844970,0.314343
200501,109,8,-28.477993,763,-117.911276,-28.478992,-117.050767,0.813778,0.323536
200502,109,8,-7.943784,167,-125.855061,-7.944783,-124.995550,0.858836,0.243527
200503,106,8,1.626192,36,-124.228869,1.630285,-123.365265,0.823284,0.282646
200504,95,7,-11.570778,693,-135.799647,-11.571778,-134.937043,0.829079,0.229393
200505,92,7,-23.531712,238,-159.331359,-23.532711,-158.469755,0.858702,0.205160
200506,99,7,-3.519365,413,-162.850724,-3.520335,-161.990090,0.869432,0.208859
200507,101,7,-3.488722,812,-166.339447,-3.489691,-165.479781,0.798696,0.184994
200508,100,7,-3.471634,98,-169.811081,-3.472603,-168.952384,0.743319,0.169382
200509,97,7,-0.625867,124,-170.436947,-0.626332,-169.578715,0.766434,0.149504
200510,99,7,-4.400372,355,-174.837319,-4.401359,-173.980074,0.795782,0.212097
200511,98,7,0.112294,53,-174.725026,0.112413,-173.867662,0.715917,0.115730
200512,113,8,1.034116,15,-173.690910,1.035930,-172.831732,0.681624,0.118986
200601,112,8,6.891611,1,-166.799299,10.965295,-161.866437,0.745860,0.179636
200602,112,8,-0.446520,117,-167.245819,-0.446880,-162.313317,0.788050,0.145799
200603,114,8,-1.492933,88,-168.738752,-1.493708,-163.807025,0.815712,0.194028
200604,111,8,-2.736631,40,-171.475383,-2.737566,-166.544591,0.802326,0.201400
200605,114,8,2.644984,11,-168.830399,2.658153,-163.886438,0.919189,0.250065
200606,121,9,0.599266,40,-168.231133,0.600087,-163.286350,0.931697,0.173913
200607,118,8,-0.410758,43,-168.641892,-0.411095,-163.697446,0.924052,0.162027
200608,119,8,2.855745,4,-165.786146,2.872269,-160.825177,0.942056,0.106353
200609,122,9,1.636082,30,-164.150065,1.640225,-159.184952,0.907446,0.106380
