date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,129,9,-1.210264,178,-1.210264,-1.210965,-1.210965,0.925489,0.123546
200308,135,9,-0.907464,68,-2.117728,-0.908060,-2.119026,0.925489,0.123546
200309,139,10,5.985994,2,3.868266,6.491530,4.372504,0.919795,0.126192
200310,141,10,5.433503,3,9.301769,5.692208,10.064712,0.919795,0.126192
200311,144,10,0.056634,132,9.358403,0.056693,10.121405,0.919795,0.126192
200312,144,10,6.633730,1,15.992133,8.057987,18.179392,0.919795,0.126192
200401,133,9,-4.140043,22,11.852090,-4.141027,14.038365,0.919795,0.126192
200402,136,10,-7.982703,60,3.869387,-7.983702,6.054663,0.817436,0.079838
200403,132,9,-12.297202,525,-8.427815,-12.298202,-6.243538,0.817436,0.079838
200404,128,9,-0.326579,263,-8.754394,-0.326857,-6.570396,0.817436,0.079838
200405,131,9,4.302129,3,-4.452264,4.377777,-2.192619,0.819621,0.097363
200406,137,10,-9.836068,202,-14.288332,-9.837067,-12.029686,0.819621,0.097363
200407,143,10,6.409429,1,-7.878903,7.342223,-4.687463,0.819621,0.097363
200408,144,10,-8.918856,146,-16.797758,-8.919855,-13.607318,0.831370,0.122890
200409,146,10,-5.049995,241,-21.847754,-5.050989,-18.658307,0.838770,0.115399
200410,152,11,-5.184854,64,-27.032608,-5.185848,-23.844155,0.800621,0.119280
200411,157,11,-1.413734,23,-28.446341,-1.414490,-25.258645,0.779549,0.124030
200412,153,11,-3.247236,135,-31.693578,-3.248197,-28.506842,0.799204,0.151624
200501,153,11,5.134156,2,-26.559421,5.318946,-23.187896,0.799092,0.174790
200502,158,11,-1.238762,27,-27.798183,-1.239472,-24.427368,0.780917,0.165418
200503,160,11,6.907643,1,-20.890540,13.709234,-10.718134,0.781072,0.160780
200504,173,12,-30.540160,104,-51.430700,-30.541160,-41.259294,0.815059,0.206647
200505,182,13,-23.465079,390,-74.895779,-23.466078,-64.725372,0.780174,0.238430
200506,176,12,-25.151479,277,-100.047258,-25.152478,-89.877851,0.813869,0.215311
200507,177,12,5.535731,1,-94.511527,5.826877,-84.050974,0.787606,0.176198
200508,174,12,2.682953,6,-91.828574,2.696675,-81.354299,0.758477,0.184651
200509,181,13,-0.214794,12,-92.043368,-0.214987,-81.569286,0.747822,0.197696
200510,182,13,6.866451,1,-85.176916,10.049411,-71.519875,0.722723,0.165164
200511,183,13,6.899365,1,-78.277551,11.571215,-59.948660,0.745897,0.158926
200512,151,11,6.908460,1,-71.369091,15.037620,-44.911040,0.721559,0.152643
200601,150,10,-25.002487,185,-96.371578,-25.003487,-69.914527,0.755952,0.236196
200602,154,11,-12.235521,872,-108.607100,-12.236521,-82.151047,0.802262,0.173029
200603,151,11,-0.499315,10,-109.106414,-0.499708,-82.650755,0.796084,0.203012
200604,146,10,-11.068182,73,-120.174597,-11.069182,-93.719937,0.805782,0.152336
200605,140,10,-1.954317,22,-122.128913,-1.955174,-95.675111,0.769241,0.264267
200606,130,9,0.936934,17,-121.191979,0.938487,-94.736624,0.765137,0.285479
200607,129,9,-16.692754,245,-137.884733,-16.693754,-111.430378,0.777328,0.260221
200608,128,9,-6.160267,148,-144.045000,-6.161264,-117.591642,0.799965,0.254998
200609,130,9,-1.378426,71,-145.423426,-1.379173,-118.970815,0.806544,0.262954
200610,131,9,1.743976,21,-143.679450,1.748707,-117.222108,0.773118,0.294686
200611,144,10,-21.642719,833,-165.322168,-21.643718,-138.865826,0.841944,0.118244
200612,139,10,-2.318688,12,-167.640856,-2.319589,-141.185415,0.836548,0.182298
200701,144,10,6.541277,1,-161.099580,7.719487,-133.465928,0.841196,0.128786
200702,148,10,3.628302,5,-157.471278,3.665639,-129.800289,0.833878,0.176349
200703,148,10,-7.227765,22,-164.699043,-7.228764,-137.029053,0.856425,0.136787
200704,124,9,3.412615,10,-161.286428,3.442399,-133.586654,0.851698,0.178085
200705,122,9,-4.178103,54,-165.464531,-4.179087,-137.765741,0.846273,0.190258
200706,125,9,3.288531,4,-162.176000,3.314673,-134.451068,0.888615,0.107410
200707,118,8,2.247326,4,-159.928674,2.255825,-132.195244,0.904166,0.128266
200708,116,8,-15.876955,44,-175.805629,-15.877955,-148.073199,0.859386,0.180266
200709,120,8,2.085895,2,-173.719735,2.092971,-145.980227,0.858512,0.216655
200710,110,8,1.727304,4,-171.992430,1.731941,-144.248287,0.848643,0.197627
200711,102,7,1.239944,18,-170.752487,1.242402,-143.005885,0.841507,0.191686
200712,96,7,-8.434144,47,-179.186631,-8.435144,-151.441028,0.810761,0.211660
200801,93,7,6.908468,1,-172.278163,15.064583,-136.376445,0.771774,0.243309
200802,93,7,5.395589,2,-166.882574,5.643322,-130.733123,0.836145,0.137715
200803,113,8,-25.540899,141,-192.423473,-25.541899,-156.275021,0.832087,0.103592
200804,112,8,-9.377607,230,-201.801081,-9.378607,-165.653628,0.907339,0.090635
200805,104,7,-16.545616,673,-218.346697,-16.546615,-182.200243,0.920343,0.115101
200806,103,7,3.466181,8,-214.880516,3.497686,-178.702557,0.930714,0.156193
200807,96,7,5.843013,1,-209.037503,6.264328,-172.438229,0.932373,0.159114
200808,96,7,2.157195,12,-206.880308,2.164872,-170.273358,0.890961,0.168149
200809,95,7,-13.969113,113,-220.849421,-13.970113,-184.243470,0.885605,0.193887
200810,96,7,-23.935707,13,-244.785128,-23.936707,-208.180177,0.874440,0.161401
200811,93,7,-25.207859,236,-269.992987,-25.208858,-233.389036,0.884314,0.158649
200812,92,7,-13.249421,3,-283.242408,-13.250421,-246.639456,0.893364,0.074080
200901,92,7,-53.357344,629,-336.599752,-53.358343,-299.997800,0.902501,0.025206
200902,94,7,-20.566855,467,-357.166607,-20.567855,-320.565654,0.980260,0.002405
200903,98,7,-49.078099,793,-406.244707,-49.079099,-369.644753,0.877470,-0.032841
200904,110,8,-9.056024,37,-415.300730,-9.057023,-378.701776,0.873390,0.023031
200905,107,8,-12.175446,982,-427.476176,-12.176445,-390.878222,0.866090,0.089422
200906,110,8,-3.804059,693,-431.280235,-3.805036,-394.683258,0.909277,0.060509
200907,113,8,4.111732,4,-427.168503,4.173663,-390.509595,0.867361,0.189932
200908,110,8,-0.252055,36,-427.420558,-0.252277,-390.761872,0.822337,0.211893
200909,118,8,5.632597,2,-421.787961,5.958863,-384.803009,0.911240,0.208189
200910,117,8,2.271431,15,-419.516530,2.280162,-382.522847,0.857351,0.228035
200911,118,8,-3.034976,444,-422.551506,-3.035928,-385.558775,0.814960,0.206279
