date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,405,27,4.217935,2,4.217935,4.287170,4.287170,0.812655,0.205992
200308,413,28,-4.957770,30,-0.739836,-4.958763,-0.671593,0.812655,0.205992
200309,417,28,-10.478799,14,-11.218635,-10.479799,-11.151391,0.820647,0.214783
200310,398,27,-23.678688,156,-34.897322,-23.679687,-34.831078,0.820647,0.214783
200311,402,27,-23.561894,167,-58.459216,-23.562893,-58.393972,0.820647,0.214783
200312,406,28,-0.297703,10,-58.756919,-0.297960,-58.691932,0.820647,0.214783
200401,405,27,1.254958,6,-57.501961,1.257469,-57.434463,0.820647,0.214783
200402,408,28,-6.174132,7,-63.676093,-6.175130,-63.609593,0.777400,0.205125
200403,401,27,6.908755,1,-56.767338,27.280641,-36.328952,0.777400,0.205125
200404,403,27,-43.270634,454,-100.037973,-43.271634,-79.600586,0.777400,0.205125
200405,402,27,6.908755,1,-93.129218,25.029769,-54.570816,0.789975,0.215445
200406,402,27,0.336100,5,-92.793118,0.336499,-54.234317,0.789975,0.215445
200407,397,27,6.908749,1,-85.884369,19.059329,-35.174988,0.789975,0.215445
200408,396,27,6.890411,1,-78.993958,10.897032,-24.277956,0.785865,0.220712
200409,403,27,-21.227751,48,-100.221709,-21.228751,-45.506707,0.844204,0.233845
200410,399,27,6.908754,1,-93.312955,21.291587,-24.215120,0.796351,0.249567
200411,397,27,6.908752,1,-86.404203,19.810309,-4.404810,0.761134,0.267461
200412,386,26,-3.486320,9,-89.890523,-3.487289,-7.892099,0.813153,0.322895
200501,387,26,6.334694,1,-83.555828,7.162052,-0.730047,0.796188,0.317057
200502,387,26,4.625749,3,-78.930079,4.732309,4.002262,0.798010,0.309781
200503,370,25,6.908747,1,-72.021332,18.681083,22.683345,0.755387,0.315637
200504,359,24,6.907636,1,-65.113696,13.703100,36.386444,0.729754,0.323030
200505,354,24,3.217751,4,-61.895945,3.242015,39.628459,0.763684,0.326555
200506,345,23,4.496601,3,-57.399344,4.589497,44.217957,0.744525,0.326730
200507,348,24,0.923578,6,-56.475766,0.925097,45.143054,0.736697,0.324360
200508,350,24,-1.242775,7,-57.718541,-1.243486,43.899567,0.740323,0.353638
200509,347,24,-9.673150,30,-67.391691,-9.674150,34.225418,0.761057,0.373725
200510,349,24,-22.234982,184,-89.626674,-22.235982,11.989436,0.729832,0.392789
200511,342,23,5.014845,2,-84.611829,5.176931,17.166367,0.715665,0.387551
200512,345,23,-24.525235,374,-109.137064,-24.526234,-7.359867,0.719866,0.426114
