date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,319.899870,319.899870,0.930489,0.070370
200308,401,27,6.908755,1,13.817510,127.936075,447.835944,0.930489,0.070370
200309,412,28,6.908755,1,20.726264,79.767817,527.603761,0.954528,0.104658
200310,406,28,6.908755,1,27.635019,99.781016,627.384777,0.954528,0.104658
200311,416,28,6.908755,1,34.543774,90.281011,717.665788,0.954528,0.104658
200312,421,29,6.908755,1,41.452529,175.038188,892.703976,0.954528,0.104658
200401,429,29,6.908755,1,48.361283,172.439337,1065.143312,0.954528,0.104658
200402,426,29,6.908755,1,55.270038,349.067278,1414.210590,0.869939,0.070201
200403,428,29,6.908755,1,62.178793,286.619148,1700.829738,0.869939,0.070201
200404,423,29,6.908755,1,69.087548,336.442869,2037.272608,0.869939,0.070201
200405,423,29,6.908755,1,75.996303,357.749104,2395.021711,0.877004,0.090514
200406,424,29,6.908755,1,82.905057,149.385303,2544.407015,0.877004,0.090514
200407,425,29,6.908755,1,89.813812,116.217382,2660.624397,0.877004,0.090514
200408,428,29,6.908755,1,96.722567,211.334645,2871.959042,0.858630,0.090323
200409,439,30,6.908755,1,103.631322,138.608970,3010.568011,0.860172,0.072802
200410,436,30,6.908755,1,110.540076,323.463939,3334.031950,0.800683,0.065748
200411,444,30,6.908755,1,117.448831,269.472815,3603.504765,0.788021,0.069972
200412,445,30,6.908755,1,124.357586,183.856232,3787.360997,0.826961,0.036844
200501,444,30,6.908755,1,131.266341,49.514632,3836.875629,0.831190,0.011613
200502,443,30,6.908755,1,138.175096,40.910526,3877.786155,0.879070,0.024241
200503,438,30,6.908755,1,145.083850,111.137978,3988.924133,0.876890,-0.017205
200504,436,30,6.908755,1,151.992605,52.142701,4041.066834,0.933956,0.010493
200505,431,29,6.908755,1,158.901360,31.362522,4072.429356,0.938540,-0.021685
200506,438,30,6.908755,1,165.810115,33.867259,4106.296615,0.931091,-0.037207
200507,442,30,6.908351,1,172.718465,14.721161,4121.017776,0.937955,-0.051406
200508,439,30,6.908753,1,179.627218,19.996213,4141.013989,0.915326,-0.061148
200509,449,30,6.908755,1,186.535973,43.588271,4184.602260,0.930040,-0.036039
200510,455,31,6.908755,1,193.444728,84.088107,4268.690367,0.931155,-0.087668
200511,455,31,6.908755,1,200.353482,73.963445,4342.653811,0.916425,-0.113170
200512,446,30,6.908755,1,207.262237,69.961107,4412.614918,0.928630,-0.105592
200601,430,29,6.908755,1,214.170992,82.475243,4495.090161,0.908203,-0.095476
200602,434,29,6.908755,1,221.079747,37.562378,4532.652538,0.917356,-0.126486
200603,434,29,6.908755,1,227.988501,127.095967,4659.748505,0.915690,-0.128371
200604,431,29,6.908755,1,234.897256,137.166872,4796.915377,0.910980,-0.095465
200605,433,29,6.908755,1,241.806011,107.452592,4904.367969,0.931627,-0.079154
200606,421,29,-14.670017,4,227.135994,-14.671016,4889.696953,0.918495,-0.087685
200607,423,29,6.908755,1,234.044749,80.857910,4970.554863,0.928763,-0.100802
200608,414,28,6.908755,1,240.953504,30.859057,5001.413919,0.908412,-0.041608
200609,415,28,6.908755,1,247.862259,53.552973,5054.966893,0.891679,-0.014709
200610,380,26,6.908755,1,254.771013,28.030615,5082.997508,0.891775,-0.072334
200611,389,26,6.908613,1,261.679627,15.770933,5098.768440,0.864760,-0.048799
200612,380,26,6.908755,1,268.588382,28.524974,5127.293414,0.831431,0.016886
200701,378,26,6.908755,1,275.497136,53.261270,5180.554684,0.812980,0.002472
200702,356,24,6.908755,1,282.405891,56.902801,5237.457485,0.809162,0.010733
200703,353,24,6.908755,1,289.314646,102.307913,5339.765398,0.804083,0.059135
200704,367,25,6.908755,1,296.223401,85.470984,5425.236382,0.775089,0.295016
200705,371,25,6.908755,1,303.132155,87.196416,5512.432798,0.789119,0.339861
200706,370,25,6.908755,1,310.040910,89.326434,5601.759232,0.827155,0.250805
