date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,6.202431,1,6.202431,6.881574,6.881574,0.942256,0.141482
200308,24,2,-1.103071,136,5.099360,-1.103739,5.777835,0.942256,0.141482
200309,26,2,0.088276,193,5.187637,0.088368,5.866204,0.947837,-0.022002
200310,26,2,0.372815,318,5.560451,0.373267,6.239470,0.947837,-0.022002
200311,25,2,-2.144191,129,3.416260,-2.145074,4.094397,0.947837,-0.022002
200312,25,2,2.759381,11,6.175641,2.774281,6.868678,0.947837,-0.022002
200401,27,2,0.579654,124,6.755295,0.580440,7.449118,0.947837,-0.022002
200402,28,2,1.718111,17,8.473406,1.722695,9.171813,0.955621,-0.110463
200403,29,2,-2.817829,338,5.655577,-2.818769,6.353044,0.955621,-0.110463
200404,27,2,0.487281,122,6.142858,0.487910,6.840954,0.955621,-0.110463
200405,31,3,2.639777,14,8.782636,2.652873,9.493827,0.936946,-0.072861
200406,33,3,-17.022627,966,-8.239991,-17.023627,-7.529800,0.936946,-0.072861
200407,34,3,-1.702750,899,-9.942742,-1.703568,-9.233368,0.936946,-0.072861
200408,34,3,-3.455244,901,-13.397985,-3.456212,-12.689579,0.963210,-0.106595
200409,33,3,0.659773,102,-12.738213,0.660707,-12.028872,0.967096,-0.166305
200410,33,3,2.254114,17,-10.484098,2.262678,-9.766194,0.979648,-0.281472
200411,34,3,2.728952,8,-7.755147,2.743372,-7.022822,0.980563,-0.243975
200412,34,3,0.959300,64,-6.795847,0.960911,-6.061911,0.965497,-0.193469
200501,36,3,-0.103015,138,-6.898862,-0.103112,-6.165024,0.993990,-0.325121
200502,36,3,-0.553067,165,-7.451928,-0.553491,-6.718515,1.014317,-0.262971
200503,35,3,-2.248107,818,-9.700035,-2.249001,-8.967516,1.002464,-0.214667
200504,38,3,2.109472,14,-7.590564,2.116742,-6.850774,0.993049,-0.241214
200505,38,3,-3.936403,378,-11.526966,-3.937383,-10.788157,0.996743,-0.252176
200506,38,3,-0.812272,61,-12.339238,-0.812828,-11.600985,0.997344,-0.159352
200507,43,3,-22.530542,923,-34.869780,-22.531542,-34.132527,0.976340,-0.178337
200508,43,3,-0.471196,556,-35.340977,-0.471572,-34.604099,0.951364,-0.173308
200509,43,3,-12.171931,835,-47.512908,-12.172930,-46.777029,0.965243,-0.136835
200510,43,3,-1.607689,480,-49.120597,-1.608488,-48.385517,0.901677,-0.136277
200511,45,3,-0.063489,405,-49.184085,-0.063550,-48.449068,0.892396,-0.162645
200512,45,3,-11.287710,572,-60.471796,-11.288710,-59.737777,0.900899,-0.187684
200601,46,4,1.200725,48,-59.271071,1.203050,-58.534727,0.902335,-0.101483
200602,48,4,3.099612,9,-56.171458,3.121030,-55.413698,0.890946,-0.100543
200603,46,4,-4.632432,259,-60.803891,-4.633422,-60.047120,0.879668,-0.104482
200604,46,4,-10.201526,421,-71.005416,-10.202525,-70.249645,0.947707,-0.229041
200605,47,4,0.355256,92,-70.650160,0.355683,-69.893962,0.941380,-0.090517
200606,47,4,-3.274917,744,-73.925077,-3.275879,-73.169841,0.928446,-0.004623
200607,48,4,-10.789134,872,-84.714211,-10.790133,-83.959974,0.930063,0.023468
200608,48,4,2.697954,4,-82.016257,2.711900,-81.248075,0.911714,0.209993
200609,48,4,0.304587,172,-81.711671,0.304943,-80.943132,0.892267,0.148920
200610,48,4,-1.348208,245,-83.059879,-1.348948,-82.292080,0.900290,0.050200
200611,49,4,-5.843976,261,-88.903854,-5.844972,-88.137052,0.784440,-0.218146
200612,50,4,-6.228038,514,-95.131892,-6.229035,-94.366087,0.750948,-0.181718
200701,49,4,2.047040,17,-93.084852,2.053808,-92.312280,0.710433,-0.010061
200702,48,4,-8.082675,864,-101.167528,-8.083674,-100.395954,0.667416,0.204926
200703,48,4,-3.155581,375,-104.323109,-3.156538,-103.552492,0.655781,0.364350
200704,49,4,-0.107797,298,-104.430906,-0.107900,-103.660392,0.584162,0.327367
200705,50,4,2.664796,11,-101.766110,2.678252,-100.982140,0.795242,0.314687
200706,49,4,6.751842,1,-95.014268,8.680338,-92.301802,0.801473,0.300028
200707,50,4,-8.162672,702,-103.176940,-8.163671,-100.465473,0.765090,0.364416
200708,50,4,1.586060,28,-101.590880,1.589952,-98.875522,0.769426,0.108936
200709,53,4,6.895829,1,-94.695051,11.249808,-87.625714,0.709100,0.490880
200710,54,4,6.840556,1,-87.854495,9.558796,-78.066918,0.743924,0.308651
200711,56,4,6.908735,1,-80.945760,17.730987,-60.335931,0.670270,0.778985
200712,55,4,6.908755,1,-74.037005,26.756747,-33.579184,0.661404,1.495269
200801,54,4,6.908755,1,-67.128250,56.549805,22.970621,0.728296,1.338200
200802,55,4,6.908755,1,-60.219495,109.216291,132.186912,0.685288,1.737160
200803,56,4,6.908755,1,-53.310741,62.702258,194.889171,0.685193,1.823819
200804,55,4,6.908755,1,-46.401986,40.453778,235.342948,0.704186,1.589621
200805,55,4,6.908755,1,-39.493231,147.622277,382.965226,0.669213,1.903627
200806,56,4,6.908755,1,-32.584476,115.050066,498.015291,0.663033,1.727520
200807,56,4,6.908755,1,-25.675722,163.263130,661.278421,0.606476,1.693436
200808,57,4,6.908755,1,-18.766967,138.375656,799.654077,0.642992,1.552116
200809,57,4,-61.040745,33,-79.807712,-61.041745,738.612332,0.672511,1.151759
200810,55,4,6.908710,1,-72.899002,16.931215,755.543548,0.655006,1.771854
200811,55,4,-25.142667,15,-98.041668,-25.143666,730.399881,0.661511,1.474303
200812,55,4,6.908755,1,-91.132914,73.536516,803.936397,0.644133,1.700188
200901,58,4,6.908755,1,-84.224159,22.452883,826.389281,0.728416,1.283404
200902,56,4,-15.535913,7,-99.760071,-15.536912,810.852369,0.552994,1.439648
200903,17,2,0.448450,41,-99.311622,0.449016,811.301384,0.600588,1.024848
200904,20,2,4.465547,7,-94.846074,4.555438,815.856822,0.702385,0.742244
200905,19,2,6.674873,1,-88.171201,8.241477,824.098299,0.655811,1.006041
200906,19,2,5.293444,1,-82.877757,5.514125,829.612424,0.729123,0.613505
200907,22,2,5.554095,2,-77.323662,5.851549,835.463973,0.736827,0.724397
200908,22,2,4.444760,2,-72.878902,4.532695,839.996668,1.006531,0.405497
200909,22,2,0.589078,84,-72.289824,0.589881,840.586549,1.077499,-0.030956
