date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-13.120899,76,-13.120899,-13.121899,-13.121899,0.941503,0.464466
200308,88,6,-3.336129,20,-16.457028,-3.337093,-16.458991,0.941503,0.464466
200309,94,7,-1.695883,5,-18.152911,-1.696699,-18.155690,0.859269,0.375724
200310,97,7,6.774954,1,-11.377956,8.851513,-9.304177,0.859269,0.375724
200311,98,7,6.906462,1,-4.471495,12.984483,3.680306,0.859269,0.375724
200312,96,7,-15.196355,8,-19.667850,-15.197355,-11.517048,0.859269,0.375724
200401,106,8,6.905321,1,-12.762529,12.580089,1.063041,0.859269,0.375724
200402,101,7,6.865058,1,-5.897471,10.016314,11.079355,0.815294,0.288352
200403,106,8,6.908755,1,1.011284,26.360250,37.439605,0.815294,0.288352
200404,107,8,6.908722,1,7.920006,17.242875,54.682480,0.815294,0.288352
200405,108,8,6.908740,1,14.828746,18.015782,72.698262,0.839027,0.349220
200406,106,8,6.906673,1,21.735419,13.081119,85.779381,0.839027,0.349220
200407,110,8,6.907070,1,28.642489,13.293278,99.072659,0.839027,0.349220
200408,108,8,6.908755,1,35.551244,24.572218,123.644878,0.813075,0.274500
200409,111,8,3.793501,2,39.344745,3.837883,127.482761,0.830568,0.261797
200410,108,8,6.902268,1,46.247013,11.942549,139.425310,0.789048,0.223384
200411,109,8,6.908754,1,53.155767,20.707237,160.132547,0.790430,0.251006
200412,116,8,5.809524,2,58.965291,6.213681,166.346228,0.827712,0.264017
200501,115,8,6.899328,1,65.864620,11.567274,177.913502,0.813259,0.269477
200502,115,8,6.908746,1,72.773365,18.504317,196.417819,0.868922,0.192648
200503,111,8,5.348158,2,78.121523,5.582894,202.000713,0.850049,0.208666
200504,100,7,-25.083242,49,53.038282,-25.084241,176.916472,0.832240,0.159822
200505,98,7,-3.041603,16,49.996678,-3.042555,173.873917,0.866076,0.176740
200506,104,7,-2.849361,101,47.147317,-2.850303,171.023614,0.883879,0.156886
200507,105,7,-3.524854,310,43.622463,-3.525824,167.497790,0.793706,0.084485
200508,104,7,6.440141,1,50.062604,7.422292,174.920082,0.746608,0.146549
200509,101,7,5.456613,2,55.519217,5.722275,180.642357,0.763032,0.079645
200510,103,7,-1.231687,21,54.287530,-1.232395,179.409962,0.793738,0.068790
200511,101,7,-0.374660,27,53.912870,-0.374973,179.034989,0.725534,0.020664
200512,116,8,5.339758,2,59.252628,5.572274,184.607263,0.688870,0.026496
200601,116,8,-4.105834,73,55.146794,-4.106817,180.500446,0.778848,0.047313
200602,116,8,4.001199,6,59.147993,4.056356,184.556802,0.807788,0.049450
200603,118,8,6.739188,1,65.887181,8.596281,193.153084,0.842246,0.032419
200604,117,8,6.908105,1,72.795285,14.245779,207.398863,0.849307,0.084205
200605,120,8,6.875936,1,79.671221,10.308041,217.706904,0.931392,0.060616
200606,128,9,-23.949291,341,55.721930,-23.950290,193.756613,0.942758,0.002637
200607,125,9,6.559369,1,62.281299,7.779558,201.536172,0.931171,0.029551
200608,127,9,4.063602,2,66.344900,4.122485,205.658657,0.951431,-0.008750
200609,130,9,-6.515555,703,59.829346,-6.516553,199.142104,0.912159,0.023339
200610,141,10,6.646438,1,66.475784,8.111935,207.254039,0.880153,0.026227
