date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,2.706436,12,2.706436,2.720511,2.720511,0.923622,0.048818
200308,143,10,6.907561,1,9.613997,13.637593,16.358103,0.923622,0.048818
200309,148,10,6.665147,1,16.279144,8.195676,24.553780,0.917197,0.070398
200310,150,10,6.907255,1,23.186399,13.409257,37.963037,0.917197,0.070398
200311,152,11,2.327212,17,25.513611,2.336505,40.299541,0.917197,0.070398
200312,150,10,6.908108,1,32.421719,14.250321,54.549862,0.917197,0.070398
200401,139,10,6.903224,1,39.324943,12.102397,66.652259,0.917197,0.070398
200402,143,10,6.908755,1,46.233698,35.541779,102.194038,0.831329,0.023967
200403,139,10,6.908721,1,53.142419,17.201224,119.395262,0.831329,0.023967
200404,135,9,6.736919,1,59.879338,8.581825,127.977087,0.831329,0.023967
200405,140,10,6.908755,1,66.788093,30.233178,158.210265,0.833608,0.040527
200406,146,10,6.908727,1,73.696819,17.381287,175.591552,0.833608,0.040527
200407,152,11,6.908189,1,80.605008,14.383930,189.975482,0.833608,0.040527
200408,153,11,6.908754,1,87.513762,21.369458,211.344940,0.853838,0.080840
200409,155,11,6.908734,1,94.422496,17.692304,229.037244,0.851848,0.060182
200410,162,11,6.908755,1,101.331251,38.001774,267.039018,0.831394,0.108430
200411,167,12,6.852697,1,108.183948,9.760965,276.799983,0.820566,0.089081
200412,163,11,6.908755,1,115.092702,27.948534,304.748516,0.838466,0.119193
200501,164,11,6.897939,1,121.990641,11.429051,316.177567,0.847096,0.112050
200502,169,12,6.908747,1,128.899388,18.686629,334.864196,0.834108,0.093452
200503,172,12,6.908755,1,135.808143,48.915259,383.779455,0.857404,0.107790
200504,187,13,6.908755,1,142.716898,62.276435,446.055890,0.863812,0.081005
200505,196,14,6.908755,1,149.625652,43.041506,489.097396,0.851384,0.096060
200506,190,13,6.908755,1,156.534407,27.513112,516.610508,0.881301,0.057826
200507,190,13,6.343766,1,162.878173,7.182944,523.793452,0.856759,0.023643
200508,190,13,6.827010,1,169.705183,9.370763,533.164215,0.832026,0.029539
200509,197,14,6.908755,1,176.613938,29.720135,562.884350,0.822894,0.015516
200510,194,13,6.908755,1,183.522693,88.888506,651.772856,0.834475,0.035791
200511,197,14,6.908755,1,190.431447,22.775595,674.548450,0.845716,0.009466
200512,165,11,6.908755,1,197.340202,24.175030,698.723480,0.850238,0.000840
200601,164,11,6.908755,1,204.248957,48.272340,746.995820,0.887859,-0.030603
200602,171,12,6.860438,1,211.109395,9.913480,756.909300,0.915920,-0.060615
200603,168,12,6.907700,1,218.017095,13.761695,770.670995,0.912472,-0.034582
200604,158,11,6.908755,1,224.925850,38.693354,809.364349,0.901035,-0.094208
200605,152,11,6.908755,1,231.834605,29.474865,838.839214,0.891026,-0.025935
200606,142,10,6.691165,1,238.525770,8.322132,847.161346,0.863657,-0.007929
200607,141,10,-32.399721,36,206.126049,-32.400721,814.760625,0.860042,-0.006301
200608,140,10,-0.975647,25,205.150401,-0.976270,813.784355,0.870252,-0.011561
200609,142,10,-3.782407,87,201.367994,-3.783384,810.000971,0.861931,-0.006154
200610,143,10,6.906107,1,208.274101,12.840476,822.841447,0.842747,0.059818
200611,157,11,6.891808,1,215.165909,10.976929,833.818376,0.864560,-0.057608
200612,147,10,6.756150,1,221.922059,8.710387,842.528763,0.861848,0.039927
200701,152,11,-11.588570,40,210.333489,-11.589569,830.939194,0.855128,0.022557
200702,157,11,4.398774,3,214.732264,4.482538,835.421732,0.847880,0.078090
200703,157,11,-2.813807,8,211.918457,-2.814746,832.606985,0.865528,0.040847
200704,134,9,4.182104,4,216.100561,4.248782,836.855768,0.860888,0.107810
200705,131,9,-1.236294,5,214.864267,-1.237003,835.618765,0.855648,0.139860
200706,136,10,0.312951,8,215.177218,0.313318,835.932083,0.889604,0.065238
200707,128,9,6.907153,1,222.084371,13.343801,849.275884,0.903779,0.105389
200708,125,9,6.908755,1,228.993126,35.704332,884.980216,0.861777,0.154181
200709,125,9,6.908755,1,235.901881,30.917118,915.897335,0.860339,0.202024
200710,114,8,6.908661,1,242.810542,16.178265,932.075600,0.849022,0.174372
200711,105,7,6.908755,1,249.719296,28.485162,960.560762,0.844042,0.196054
200712,99,7,6.908755,1,256.628051,32.983213,993.543975,0.814816,0.235466
200801,96,7,6.908610,1,263.536661,15.745109,1009.289084,0.777592,0.240975
200802,95,7,6.908755,1,270.445416,30.586016,1039.875100,0.842181,0.150935
200803,115,8,6.908751,1,277.354166,19.293786,1059.168887,0.839644,0.118084
200804,114,8,6.908753,1,284.262919,20.292376,1079.461263,0.909919,0.094271
200805,106,8,-0.407425,4,283.855495,-0.407759,1079.053503,0.917376,0.094682
200806,105,7,6.908131,1,290.763626,14.287145,1093.340648,0.924415,0.203229
200807,100,7,6.908754,1,297.672379,20.493551,1113.834199,0.932916,0.173901
200808,100,7,-10.459842,5,287.212537,-10.460841,1103.373358,0.885672,0.213680
200809,99,7,-4.955927,22,282.256610,-4.956920,1098.416438,0.881672,0.254130
200810,99,7,-9.184532,2,273.072078,-9.185532,1089.230906,0.876573,0.203555
200811,96,7,-11.898350,23,261.173728,-11.899349,1077.331557,0.884190,0.194224
200812,94,7,6.870420,1,268.044148,10.149920,1087.481477,0.896732,0.092107
200901,94,7,-5.752139,7,262.292009,-5.753135,1081.728342,0.906738,0.076084
200902,97,7,-4.402296,4,257.889713,-4.403284,1077.325058,0.987457,-0.011139
200903,101,7,6.908755,1,264.798467,23.075691,1100.400749,0.887276,-0.033683
200904,113,8,-47.144621,430,217.653847,-47.145620,1053.255129,0.883826,0.003015
200905,110,8,5.655515,2,223.309362,5.990797,1059.245926,0.878393,0.057357
200906,113,8,3.036076,7,226.345438,3.056098,1062.302025,0.915984,0.107195
200907,116,8,6.906518,1,233.251956,13.009496,1075.311520,0.875730,0.178105
200908,113,8,6.908755,1,240.160711,35.750437,1111.061957,0.822025,0.224265
200909,121,9,6.908755,1,247.069466,25.514589,1136.576546,0.901144,0.221672
