date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,480.846746,480.846746,0.842905,0.171355
200308,444,30,6.908755,1,13.817510,379.888974,860.735720,0.842905,0.171355
200309,451,31,6.908755,1,20.726264,356.089304,1216.825024,0.844022,0.169393
200310,433,29,6.908755,1,27.635019,395.478381,1612.303406,0.844022,0.169393
200311,437,30,6.908755,1,34.543774,257.266322,1869.569728,0.844022,0.169393
200312,442,30,6.908755,1,41.452529,377.672641,2247.242369,0.844022,0.169393
200401,441,30,6.908755,1,48.361283,348.782723,2596.025092,0.844022,0.169393
200402,445,30,6.908755,1,55.270038,491.953899,3087.978991,0.812385,0.153291
200403,438,30,6.908755,1,62.178793,494.005919,3581.984910,0.812385,0.153291
200404,440,30,6.908755,1,69.087548,495.446417,4077.431328,0.812385,0.153291
200405,435,29,6.908755,1,75.996303,471.280871,4548.712199,0.829884,0.155122
200406,436,30,6.908755,1,82.905057,336.313911,4885.026110,0.829884,0.155122
200407,432,29,6.908755,1,89.813812,380.387405,5265.413515,0.829884,0.155122
200408,431,29,6.908755,1,96.722567,309.571420,5574.984935,0.834256,0.150288
200409,441,30,6.908755,1,103.631322,149.308647,5724.293582,0.890108,0.120528
200410,437,30,6.908755,1,110.540076,170.820046,5895.113628,0.857665,0.110447
200411,434,29,6.908755,1,117.448831,174.697923,6069.811552,0.849738,0.104056
200412,423,29,6.908755,1,124.357586,168.704946,6238.516498,0.895710,0.091592
200501,425,29,6.908755,1,131.266341,102.597969,6341.114467,0.895669,0.085306
200502,427,29,6.908755,1,138.175096,104.631843,6445.746310,0.911050,0.064527
200503,411,28,6.908755,1,145.083850,203.586316,6649.332626,0.893793,0.033810
200504,404,27,6.908755,1,151.992605,171.023421,6820.356047,0.895426,0.003026
200505,402,27,6.908755,1,158.901360,132.000649,6952.356696,0.917685,-0.023466
200506,397,27,6.908755,1,165.810115,106.122583,7058.479279,0.916884,-0.034239
200507,403,27,6.908755,1,172.718869,34.846771,7093.326050,0.918094,-0.062560
200508,405,27,6.904596,1,179.623466,12.388300,7105.714350,0.915323,-0.057085
200509,404,27,-38.030283,163,141.593183,-38.031283,7067.683068,0.923181,-0.088472
200510,414,28,-28.087589,50,113.505594,-28.088588,7039.594480,0.919862,-0.053916
200511,411,28,6.361094,1,119.866689,7.223559,7046.818038,0.923786,-0.083626
