date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,66.392459,66.392459,0.930489,0.070370
200308,401,27,6.908755,1,13.817510,58.581501,124.973960,0.930489,0.070370
200309,412,28,6.839818,1,20.657327,9.547649,134.521609,0.954528,0.104658
200310,406,28,6.908755,1,27.566082,29.025137,163.546746,0.954528,0.104658
200311,416,28,6.908755,1,34.474837,33.772787,197.319534,0.954528,0.104658
200312,421,29,-8.252463,6,26.222374,-8.253462,189.066072,0.954528,0.104658
200401,429,29,6.908755,1,33.131129,71.518779,260.584851,0.954528,0.104658
200402,426,29,6.908755,1,40.039884,82.577702,343.162553,0.869939,0.070201
200403,428,29,6.908755,1,46.948638,95.988434,439.150987,0.869939,0.070201
200404,423,29,6.908755,1,53.857393,94.947197,534.098184,0.869939,0.070201
200405,423,29,6.908755,1,60.766148,166.913663,701.011847,0.877004,0.090514
200406,424,29,6.908755,1,67.674903,55.627013,756.638860,0.877004,0.090514
200407,425,29,6.908728,1,74.583630,17.426050,774.064910,0.877004,0.090514
200408,428,29,6.908755,1,81.492385,64.217804,838.282714,0.858630,0.090323
200409,439,30,-19.765798,56,61.726588,-19.766797,818.515917,0.860172,0.072802
200410,436,30,6.908755,1,68.635342,177.856203,996.372120,0.800683,0.065748
200411,444,30,6.908755,1,75.544097,84.571286,1080.943406,0.788021,0.069972
200412,445,30,3.772330,3,79.316427,3.815740,1084.759146,0.826961,0.036844
200501,444,30,1.237354,5,80.553781,1.239804,1085.998949,0.831190,0.011613
200502,443,30,6.908748,1,87.462530,18.821650,1104.820599,0.879070,0.024241
200503,438,30,6.838901,1,94.301431,9.533984,1114.354583,0.876890,-0.017205
200504,436,30,6.908755,1,101.210186,45.221852,1159.576435,0.933956,0.010493
200505,431,29,6.908755,1,108.118941,31.809416,1191.385851,0.938540,-0.021685
200506,438,30,6.908755,1,115.027695,28.955677,1220.341528,0.931091,-0.037207
200507,442,30,6.908755,1,121.936450,27.090984,1247.432512,0.937955,-0.051406
200508,439,30,5.413653,2,127.350103,5.666547,1253.099059,0.915326,-0.061148
200509,449,30,6.908755,1,134.258858,23.536920,1276.635979,0.930040,-0.036039
200510,455,31,-19.636215,8,114.622643,-19.637214,1256.998765,0.931155,-0.087668
200511,455,31,6.908755,1,121.531398,56.980407,1313.979172,0.916425,-0.113170
200512,446,30,6.908755,1,128.440153,42.783186,1356.762357,0.928630,-0.105592
200601,430,29,6.891393,1,135.331545,10.952525,1367.714882,0.908203,-0.095476
200602,434,29,6.908755,1,142.240300,42.233250,1409.948133,0.917356,-0.126486
200603,434,29,6.908595,1,149.148895,15.649103,1425.597236,0.915690,-0.128371
200604,431,29,6.908755,1,156.057650,39.030910,1464.628146,0.910980,-0.095465
200605,433,29,-6.969737,7,149.087913,-6.970735,1457.657411,0.931627,-0.079154
200606,421,29,-49.969467,425,99.118445,-49.970467,1407.686944,0.918495,-0.087685
200607,423,29,-17.390439,35,81.728006,-17.391438,1390.295505,0.928763,-0.100802
200608,414,28,6.908023,1,88.636029,14.127138,1404.422643,0.908412,-0.041608
