date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,5.228773,2,5.228773,5.434032,5.434032,0.955640,-0.076902
200308,54,4,-4.315111,60,0.913662,-4.316098,1.117935,0.955640,-0.076902
200309,53,4,-2.718545,26,-1.804883,-2.719478,-1.601543,0.956404,-0.056062
200310,62,5,-6.262104,109,-8.066987,-6.263102,-7.864645,0.956404,-0.056062
200311,62,5,6.739532,1,-1.327454,8.598493,0.733848,0.956404,-0.056062
200312,64,5,-4.830807,141,-6.158262,-4.831799,-4.097951,0.956404,-0.056062
200401,67,5,5.297373,2,-0.860889,5.519032,1.421081,0.956404,-0.056062
200402,69,5,-2.701904,123,-3.562793,-2.702837,-1.281756,0.948631,-0.088793
200403,67,5,-0.545354,47,-4.108148,-0.545775,-1.827531,0.948631,-0.088793
200404,67,5,-3.768361,76,-7.876509,-3.769338,-5.596868,0.948631,-0.088793
200405,69,5,1.692980,37,-6.183529,1.697425,-3.899443,0.959664,-0.082678
200406,73,5,6.717556,1,0.534027,8.465074,4.565631,0.959664,-0.082678
200407,71,5,-5.363093,180,-4.829066,-5.364088,-0.798458,0.959664,-0.082678
200408,69,5,1.051093,57,-3.777974,1.052955,0.254497,0.968094,-0.165233
200409,72,5,3.395616,3,-0.382358,3.424873,3.679371,0.972700,-0.220635
200410,71,5,0.330071,127,-0.052287,0.330462,4.009833,0.976302,-0.182319
200411,72,5,0.711653,99,0.659366,0.712691,4.722524,0.967646,-0.184974
200412,72,5,-3.846519,642,-3.187152,-3.847497,0.875027,0.971309,-0.135791
200501,72,5,5.883293,1,2.696141,6.326444,7.201471,0.958717,-0.050090
200502,87,6,6.828710,1,9.524851,9.392631,16.594102,0.968461,-0.071715
200503,88,6,-2.044765,564,7.480085,-2.045636,14.548466,0.955611,-0.082902
200504,89,6,4.482467,2,11.962552,4.573982,19.122449,0.915676,-0.060923
200505,90,6,-2.570059,574,9.392493,-2.570983,16.551466,0.910216,-0.052843
200506,93,7,-9.178588,268,0.213905,-9.179588,7.371878,0.906716,-0.132020
200507,93,7,-10.316119,75,-10.102214,-10.317118,-2.945240,0.909726,-0.156122
200508,95,7,-1.736160,206,-11.838374,-1.736983,-4.682223,0.877798,-0.168682
200509,100,7,-2.772128,42,-14.610502,-2.773065,-7.455288,0.888562,-0.121586
200510,94,7,-22.323122,820,-36.933623,-22.324121,-29.779409,0.908667,-0.239654
200511,94,7,-3.464473,420,-40.398096,-3.465441,-33.244850,0.892894,-0.184981
200512,95,7,-25.041453,208,-65.439549,-25.042452,-58.287303,0.910525,-0.186291
200601,100,7,6.890315,1,-58.549234,10.891756,-47.395547,0.884171,-0.078222
200602,103,7,-25.104388,164,-83.653622,-25.105387,-72.500934,0.897482,-0.016660
200603,101,7,-2.394610,8,-86.048232,-2.395518,-74.896452,0.900046,-0.043365
200604,103,7,-12.779599,472,-98.827831,-12.780599,-87.677050,0.894310,0.042278
200605,101,7,-31.920019,928,-130.747849,-31.921018,-119.598068,0.921118,0.036198
200606,130,9,-20.189782,472,-150.937631,-20.190781,-139.788850,0.892961,0.124954
200607,127,9,-6.655411,215,-157.593042,-6.656409,-146.445259,0.916778,0.038138
200608,134,9,0.523498,23,-157.069544,0.524186,-145.921073,0.884124,0.066233
200609,128,9,-10.739877,187,-167.809421,-10.740876,-156.661949,0.873824,0.114190
200610,164,11,-7.884416,90,-175.693837,-7.885415,-164.547364,0.878976,-0.013074
200611,164,11,-16.432015,266,-192.125851,-16.433014,-180.980378,0.858557,0.011807
200612,159,11,-11.123344,256,-203.249196,-11.124344,-192.104722,0.851432,-0.100923
200701,158,11,-18.902031,74,-222.151227,-18.903030,-211.007752,0.834159,-0.246433
200702,184,13,5.319404,2,-216.831823,5.546633,-205.461119,0.835744,-0.265782
200703,185,13,-2.517394,16,-219.349217,-2.518313,-207.979432,0.839533,-0.228215
200704,185,13,-11.181727,54,-230.530944,-11.182726,-219.162159,0.814064,0.181313
200705,188,13,1.140654,2,-229.390290,1.142785,-218.019374,0.814671,0.015186
200706,184,13,6.908754,1,-222.481536,21.075128,-196.944246,0.727435,0.362211
200707,184,13,6.908755,1,-215.572782,29.346118,-167.598128,0.709261,0.468003
200708,186,13,6.908755,1,-208.664027,52.628420,-114.969708,0.625692,0.616867
200709,192,13,6.908755,1,-201.755272,24.238371,-90.731337,0.573488,0.760107
200710,183,13,6.908755,1,-194.846517,96.938217,6.206880,0.487934,0.755715
200711,185,13,6.908755,1,-187.937762,40.911761,47.118641,0.644057,0.731468
200712,186,13,6.908755,1,-181.029008,138.953981,186.072622,0.517224,0.775669
200801,178,12,6.908755,1,-174.120253,52.689235,238.761858,0.539943,0.709621
200802,179,12,6.908755,1,-167.211498,194.945999,433.707856,0.588000,0.437566
