date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,43.760152,43.760152,0.842905,0.171355
200308,444,30,-11.141631,14,-4.232877,-11.142631,32.617521,0.842905,0.171355
200309,451,31,6.908755,1,2.675878,39.202311,71.819832,0.844022,0.169393
200310,433,29,-1.506884,3,1.168994,-1.507662,70.312170,0.844022,0.169393
200311,437,30,0.510755,4,1.679749,0.511422,70.823591,0.844022,0.169393
200312,442,30,6.908755,1,8.588504,31.007122,101.830713,0.844022,0.169393
200401,441,30,2.887841,2,11.476345,2.904941,104.735655,0.844022,0.169393
200402,445,30,6.908755,1,18.385100,56.524152,161.259807,0.812385,0.153291
200403,438,30,6.908755,1,25.293855,80.299861,241.559668,0.812385,0.153291
200404,440,30,6.908755,1,32.202609,91.597896,333.157564,0.812385,0.153291
200405,435,29,6.908755,1,39.111364,81.164032,414.321596,0.829884,0.155122
200406,436,30,6.883359,1,45.994724,10.568221,424.889817,0.829884,0.155122
200407,432,29,6.908755,1,52.903478,52.558838,477.448655,0.829884,0.155122
200408,431,29,6.908755,1,59.812233,99.271105,576.719760,0.834256,0.150288
200409,441,30,-6.413040,13,53.399193,-6.414038,570.305721,0.890108,0.120528
200410,437,30,6.908755,1,60.307948,44.150698,614.456420,0.857665,0.110447
200411,434,29,6.908745,1,67.216693,18.448654,632.905074,0.849738,0.104056
200412,423,29,6.908755,1,74.125447,70.534346,703.439420,0.895710,0.091592
200501,425,29,6.908755,1,81.034202,25.417793,728.857213,0.895669,0.085306
200502,427,29,6.858780,1,87.892982,9.878905,738.736118,0.911050,0.064527
200503,411,28,6.908755,1,94.801737,60.090173,798.826291,0.893793,0.033810
200504,404,27,6.908755,1,101.710492,145.712953,944.539245,0.895426,0.003026
200505,402,27,6.900939,1,108.611431,11.755416,956.294661,0.917685,-0.023466
200506,397,27,6.908755,1,115.520185,52.760059,1009.054720,0.916884,-0.034239
200507,403,27,-8.078090,13,107.442096,-8.079089,1000.975631,0.918094,-0.062560
200508,405,27,6.908755,1,114.350851,50.511714,1051.487345,0.915323,-0.057085
200509,404,27,1.928206,7,116.279057,1.934101,1053.421446,0.923181,-0.088472
200510,414,28,-45.199783,375,71.079274,-45.200782,1008.220664,0.919862,-0.053916
200511,411,28,-17.589119,94,53.490155,-17.590119,990.630545,0.923786,-0.083626
200512,411,28,6.908755,1,60.398910,35.026870,1025.657415,0.928546,-0.116473
200601,413,28,-3.537338,8,56.861572,-3.538308,1022.119107,0.915529,-0.097400
200602,424,29,6.908755,1,63.770327,35.162028,1057.281135,0.913140,-0.102268
200603,419,28,6.908755,1,70.679082,48.532077,1105.813212,0.912996,-0.068528
200604,424,29,-21.886634,15,48.792448,-21.887634,1083.925578,0.921888,-0.108330
200605,416,28,6.908755,1,55.701202,34.959321,1118.884899,0.914669,-0.072511
200606,410,28,6.908755,1,62.609957,54.243275,1173.128174,0.894181,-0.043870
200607,416,28,6.908755,1,69.518712,51.474380,1224.602555,0.889629,-0.057707
200608,417,28,6.908755,1,76.427467,28.109830,1252.712385,0.872788,-0.010942
200609,416,28,6.908755,1,83.336221,44.356410,1297.068795,0.859605,0.018717
200610,403,27,6.908755,1,90.244976,31.923859,1328.992655,0.857503,-0.014108
200611,394,27,-36.109544,150,54.135433,-36.110543,1292.882111,0.856140,0.003016
200612,395,27,6.908755,1,61.044187,36.871607,1329.753719,0.843497,0.047227
200701,400,27,-55.133525,240,5.910663,-55.134524,1274.619195,0.850341,0.094485
200702,391,27,6.908755,1,12.819417,30.150917,1304.770112,0.852274,0.073628
200703,380,26,6.908755,1,19.728172,43.816617,1348.586729,0.853763,0.133466
200704,384,26,6.908755,1,26.636927,45.280117,1393.866846,0.837152,0.195313
200705,384,26,-21.792102,118,4.844825,-21.793101,1372.073745,0.837399,0.183073
200706,381,26,6.908755,1,11.753580,41.409339,1413.483083,0.858977,0.127396
200707,390,26,6.908755,1,18.662335,80.403792,1493.886875,0.838165,0.099056
200708,376,26,6.908755,1,25.571090,53.243217,1547.130092,0.783331,0.197834
200709,381,26,6.908755,1,32.479844,41.397332,1588.527423,0.768768,0.156623
200710,379,26,6.908755,1,39.388599,53.285452,1641.812875,0.777944,0.228405
200711,387,26,6.908755,1,46.297354,187.121029,1828.933904,0.763970,0.268778
200712,381,26,6.908593,1,53.205947,15.638579,1844.572483,0.768768,0.303109
200801,384,26,6.908755,1,60.114702,25.245250,1869.817733,0.768215,0.314159
200802,384,26,6.908755,1,67.023457,41.135138,1910.952871,0.761943,0.284673
200803,377,26,6.908755,1,73.932212,45.172189,1956.125061,0.771917,0.322887
200804,387,26,6.904409,1,80.836621,12.344202,1968.469263,0.775284,0.249240
