date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,288.179067,288.179067,0.316461,-0.066406
200308,401,27,6.908755,1,13.817510,295.070028,583.249095,0.316461,-0.066406
200309,412,28,6.908755,1,20.726264,315.441570,898.690665,0.299420,-0.057940
200310,406,28,6.908755,1,27.635019,382.811732,1281.502397,0.299553,-0.068681
200311,416,28,6.908755,1,34.543774,296.056250,1577.558647,0.299553,-0.068681
200312,421,29,6.908755,1,41.452529,365.436692,1942.995340,0.299553,-0.068681
200401,429,29,6.908755,1,48.361283,381.383961,2324.379301,0.297429,-0.068116
200402,426,29,6.908755,1,55.270038,416.898631,2741.277932,0.304012,-0.066549
200403,428,29,6.908755,1,62.178793,382.161751,3123.439682,0.304012,-0.066549
200404,423,29,6.908755,1,69.087548,395.365125,3518.804807,0.304012,-0.066549
200405,423,29,6.908755,1,75.996303,397.367391,3916.172198,0.305415,-0.063685
200406,424,29,6.908755,1,82.905057,261.986346,4178.158543,0.306822,-0.060700
200407,425,29,6.908755,1,89.813812,207.005465,4385.164009,0.306822,-0.060700
200408,428,29,6.908755,1,96.722567,177.806806,4562.970815,0.311338,-0.051555
200409,439,30,6.908755,1,103.631322,273.726781,4836.697596,0.312329,-0.053451
200410,436,30,6.908755,1,110.540076,351.790351,5188.487946,0.312269,-0.050892
200411,444,30,6.908755,1,117.448831,549.417923,5737.905869,0.314841,-0.055677
200412,445,30,6.908755,1,124.357586,780.378281,6518.284151,0.315609,-0.058001
200501,444,30,6.908755,1,131.266341,1200.326020,7718.610171,0.318912,-0.053033
200502,443,30,6.908755,1,138.175096,1661.402513,9380.012684,0.321952,-0.056516
200503,438,30,6.908755,1,145.083850,1775.723553,11155.736238,0.326305,-0.045831
200504,436,30,6.908755,1,151.992605,2045.735188,13201.471425,0.326617,-0.047717
200505,431,29,6.908755,1,158.901360,2237.909678,15439.381104,0.325998,-0.050445
200506,438,30,6.908755,1,165.810115,2532.521444,17971.902547,0.329411,-0.052812
200507,442,30,6.908755,1,172.718869,2679.081512,20650.984060,0.330075,-0.053932
200508,439,30,6.908755,1,179.627624,2761.441835,23412.425895,0.326646,-0.053062
200509,449,30,6.908755,1,186.536379,2788.742701,26201.168596,0.323939,-0.045486
200510,455,31,6.908755,1,193.445134,2707.427292,28908.595888,0.316332,-0.046479
200511,455,31,6.908755,1,200.353889,2907.042447,31815.638336,0.309667,-0.039377
200512,446,30,6.908755,1,207.262643,2860.804891,34676.443227,0.300347,-0.039393
200601,430,29,6.908755,1,214.171398,2581.294669,37257.737896,0.289225,-0.035479
