date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,6.908645,1,6.908645,16.020995,16.020995,0.343028,-0.034463
200308,54,4,6.906100,1,13.814745,12.837896,28.858891,0.343028,-0.034463
200309,53,4,2.618486,10,16.433231,2.631283,31.490174,0.352140,-0.026300
200310,62,5,6.862355,1,23.295586,9.954931,41.445104,0.348926,-0.012529
200311,62,5,3.955609,3,27.251195,4.008195,45.453299,0.348926,-0.012529
200312,64,5,6.907538,1,34.158733,13.618915,59.072214,0.348926,-0.012529
200401,67,5,6.906067,1,41.064800,12.825578,71.897792,0.351841,-0.008068
200402,69,5,6.908446,1,47.973246,14.990151,86.887944,0.348649,-0.002156
200403,67,5,6.908633,1,54.881880,15.925076,102.813020,0.348649,-0.002156
200404,67,5,6.901500,1,61.783380,11.830263,114.643283,0.348649,-0.002156
200405,69,5,1.177471,7,62.960851,1.179719,115.823002,0.345260,0.009324
200406,73,5,3.738934,2,66.699785,3.780854,119.603856,0.342193,0.013116
200407,71,5,-15.540662,811,51.159122,-15.541662,104.062194,0.342193,0.013116
200408,69,5,2.356835,9,53.515957,2.366438,106.428632,0.344759,0.010747
200409,72,5,6.908742,1,60.424699,18.168539,124.597171,0.343086,-0.005352
200410,71,5,6.908755,1,67.333454,34.521574,159.118745,0.345099,-0.001588
200411,72,5,6.908755,1,74.242209,62.693467,221.812212,0.342545,0.001824
200412,72,5,6.908755,1,81.150963,80.687072,302.499285,0.401956,0.005085
200501,72,5,6.908755,1,88.059718,114.397662,416.896946,0.446693,-0.001305
200502,87,6,6.908755,1,94.968473,188.533206,605.430153,0.437195,-0.009550
200503,88,6,6.908755,1,101.877228,187.900672,793.330825,0.431993,-0.018499
200504,89,6,6.908755,1,108.785983,234.057569,1027.388394,0.417366,-0.024073
200505,90,6,6.908755,1,115.694737,222.361626,1249.750020,0.392694,-0.086121
200506,93,7,6.908755,1,122.603492,313.831229,1563.581249,0.386272,-0.095101
200507,93,7,6.908755,1,129.512247,306.031457,1869.612706,0.378180,-0.104933
200508,95,7,6.908755,1,136.421002,411.795294,2281.408000,0.388672,-0.121346
200509,100,7,6.908755,1,143.329756,441.539402,2722.947402,0.412485,-0.138965
200510,94,7,6.908755,1,150.238511,389.876360,3112.823762,0.399103,-0.140691
200511,94,7,6.908755,1,157.147266,384.608629,3497.432391,0.385038,-0.141327
200512,95,7,6.908755,1,164.056021,331.167215,3828.599606,0.368491,-0.137212
200601,100,7,6.908755,1,170.964776,409.228921,4237.828528,0.350943,-0.134493
200602,103,7,6.908755,1,177.873530,489.279897,4727.108424,0.330815,-0.120404
200603,101,7,6.908755,1,184.782285,365.252163,5092.360587,0.307737,-0.110532
200604,103,7,6.908755,1,191.691040,236.479509,5328.840096,0.289584,-0.112295
200605,101,7,6.908755,1,198.599795,234.596035,5563.436131,0.280285,0.059933
200606,130,9,6.908755,1,205.508549,295.197498,5858.633629,0.258522,0.059399
200607,127,9,6.908755,1,212.417304,383.872966,6242.506595,0.236613,0.041044
200608,134,9,6.908755,1,219.326059,239.847448,6482.354043,0.218143,0.039807
200609,128,9,6.908755,1,226.234814,215.270641,6697.624684,0.194523,0.042456
200610,164,11,6.908755,1,233.143569,237.414110,6935.038793,0.176041,0.044417
200611,164,11,6.908755,1,240.052323,240.269858,7175.308651,0.157645,-0.008993
200612,159,11,6.908755,1,246.961078,191.968829,7367.277480,0.143206,-0.014944
200701,158,11,6.908755,1,253.869833,75.888472,7443.165952,0.126442,-0.049047
200702,184,13,6.908755,1,260.778588,170.636445,7613.802398,0.114442,-0.046824
200703,185,13,6.908755,1,267.687342,83.886227,7697.688624,0.099160,-0.052201
200704,185,13,6.908755,1,274.596097,95.359162,7793.047786,0.082594,-0.112144
200705,188,13,6.908755,1,281.504852,36.896301,7829.944087,0.069465,-0.147952
200706,184,13,6.908755,1,288.413607,32.111135,7862.055222,0.063334,-0.148266
200707,184,13,6.908755,1,295.322362,77.419816,7939.475038,0.051950,-0.195866
200708,186,13,6.908755,1,302.231116,124.632043,8064.107081,0.026480,-0.243643
200709,192,13,6.908755,1,309.139871,182.876326,8246.983407,0.021408,-0.247612
200710,183,13,6.908755,1,316.048626,222.950109,8469.933516,0.013125,-0.253544
200711,185,13,6.908755,1,322.957381,215.138560,8685.072076,0.010524,-0.251103
200712,186,13,6.908755,1,329.866136,285.113650,8970.185727,0.004447,-0.250671
200801,178,12,6.908755,1,336.774890,393.241374,9363.427100,0.002864,-0.247611
200802,179,12,6.908755,1,343.683645,467.913619,9831.340719,0.003878,-0.245784
200803,178,12,6.908755,1,350.592400,321.926027,10153.266746,-0.004148,-0.254765
200804,177,12,6.908755,1,357.501155,218.304335,10371.571081,-0.000446,-0.237688
200805,177,12,6.908755,1,364.409909,235.437366,10607.008448,-0.002361,-0.230982
200806,178,12,6.908755,1,371.318664,213.134883,10820.143331,-0.004418,-0.230862
200807,176,12,6.908755,1,378.227419,238.907011,11059.050341,0.005094,-0.213248
200808,176,12,6.908755,1,385.136174,218.313649,11277.363991,0.021780,-0.165069
200809,173,12,-58.604689,14,326.531485,-58.605688,11218.758302,0.023904,-0.159056
200810,172,12,6.908755,1,333.440240,164.851155,11383.609458,0.031576,-0.147313
200811,173,12,6.908755,1,340.348995,161.549500,11545.158957,0.038932,-0.134736
200812,103,7,6.879801,1,347.228796,10.435315,11555.594272,0.034914,-0.092314
200901,101,7,6.908755,1,354.137551,44.878180,11600.472453,0.037883,-0.095390
200902,104,7,6.908755,1,361.046306,57.930430,11658.402883,0.050314,-0.082103
200903,126,9,6.908755,1,367.955060,57.182112,11715.584994,0.068680,-0.062757
200904,132,9,6.908755,1,374.863815,49.656247,11765.241241,0.079948,-0.064223
200905,134,9,6.908755,1,381.772570,50.459343,11815.700585,0.099126,-0.063152
200906,129,9,6.908755,1,388.681325,39.040042,11854.740627,0.119536,-0.063460
200907,131,9,6.908755,1,395.590079,42.711005,11897.451632,0.135729,-0.066650
200908,132,9,6.908755,1,402.498834,42.459094,11939.910726,0.152533,-0.067040
200909,134,9,6.908755,1,409.407589,44.486058,11984.396784,0.169243,-0.065073
200910,138,10,6.908755,1,416.316344,69.785174,12054.181958,0.174709,-0.064127
200911,141,10,6.908755,1,423.225099,63.263908,12117.445867,0.189041,-0.066285
200912,144,10,6.908755,1,430.133853,58.926516,12176.372383,0.197843,-0.059114
201001,141,10,6.908755,1,437.042608,80.059367,12256.431750,0.207960,-0.058014
201002,156,11,6.908755,1,443.951363,90.994819,12347.426569,0.210677,-0.055018
201003,158,11,6.908755,1,450.860118,121.294304,12468.720873,0.209507,-0.055365
201004,157,11,6.908755,1,457.768872,138.952590,12607.673463,0.218808,-0.047516
201005,159,11,6.908755,1,464.677627,136.889770,12744.563233,0.226801,-0.039016
201006,156,11,6.908755,1,471.586382,147.857737,12892.420970,0.235349,-0.036871
201007,160,11,6.908755,1,478.495137,155.370096,13047.791066,0.247238,-0.036716
201008,161,11,6.908755,1,485.403892,148.626618,13196.417684,0.262185,-0.035779
201009,163,11,6.908755,1,492.312646,150.648464,13347.066148,0.267963,-0.035064
201010,163,11,6.908755,1,499.221401,156.939933,13504.006081,0.291184,-0.027067
201011,165,11,6.908755,1,506.130156,113.959392,13617.965474,0.303383,-0.022364
201012,165,11,6.908755,1,513.038911,55.240366,13673.205839,0.316895,-0.027459
201101,165,11,6.908755,1,519.947665,63.671354,13736.877193,0.322028,-0.040706
201102,174,12,6.908755,1,526.856420,38.194155,13775.071348,0.332699,-0.041319
201103,173,12,6.908755,1,533.765175,34.378748,13809.450096,0.344781,-0.041120
201104,175,12,6.908755,1,540.673930,22.422521,13831.872617,0.351943,-0.043134
201105,177,12,6.908755,1,547.582684,44.411466,13876.284083,0.349940,-0.052331
201106,181,13,6.908755,1,554.491439,51.481991,13927.766074,0.347704,-0.053429
201107,181,13,6.908755,1,561.400194,83.512738,14011.278812,0.346837,-0.055861
201108,182,13,6.908755,1,568.308949,91.974904,14103.253716,0.343371,-0.058731
201109,182,13,6.908690,1,575.217639,16.553045,14119.806762,0.338108,-0.056799
201110,186,13,6.908755,1,582.126394,67.873603,14187.680364,0.331756,-0.055187
201111,160,11,6.908755,1,589.035148,62.857681,14250.538045,0.328664,-0.052880
201112,159,11,6.908755,1,595.943903,74.712300,14325.250346,0.329698,-0.049590
201201,159,11,6.908755,1,602.852658,56.664230,14381.914576,0.332602,-0.014194
201202,160,11,6.908755,1,609.761413,29.613946,14411.528522,0.332738,-0.015180
201203,161,11,6.908755,1,616.670167,22.700958,14434.229480,0.332089,-0.015698
201204,158,11,6.908737,1,623.578904,17.851277,14452.080757,0.330951,-0.016418
201205,169,12,6.908755,1,630.487659,46.899910,14498.980668,0.333046,-0.025558
201206,172,12,6.908755,1,637.396414,84.956984,14583.937651,0.336367,-0.030216
201207,178,12,6.908755,1,644.305169,141.502171,14725.439822,0.339817,-0.032407
201208,170,12,6.908755,1,651.213924,113.083570,14838.523393,0.342239,-0.033651
201209,177,12,6.908755,1,658.122678,104.866254,14943.389647,0.343480,-0.032771
201210,175,12,6.908755,1,665.031433,149.264633,15092.654280,0.340535,-0.023276
201211,177,12,6.908755,1,671.940188,178.286305,15270.940585,0.334045,-0.022533
201212,173,12,6.908755,1,678.848943,161.241330,15432.181915,0.329450,-0.020712
201301,173,12,6.908755,1,685.757697,106.099380,15538.281296,0.323516,-0.009098
201302,180,12,6.908755,1,692.666452,102.169680,15640.450975,0.313321,-0.008835
