date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,-1.708670,262,-1.708670,-1.709489,-1.709489,0.579659,-0.003997
200308,24,2,-2.180339,197,-3.889009,-2.181225,-3.890714,0.579659,-0.003997
200309,26,2,0.691108,147,-3.197901,0.692105,-3.198609,0.588397,-0.000872
200310,26,2,1.237475,94,-1.960426,1.239925,-1.958684,0.526834,0.037346
200311,25,2,-14.502447,829,-16.462872,-14.503446,-16.462130,0.526834,0.037346
200312,25,2,-0.123107,230,-16.585979,-0.123223,-16.585354,0.526834,0.037346
200401,27,2,1.003994,114,-15.581985,1.005725,-15.579629,0.523332,0.060471
200402,28,2,-0.505455,432,-16.087440,-0.505852,-16.085481,0.517706,0.071919
200403,29,2,-2.246332,793,-18.333772,-2.247226,-18.332706,0.517706,0.071919
200404,27,2,-0.473664,262,-18.807436,-0.474041,-18.806747,0.517706,0.071919
200405,31,3,-4.306446,186,-23.113882,-4.307432,-23.114179,0.517740,0.069566
200406,33,3,4.911288,2,-18.202594,5.056099,-18.058080,0.495538,0.080580
200407,34,3,6.864585,1,-11.338009,10.005309,-8.052771,0.495538,0.080580
200408,34,3,6.908665,1,-4.429344,16.220897,8.168126,0.492061,0.075354
200409,33,3,6.908746,1,2.479402,18.507891,26.676018,0.486866,0.073341
200410,33,3,6.908755,1,9.388156,27.169586,53.845604,0.481895,0.073960
200411,34,3,6.908755,1,16.296911,33.701935,87.547538,0.484463,0.117511
200412,34,3,6.908755,1,23.205666,43.205660,130.753198,0.476868,0.122309
200501,36,3,6.908755,1,30.114421,43.267152,174.020350,0.465163,0.096880
200502,36,3,6.908755,1,37.023176,69.356288,243.376638,0.461513,0.095963
200503,35,3,6.908755,1,43.931930,30.600402,273.977041,0.457176,0.098107
200504,38,3,6.908755,1,50.840685,35.580540,309.557581,0.429587,-0.022755
200505,38,3,6.908755,1,57.749440,44.247658,353.805239,0.425223,-0.024097
200506,38,3,6.908755,1,64.658195,65.332833,419.138072,0.421490,-0.023155
200507,43,3,6.908755,1,71.566949,66.317634,485.455706,0.415654,-0.028511
200508,43,3,6.908755,1,78.475704,73.673394,559.129100,0.421787,-0.031116
200509,43,3,6.908755,1,85.384459,42.591065,601.720165,0.427940,-0.032747
200510,43,3,6.908755,1,92.293214,46.611070,648.331235,0.420543,-0.033439
200511,45,3,6.908755,1,99.201969,45.368624,693.699858,0.408640,-0.037163
200512,45,3,6.908755,1,106.110723,54.916026,748.615884,0.396873,-0.041615
200601,46,4,6.908755,1,113.019478,72.190130,820.806014,0.379780,-0.050126
200602,48,4,6.908755,1,119.928233,81.560776,902.366790,0.349868,-0.051182
200603,46,4,6.908755,1,126.836988,52.715388,955.082179,0.318281,-0.050382
200604,46,4,6.908755,1,133.745742,47.215977,1002.298155,0.315278,0.014127
200605,47,4,6.908755,1,140.654497,31.708400,1034.006556,0.272985,-0.094280
200606,47,4,6.908755,1,147.563252,34.778568,1068.785123,0.248426,-0.088511
200607,48,4,6.908755,1,154.472007,40.739049,1109.524172,0.225009,-0.083676
200608,48,4,6.908755,1,161.380762,44.190452,1153.714624,0.199817,-0.083686
200609,48,4,6.908755,1,168.289516,58.935952,1212.650576,0.176820,-0.089407
200610,48,4,6.908755,1,175.198271,41.984132,1254.634708,0.155841,-0.094196
200611,49,4,6.908744,1,182.107015,18.308877,1272.943585,0.148334,-0.112209
200612,50,4,6.908755,1,189.015769,31.422821,1304.366406,0.133254,-0.122821
200701,49,4,6.908753,1,195.924522,19.995325,1324.361731,0.114135,-0.131221
200702,48,4,6.906393,1,202.830916,12.955065,1337.316796,0.099246,-0.136984
200703,48,4,4.959197,2,207.790113,5.111742,1342.428538,0.076131,-0.146176
200704,49,4,6.823242,1,214.613355,9.323783,1351.752321,0.068375,-0.145274
200705,50,4,3.776521,5,218.389875,3.820122,1355.572442,0.077794,-0.012321
200706,49,4,-22.100384,271,196.289491,-22.101384,1333.471059,0.075389,-0.013265
200707,50,4,-2.886490,34,193.403001,-2.887434,1330.583625,0.070556,-0.009161
200708,50,4,-7.300691,25,186.102310,-7.301690,1323.281934,0.064239,-0.006516
200709,53,4,5.788160,2,191.890470,6.181813,1329.463747,0.056894,-0.012377
200710,54,4,6.902084,1,198.792554,11.914420,1341.378167,0.049657,-0.021904
200711,56,4,6.908755,1,205.701308,38.043343,1379.421510,0.042250,-0.016841
200712,55,4,6.908755,1,212.610063,37.744975,1417.166485,0.034911,-0.022504
200801,54,4,6.908755,1,219.518818,102.797066,1519.963551,0.027716,-0.037093
200802,55,4,6.908755,1,226.427573,105.629054,1625.592605,0.026088,-0.047197
200803,56,4,6.908755,1,233.336327,60.220586,1685.813191,0.022183,-0.083750
200804,55,4,6.908755,1,240.245082,26.996544,1712.809735,0.018958,-0.080123
200805,55,4,6.908755,1,247.153837,66.795904,1779.605638,0.012560,-0.081116
200806,56,4,6.908755,1,254.062592,57.793877,1837.399515,0.009561,-0.084033
200807,56,4,6.908755,1,260.971347,53.109552,1890.509067,-0.004489,-0.185645
200808,57,4,6.908755,1,267.880101,63.641304,1954.150372,-0.002363,-0.176539
200809,57,4,-14.479058,9,253.401043,-14.480058,1939.670314,-0.001591,-0.166950
200810,55,4,6.908755,1,260.309798,50.415265,1990.085579,0.002386,-0.158439
200811,55,4,6.908755,1,267.218553,31.093135,2021.178714,0.014270,-0.150837
200812,55,4,6.908755,1,274.127308,43.132575,2064.311290,0.027812,-0.140529
200901,58,4,6.908755,1,281.036062,39.435633,2103.746923,0.039853,-0.140467
200902,56,4,6.908755,1,287.944817,35.474736,2139.221659,0.066947,-0.091827
200903,17,2,0.343213,107,288.288030,0.343623,2139.565281,0.116054,-0.058505
200904,20,2,1.922960,19,290.210990,1.928818,2141.494100,0.152734,-0.045382
200905,19,2,6.022672,1,296.233662,6.553156,2148.047255,0.187079,-0.045632
200906,19,2,4.433211,1,300.666873,4.520078,2152.567334,0.203384,-0.045402
200907,22,2,4.857747,1,305.524620,4.994407,2157.561741,0.217785,-0.017891
200908,22,2,3.483424,7,309.008044,3.515504,2161.077245,0.178042,-0.028829
200909,22,2,4.679395,1,313.687438,4.792233,2165.869478,0.191911,-0.031811
200910,17,2,3.934574,1,317.622013,3.986015,2169.855493,0.191038,-0.030011
200911,18,2,3.653095,7,321.275107,3.691413,2173.546907,0.205011,-0.027203
200912,18,2,3.852774,5,325.127881,3.899995,2177.446902,0.211228,-0.021029
201001,17,2,5.103910,1,330.231791,5.282635,2182.729537,0.232956,-0.015157
201002,9,2,1.624214,57,331.856005,1.628297,2184.357834,0.247172,-0.009024
201003,9,2,2.359180,8,334.215185,2.368808,2186.726643,0.255318,-0.000484
201004,9,2,1.375936,99,335.591122,1.378900,2188.105542,0.252260,-0.000975
201005,9,2,1.202760,138,336.793881,1.205092,2189.310634,0.257960,-0.001677
201006,9,2,1.350583,88,338.144465,1.353447,2190.664081,0.261159,-0.004626
201007,9,2,2.341105,13,340.485570,2.350542,2193.014623,0.263012,-0.008616
201008,9,2,0.750906,173,341.236476,0.752026,2193.766649,0.272297,-0.000475
201009,10,2,3.580402,9,344.816877,3.615913,2197.382561,0.279348,-0.007841
201010,10,2,3.864862,1,348.681739,3.912684,2201.295245,0.306431,0.014637
201011,11,2,3.944233,12,352.625972,3.996196,2205.291441,0.306392,0.011454
201012,11,2,5.081464,4,357.707436,5.255829,2210.547270,0.313010,0.008850
201101,11,2,4.405077,9,362.112512,4.489400,2215.036670,0.311171,0.009108
201102,11,2,1.264422,32,363.376935,1.266966,2216.303636,0.299918,-0.004922
201103,12,2,3.682200,10,367.059135,3.721704,2220.025340,0.294425,-0.051173
201104,12,2,4.450759,2,371.509894,4.539253,2224.564594,0.294701,-0.058971
201105,12,2,4.662437,4,376.172331,4.773250,2229.337844,0.302143,-0.042394
201106,12,2,5.266379,4,381.438710,5.480455,2234.818299,0.297156,-0.038186
201107,12,2,5.940259,1,387.378969,6.416737,2241.235036,0.298176,-0.026483
201108,12,2,4.022093,4,391.401062,4.078470,2245.313507,0.298621,-0.007371
201109,12,2,-4.526005,225,386.875057,-4.526993,2240.786514,0.295375,0.000002
201110,12,2,-2.426305,256,384.448753,-2.427216,2238.359298,0.286029,0.006747
201111,12,2,3.086383,12,387.535136,3.107502,2241.466800,0.281053,0.017705
201112,12,2,2.517481,11,390.052617,2.528944,2243.995744,0.284824,0.007575
201201,12,2,4.107440,1,394.160056,4.169093,2248.164836,0.286516,-0.026270
201202,12,2,6.180344,1,400.340400,6.838429,2255.003265,0.280963,-0.104287
201203,12,2,4.961764,2,405.302164,5.114736,2260.118001,0.292716,-0.095536
201204,12,2,6.065299,1,411.367463,6.626806,2266.744807,0.297061,-0.084521
201205,12,2,6.908668,1,418.276131,16.257866,2283.002673,0.295873,-0.071414
201206,12,2,5.809422,3,424.085553,6.213528,2289.216201,0.299810,-0.057721
201207,12,2,-2.566021,166,421.519532,-2.566944,2286.649257,0.300982,-0.041203
201208,11,2,2.814694,9,424.334226,2.830506,2289.479764,0.298952,-0.039923
201209,11,2,5.715842,3,430.050068,6.076295,2295.556059,0.301403,-0.038350
201210,11,2,4.821976,5,434.872044,4.953464,2300.509522,0.293346,-0.040667
201211,11,2,-2.788188,402,432.083856,-2.789126,2297.720397,0.277476,-0.046758
201212,13,2,4.304294,2,436.388150,4.380114,2302.100511,0.270594,-0.050942
201301,13,2,3.322576,7,439.710726,3.349672,2305.450182,0.261467,-0.054678
201302,13,2,0.962513,94,440.673239,0.964133,2306.414315,0.251460,-0.081515
201303,13,2,-1.933297,492,438.739942,-1.934152,2304.480163,0.241916,-0.090240
201304,13,2,2.417700,16,441.157642,2.427973,2306.908136,0.236719,-0.074317
201305,12,2,0.885096,80,442.042738,0.886520,2307.794656,0.234066,-0.075573
201306,13,2,-6.700976,487,435.341762,-6.701975,2301.092681,0.220850,-0.082469
201307,13,2,-4.531694,463,430.810068,-4.532683,2296.559998,0.207220,-0.068466
201308,13,2,-3.230621,400,427.579447,-3.231581,2293.328417,0.179946,-0.116457
201309,13,2,-8.092648,939,419.486798,-8.093648,2285.234770,0.175050,-0.113550
201310,13,2,-0.012796,462,419.474002,-0.012809,2285.221961,0.170090,-0.112956
201311,13,2,1.390257,95,420.864259,1.393277,2286.615238,0.167481,-0.111632
201312,13,2,-4.079063,683,416.785196,-4.080046,2282.535192,0.163132,-0.110974
201401,18,2,-1.738279,358,415.046916,-1.739103,2280.796089,0.162715,-0.110546
201402,18,2,-1.568903,459,413.478014,-1.569694,2279.226395,0.161638,-0.109670
201403,18,2,-3.153146,900,410.324868,-3.154102,2276.072292,0.161536,-0.109626
201404,19,2,-1.461336,752,408.863532,-1.462104,2274.610188,0.159821,-0.115458
201405,18,2,-8.626837,990,400.236695,-8.627836,2265.982352,0.155307,-0.120701
201406,18,2,2.562553,8,402.799249,2.574595,2268.556947,0.161528,-0.121705
201407,18,2,2.647987,7,405.447235,2.661199,2271.218146,0.166697,-0.120441
201408,18,2,1.417845,16,406.865080,1.420978,2272.639124,0.193477,-0.082325
201409,18,2,2.904220,5,409.769301,2.921622,2275.560746,0.199212,-0.086487
201410,18,2,3.172857,4,412.942158,3.195998,2278.756745,0.207484,-0.087686
201411,18,2,4.347222,1,417.289380,4.426551,2283.183296,0.214814,-0.088349
