date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,6.893210,1,6.893210,11.063978,11.063978,-0.139968,0.054974
200308,88,6,6.908655,1,13.801865,16.124173,27.188151,-0.139968,0.054974
200309,94,7,6.282349,1,20.084214,7.046013,34.234164,-0.107900,0.069089
200310,97,7,6.908754,1,26.992968,21.472941,55.707105,-0.123991,0.093815
200311,98,7,6.908754,1,33.901723,21.636954,77.344059,-0.123991,0.093815
200312,96,7,6.908626,1,40.810349,15.864068,93.208127,-0.123991,0.093815
200401,106,8,6.908753,1,47.719102,20.428511,113.636639,-0.086664,0.108304
200402,101,7,6.908505,1,54.627607,15.200700,128.837339,-0.035816,0.091301
200403,106,8,6.908133,1,61.535739,14.290174,143.127513,-0.035816,0.091301
200404,107,8,6.908755,1,68.444494,26.162066,169.289579,-0.035816,0.091301
200405,108,8,6.908752,1,75.353246,19.609661,188.899240,-0.009821,0.080740
200406,106,8,6.908734,1,82.261980,17.684256,206.583496,0.017415,0.033763
200407,110,8,6.908755,1,89.170735,25.956734,232.540230,0.017415,0.033763
200408,108,8,6.908682,1,96.079416,16.431631,248.971862,0.036419,-0.003856
200409,111,8,6.899029,1,102.978445,11.535875,260.507737,0.076952,-0.017519
200410,108,8,6.871200,1,109.849645,10.170865,270.678603,0.070961,-0.023542
200411,109,8,5.904857,2,115.754502,6.360271,277.038873,0.076042,-0.046688
200412,116,8,6.173410,1,121.927912,6.825069,283.863942,0.089478,-0.075795
200501,115,8,6.816062,1,128.743974,9.239520,293.103463,0.104163,-0.084424
200502,115,8,6.274584,1,135.018559,7.029406,300.132869,0.146293,-0.085664
200503,111,8,6.887088,1,141.905647,10.728886,310.861755,0.171582,-0.102056
200504,100,7,-10.882301,162,131.023346,-10.883300,299.978455,0.180075,-0.116043
200505,98,7,-4.646187,60,126.377159,-4.647177,295.331277,0.192286,-0.121424
200506,104,7,6.898195,1,133.275353,11.453129,306.784406,0.199921,-0.127424
200507,105,7,5.141205,2,138.416558,5.327440,312.111847,0.214593,-0.131647
200508,104,7,2.254736,8,140.671295,2.263306,314.375153,0.225129,-0.141079
200509,101,7,6.903271,1,147.574566,12.111036,326.486189,0.242660,-0.152692
200510,103,7,3.953661,2,151.528227,4.006140,330.492329,0.255594,-0.160039
200511,101,7,-0.094382,12,151.433845,-0.094472,330.397856,0.259137,-0.155617
200512,116,8,6.906748,1,158.340593,13.117980,343.515836,0.271463,-0.140362
200601,116,8,5.435537,2,163.776130,5.694847,349.210683,0.284190,-0.138477
200602,116,8,6.908662,1,170.684792,16.191897,365.402580,0.288119,-0.132173
200603,118,8,4.245209,2,174.930001,4.316459,369.719039,0.288527,-0.136501
200604,117,8,6.906895,1,181.836896,13.194177,382.913216,0.294062,-0.124641
200605,120,8,6.902622,1,188.739518,11.998796,394.912012,0.285319,-0.119911
