date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,6.908649,1,6.908649,16.065286,16.065286,0.392855,-0.014635
200308,143,10,6.908755,1,13.817404,30.244051,46.309337,0.392855,-0.014635
200309,148,10,6.908735,1,20.726139,17.716577,64.025913,0.424464,-0.026341
200310,150,10,6.908755,1,27.634893,24.696231,88.722145,0.414602,-0.027599
200311,152,11,6.908755,1,34.543648,25.801518,114.523663,0.414602,-0.027599
200312,150,10,6.908755,1,41.452403,35.229676,149.753339,0.414602,-0.027599
200401,139,10,6.908755,1,48.361158,33.929235,183.682574,0.403586,-0.038089
200402,143,10,6.891870,1,55.253028,10.980661,194.663235,0.418112,-0.040303
200403,139,10,6.908751,1,62.161779,19.290720,213.953954,0.418112,-0.040303
200404,135,9,6.908745,1,69.070524,18.486657,232.440612,0.418112,-0.040303
200405,140,10,6.908745,1,75.979269,18.399798,250.840409,0.414942,-0.051920
200406,146,10,6.908755,1,82.888023,22.027598,272.868007,0.425575,-0.060662
200407,152,11,6.908583,1,89.796607,15.579658,288.447665,0.425575,-0.060662
200408,153,11,6.888560,1,96.685166,10.799957,299.247622,0.427109,-0.064479
200409,155,11,6.908753,1,103.593919,20.110571,319.358193,0.442251,-0.068802
200410,162,11,6.908755,1,110.502674,30.237014,349.595208,0.429623,-0.083523
200411,167,12,6.908755,1,117.411429,22.125952,371.721160,0.427290,-0.085444
200412,163,11,6.908755,1,124.320183,36.114022,407.835182,0.420153,-0.085539
200501,164,11,6.908755,1,131.228938,42.276314,450.111496,0.410594,-0.097030
200502,169,12,6.908755,1,138.137693,83.086038,533.197535,0.401013,-0.098945
200503,172,12,6.908755,1,145.046448,47.882268,581.079803,0.394987,-0.098026
200504,187,13,6.908755,1,151.955202,26.383750,607.463553,0.388649,-0.099044
200505,196,14,6.908755,1,158.863957,128.177141,735.640694,0.384767,-0.097541
200506,190,13,6.908755,1,165.772712,114.240324,849.881017,0.391032,-0.090928
200507,190,13,6.908755,1,172.681467,112.859693,962.740711,0.390953,-0.091391
200508,190,13,6.908755,1,179.590222,95.289244,1058.029954,0.394185,-0.085155
200509,197,14,6.908755,1,186.498976,114.895031,1172.924985,0.392518,-0.079709
200510,194,13,6.908755,1,193.407731,113.036203,1285.961188,0.384524,-0.074924
200511,197,14,6.908755,1,200.316486,142.685530,1428.646718,0.380710,-0.067654
200512,165,11,6.908755,1,207.225241,99.570658,1528.217377,0.369636,-0.062603
200601,164,11,6.908755,1,214.133995,66.020175,1594.237552,0.362999,-0.043965
200602,171,12,6.908755,1,221.042750,85.170558,1679.408110,0.359298,-0.030642
200603,168,12,6.908755,1,227.951505,59.518539,1738.926649,0.350354,-0.026238
200604,158,11,6.908755,1,234.860260,52.745395,1791.672044,0.337418,-0.024849
200605,152,11,6.908755,1,241.769015,41.395664,1833.067709,0.325237,-0.031512
200606,142,10,6.906737,1,248.675752,13.112723,1846.180431,0.311489,-0.022940
200607,141,10,6.883952,1,255.559704,10.592108,1856.772539,0.295424,-0.024678
200608,140,10,6.572263,1,262.131967,7.823978,1864.596516,0.288339,-0.019405
200609,142,10,6.908735,1,269.040701,17.733454,1882.329970,0.277102,-0.019425
200610,143,10,6.908755,1,275.949456,22.096081,1904.426051,0.275877,-0.010365
200611,157,11,6.908753,1,282.858209,20.135200,1924.561251,0.263792,-0.013074
200612,147,10,0.321056,14,283.179265,0.321435,1924.882686,0.256584,-0.014921
200701,152,11,6.906301,1,290.085567,12.916850,1937.799535,0.244766,-0.019357
200702,157,11,6.908511,1,296.994078,15.227968,1953.027503,0.240680,-0.015047
200703,157,11,5.742204,2,302.736282,6.114357,1959.141860,0.234014,-0.012937
200704,134,9,6.908755,1,309.645037,23.297101,1982.438960,0.229952,-0.008752
200705,131,9,6.908752,1,316.553789,19.652707,2002.091668,0.224754,-0.007214
200706,136,10,6.908688,1,323.462476,16.519682,2018.611350,0.213986,-0.008584
200707,128,9,0.328873,3,323.791349,0.329262,2018.940612,0.205361,-0.005031
200708,125,9,1.793277,5,325.584626,1.798299,2020.738911,0.190745,-0.006978
200709,125,9,2.413742,10,327.998368,2.423970,2023.162881,0.181800,-0.006565
200710,114,8,-11.966373,208,316.031996,-11.967372,2011.195509,0.163146,-0.008587
200711,105,7,-4.892654,31,311.139342,-4.893646,2006.301863,0.151454,-0.005975
200712,99,7,0.100289,6,311.239631,0.100395,2006.402257,0.137400,-0.006034
200801,96,7,0.706650,3,311.946281,0.707678,2007.109935,0.135469,-0.004440
200802,95,7,3.642591,6,315.588872,3.680491,2010.790426,0.127945,-0.012951
200803,115,8,-7.531413,71,308.057459,-7.532412,2003.258014,0.127194,-0.017875
200804,114,8,-4.190032,72,303.867426,-4.191017,1999.066997,0.123504,-0.030828
200805,106,8,-0.651838,8,303.215589,-0.652316,1998.414681,0.123517,-0.028465
200806,105,7,-0.071556,7,303.144033,-0.071625,1998.343056,0.123695,-0.029560
200807,100,7,0.185632,10,303.329665,0.185836,1998.528892,0.126505,-0.021402
200808,100,7,-2.283408,28,301.046257,-2.284305,1996.244586,0.131906,-0.008455
200809,99,7,-16.184125,278,284.862133,-16.185124,1980.059462,0.123405,-0.013899
200810,99,7,-29.072520,186,255.789612,-29.073520,1950.985943,0.123474,-0.015364
200811,96,7,-18.143885,265,237.645727,-18.144884,1932.841058,0.121446,-0.021486
200812,94,7,-32.283295,192,205.362433,-32.284294,1900.556764,0.111166,-0.036962
200901,94,7,-3.572259,226,201.790174,-3.573230,1896.983533,0.106537,-0.040607
200902,97,7,-3.889362,48,197.900812,-3.890341,1893.093192,0.095698,-0.046798
200903,101,7,-3.717044,159,194.183768,-3.718019,1889.375173,0.092871,-0.049227
200904,113,8,3.121742,6,197.305510,3.143666,1892.518840,0.100111,-0.043474
200905,110,8,6.796815,1,204.102324,9.041054,1901.559894,0.096473,-0.042892
200906,113,8,6.892483,1,210.994807,11.017911,1912.577805,0.099288,-0.045091
200907,116,8,6.534927,1,217.529734,7.698986,1920.276791,0.100188,-0.048081
200908,113,8,6.902336,1,224.432070,11.953044,1932.229836,0.128083,-0.059521
200909,121,9,6.896922,1,231.328992,11.338695,1943.568531,0.151800,-0.063880
200910,120,8,6.898765,1,238.227757,11.508955,1955.077487,0.161603,-0.063016
200911,122,9,5.750561,2,243.978318,6.126516,1961.204002,0.166041,-0.058869
200912,116,8,6.905727,1,250.884045,12.706327,1973.910330,0.188574,-0.046891
201001,118,8,6.908755,1,257.792800,31.147426,2005.057755,0.214436,-0.039384
201002,121,9,6.908755,1,264.701555,45.551885,2050.609640,0.234060,-0.026966
201003,130,9,6.908755,1,271.610309,30.240894,2080.850534,0.257735,-0.031597
201004,127,9,6.908755,1,278.519064,38.162299,2119.012833,0.261030,-0.056125
201005,130,9,6.908731,1,285.427795,17.542270,2136.555102,0.278088,-0.065490
201006,134,9,6.908755,1,292.336550,75.852381,2212.407483,0.282522,-0.072241
201007,140,10,6.908755,1,299.245304,29.271615,2241.679098,0.290895,-0.075291
201008,140,10,6.908755,1,306.154059,41.125619,2282.804718,0.313914,-0.077372
201009,150,10,6.908755,1,313.062814,22.826911,2305.631629,0.335607,-0.087050
201010,149,10,5.595165,2,318.657979,5.907306,2311.538935,0.362602,-0.090362
201011,159,11,6.908747,1,325.566726,18.690590,2330.229525,0.413599,-0.099668
201012,164,11,6.908685,1,332.475410,16.472650,2346.702176,0.444586,-0.111271
201101,164,11,5.482778,2,337.958189,5.756576,2352.458752,0.450627,-0.133571
201102,175,12,6.902438,1,344.860627,11.969109,2364.427861,0.468548,-0.143881
201103,186,13,6.840935,1,351.701561,9.564552,2373.992412,0.476654,-0.154900
201104,194,13,6.908729,1,358.610291,17.479170,2391.471582,0.490642,-0.147456
201105,193,13,6.908754,1,365.519045,21.941714,2413.413296,0.514032,-0.148900
201106,199,14,6.900709,1,372.419754,11.726369,2425.139665,0.516549,-0.152464
201107,221,15,6.908755,1,379.328509,26.411280,2451.550946,0.520382,-0.165948
201108,221,15,6.908725,1,386.237234,17.333929,2468.884874,0.515166,-0.178011
201109,224,15,6.908755,1,393.145989,26.312460,2495.197334,0.509812,-0.171263
201110,221,15,6.908755,1,400.054744,28.443054,2523.640388,0.508189,-0.167999
201111,227,16,6.908753,1,406.963497,20.055982,2543.696370,0.500846,-0.160797
201112,228,16,6.908755,1,413.872251,32.114432,2575.810803,0.487097,-0.166126
