date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,259.158006,259.158006,0.217313,-0.063225
200308,444,30,6.908755,1,13.817510,273.158648,532.316655,0.217313,-0.063225
200309,451,31,6.908755,1,20.726264,252.847019,785.163674,0.231869,-0.060825
200310,433,29,6.908755,1,27.635019,221.902296,1007.065970,0.241509,-0.060242
200311,437,30,6.908755,1,34.543774,254.987347,1262.053317,0.241509,-0.060242
200312,442,30,6.908755,1,41.452529,251.592012,1513.645329,0.241509,-0.060242
200401,441,30,6.908755,1,48.361283,249.887150,1763.532479,0.251457,-0.056441
200402,445,30,6.908755,1,55.270038,288.791516,2052.323995,0.258357,-0.054782
200403,438,30,6.908755,1,62.178793,277.864517,2330.188512,0.258357,-0.054782
200404,440,30,6.908755,1,69.087548,258.914190,2589.102701,0.258357,-0.054782
200405,435,29,6.908755,1,75.996303,283.305878,2872.408579,0.261374,-0.051122
200406,436,30,6.908755,1,82.905057,201.406916,3073.815495,0.268914,-0.046683
200407,432,29,6.908755,1,89.813812,203.380128,3277.195624,0.268914,-0.046683
200408,431,29,6.908755,1,96.722567,142.803548,3419.999172,0.276219,-0.045614
200409,441,30,6.908755,1,103.631322,57.822906,3477.822078,0.289848,-0.048616
200410,437,30,6.908755,1,110.540076,86.918587,3564.740665,0.301245,-0.048075
200411,434,29,6.908755,1,117.448831,84.557028,3649.297693,0.307526,-0.048269
200412,423,29,6.908755,1,124.357586,185.082240,3834.379933,0.314032,-0.048867
200501,425,29,6.908755,1,131.266341,325.010110,4159.390043,0.318100,-0.049323
200502,427,29,6.908755,1,138.175096,543.808102,4703.198144,0.322996,-0.048584
200503,411,28,6.908755,1,145.083850,685.721056,5388.919200,0.324365,-0.052612
200504,404,27,6.908755,1,151.992605,914.112743,6303.031943,0.327165,-0.054107
200505,402,27,6.908755,1,158.901360,1127.064453,7430.096396,0.331509,-0.055921
200506,397,27,6.908755,1,165.810115,1132.773886,8562.870282,0.337616,-0.057409
200507,403,27,6.908755,1,172.718869,1324.072595,9886.942877,0.339084,-0.059998
200508,405,27,6.908755,1,179.627624,1277.677232,11164.620109,0.338152,-0.058991
200509,404,27,6.908755,1,186.536379,1238.917076,12403.537185,0.333486,-0.054028
200510,414,28,6.908755,1,193.445134,1219.759888,13623.297074,0.327453,-0.049128
200511,411,28,6.908755,1,200.353889,1270.600379,14893.897452,0.324203,-0.043512
200512,411,28,6.908755,1,207.262643,1324.090241,16217.987694,0.315558,-0.043295
200601,413,28,6.908755,1,214.171398,1300.932829,17518.920523,0.304676,-0.043756
200602,424,29,6.908755,1,221.080153,1329.887392,18848.807915,0.291231,-0.043145
200603,419,28,6.908755,1,227.988908,983.501215,19832.309130,0.278684,-0.034059
200604,424,29,6.908755,1,234.897662,788.871425,20621.180555,0.264243,-0.036813
200605,416,28,6.908755,1,241.806417,621.453132,21242.633687,0.250581,-0.031910
200606,410,28,6.908755,1,248.715172,652.058217,21894.691904,0.234302,-0.028960
200607,416,28,6.908755,1,255.623927,641.850794,22536.542698,0.217578,-0.027011
200608,417,28,6.908755,1,262.532682,521.301024,23057.843722,0.201499,-0.024804
200609,416,28,6.908755,1,269.441436,487.697720,23545.541442,0.186583,-0.022249
200610,403,27,6.908755,1,276.350191,422.825371,23968.366813,0.172511,-0.022203
200611,394,27,6.908755,1,283.258946,273.857218,24242.224032,0.159212,-0.024400
200612,395,27,6.908755,1,290.167701,138.647647,24380.871679,0.145357,-0.030001
200701,400,27,6.908755,1,297.076456,154.422609,24535.294288,0.131673,-0.038254
200702,391,27,6.908755,1,303.985210,126.148622,24661.442910,0.121025,-0.044061
200703,380,26,6.908755,1,310.893965,85.219721,24746.662632,0.110269,-0.049192
200704,384,26,6.908755,1,317.802720,66.604122,24813.266754,0.104476,-0.051654
200705,384,26,6.908755,1,324.711475,58.177902,24871.444656,0.099774,-0.059213
200706,381,26,6.908755,1,331.620229,36.917077,24908.361733,0.096936,-0.058231
200707,390,26,6.908755,1,338.528984,30.903516,24939.265249,0.092757,-0.062356
200708,376,26,6.908755,1,345.437739,49.725416,24988.990665,0.087893,-0.076350
200709,381,26,6.908755,1,352.346494,44.468907,25033.459572,0.084164,-0.076760
200710,379,26,6.908755,1,359.255249,76.118459,25109.578031,0.078842,-0.078356
200711,387,26,6.908755,1,366.164003,131.664878,25241.242908,0.073173,-0.079359
200712,381,26,6.908755,1,373.072758,168.076828,25409.319737,0.068584,-0.080036
200801,384,26,6.908755,1,379.981513,379.779554,25789.099290,0.067495,-0.074122
200802,384,26,6.908755,1,386.890268,513.775696,26302.874986,0.067206,-0.068798
200803,377,26,6.908755,1,393.799022,406.847065,26709.722051,0.065627,-0.071649
200804,387,26,6.908755,1,400.707777,219.030386,26928.752437,0.063888,-0.074115
200805,405,27,6.908755,1,407.616532,258.531425,27187.283862,0.061077,-0.075143
200806,413,28,6.908755,1,414.525287,250.110282,27437.394144,0.059292,-0.077781
200807,424,29,6.908755,1,421.434042,303.371350,27740.765494,0.060687,-0.072814
200808,427,29,6.908755,1,428.342796,338.809624,28079.575118,0.062748,-0.052049
200809,428,29,6.908755,1,435.251551,375.639672,28455.214790,0.062519,-0.057546
200810,424,29,6.908755,1,442.160306,155.229886,28610.444676,0.064531,-0.066273
200811,415,28,6.908755,1,449.069061,350.814225,28961.258901,0.065958,-0.072861
200812,422,29,6.908755,1,455.977815,384.386101,29345.645003,0.065972,-0.088719
200901,430,29,6.908755,1,462.886570,381.122775,29726.767777,0.068592,-0.097329
200902,439,30,6.908755,1,469.795325,314.354484,30041.122262,0.077293,-0.096444
200903,434,29,6.908755,1,476.704080,312.042919,30353.165180,0.089905,-0.091744
200904,441,30,6.908755,1,483.612835,189.279281,30542.444462,0.098564,-0.089448
200905,451,31,6.908755,1,490.521589,161.122960,30703.567421,0.107014,-0.094195
200906,457,31,6.908755,1,497.430344,121.118726,30824.686147,0.118878,-0.096100
200907,463,31,6.908755,1,504.339099,91.673254,30916.359401,0.129575,-0.096594
200908,460,31,6.908755,1,511.247854,72.596037,30988.955439,0.142779,-0.098943
200909,477,32,6.908755,1,518.156608,89.559849,31078.515287,0.154633,-0.099219
200910,488,33,6.908755,1,525.065363,105.912837,31184.428125,0.159703,-0.101985
200911,506,34,6.908755,1,531.974118,121.629280,31306.057405,0.163583,-0.090715
200912,515,35,6.908755,1,538.882873,166.980918,31473.038323,0.174060,-0.081527
201001,521,35,6.908755,1,545.791628,226.962745,31700.001068,0.178147,-0.073142
201002,522,35,6.908755,1,552.700382,282.646627,31982.647695,0.179549,-0.070677
201003,521,35,6.908755,1,559.609137,357.195174,32339.842868,0.184072,-0.072714
201004,523,35,6.908755,1,566.517892,454.328836,32794.171704,0.190644,-0.068442
201005,534,36,6.908755,1,573.426647,506.306285,33300.477989,0.202078,-0.070124
201006,531,36,6.908755,1,580.335401,491.626366,33792.104355,0.216851,-0.070086
201007,529,36,6.908755,1,587.244156,497.729712,34289.834067,0.231538,-0.069409
201008,540,36,6.908755,1,594.152911,598.222055,34888.056122,0.243814,-0.068259
201009,548,37,6.908755,1,601.061666,781.779483,35669.835604,0.259024,-0.065704
201010,563,38,6.908755,1,607.970421,861.446875,36531.282480,0.278624,-0.058390
201011,565,38,6.908755,1,614.879175,704.041342,37235.323822,0.304088,-0.055496
201012,573,39,6.908755,1,621.787930,539.457742,37774.781564,0.314739,-0.053848
201101,568,38,6.908755,1,628.696685,493.386938,38268.168503,0.324743,-0.054811
201102,577,39,6.908755,1,635.605440,332.419113,38600.587616,0.335653,-0.051485
201103,566,38,6.908755,1,642.514194,262.390340,38862.977955,0.344870,-0.048669
201104,548,37,6.908755,1,649.422949,221.116942,39084.094897,0.349795,-0.053112
201105,563,38,6.908755,1,656.331704,216.189090,39300.283988,0.352929,-0.049705
201106,576,39,6.908755,1,663.240459,234.493503,39534.777491,0.347250,-0.059460
201107,569,38,6.908755,1,670.149214,302.522551,39837.300042,0.345139,-0.066462
201108,582,39,6.908755,1,677.057968,301.674279,40138.974321,0.344234,-0.071416
201109,583,39,6.908755,1,683.966723,162.087854,40301.062175,0.343294,-0.074997
201110,585,39,6.908755,1,690.875478,352.239310,40653.301485,0.344137,-0.077750
201111,619,42,6.908755,1,697.784233,422.438528,41075.740013,0.344828,-0.077571
201112,643,43,6.908755,1,704.692987,464.366474,41540.106487,0.347416,-0.074121
201201,651,44,6.908755,1,711.601742,309.839234,41849.945721,0.347180,-0.078147
201202,654,44,6.908755,1,718.510497,275.760926,42125.706647,0.348703,-0.076684
201203,655,44,6.908755,1,725.419252,154.385541,42280.092188,0.348743,-0.077399
201204,659,44,6.908755,1,732.328007,203.329718,42483.421906,0.347944,-0.079790
201205,662,45,6.908755,1,739.236761,270.284929,42753.706835,0.349838,-0.078860
201206,663,45,6.908755,1,746.145516,248.174215,43001.881050,0.355137,-0.073345
201207,680,46,6.908755,1,753.054271,354.510005,43356.391055,0.359623,-0.071350
201208,652,44,6.908755,1,759.963026,309.125520,43665.516575,0.362532,-0.071458
201209,704,47,6.908755,1,766.871781,331.567700,43997.084275,0.362215,-0.067169
201210,702,47,6.908755,1,773.780535,304.774293,44301.858569,0.359564,-0.058615
201211,713,48,6.908755,1,780.689290,274.961481,44576.820050,0.354601,-0.051660
201212,723,49,6.908755,1,787.598045,280.503956,44857.324006,0.349567,-0.048751
201301,738,50,6.908755,1,794.506800,252.822491,45110.146497,0.343020,-0.040947
201302,745,50,6.908755,1,801.415554,258.560221,45368.706718,0.333711,-0.041941
201303,745,50,6.908755,1,808.324309,302.035451,45670.742169,0.326262,-0.037012
201304,776,52,6.908755,1,815.233064,297.271514,45968.013683,0.320964,-0.032968
201305,797,54,6.908755,1,822.141819,256.810448,46224.824131,0.315124,-0.036913
201306,806,54,6.908755,1,829.050574,206.871514,46431.695645,0.307533,-0.039895
201307,798,54,6.908755,1,835.959328,352.157664,46783.853310,0.299451,-0.042827
201308,809,54,6.908755,1,842.868083,308.685710,47092.539020,0.291982,-0.042299
201309,863,58,6.908755,1,849.776838,478.598719,47571.137739,0.288979,-0.041297
201310,891,60,6.908755,1,856.685593,498.919825,48070.057563,0.285172,-0.042138
201311,897,60,6.908755,1,863.594347,553.906820,48623.964383,0.281645,-0.043888
201312,912,61,6.908755,1,870.503102,615.738973,49239.703356,0.276868,-0.045059
201401,911,61,6.908755,1,877.411857,663.183714,49902.887069,0.273202,-0.047647
201402,925,62,6.908755,1,884.320612,592.306067,50495.193136,0.272744,-0.046963
201403,925,62,6.908755,1,891.229367,554.612930,51049.806066,0.272715,-0.047695
201404,938,63,6.908755,1,898.138121,488.710183,51538.516249,0.271774,-0.047673
201405,931,63,6.908755,1,905.046876,484.511582,52023.027831,0.271213,-0.042115
201406,950,64,6.908755,1,911.955631,472.007071,52495.034902,0.273851,-0.039070
201407,962,65,6.908755,1,918.864386,439.950684,52934.985586,0.279495,-0.034726
201408,976,66,6.908755,1,925.773140,448.175177,53383.160763,0.285439,-0.039976
201409,1001,67,6.908755,1,932.681895,608.607708,53991.768471,0.292122,-0.039837
201410,1017,68,6.908755,1,939.590650,586.054686,54577.823157,0.299402,-0.040347
201411,1030,69,6.908755,1,946.499405,802.940175,55380.763332,0.307501,-0.040011
201412,1030,69,6.908755,1,953.408160,1042.992353,56423.755686,0.315697,-0.038694
201501,1046,70,6.908755,1,960.316914,1631.824003,58055.579689,0.323269,-0.042326
201502,1083,73,6.908755,1,967.225669,1796.413153,59851.992842,0.328409,-0.039681
201503,1077,72,6.908755,1,974.134424,1808.384246,61660.377088,0.331689,-0.037673
201504,1097,74,6.908755,1,981.043179,1408.840471,63069.217559,0.332998,-0.035641
201505,1125,75,6.908755,1,987.951933,1088.693318,64157.910877,0.332858,-0.037998
201506,1143,77,6.908755,1,994.860688,1025.636284,65183.547161,0.331717,-0.036682
201507,1177,79,6.908755,1,1001.769443,1286.017417,66469.564577,0.326248,-0.039280
201508,1197,80,6.908755,1,1008.678198,1487.270470,67956.835048,0.320394,-0.034157
201509,1190,80,6.908755,1,1015.586953,1336.749271,69293.584319,0.313264,-0.033654
201510,1198,80,6.908755,1,1022.495707,1341.597032,70635.181351,0.307199,-0.030143
201511,1232,83,6.908755,1,1029.404462,1414.113112,72049.294463,0.301418,-0.028430
201512,1347,90,6.908755,1,1036.313217,1563.006486,73612.300949,0.296080,-0.028364
201601,1352,91,6.908755,1,1043.221972,1484.418633,75096.719582,0.289913,-0.018120
201602,1392,93,6.908755,1,1050.130726,1700.193879,76796.913461,0.280108,-0.025940
201603,1383,93,6.908755,1,1057.039481,1103.661999,77900.575460,0.272006,-0.027499
201604,1397,94,6.908755,1,1063.948236,848.932335,78749.507795,0.265396,-0.027217
201605,1413,95,6.908755,1,1070.856991,752.846952,79502.354747,0.261012,-0.024730
201606,1422,95,6.908755,1,1077.765746,764.116789,80266.471536,0.258761,-0.024091
201607,1432,96,6.908755,1,1084.674500,710.665961,80977.137498,0.259322,-0.023733
201608,1465,98,6.908755,1,1091.583255,629.829612,81606.967110,0.259772,-0.022411
201609,1486,100,6.908755,1,1098.492010,698.713349,82305.680459,0.261301,-0.021822
201610,1486,100,6.908755,1,1105.400765,556.431766,82862.112224,0.261605,-0.021645
201611,1491,100,6.908755,1,1112.309519,432.756647,83294.868872,0.261776,-0.020418
201612,1498,100,6.908755,1,1119.218274,361.519933,83656.388805,0.260591,-0.019822
201701,1541,103,6.908755,1,1126.127029,356.071753,84012.460557,0.261245,-0.015546
201702,1560,104,6.908755,1,1133.035784,559.385430,84571.845987,0.263539,-0.011827
201703,1539,103,6.908755,1,1139.944539,685.723459,85257.569447,0.265195,-0.007341
201704,1545,103,6.908755,1,1146.853293,997.590123,86255.159569,0.264699,-0.006213
201705,1536,103,6.908755,1,1153.762048,1132.833977,87387.993547,0.262492,-0.004769
201706,1555,104,6.908755,1,1160.670803,1464.242860,88852.236406,0.259318,-0.003131
201707,1586,106,6.908755,1,1167.579558,1402.667338,90254.903744,0.253792,-0.003256
201708,1603,107,6.908755,1,1174.488312,1521.973429,91776.877174,0.247272,-0.003255
