date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,264.816292,264.816292,1.073096,0.205768
200308,401,27,6.908755,1,13.817510,242.167498,506.983790,1.073096,0.205768
200309,412,28,6.908755,1,20.726264,326.372970,833.356760,1.074628,0.200695
200310,406,28,6.908755,1,27.635019,212.806851,1046.163611,1.062549,0.200857
200311,416,28,6.908755,1,34.543774,239.625618,1285.789229,1.062549,0.200857
200312,421,29,6.908755,1,41.452529,164.327464,1450.116693,1.062549,0.200857
200401,429,29,6.908755,1,48.361283,208.134181,1658.250874,1.054366,0.177485
200402,426,29,6.908755,1,55.270038,262.293451,1920.544325,1.055858,0.179101
200403,428,29,6.908755,1,62.178793,322.246808,2242.791133,1.055858,0.179101
200404,423,29,6.908755,1,69.087548,401.325874,2644.117007,1.055858,0.179101
200405,423,29,6.908755,1,75.996303,418.659575,3062.776582,1.063295,0.173704
200406,424,29,6.908755,1,82.905057,204.727445,3267.504027,1.096091,0.174161
200407,425,29,6.908755,1,89.813812,318.490100,3585.994126,1.096091,0.174161
200408,428,29,6.908755,1,96.722567,313.489842,3899.483969,1.093639,0.169105
200409,439,30,6.908755,1,103.631322,134.779591,4034.263560,1.166651,0.187111
200410,436,30,6.908755,1,110.540076,256.273179,4290.536738,1.188099,0.201145
200411,444,30,6.908755,1,117.448831,108.888326,4399.425064,1.249133,0.206038
200412,445,30,6.908755,1,124.357586,38.419883,4437.844947,1.431784,0.196669
200501,444,30,-1.519073,9,122.838513,-1.519854,4436.325093,1.603242,0.135642
200502,443,30,6.908755,1,129.747268,26.014378,4462.339471,1.761071,0.159704
200503,438,30,6.908755,1,136.656022,32.645799,4494.985270,1.858375,0.354184
200504,436,30,6.034154,1,142.690176,6.572772,4501.558042,2.004932,0.406355
200505,431,29,-7.943013,100,134.747164,-7.944012,4493.614030,2.223428,0.452854
200506,438,30,6.908755,1,141.655918,84.255102,4577.869132,2.342288,0.476044
200507,442,30,6.908755,1,148.564673,124.030185,4701.899317,2.442186,0.455682
200508,439,30,6.908755,1,155.473428,132.170213,4834.069530,2.496457,0.450473
200509,449,30,6.908755,1,162.382183,204.624613,5038.694143,2.563531,0.445334
200510,455,31,6.908755,1,169.290938,160.062686,5198.756829,2.588696,0.433607
200511,455,31,6.908755,1,176.199692,237.382849,5436.139678,2.604236,0.457088
200512,446,30,6.908755,1,183.108447,245.289859,5681.429537,2.606884,0.475705
200601,430,29,6.908755,1,190.017202,235.856802,5917.286340,2.604991,0.477958
200602,434,29,6.908755,1,196.925957,286.736081,6204.022421,2.590928,0.465513
200603,434,29,6.908755,1,203.834711,233.033393,6437.055814,2.528513,0.443855
200604,431,29,6.908755,1,210.743466,242.687530,6679.743343,2.466778,0.393510
200605,433,29,6.908755,1,217.652221,243.984298,6923.727641,2.361331,0.387106
200606,421,29,6.908755,1,224.560976,229.299950,7153.027591,2.231085,0.202436
200607,423,29,6.908755,1,231.469731,239.346301,7392.373893,2.139144,0.252727
200608,414,28,6.908755,1,238.378485,198.929993,7591.303885,1.965917,0.281294
200609,415,28,6.908755,1,245.287240,211.308202,7802.612087,1.830321,0.262094
200610,380,26,6.908755,1,252.195995,158.440648,7961.052735,1.700067,0.238759
200611,389,26,6.908755,1,259.104750,162.274416,8123.327151,1.565382,0.200770
200612,380,26,6.908755,1,266.013504,97.927421,8221.254571,1.407454,0.219481
200701,378,26,6.908755,1,272.922259,40.642612,8261.897183,1.312317,0.170798
200702,356,24,6.908755,1,279.831014,71.859951,8333.757134,1.231375,0.154886
200703,353,24,-3.405461,22,276.425553,-3.406428,8330.350706,1.148565,0.128287
200704,367,25,5.277769,2,281.703322,5.494598,8335.845304,1.085733,-0.023421
200705,371,25,-16.713623,122,264.989699,-16.714622,8319.130682,1.032342,-0.107081
200706,370,25,-32.608118,215,232.381581,-32.609117,8286.521564,1.025328,0.091466
200707,362,25,5.373364,2,237.754945,5.614910,8292.136474,0.987863,0.074355
200708,356,24,-8.927476,5,228.827470,-8.928475,8283.207999,0.932737,0.050057
200709,364,25,-10.900340,17,217.927129,-10.901340,8272.306659,0.905225,0.099525
200710,386,26,6.908755,1,224.835884,58.856629,8331.163288,0.873777,0.060606
200711,379,26,6.908755,1,231.744639,119.593741,8450.757029,0.833764,0.037867
200712,395,27,6.908755,1,238.653394,29.045822,8479.802851,0.798376,-0.086390
200801,394,27,6.908755,1,245.562148,103.872815,8583.675666,0.782420,-0.042362
200802,400,27,6.908755,1,252.470903,211.520923,8795.196589,0.765468,-0.057236
200803,401,27,6.908755,1,259.379658,185.888889,8981.085478,0.774509,-0.078170
200804,408,28,6.908755,1,266.288413,118.058597,9099.144075,0.799576,0.193938
200805,414,28,6.908755,1,273.197168,114.012068,9213.156143,0.791199,0.245780
200806,439,30,6.908755,1,280.105922,207.414629,9420.570773,0.787746,0.262483
200807,449,30,6.908755,1,287.014677,228.881446,9649.452219,0.796682,0.235964
200808,447,30,6.908755,1,293.923432,288.244941,9937.697160,0.818176,0.100914
200809,440,30,6.908755,1,300.832187,293.728374,10231.425534,0.819504,0.000414
200810,440,30,6.908755,1,307.740941,102.808840,10334.234374,0.851261,0.043035
200811,446,30,6.908755,1,314.649696,55.149875,10389.384249,0.892378,0.094143
200812,518,35,6.908755,1,321.558451,119.188420,10508.572669,1.006126,0.387792
200901,499,34,6.908755,1,328.467206,102.387438,10610.960107,1.045704,0.395865
200902,506,34,6.908755,1,335.375961,262.412589,10873.372696,1.043801,0.304431
200903,529,36,6.908755,1,342.284715,445.819774,11319.192470,1.141867,0.240426
200904,527,36,6.908755,1,349.193470,396.859960,11716.052431,1.234017,0.216552
200905,538,36,6.908755,1,356.102225,198.344892,11914.397323,1.166750,0.166430
200906,561,38,6.908755,1,363.010980,175.196164,12089.593487,1.106564,0.162020
200907,575,39,6.908755,1,369.919734,123.564385,12213.157872,1.163535,0.163164
200908,593,40,6.908755,1,376.828489,81.866519,12295.024391,1.227804,0.213256
200909,606,41,6.908755,1,383.737244,116.872463,12411.896854,1.225810,0.169533
200910,604,41,6.908755,1,390.645999,200.332076,12612.228930,1.345508,0.227231
200911,601,41,6.908755,1,397.554754,185.720107,12797.949037,1.206273,0.164633
200912,622,42,6.908755,1,404.463508,197.778140,12995.727178,1.099278,0.141806
201001,626,42,6.908755,1,411.372263,190.901386,13186.628564,0.974729,0.132774
201002,638,43,6.908755,1,418.281018,359.386509,13546.015073,0.929925,0.107375
201003,637,43,6.908755,1,425.189773,292.745376,13838.760449,0.966650,0.109778
201004,644,43,6.908755,1,432.098527,320.136294,14158.896743,0.998709,0.105644
201005,641,43,6.908755,1,439.007282,211.959544,14370.856287,0.966551,0.092136
201006,648,44,6.908755,1,445.916037,225.556037,14596.412324,0.934439,0.085507
201007,669,45,6.908755,1,452.824792,264.517498,14860.929821,0.942614,0.085091
201008,667,45,6.908755,1,459.733547,296.190397,15157.120219,0.949055,0.082830
201009,689,46,6.908755,1,466.642301,389.174572,15546.294791,0.949967,0.085452
201010,703,47,6.908755,1,473.551056,659.139409,16205.434200,0.938733,0.078680
201011,722,49,6.908755,1,480.459811,642.650692,16848.084892,0.973630,0.079899
201012,732,49,6.908755,1,487.368566,418.002709,17266.087601,0.980349,0.077016
201101,730,49,6.908755,1,494.277321,441.717828,17707.805429,1.055791,0.074286
201102,744,50,6.908755,1,501.186075,341.197913,18049.003342,1.096271,0.079192
201103,729,49,6.908755,1,508.094830,492.855465,18541.858806,1.127065,0.078165
201104,758,51,6.908755,1,515.003585,496.716253,19038.575059,1.162673,0.048862
201105,767,52,6.908755,1,521.912340,387.108996,19425.684056,1.254634,0.040877
201106,786,53,6.908755,1,528.821094,379.708714,19805.392770,1.429911,0.048974
201107,800,54,6.908755,1,535.729849,312.956360,20118.349130,1.489800,0.068822
201108,799,54,6.908755,1,542.638604,159.871531,20278.220662,1.554216,0.118172
201109,820,55,6.908755,1,549.547359,135.352914,20413.573576,1.597957,0.142161
201110,834,56,6.908755,1,556.456114,162.032637,20575.606213,1.600146,0.148650
201111,823,55,6.908755,1,563.364868,145.611330,20721.217543,1.604327,0.214531
201112,845,57,6.908755,1,570.273623,215.077583,20936.295126,1.609738,0.222242
201201,858,58,6.908755,1,577.182378,359.263493,21295.558620,1.623298,0.240759
201202,871,59,6.908755,1,584.091133,212.394239,21507.952859,1.644493,0.242352
201203,863,58,6.908755,1,590.999887,235.008113,21742.960972,1.640487,0.240159
201204,886,60,6.908755,1,597.908642,175.536644,21918.497616,1.664203,0.267981
201205,877,59,6.908755,1,604.817397,166.707900,22085.205516,1.672220,0.261946
201206,892,60,6.908755,1,611.726152,189.323589,22274.529105,1.706732,0.271444
201207,896,60,6.908755,1,618.634907,274.319196,22548.848301,1.789763,0.295280
201208,894,60,6.908755,1,625.543661,277.085452,22825.933753,1.845288,0.341248
201209,930,62,6.908755,1,632.452416,182.685765,23008.619517,1.871827,0.357250
201210,942,63,6.908755,1,639.361171,161.336083,23169.955601,1.866037,0.368075
201211,939,63,6.908755,1,646.269926,226.537556,23396.493157,1.757528,0.263613
201212,943,63,6.908755,1,653.178680,204.347107,23600.840263,1.725826,0.260518
201301,954,64,6.908755,1,660.087435,221.886544,23822.726808,1.620234,0.232963
201302,972,65,6.908755,1,666.996190,218.120301,24040.847109,1.479421,0.261781
201303,958,64,6.908755,1,673.904945,327.172432,24368.019541,1.424257,0.289576
201304,947,64,6.908755,1,680.813700,341.828884,24709.848425,1.394084,0.302087
201305,948,64,6.908755,1,687.722454,493.499498,25203.347923,1.375154,0.303376
201306,958,64,6.908755,1,694.631209,549.525848,25752.873771,1.362220,0.305364
201307,965,65,6.908755,1,701.539964,619.030279,26371.904050,1.323716,0.293218
201308,957,64,6.908755,1,708.448719,728.421507,27100.325557,1.282644,0.290523
