date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,4.466097,3,4.466097,4.556040,4.556040,1.912424,0.570675
200308,24,2,5.517982,2,9.984079,5.803177,10.359216,1.912424,0.570675
200309,26,2,-17.057873,747,-7.073794,-17.058873,-6.699656,1.817001,0.726860
200310,26,2,-4.332839,275,-11.406633,-4.333825,-11.033482,1.960751,0.743645
200311,25,2,3.488889,6,-7.917744,3.521153,-7.512328,1.960751,0.743645
200312,25,2,1.280604,35,-6.637140,1.283206,-6.229122,1.960751,0.743645
200401,27,2,-4.195728,318,-10.832868,-4.196712,-10.425835,2.168446,0.711081
200402,28,2,1.955900,13,-8.876968,1.961989,-8.463845,2.234983,0.718319
200403,29,2,-4.090262,157,-12.967230,-4.091245,-12.555090,2.234983,0.718319
200404,27,2,-1.906537,212,-14.873767,-1.907389,-14.462479,2.234983,0.718319
200405,31,3,-0.592256,191,-15.466023,-0.592702,-15.055181,2.341464,0.743371
200406,33,3,-7.997508,691,-23.463531,-7.998507,-23.053688,2.399180,0.759284
200407,34,3,1.966891,32,-21.496640,1.973058,-21.080630,2.399180,0.759284
200408,34,3,-0.309527,319,-21.806167,-0.309794,-21.390424,2.495027,0.732154
200409,33,3,-0.751891,427,-22.558058,-0.752419,-22.142843,2.596016,0.749454
200410,33,3,-2.437173,423,-24.995231,-2.438085,-24.580928,2.564438,0.223037
200411,34,3,-1.944284,902,-26.939516,-1.945141,-26.526069,2.658140,0.183619
200412,34,3,1.311992,49,-25.627524,1.314709,-25.211360,2.756513,-0.047697
200501,36,3,-2.178033,736,-27.805557,-2.178919,-27.390279,2.663895,-0.241756
200502,36,3,0.790116,55,-27.015440,0.791321,-26.598959,2.491041,-0.297662
200503,35,3,-3.109573,578,-30.125013,-3.110528,-29.709486,2.524110,-0.285025
200504,38,3,-1.525969,461,-31.650982,-1.526751,-31.236238,2.469787,-0.393904
200505,38,3,1.755692,36,-29.895290,1.760491,-29.475747,2.518799,-0.454307
200506,38,3,5.202835,1,-24.692455,5.402246,-24.073501,2.450427,-0.489131
200507,43,3,6.819235,1,-17.873220,9.275961,-14.797540,2.601636,-0.423435
200508,43,3,3.456650,2,-14.416570,3.487842,-11.309698,2.789076,-0.451282
200509,43,3,6.886802,1,-7.529768,10.715628,-0.594070,2.750822,-0.398582
200510,43,3,6.259644,1,-1.270124,6.997857,6.403787,2.730413,-0.327452
200511,45,3,6.888609,1,5.618484,10.802408,17.206195,2.544297,-0.311821
200512,45,3,6.908357,1,12.526842,14.738124,31.944320,2.402328,-0.367729
200601,46,4,6.904922,1,19.431764,12.470021,44.414341,2.409116,-0.362345
200602,48,4,6.908755,1,26.340518,22.713888,67.128229,2.550806,-0.543404
200603,46,4,6.856094,1,33.196613,9.825196,76.953425,2.293605,-0.608089
200604,46,4,6.859409,1,40.056021,9.891883,86.845307,2.257356,-0.394334
200605,47,4,6.902788,1,46.958809,12.026277,98.871584,2.099232,-0.882492
200606,47,4,6.908576,1,53.867386,15.539407,114.410990,1.786002,-0.851206
200607,48,4,6.908751,1,60.776137,19.453857,133.864847,1.593645,-0.820552
200608,48,4,6.908739,1,67.684876,17.971591,151.836438,1.373353,-0.764777
200609,48,4,6.898803,1,74.583679,11.512757,163.349196,1.230560,-0.852911
200610,48,4,6.860095,1,81.443774,9.906229,173.255425,1.092686,-0.868209
200611,49,4,6.881238,1,88.325012,10.486927,183.742352,1.095838,-1.086030
200612,50,4,6.799655,1,95.124667,9.068205,192.810557,1.014127,-1.157031
200701,49,4,5.133549,1,100.258216,5.318215,198.128772,0.946184,-1.209766
200702,48,4,6.671401,1,106.929617,8.224934,206.353706,0.876418,-1.284780
200703,48,4,2.962116,6,109.891733,2.980626,209.334332,0.848422,-1.381933
200704,49,4,-1.313785,259,108.577948,-1.314516,208.019816,0.837880,-1.414874
200705,50,4,0.985193,90,109.563141,0.986873,209.006689,0.917833,0.519413
200706,49,4,-32.683694,466,76.879447,-32.684694,176.321995,0.898056,0.809167
200707,50,4,-6.949705,822,69.929742,-6.950704,169.371291,0.890764,0.845665
200708,50,4,1.111349,8,71.041091,1.113390,170.484681,0.847728,1.014974
200709,53,4,-27.419776,556,43.621315,-27.420775,143.063906,0.768449,0.888965
200710,54,4,-5.437594,176,38.183721,-5.438589,137.625317,0.745962,0.515701
200711,56,4,6.908452,1,45.092173,15.010114,152.635431,0.708750,0.941199
200712,55,4,-2.072442,33,43.019731,-2.073316,150.562115,0.648693,0.920694
200801,54,4,-4.110780,46,38.908951,-4.111763,146.450352,0.612997,0.926718
200802,55,4,5.603853,2,44.512804,5.919208,152.369560,0.599341,0.988277
200803,56,4,6.908745,1,51.421549,18.446496,170.816056,0.508431,-0.452737
200804,55,4,6.908704,1,58.330253,16.802270,187.618326,0.487526,-0.380682
200805,55,4,4.087863,2,62.418116,4.148263,191.766589,0.471401,-0.405328
200806,56,4,6.908755,1,69.326871,25.680714,217.447302,0.455487,-0.549301
200807,56,4,6.908726,1,76.235597,17.353016,234.800318,0.402788,-0.938438
200808,57,4,6.908755,1,83.144351,25.146094,259.946412,0.429991,-0.882737
200809,57,4,-4.187393,12,78.956959,-4.188377,255.758035,0.515908,-0.900218
200810,55,4,-1.580789,13,77.376169,-1.581583,254.176452,0.628025,-0.798627
200811,55,4,6.869508,1,84.245677,10.125954,264.302406,0.633211,-0.635797
200812,55,4,-21.800953,95,62.444724,-21.801952,242.500454,0.720516,-0.527750
200901,58,4,6.908755,1,69.353479,27.843178,270.343632,0.740988,-0.020706
200902,56,4,6.908755,1,76.262234,47.434971,317.778603,0.916197,0.265291
200903,17,2,2.747616,16,79.009850,2.762329,320.540932,1.233754,0.427226
200904,20,2,-5.051746,555,73.958105,-5.052739,315.488193,1.228221,0.109305
200905,19,2,-1.370932,244,72.587173,-1.371678,314.116516,1.340596,0.157190
200906,19,2,0.449693,110,73.036866,0.450261,314.566777,1.351031,0.132248
200907,22,2,-1.484534,676,71.552332,-1.485307,313.081469,1.482906,0.199763
200908,22,2,0.298846,144,71.851178,0.299194,313.380664,1.564847,0.010169
200909,22,2,-0.576608,429,71.274569,-0.577046,312.803618,1.671511,0.160234
200910,17,2,2.077324,26,73.351893,2.084331,314.887949,1.576787,-0.077468
200911,18,2,2.582215,11,75.934108,2.594516,317.482465,1.305557,0.034146
200912,18,2,-0.494881,310,75.439227,-0.495271,316.987194,0.987027,-0.019419
201001,17,2,-2.866952,458,72.572274,-2.867895,314.119299,0.691671,-0.042057
201002,9,2,0.543299,51,73.115573,0.544021,314.663319,0.654371,-0.063466
201003,9,2,0.928641,55,74.044215,0.930174,315.593493,0.731831,-0.037428
201004,9,2,-1.153758,45,72.890456,-1.154443,314.439050,0.693714,-0.041644
201005,9,2,1.445394,45,74.335850,1.448643,315.887693,0.716758,-0.028164
201006,9,2,0.044144,38,74.379994,0.044189,315.931882,0.674251,-0.035950
201007,9,2,-0.597685,46,73.782309,-0.598134,315.333748,0.659118,-0.033145
201008,9,2,1.113242,12,74.895551,1.115288,316.449036,0.658602,-0.011696
201009,10,2,0.285179,30,75.180731,0.285509,316.734545,0.690016,-0.007951
201010,10,2,2.771014,7,77.951745,2.786102,319.520647,0.694873,-0.002671
201011,11,2,5.810142,3,83.761887,6.214608,325.735256,0.812944,-0.081854
201012,11,2,5.299317,4,89.061204,5.521461,331.256716,0.928993,-0.071225
201101,11,2,5.785064,2,94.846268,6.177223,337.433939,1.072938,-0.055855
201102,11,2,4.441126,5,99.287394,4.528724,341.962663,1.263808,-0.062143
201103,12,2,6.215354,2,105.502748,6.907247,348.869910,1.420777,-0.062544
201104,12,2,3.893302,2,109.396050,3.942568,352.812478,1.964909,0.047216
201105,12,2,4.220944,3,113.616994,4.290399,357.102878,2.466896,0.534980
201106,12,2,3.444662,3,117.061656,3.475464,360.578342,3.129474,0.608242
201107,12,2,3.451420,5,120.513076,3.482441,364.060783,3.238359,0.702438
201108,12,2,-1.766187,54,118.746889,-1.767016,362.293768,3.306043,0.752557
201109,12,2,-2.691973,183,116.054916,-2.692905,359.600863,3.326314,0.271784
201110,12,2,0.988835,91,117.043750,0.990524,360.591387,3.978623,0.517535
201111,12,2,4.373157,3,121.416908,4.454686,365.046072,4.146995,0.902666
201112,12,2,-1.100469,860,120.316438,-1.101136,363.944936,4.192803,0.863039
201201,12,2,0.902687,105,121.219125,0.904154,364.849090,4.503414,0.926123
201202,12,2,1.171398,21,122.390523,1.173627,366.022717,4.900965,-1.536617
201203,12,2,0.221299,198,122.611821,0.221547,366.244263,4.931844,-1.589969
201204,12,2,1.398016,14,124.009838,1.401068,367.645332,5.013283,-1.480958
201205,12,2,0.785767,47,124.795605,0.786962,368.432293,5.011235,-1.613625
201206,12,2,1.609597,1,126.405202,1.613606,370.045900,5.238870,-1.738495
201207,12,2,-10.817226,333,115.587976,-10.818226,359.227674,5.281196,-1.572958
201208,11,2,1.330846,77,116.918822,1.333635,360.561308,5.254001,-1.511950
201209,11,2,5.263203,2,122.182025,5.476518,366.037826,5.168992,-1.258450
201210,11,2,-1.069002,344,121.113023,-1.069658,364.968168,5.045254,-0.815338
201211,11,2,0.046160,19,121.159183,0.046207,365.014376,4.828238,-0.745770
201212,13,2,6.056012,2,127.215196,6.610565,371.624940,4.686100,-0.770777
201301,13,2,2.683197,18,129.898393,2.696923,374.321863,4.265960,-0.707470
201302,13,2,3.601059,3,133.499452,3.637346,377.959209,3.870532,-0.682745
201303,13,2,2.158495,28,135.657947,2.166183,380.125392,3.708066,-0.995918
201304,13,2,3.681187,3,139.339134,3.720649,383.846041,3.676946,-0.921493
201305,12,2,2.486292,10,141.825426,2.497370,386.343411,3.606099,-0.803098
201306,13,2,2.865581,10,144.691007,2.882279,389.225690,3.461001,-0.760051
201307,13,2,0.782432,119,145.473439,0.783620,390.009309,3.150397,1.124964
201308,13,2,-0.622645,300,144.850794,-0.623109,389.386201,3.024904,1.599931
201309,13,2,0.758408,176,145.609202,0.759544,390.145745,2.779885,0.497513
201310,13,2,0.731806,142,146.341008,0.732886,390.878630,2.779201,0.493712
201311,13,2,5.823076,1,152.164085,6.234072,397.112702,2.789315,0.500586
201312,13,2,-5.937444,137,146.226640,-5.938441,391.174261,2.772235,0.498472
201401,18,2,-2.484828,675,143.741813,-2.485744,388.688517,2.770689,0.486504
201402,18,2,0.851903,45,144.593715,0.853248,389.541765,2.864271,0.443130
201403,18,2,-7.793327,445,136.800388,-7.794326,381.747439,2.876896,0.430582
201404,19,2,0.383609,129,137.183997,0.384076,382.131515,2.853750,0.364773
201405,18,2,-8.841209,800,128.342788,-8.842209,373.289306,2.849233,0.294074
201406,18,2,-10.947852,782,117.394936,-10.948851,362.340455,2.828796,0.207861
201407,18,2,-5.988141,797,111.406795,-5.989138,356.351317,3.133725,-0.979521
201408,18,2,0.390679,189,111.797474,0.391157,356.742475,3.257974,-1.893616
201409,18,2,6.110966,1,117.908440,6.708393,363.450867,3.730145,-1.713538
201410,18,2,6.675351,1,124.583792,8.243771,371.694638,3.720587,-1.354559
201411,18,2,5.921759,1,130.505551,6.387081,378.081720,3.692983,-1.329304
201412,18,2,6.842298,1,137.347848,9.585541,387.667260,3.619075,-1.222799
201501,18,2,6.904574,1,144.252422,12.382874,400.050134,3.635785,-1.164976
201502,18,2,6.868654,1,151.121076,10.103994,410.154128,3.671366,-1.230881
201503,24,2,6.908314,1,158.029390,14.635043,424.789172,3.550229,-1.219451
201504,28,2,6.908725,1,164.938115,17.335198,442.124370,3.539286,-1.167616
201505,28,2,6.008911,1,170.947027,6.529854,448.654224,3.768602,-1.296522
201506,28,2,6.806851,1,177.753877,9.140094,457.794318,3.832366,-1.281373
201507,28,2,6.767377,1,184.521254,8.792554,466.586872,3.683536,-1.375064
201508,28,2,2.112807,7,186.634062,2.120105,468.706977,3.600423,-1.317327
201509,28,2,-3.534414,173,183.099647,-3.535385,465.171593,3.468373,-1.243312
201510,28,2,1.907811,28,185.007459,1.913566,467.085159,3.422315,-1.346827
201511,28,2,1.928215,20,186.935673,1.934109,469.019268,3.286624,-1.584173
201512,34,3,-0.568179,186,186.367494,-0.568612,468.450656,3.004966,-2.379664
201601,34,3,0.779770,59,187.147264,0.780952,469.231607,2.821566,-2.459345
201602,34,3,2.249127,15,189.396391,2.257643,471.489250,2.692231,-2.379127
201603,34,3,1.592880,36,190.989271,1.596805,473.086055,2.546635,-2.525759
201604,33,3,1.344515,57,192.333786,1.347356,474.433411,2.316763,-2.119956
201605,33,3,-3.243463,256,189.090324,-3.244423,471.188988,2.397045,-1.520847
201606,33,3,3.819737,5,192.910061,3.865354,475.054342,2.330544,-1.283108
201607,33,3,0.233690,109,193.143751,0.233953,475.288295,2.239993,-1.181123
201608,33,3,0.742361,111,193.886112,0.743463,476.031758,2.305680,-1.060210
201609,39,3,1.245858,54,195.131970,1.248337,477.280095,2.299721,-1.059443
