date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-18.552916,84,-18.552916,-18.553916,-18.553916,0.781954,0.358240
200308,88,6,-7.036769,70,-25.589685,-7.037768,-25.591683,0.781954,0.358240
200309,94,7,1.824277,17,-23.765409,1.829489,-23.762195,0.738062,0.337205
200310,97,7,6.883177,1,-16.882231,10.560982,-13.201213,0.739309,0.353664
200311,98,7,6.887770,1,-9.994462,10.761182,-2.440031,0.739309,0.353664
200312,96,7,6.738455,1,-3.256007,8.591593,6.151562,0.739309,0.353664
200401,106,8,2.098126,4,-1.157881,2.105302,8.256864,0.728831,0.369532
200402,101,7,6.908755,1,5.750874,24.703418,32.960282,0.715118,0.339836
200403,106,8,4.873270,2,10.624144,5.012243,37.972525,0.715118,0.339836
200404,107,8,2.928605,4,13.552750,2.946465,40.918990,0.715118,0.339836
200405,108,8,-4.209654,21,9.343096,-4.210639,36.708351,0.738672,0.335455
200406,106,8,-27.236288,195,-17.893192,-27.237287,9.471064,0.748054,0.328057
200407,110,8,6.865483,1,-11.027709,10.026307,19.497371,0.748054,0.328057
200408,108,8,6.908755,1,-4.118954,34.642694,54.140065,0.765450,0.243072
200409,111,8,6.908125,1,2.789171,14.277524,68.417588,0.760947,0.206378
200410,108,8,6.907953,1,9.697124,14.035437,82.453026,0.736061,0.155771
200411,109,8,3.928492,4,13.625616,3.979607,86.432632,0.732348,0.196983
200412,116,8,-2.401518,8,11.224097,-2.402427,84.030205,0.758557,0.140732
200501,115,8,4.152658,2,15.376755,4.217306,88.247511,0.725647,0.116754
200502,115,8,6.908755,1,22.285510,50.134955,138.382466,0.705384,0.130055
200503,111,8,6.908753,1,29.194263,20.242807,158.625273,0.698114,0.103726
200504,100,7,1.735034,4,30.929296,1.739714,160.364986,0.727812,0.092369
200505,98,7,6.908755,1,37.838051,28.009597,188.374583,0.724345,0.097649
200506,104,7,6.908755,1,44.746806,41.110579,229.485163,0.716796,0.097005
200507,105,7,6.908754,1,51.655560,20.659671,250.144834,0.716607,0.092649
200508,104,7,5.979202,2,57.634762,6.480284,256.625118,0.700394,0.105657
200509,101,7,6.329418,1,63.964180,7.150013,263.775131,0.740397,0.101421
200510,103,7,6.865990,1,70.830170,10.038330,273.813460,0.769094,0.093011
200511,101,7,1.547459,2,72.377628,1.551165,275.364625,0.799032,0.066814
200512,116,8,6.907025,1,79.284653,13.266526,288.631151,0.806119,0.090232
200601,116,8,6.908736,1,86.193389,17.778643,306.409795,0.841497,0.081252
200602,116,8,6.900779,1,93.094168,11.735166,318.144961,0.911216,0.051396
200603,118,8,3.099321,4,96.193490,3.120732,321.265693,0.930006,0.027351
200604,117,8,-0.375774,2,95.817716,-0.376087,320.889606,0.921761,0.009871
200605,120,8,2.447840,5,98.265556,2.458460,323.348066,0.997610,0.056029
200606,128,9,3.883549,3,102.149105,3.932315,327.280381,1.047224,0.096752
200607,125,9,5.527959,2,107.677064,5.816481,333.096862,1.077981,0.138805
200608,127,9,-12.696128,55,94.980936,-12.697128,320.399734,1.079676,0.157057
200609,130,9,-8.341118,93,86.639817,-8.342117,312.057617,1.071715,0.192281
200610,141,10,-8.388167,73,78.251651,-8.389166,303.668451,1.066143,0.202157
200611,127,9,-3.289380,17,74.962271,-3.290342,300.378109,1.072799,0.219532
200612,127,9,-14.499423,317,60.462848,-14.500423,285.877686,1.085493,0.199562
200701,123,9,-17.135131,471,43.327716,-17.136131,268.741555,1.097588,0.204719
200702,118,8,-9.218756,34,34.108960,-9.219756,259.521800,1.105928,0.219805
200703,109,8,-12.253976,296,21.854984,-12.254976,247.266824,1.103797,0.291050
200704,118,8,-30.455158,269,-8.600174,-30.456158,216.810666,1.102919,0.282495
200705,113,8,-5.816388,29,-14.416562,-5.817384,210.993282,1.050585,0.244397
200706,105,7,-37.576920,440,-51.993482,-37.577920,173.415362,1.037538,0.226478
200707,101,7,-58.047282,469,-110.040764,-58.048282,115.367081,1.028510,0.202809
200708,95,7,-68.246062,943,-178.286826,-68.247062,47.120019,1.029123,0.162494
200709,91,7,6.895325,1,-171.391501,11.211332,58.331351,1.004418,0.095014
200710,79,6,6.774640,1,-164.616861,8.849008,67.180358,0.994826,0.113426
200711,77,6,-25.631563,490,-190.248424,-25.632562,41.547796,0.984006,0.104892
200712,73,5,-24.905036,968,-215.153460,-24.906036,16.641761,0.984779,0.157822
200801,72,5,-9.865387,805,-225.018847,-9.866387,6.775374,0.988500,0.180787
200802,72,5,-1.433226,71,-226.452074,-1.433988,5.341386,0.980930,0.177829
200803,50,4,-1.292699,100,-227.744773,-1.293424,4.047962,0.968987,0.158894
200804,52,4,4.976135,3,-222.768637,5.131519,9.179481,0.984959,0.157577
200805,55,4,6.756368,1,-216.012270,8.711926,17.891406,0.997685,0.169836
200806,40,3,-1.275154,116,-217.287424,-1.275874,16.615532,0.983345,0.177727
200807,37,3,-0.638283,135,-217.925707,-0.638755,15.976777,0.993829,0.192051
200808,38,3,-2.352478,610,-220.278185,-2.353383,13.623394,0.983021,0.196876
200809,38,3,-3.607064,235,-223.885250,-3.608037,10.015357,0.996622,0.203181
200810,35,3,-12.432193,726,-236.317443,-12.433193,-2.417835,1.022239,0.205211
200811,35,3,-19.282566,764,-255.600009,-19.283566,-21.701401,1.015619,0.213934
200812,32,3,-9.966032,126,-265.566042,-9.967032,-31.668433,1.023555,0.199565
200901,32,3,-6.011864,709,-271.577905,-6.012861,-37.681294,1.024589,0.193590
200902,33,3,-1.282790,454,-272.860695,-1.283512,-38.964806,1.048500,0.182166
200903,33,3,-0.877373,771,-273.738068,-0.877957,-39.842763,1.085782,0.215552
200904,34,3,-0.354774,217,-274.092842,-0.355073,-40.197835,1.079086,0.204326
200905,33,3,-0.961199,638,-275.054041,-0.961817,-41.159652,1.049648,0.220014
200906,34,3,1.620161,37,-273.433880,1.624223,-39.535429,1.051000,0.236338
200907,35,3,2.289554,12,-271.144327,2.298464,-37.236965,1.046300,0.236493
200908,38,3,-1.530564,638,-272.674891,-1.531347,-38.768312,1.042207,0.245479
200909,39,3,1.044176,66,-271.630714,1.046019,-37.722293,1.010490,0.250972
200910,39,3,0.219259,252,-271.411455,0.219505,-37.502789,0.983095,0.196333
200911,42,3,0.159399,156,-271.252056,0.159571,-37.343217,0.953079,0.191716
200912,50,4,4.917995,2,-266.334061,5.063863,-32.279354,0.921824,0.195719
201001,55,4,1.327491,34,-265.006570,1.330267,-30.949087,0.921554,0.153927
201002,58,4,-31.150794,884,-296.157363,-31.151793,-62.100880,0.868756,0.134449
201003,59,4,-5.869995,14,-302.027359,-5.870992,-67.971872,0.785548,0.131938
201004,66,5,-5.091500,82,-307.118859,-5.092494,-73.064366,0.781132,0.146254
201005,66,5,1.755374,10,-305.363485,1.760171,-71.304195,0.846077,0.127733
201006,67,5,2.586328,4,-302.777157,2.598685,-68.705510,0.806968,0.042097
201007,69,5,5.312822,3,-297.464335,5.538371,-63.167139,0.819758,0.039154
201008,81,6,6.908755,1,-290.555580,29.659765,-33.507374,0.841553,0.030561
201009,91,7,6.908576,1,-283.647004,15.534837,-17.972537,0.856757,0.023418
201010,104,7,6.908742,1,-276.738263,18.152295,0.179758,0.854684,0.066201
201011,106,8,6.908475,1,-269.829788,15.088023,15.267781,0.869319,0.058445
201012,109,8,6.889241,1,-262.940547,10.834603,26.102385,0.896060,0.049863
201101,109,8,6.908687,1,-256.031860,16.501984,42.604369,0.800688,0.070841
201102,106,8,-4.976455,26,-261.008316,-4.977448,37.626921,0.804170,0.060169
201103,107,8,-14.300483,50,-275.308799,-14.301483,23.325438,0.775781,0.059847
201104,107,8,-41.629754,468,-316.938553,-41.630753,-18.305315,0.768458,-0.027718
201105,104,7,-13.559117,18,-330.497670,-13.560116,-31.865432,0.728279,-0.033591
201106,107,8,6.908700,1,-323.588970,16.715407,-15.150024,0.726432,-0.009400
201107,106,8,2.334620,3,-321.254350,2.343990,-12.806034,0.735253,-0.066792
201108,110,8,-9.030175,28,-330.284525,-9.031174,-21.837209,0.744902,-0.090722
201109,116,8,3.826723,3,-326.457802,3.872675,-17.964534,0.791130,-0.121259
201110,119,8,-8.602071,21,-335.059873,-8.603071,-26.567605,0.835339,-0.125167
201111,126,9,2.202099,5,-332.857774,2.210176,-24.357429,0.837882,-0.140063
201112,124,9,6.889886,1,-325.967888,10.868534,-13.488895,0.823988,-0.151205
201201,125,9,6.867330,1,-319.100558,10.070851,-3.418044,0.865878,-0.166189
201202,127,9,6.908740,1,-312.191817,18.062409,14.644365,0.862528,-0.175582
201203,133,9,6.908755,1,-305.283063,45.355655,60.000021,0.863312,-0.200652
201204,135,9,6.908755,1,-298.374308,41.010339,101.010360,0.841132,-0.185589
201205,132,9,6.908755,1,-291.465553,30.159924,131.170283,0.842756,-0.186310
201206,136,10,6.908755,1,-284.556798,39.460565,170.630848,0.827824,-0.180643
201207,141,10,6.908755,1,-277.648044,31.141661,201.772510,0.819755,-0.167375
201208,136,10,6.908755,1,-270.739289,26.643933,228.416442,0.822422,-0.177423
201209,155,11,6.908755,1,-263.830534,49.632752,278.049194,0.830104,-0.170659
201210,162,11,6.908755,1,-256.921779,33.427108,311.476302,0.847927,-0.145237
201211,164,11,6.908755,1,-250.013024,68.258866,379.735168,0.845545,-0.149872
201212,167,12,6.908755,1,-243.104270,69.552455,449.287623,0.871603,-0.110792
201301,166,12,6.908755,1,-236.195515,56.573191,505.860814,0.883062,-0.098630
201302,162,11,6.908755,1,-229.286760,45.255928,551.116742,0.904449,-0.087608
201303,158,11,6.908689,1,-222.378071,16.535472,567.652214,0.903064,-0.077123
201304,167,12,6.908755,1,-215.469316,29.830492,597.482706,0.949274,-0.066887
201305,158,11,6.908408,1,-208.560909,14.873075,612.355781,0.959168,-0.054904
201306,158,11,5.209516,2,-203.351393,5.410415,617.766196,0.968828,-0.048638
201307,166,12,6.908755,1,-196.442638,28.359755,646.125951,0.999672,-0.053282
201308,166,12,6.127065,1,-190.315573,6.737877,652.863828,1.014522,-0.052306
201309,180,12,6.908754,1,-183.406819,21.575211,674.439039,1.013981,-0.045083
201310,171,12,6.908755,1,-176.498064,37.105810,711.544849,1.015330,-0.046414
201311,175,12,6.908755,1,-169.589309,35.637518,747.182367,1.042249,-0.024955
201312,174,12,6.908755,1,-162.680554,44.383464,791.565831,1.072171,-0.030302
201401,178,12,6.908755,1,-155.771800,22.627322,814.193153,1.076178,-0.030446
201402,176,12,6.908755,1,-148.863045,25.473991,839.667145,1.070089,-0.032294
201403,170,12,6.804294,1,-142.058751,9.114015,848.781159,1.078080,-0.040624
201404,173,12,6.908755,1,-135.149996,23.774795,872.555955,1.065654,-0.046601
201405,169,12,6.908755,1,-128.241241,25.505184,898.061139,1.080105,-0.048894
201406,167,12,6.908755,1,-121.332487,27.116309,925.177448,1.083972,-0.050188
201407,185,13,6.908755,1,-114.423732,28.511523,953.688970,1.090142,-0.044635
201408,188,13,6.908753,1,-107.514979,20.036934,973.725905,1.104120,-0.044573
201409,194,13,3.793606,4,-103.721373,3.837993,977.563898,1.091622,-0.049866
201410,191,13,-17.412865,31,-121.134237,-17.413864,960.150034,1.084684,-0.056762
201411,187,13,-3.442790,27,-124.577027,-3.443757,956.706276,1.088367,-0.064667
201412,185,13,6.908754,1,-117.668274,20.599146,977.305422,1.089205,-0.092214
201501,174,12,-1.471451,23,-119.139724,-1.472221,975.833201,1.097490,-0.103882
201502,180,12,0.403243,14,-118.736481,0.403740,976.236941,1.107123,-0.100958
201503,176,12,-13.790183,215,-132.526664,-13.791182,962.445759,1.118110,-0.085684
201504,164,11,6.859116,1,-125.667549,9.885811,972.331570,1.143598,-0.048984
201505,157,11,6.282838,1,-119.384711,7.047063,979.378633,1.155397,-0.027581
201506,149,10,0.996297,16,-118.388413,0.998007,980.376640,1.158883,-0.026350
201507,150,10,0.837526,6,-117.550888,0.838837,981.215477,1.162917,-0.030738
201508,151,11,6.906510,1,-110.644378,13.005558,994.221036,1.153816,-0.024852
201509,157,11,-10.400404,43,-121.044783,-10.401404,983.819632,1.160841,-0.022212
201510,154,11,-7.558933,92,-128.603716,-7.559932,976.259700,1.162964,-0.020113
201511,148,10,6.908590,1,-121.695126,15.618784,991.878484,1.158830,-0.024319
201512,150,10,6.474347,1,-115.220778,7.516473,999.394957,1.160833,-0.014983
201601,147,10,6.901642,1,-108.319136,11.850049,1011.245005,1.179092,0.011244
201602,160,11,6.908755,1,-101.410382,32.572795,1043.817800,1.180733,0.030233
201603,161,11,6.908752,1,-94.501630,19.655360,1063.473161,1.156795,0.025513
201604,160,11,6.901146,1,-87.600483,11.782463,1075.255624,1.138526,0.011388
201605,160,11,6.908754,1,-80.691729,21.180482,1096.436106,1.129223,0.001875
201606,160,11,6.908730,1,-73.782999,17.512941,1113.949047,1.124206,0.001359
201607,166,12,6.904123,1,-66.878876,12.280346,1126.229393,1.120212,0.007141
201608,161,11,-9.056609,39,-75.935484,-9.057608,1117.171785,1.141694,0.014705
201609,152,11,2.270219,3,-73.665265,2.278938,1119.450723,1.160518,0.031956
201610,147,10,-0.399241,15,-74.064507,-0.399570,1119.051153,1.177468,0.051772
201611,147,10,-41.418955,930,-115.483461,-41.419954,1077.631198,1.145821,0.049079
201612,149,10,-16.029922,182,-131.513384,-16.030922,1061.600277,1.144249,0.057546
201701,166,12,5.535975,2,-125.977408,5.827204,1067.427480,1.143013,0.058171
201702,151,11,-3.858758,38,-129.836167,-3.859737,1063.567744,1.147240,0.065265
201703,153,11,-5.432296,178,-135.268462,-5.433291,1058.134453,1.177180,0.081951
201704,154,11,-2.174018,65,-137.442480,-2.174904,1055.959549,1.065058,0.060501
201705,159,11,6.764012,1,-130.678468,8.767310,1064.726859,1.018352,0.047319
201706,161,11,-1.691602,40,-132.370070,-1.692417,1063.034442,1.013647,0.046336
201707,161,11,-0.666867,186,-133.036936,-0.667353,1062.367089,1.018421,0.044091
201708,162,11,0.140842,7,-132.896094,0.140993,1062.508082,1.010371,0.039671
201709,162,11,6.405004,1,-126.491090,7.331003,1069.839085,0.995586,0.032746
201710,163,11,-2.411078,29,-128.902168,-2.411988,1067.427098,0.990421,0.025626
201711,178,12,-0.528405,27,-129.430573,-0.528815,1066.898283,1.000865,0.035647
201712,176,12,-3.247524,17,-132.678097,-3.248485,1063.649798,0.979944,0.032241
201801,166,12,-3.347192,39,-136.025288,-3.348156,1060.301642,0.977349,0.032463
201802,168,12,4.981051,2,-131.044237,5.137269,1065.438911,0.978707,0.040843
201803,163,11,-5.287900,26,-136.332138,-5.288895,1060.150016,0.978382,0.022379
201804,156,11,-5.030090,54,-141.362228,-5.031083,1055.118933,1.054054,0.026767
201805,159,11,-13.209069,306,-154.571296,-13.210068,1041.908865,1.104662,0.037392
201806,155,11,1.897711,4,-152.673585,1.903398,1043.812263,1.106317,0.043053
201807,142,10,-0.381318,14,-153.054903,-0.381635,1043.430628,1.107101,0.051553
201808,140,10,-1.273590,16,-154.328493,-1.274309,1042.156319,1.099174,0.055484
201809,140,10,3.077092,12,-151.251400,3.098005,1045.254323,1.124621,0.071608
201810,125,9,6.532001,1,-144.719399,7.689636,1052.943959,1.118086,0.091871
201811,123,9,-4.495856,95,-149.215255,-4.496845,1048.447115,1.118913,0.096862
201812,122,9,-16.946881,215,-166.162136,-16.947880,1031.499234,1.117790,0.105315
201901,123,9,-24.712488,395,-190.874624,-24.713488,1006.785746,1.113907,0.113900
201902,119,8,4.193668,3,-186.680956,4.261161,1011.046907,1.094993,0.103872
201903,112,8,1.425300,24,-185.255656,1.428464,1012.475372,1.093866,0.105526
201904,108,8,0.218684,99,-185.036971,0.218929,1012.694300,1.095625,0.104033
201905,108,8,-15.831356,705,-200.868327,-15.832355,996.861945,1.082490,0.106132
201906,110,8,-4.611131,215,-205.479458,-4.612120,992.249825,1.080547,0.112436
201907,107,8,-4.579003,669,-210.058460,-4.579992,987.669833,1.078258,0.115744
201908,102,7,-7.838462,397,-217.896922,-7.839461,979.830373,1.089729,0.128028
201909,98,7,-16.006756,289,-233.903678,-16.007756,963.822617,1.080720,0.127503
201910,93,7,-1.007073,474,-234.910751,-1.007708,962.814909,1.078100,0.120819
201911,90,6,-5.056654,915,-239.967406,-5.057647,957.757262,1.072314,0.139816
201912,87,6,-2.246396,144,-242.213801,-2.247289,955.509972,1.078473,0.144746
202001,85,6,0.476837,74,-241.736964,0.477449,955.987421,1.114964,0.126972
202002,81,6,-10.555705,886,-252.292669,-10.556705,945.430716,1.120576,0.119858
202003,68,5,-28.296613,462,-280.589282,-28.297613,917.133104,1.115619,0.121973
202004,78,6,-97.800831,983,-378.390113,-97.801831,819.331273,1.109413,0.117325
202005,79,6,-25.927826,578,-404.317939,-25.928825,793.402448,1.117459,0.115213
202006,78,6,-2.316902,128,-406.634841,-2.317803,791.084645,1.113341,0.114160
202007,76,6,-0.548318,105,-407.183159,-0.548740,790.535905,1.107912,0.109321
202008,73,5,5.381631,1,-401.801528,5.625458,796.161363,1.096963,0.106854
202009,59,4,1.015322,45,-400.786206,1.017084,797.178446,1.103789,0.129631
