date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-10.113031,191,-10.113031,-10.114030,-10.114030,0.815388,-0.009636
200308,143,10,2.329105,3,-7.783926,2.338417,-7.775613,0.815388,-0.009636
200309,148,10,6.672350,1,-1.111576,8.229436,0.453823,0.837862,-0.007321
200310,150,10,-14.958752,194,-16.070328,-14.959751,-14.505929,0.850988,-0.000975
200311,152,11,6.908747,1,-9.161581,18.635306,4.129378,0.850988,-0.000975
200312,150,10,6.895144,1,-2.266437,11.197853,15.327231,0.850988,-0.000975
200401,139,10,-10.277228,161,-12.543665,-10.278227,5.049003,0.834345,0.033623
200402,143,10,6.908755,1,-5.634910,36.192486,41.241489,0.856613,0.026692
200403,139,10,-3.909134,6,-9.544044,-3.910114,37.331376,0.856613,0.026692
200404,135,9,6.897010,1,-2.647034,11.346193,48.677569,0.856613,0.026692
200405,140,10,-1.276095,10,-3.923129,-1.276815,47.400753,0.845484,0.016623
200406,146,10,-2.199053,11,-6.122182,-2.199942,45.200812,0.839715,0.019394
200407,152,11,6.908755,1,0.786572,23.950865,69.151677,0.839715,0.019394
200408,153,11,-13.015670,15,-12.229098,-13.016670,56.135007,0.826831,0.018152
200409,155,11,6.908755,1,-5.320343,31.560325,87.695332,0.854758,0.011419
200410,162,11,6.908754,1,1.588411,20.939416,108.634748,0.835681,0.011953
200411,167,12,6.908751,1,8.497162,19.436370,128.071118,0.806204,0.017948
200412,163,11,6.908755,1,15.405917,25.128612,153.199730,0.858669,0.014460
200501,164,11,6.908755,1,22.314671,23.921595,177.121325,0.857882,-0.013886
200502,169,12,6.908751,1,29.223423,19.448221,196.569545,0.864168,-0.023226
200503,172,12,-1.299977,7,27.923445,-1.300705,195.268841,0.872001,-0.010053
200504,187,13,6.901364,1,34.824809,11.811579,207.080420,0.883726,-0.011841
200505,196,14,-2.573685,6,32.251125,-2.574608,204.505812,0.874289,-0.019172
200506,190,13,6.908755,1,39.159879,30.946293,235.452105,0.904092,-0.007136
200507,190,13,6.908755,1,46.068634,26.506766,261.958871,0.915987,-0.005782
200508,190,13,6.908755,1,52.977389,46.579557,308.538428,0.934814,-0.008017
200509,197,14,6.908755,1,59.886144,23.569757,332.108185,0.969162,0.013765
200510,194,13,6.908755,1,66.794898,33.003246,365.111431,1.001422,0.005142
200511,197,14,6.907659,1,73.702557,13.723548,378.834979,1.028228,0.004136
